date,open,high,low,close,volume
2019-09-16,55.9,55.9,55.9,55.9,10
2019-09-17,55.56,55.56,55.56,55.56,20
2019-09-18,53.57,55.04,53.14,55.04,270
2019-09-19,55.47,55.47,55.47,55.47,10
2019-09-20,55.47,55.47,55.47,55.47,0
2019-09-23,55.47,55.47,55.47,55.47,0
2019-09-24,55.47,55.47,55.47,55.47,0
2019-09-25,54.43,54.69,52.71,52.79,790
2019-09-26,52.79,55.9,52.79,55.9,20
2019-09-27,54.87,54.87,54.87,54.87,80
2019-09-30,53.57,54.0,53.57,54.0,130
2019-10-01,54.0,54.35,53.66,53.66,210
2019-10-02,53.92,55.64,53.92,55.64,290
2019-10-03,54.09,55.99,54.09,55.3,40
2019-10-04,55.3,55.3,55.3,55.3,10
2019-10-07,54.87,55.3,54.09,54.09,110
2019-10-08,55.13,55.13,54.17,54.26,30
2019-10-09,54.61,54.61,54.61,54.61,10
2019-10-10,54.61,54.61,54.61,54.61,0
2019-10-11,54.43,54.61,54.43,54.61,90
2019-10-14,52.79,54.52,52.79,54.52,60
2019-10-15,54.43,54.43,54.43,54.43,30
2019-10-16,54.87,54.87,54.87,54.87,10
2019-10-17,55.64,55.64,54.0,54.0,100
2019-10-18,54.0,55.3,51.84,54.78,410
2019-10-21,54.78,54.78,54.78,54.78,0
2019-10-22,54.78,54.78,53.14,54.35,110
2019-10-23,54.43,54.43,54.43,54.43,10
2019-10-24,54.43,54.43,54.43,54.43,0
2019-10-25,55.3,57.89,55.3,57.89,50
2019-10-28,56.16,56.16,55.64,55.64,190
2019-10-29,55.64,55.64,55.64,55.64,0
2019-10-30,56.51,56.51,53.05,53.05,770
2019-10-31,53.05,53.05,53.05,53.05,20
2019-11-01,54.69,54.69,53.05,54.69,90
2019-11-04,53.74,53.74,52.36,52.36,130
2019-11-05,54.52,54.52,52.45,52.45,20
2019-11-06,55.13,55.13,52.53,52.62,320
2019-11-07,54.69,54.69,54.69,54.69,10
2019-11-08,53.57,54.69,53.57,54.69,1000
2019-11-11,54.69,54.69,54.69,54.69,0
2019-11-12,54.69,54.69,54.69,54.69,0
2019-11-13,52.01,53.92,51.93,53.92,60
2019-11-14,53.92,53.92,53.92,53.92,0
2019-11-15,53.92,53.92,53.92,53.92,0
2019-11-18,53.92,53.92,53.92,53.92,0
2019-11-19,52.53,52.53,50.29,52.1,510
2019-11-20,53.05,53.05,53.05,53.05,10
2019-11-21,53.05,53.05,53.05,53.05,0
2019-11-22,50.98,53.05,50.98,53.05,170
2019-11-25,53.05,53.05,53.05,53.05,0
2019-11-26,53.22,53.22,53.22,53.22,20
2019-11-27,53.14,53.14,53.05,53.05,30
2019-11-28,53.05,53.05,53.05,53.05,0
2019-11-29,52.27,52.27,52.27,52.27,60
2019-12-02,48.9,53.92,48.9,53.92,30
2019-12-03,53.92,53.92,53.92,53.92,0
2019-12-04,53.92,53.92,53.92,53.92,0
2019-12-05,51.32,53.83,51.32,53.83,30
2019-12-06,52.71,52.71,52.71,52.71,160
2019-12-09,54.0,54.0,52.71,54.0,190
2019-12-10,54.43,55.3,51.93,51.93,30
2019-12-11,54.26,54.26,52.27,52.27,50
2019-12-12,54.78,54.78,52.27,52.53,190
2019-12-13,52.62,52.71,52.62,52.71,440
2019-12-16,52.71,52.71,52.71,52.71,0
2019-12-17,54.0,54.0,54.0,54.0,20
2019-12-18,54.0,54.95,52.27,54.17,310
2019-12-19,51.93,51.93,51.84,51.84,560
2019-12-20,52.71,54.0,52.71,54.0,30
2019-12-23,52.27,53.92,50.98,53.4,250
2019-12-24,51.41,52.71,51.41,52.71,30
2019-12-25,49.34,51.84,49.25,51.84,1050
2019-12-26,51.84,52.71,50.98,50.98,520
2019-12-27,53.14,53.14,53.14,53.14,70
2019-12-30,52.71,52.71,50.55,50.55,390
2019-12-31,51.67,51.76,50.29,50.29,510
2020-01-02,50.29,50.46,49.94,50.46,1000
2020-01-03,50.29,50.46,49.94,50.46,1000
2020-01-06,50.72,51.24,50.72,51.24,190
2020-01-07,50.11,51.32,50.11,51.32,110
2020-01-08,51.32,51.32,51.32,51.32,0
2020-01-09,51.32,51.32,51.32,51.32,20
2020-01-10,49.94,50.29,49.94,50.29,80
2020-01-13,51.67,51.67,48.9,48.9,670
2020-01-14,51.5,51.67,51.5,51.67,40
2020-01-15,51.67,51.67,51.67,51.67,30
2020-01-16,51.41,51.41,48.82,48.82,2360
2020-01-17,50.89,50.89,47.61,47.61,20
2020-01-20,47.61,47.61,47.61,47.61,0
2020-01-21,49.94,49.94,49.94,49.94,10
2020-01-22,51.76,51.76,51.76,51.76,30
2020-01-30,51.24,51.24,50.55,50.72,90
2020-01-31,51.84,51.84,49.25,50.37,410
2020-02-03,47.61,48.73,47.52,48.73,240
2020-02-04,45.79,45.79,45.79,45.79,170
2020-02-05,48.82,48.82,48.82,48.82,10
2020-02-06,48.82,48.82,48.82,48.82,0
2020-02-07,45.53,48.21,45.53,47.69,2200
2020-02-10,47.52,49.25,46.66,49.16,1230
2020-02-11,46.66,49.16,45.79,48.73,1250
2020-02-12,48.73,48.73,48.73,48.73,20
2020-02-13,45.79,48.04,45.71,48.04,40
2020-02-14,47.95,47.95,45.1,47.61,620
2020-02-17,47.61,47.61,47.61,47.61,20
2020-02-18,47.61,47.61,47.61,47.61,0
2020-02-19,47.61,47.61,47.61,47.61,0
2020-02-20,45.88,46.83,44.5,46.74,310
2020-02-21,46.66,47.0,46.66,47.0,20
2020-02-24,47.0,47.0,47.0,47.0,20
2020-02-25,44.07,44.07,44.07,44.07,40
2020-02-26,46.57,46.57,46.57,46.57,50
2020-02-27,47.52,48.99,46.57,46.57,260
2020-02-28,47.09,47.09,44.24,46.48,50
2020-03-02,46.48,46.48,46.48,46.48,10
2020-03-03,49.51,49.51,44.5,45.36,500
2020-03-04,45.36,45.36,43.2,44.07,4530
2020-03-05,42.16,43.98,42.16,43.98,50
2020-03-06,42.77,43.55,42.16,42.16,250
2020-03-09,43.03,43.03,41.91,41.91,430
2020-03-10,40.61,41.91,39.05,41.65,850
2020-03-11,38.92,41.65,38.92,41.56,90
2020-03-12,41.56,41.56,38.67,41.13,580
2020-03-13,41.13,41.13,38.28,41.04,690
2020-03-16,39.57,39.57,39.57,39.57,120
2020-03-17,38.88,41.47,38.88,39.31,530
2020-03-18,39.27,41.73,39.27,41.73,120
2020-03-19,38.88,41.65,38.88,41.65,110
2020-03-20,44.07,44.07,38.79,40.61,1300
2020-03-23,40.52,40.52,37.8,37.8,230
2020-03-24,39.75,40.44,38.88,40.44,640
2020-03-25,38.02,38.45,38.02,38.02,1120
2020-03-26,40.57,40.57,35.86,36.33,3680
2020-03-27,38.58,38.58,38.45,38.54,50
2020-03-30,38.71,38.71,36.29,36.29,110
2020-03-31,38.79,38.79,34.99,38.02,180
2020-04-01,35.51,38.92,35.51,38.92,350
2020-04-03,41.47,41.47,39.75,40.18,60
2020-04-06,40.61,40.61,40.18,40.61,500
2020-04-07,41.43,41.43,38.45,38.88,470
2020-04-08,38.88,38.88,38.88,38.88,340
2020-04-09,38.45,38.92,36.29,38.92,1750
2020-04-10,36.46,38.88,36.46,38.88,20
2020-04-13,38.79,38.79,38.79,38.79,100
2020-04-14,36.72,38.1,36.72,37.67,2590
2020-04-15,36.38,37.67,36.38,36.46,8350
2020-04-16,38.19,38.97,38.02,38.79,5290
2020-04-17,38.88,39.31,37.76,38.02,16340
2020-04-20,38.02,38.88,37.84,38.45,12600
2020-04-21,38.45,38.45,38.19,38.19,420
2020-04-22,38.02,38.28,38.02,38.28,230
2020-04-23,38.45,38.88,38.02,38.02,4250
2020-04-24,35.55,38.02,35.55,38.02,1490
