date,open,high,low,close,volume
2019-09-16,5.15,5.38,5.15,5.32,3753282
2019-09-17,5.38,5.38,5.26,5.26,991885
2019-09-18,5.38,6.06,5.32,5.78,7270257
2019-09-19,5.78,5.83,5.55,5.66,2378270
2019-09-20,5.61,5.66,5.49,5.49,1370145
2019-09-23,5.43,5.55,5.32,5.38,1886780
2019-09-24,5.43,5.43,5.26,5.32,2398500
2019-09-25,5.32,5.32,5.21,5.26,809954
2019-09-26,5.38,5.43,5.26,5.38,874720
2019-09-27,5.38,5.43,5.26,5.32,1335490
2019-09-30,5.32,5.61,5.26,5.49,4429925
2019-10-01,5.49,5.55,5.43,5.43,1360255
2019-10-02,5.49,5.49,5.32,5.38,1139454
2019-10-03,5.32,5.32,4.8,5.26,1269280
2019-10-04,5.26,5.32,5.21,5.21,1016755
2019-10-07,5.21,5.38,5.21,5.32,1138130
2019-10-08,5.32,5.78,5.32,5.55,4095336
2019-10-09,5.55,5.61,5.43,5.55,1243195
2019-10-10,5.49,5.55,5.43,5.55,1328263
2019-10-11,5.55,5.78,5.55,5.66,3414347
2019-10-14,5.66,5.72,5.49,5.55,1126140
2019-10-15,5.55,5.55,5.43,5.49,1306150
2019-10-16,5.55,5.55,5.43,5.55,1321034
2019-10-17,5.55,5.55,5.38,5.43,1179110
2019-10-18,5.43,5.49,5.38,5.49,1031390
2019-10-21,5.49,5.49,5.38,5.43,1494825
2019-10-22,5.43,5.49,5.32,5.43,2009330
2019-10-23,5.43,5.55,5.43,5.49,1519570
2019-10-24,5.49,5.55,5.43,5.49,2417601
2019-10-25,5.49,5.83,5.49,5.66,4684091
2019-10-28,5.66,5.72,5.55,5.55,797791
2019-10-29,5.55,5.61,5.49,5.55,734733
2019-10-30,5.55,5.55,5.43,5.49,1323290
2019-10-31,5.55,5.72,5.49,5.49,2899950
2019-11-01,5.55,5.61,5.49,5.61,1429750
2019-11-04,5.61,5.83,5.61,5.72,4807099
2019-11-05,5.72,5.78,5.66,5.72,2141491
2019-11-06,5.72,5.83,5.66,5.72,2734645
2019-11-07,5.72,5.78,5.61,5.72,1429027
2019-11-08,5.72,5.83,5.66,5.72,1371270
2019-11-11,5.72,5.78,5.61,5.66,1142340
2019-11-12,5.66,5.78,5.61,5.78,2169688
2019-11-13,5.78,5.89,5.66,5.72,2277476
2019-11-14,5.78,5.78,5.66,5.78,2985402
2019-11-15,5.78,5.83,5.66,5.83,3078541
2019-11-18,5.78,5.95,5.78,5.83,1587295
2019-11-19,5.83,5.89,5.78,5.83,3343278
2019-11-20,5.83,5.83,5.72,5.78,883697
2019-11-21,5.78,5.83,5.66,5.72,1263300
2019-11-22,5.72,5.72,4.92,5.55,3184631
2019-11-25,5.55,5.61,5.43,5.49,1302247
2019-11-26,5.55,5.55,5.43,5.49,1263205
2019-11-27,5.49,5.55,5.38,5.43,2172019
2019-11-28,5.43,5.49,5.32,5.38,1610126
2019-11-29,5.43,5.43,5.32,5.38,638900
2019-12-02,5.38,5.38,5.15,5.38,2301082
2019-12-03,5.26,5.26,5.09,5.15,1493969
2019-12-04,5.15,5.32,5.15,5.26,1904333
2019-12-05,5.32,5.38,5.15,5.21,1877347
2019-12-06,5.26,5.26,5.15,5.26,883466
2019-12-09,5.26,5.26,5.15,5.21,826065
2019-12-10,5.21,5.21,5.09,5.15,1458479
2019-12-11,5.09,5.09,4.86,4.98,2486692
2019-12-12,4.98,5.03,4.92,4.98,1052730
2019-12-13,5.09,5.09,4.98,5.03,1005140
2019-12-16,5.03,5.03,4.92,4.98,506310
2019-12-17,4.98,4.98,4.75,4.86,2708369
2019-12-18,4.86,4.86,4.63,4.69,1775559
2019-12-19,4.69,4.75,4.58,4.63,1240446
2019-12-20,4.63,4.69,4.58,4.63,893368
2019-12-23,4.63,4.92,4.63,4.8,2040498
2019-12-24,4.8,4.8,4.69,4.75,828991
2019-12-25,4.75,4.8,4.69,4.75,506548
2019-12-26,4.75,4.75,4.58,4.63,1536611
2019-12-27,4.63,4.69,4.58,4.69,1463621
2019-12-30,4.69,4.69,4.58,4.63,876553
2019-12-31,4.63,4.75,4.58,4.69,767594
2020-01-02,4.69,4.69,4.58,4.69,1232420
2020-01-03,4.69,4.75,4.58,4.63,2024568
2020-01-06,4.75,4.86,4.69,4.86,3836947
2020-01-07,4.86,4.86,4.69,4.75,1378587
2020-01-08,4.8,4.8,4.58,4.63,3326547
2020-01-09,4.63,4.63,4.46,4.52,2652190
2020-01-10,4.52,4.52,4.35,4.4,2137026
2020-01-13,4.4,4.4,4.18,4.29,2759130
2020-01-14,4.29,4.29,4.12,4.23,1688991
2020-01-15,4.23,4.29,4.12,4.18,934445
2020-01-16,4.18,4.35,4.12,4.23,2902912
2020-01-17,4.23,4.29,4.12,4.18,1181300
2020-01-20,4.18,4.29,4.12,4.29,1126220
2020-01-21,4.29,4.86,4.29,4.86,9879031
2020-01-22,4.92,4.92,4.75,4.8,2282520
2020-01-30,4.86,4.86,4.52,4.69,2743532
2020-01-31,4.63,4.63,4.29,4.35,2822569
2020-02-03,4.35,4.35,3.89,4.23,3747796
2020-02-04,4.18,4.4,4.18,4.4,2443762
2020-02-05,4.35,4.4,4.23,4.35,923440
2020-02-06,4.29,4.52,4.29,4.46,1826752
2020-02-07,4.46,4.46,4.35,4.35,1135672
2020-02-10,4.35,4.35,4.23,4.29,1080915
2020-02-11,4.29,4.35,4.23,4.35,550993
2020-02-12,4.35,4.52,4.35,4.46,1453371
2020-02-13,4.46,4.52,4.4,4.46,824818
2020-02-14,4.46,4.52,4.4,4.46,565040
2020-02-17,4.46,4.52,4.4,4.46,901360
2020-02-18,4.46,4.46,4.29,4.4,940476
2020-02-19,4.35,4.46,4.35,4.4,521327
2020-02-20,4.4,4.52,4.4,4.46,763481
2020-02-21,4.46,4.52,4.35,4.4,1067633
2020-02-24,4.4,4.4,4.12,4.18,2076235
2020-02-25,4.18,4.23,4.06,4.23,1895380
2020-02-26,4.18,4.29,4.06,4.23,1506840
2020-02-27,4.23,4.29,4.18,4.23,791522
