date,open,high,low,close,volume
2019-09-26,4.38,4.38,4.38,4.38,100
2019-09-27,5.03,5.03,5.03,5.03,100
2019-09-30,5.69,5.69,5.69,5.69,100
2019-10-01,5.69,5.69,5.69,5.69,0
2019-10-02,6.22,6.22,6.22,6.22,100
2019-10-03,6.22,6.22,6.22,6.22,0
2019-10-04,6.22,6.22,6.22,6.22,0
2019-10-07,6.22,6.22,6.22,6.22,0
2019-10-08,7.11,7.11,7.11,7.11,100
2019-10-09,7.11,7.11,7.11,7.11,0
2019-10-10,7.11,7.11,7.11,7.11,0
2019-10-11,7.11,7.11,7.11,7.11,0
2019-10-14,7.11,7.11,7.11,7.11,0
2019-10-15,7.11,7.11,7.11,7.11,0
2019-10-16,7.11,7.11,7.11,7.11,0
2019-10-17,7.11,7.11,7.11,7.11,0
2019-10-18,7.11,7.11,7.11,7.11,0
2019-10-21,7.11,7.11,7.11,7.11,0
2019-10-22,7.11,7.11,7.11,7.11,0
2019-10-23,7.11,7.11,7.11,7.11,0
2019-10-24,7.11,7.11,7.11,7.11,0
2019-10-25,7.11,7.11,7.11,7.11,0
2019-10-28,7.11,7.11,7.11,7.11,0
2019-10-29,8.17,8.17,8.17,8.17,100
2019-10-30,8.17,8.17,8.17,8.17,0
2019-10-31,9.36,9.36,9.36,8.17,100
2019-11-01,9.36,9.36,9.36,9.36,0
2019-11-04,9.36,9.36,9.36,9.36,0
2019-11-05,9.36,9.36,9.36,9.36,0
2019-11-06,9.36,9.36,9.36,9.36,0
2019-11-07,9.36,9.36,9.36,9.36,0
2019-11-08,9.36,9.36,9.36,9.36,0
2019-11-11,8.0,8.0,8.0,8.0,100
2019-11-12,8.0,8.0,8.0,8.0,0
2019-11-13,8.0,8.0,8.0,8.0,0
2019-11-14,8.0,8.0,8.0,8.0,0
2019-11-15,8.0,8.0,8.0,8.0,0
2019-11-18,6.81,6.81,6.81,6.81,100
2019-11-19,5.8,5.8,5.8,5.8,300
2019-11-20,5.8,5.8,5.8,5.8,0
2019-11-21,5.8,5.8,5.8,5.8,0
2019-11-22,6.63,6.63,6.63,6.63,100
2019-11-25,6.63,6.63,6.63,6.63,0
2019-11-26,6.63,6.63,6.63,6.63,0
2019-11-27,5.69,5.69,5.69,5.69,500
2019-11-28,5.69,5.69,5.69,5.69,0
2019-11-29,5.69,5.69,5.69,5.69,0
2019-12-02,5.69,5.69,5.69,5.69,0
2019-12-03,5.69,5.69,5.69,5.69,0
2019-12-04,5.69,5.69,5.69,5.69,0
2019-12-05,5.69,5.69,5.69,5.69,0
2019-12-06,5.69,5.69,5.69,5.69,0
2019-12-09,5.69,5.69,5.69,5.69,0
2019-12-10,5.69,5.69,5.69,5.69,0
2019-12-11,5.69,5.69,5.69,5.69,0
2019-12-12,5.69,5.69,5.69,5.69,0
2019-12-13,5.69,5.69,5.69,5.69,0
2019-12-16,5.69,5.69,5.69,5.69,0
2019-12-17,5.69,5.69,5.69,5.69,0
2019-12-18,5.69,5.69,5.69,5.69,0
2019-12-19,5.69,5.69,5.69,5.69,0
2019-12-20,5.69,5.69,5.69,5.69,0
2019-12-23,5.69,5.69,5.69,5.69,0
2019-12-24,5.69,5.69,5.69,5.69,0
2019-12-25,5.69,5.69,5.69,5.69,0
2019-12-26,5.69,5.69,5.69,5.69,0
2019-12-27,5.69,5.69,5.69,5.69,0
2019-12-30,5.69,5.69,5.69,5.69,0
2019-12-31,5.69,5.69,5.69,5.69,0
2020-01-02,5.69,5.69,5.69,5.69,0
2020-01-03,5.69,5.69,5.69,5.69,0
2020-01-06,5.69,5.69,5.69,5.69,0
2020-01-07,5.69,5.69,5.69,5.69,0
2020-01-08,5.69,5.69,5.69,5.69,0
2020-01-09,5.69,5.69,5.69,5.69,0
2020-01-10,5.69,5.69,5.69,5.69,0
2020-01-13,5.69,5.69,5.69,5.69,0
2020-01-14,5.69,5.69,5.69,5.69,0
2020-01-15,5.69,5.69,5.69,5.69,0
2020-01-16,5.69,5.69,5.69,5.69,0
2020-01-17,5.69,5.69,5.69,5.69,0
2020-01-20,5.69,5.69,5.69,5.69,0
2020-01-21,5.69,5.69,5.69,5.69,0
2020-01-22,5.69,5.69,5.69,5.69,0
2020-01-30,5.69,5.69,5.69,5.69,0
