date,open,high,low,close,volume
2019-09-26,8.08,8.47,8.08,8.31,37900
2019-09-27,8.24,8.31,8.08,8.31,61620
2019-09-30,8.31,8.47,8.16,8.39,42102
2019-10-01,8.39,8.62,8.39,8.54,30170
2019-10-02,8.39,8.62,8.31,8.62,46600
2019-10-03,8.47,8.47,8.31,8.47,41100
2019-10-04,8.47,8.62,8.31,8.47,38308
2019-10-07,8.31,8.47,8.31,8.47,20500
2019-10-08,8.31,8.39,8.31,8.39,20100
2019-10-09,8.31,8.47,8.31,8.47,19610
2019-10-10,8.31,8.47,8.31,8.47,35090
2019-10-11,8.31,8.54,8.31,8.54,38720
2019-10-14,8.94,9.1,8.39,8.62,28300
2019-10-15,8.62,8.62,8.39,8.54,33878
2019-10-16,8.54,8.54,8.31,8.54,38530
2019-10-17,8.39,8.54,8.31,8.54,48080
2019-10-18,8.39,8.46,8.39,8.46,44300
2019-10-21,8.31,8.46,8.31,8.46,43430
2019-10-22,8.39,8.62,8.31,8.46,71100
2019-10-23,8.39,8.62,8.39,8.62,137500
2019-10-24,8.54,8.62,8.39,8.62,82820
2019-10-25,8.46,8.62,8.39,8.62,69300
2019-10-28,8.46,8.62,8.46,8.46,28510
2019-10-29,8.62,8.62,8.46,8.62,10776
2019-10-30,8.62,8.62,8.62,8.62,7020
2019-10-31,8.62,8.62,8.54,8.62,18700
2019-11-01,8.46,8.54,8.46,8.54,29300
2019-11-04,8.54,8.62,8.46,8.62,20500
2019-11-05,8.46,8.54,8.31,8.54,105695
2019-11-06,8.39,8.46,8.39,8.46,39000
2019-11-07,8.39,8.46,7.67,8.23,211176
2019-11-08,8.39,8.62,8.15,8.23,28650
2019-11-11,8.23,8.31,8.23,8.23,26300
2019-11-12,8.15,8.39,8.15,8.15,30440
2019-11-13,8.23,8.23,8.07,8.07,6300
2019-11-14,8.15,8.23,8.15,8.23,14256
2019-11-15,8.23,8.31,8.23,8.23,9100
2019-11-18,8.23,8.23,8.23,8.23,11486
2019-11-19,8.15,8.23,8.15,8.15,18120
2019-11-20,8.15,8.23,8.15,8.23,7400
2019-11-21,8.15,8.15,7.91,8.15,71837
2019-11-22,7.99,8.15,7.99,8.15,12300
2019-11-25,8.15,8.15,8.07,8.07,12400
2019-11-26,8.07,8.15,8.07,8.15,9237
2019-11-27,8.15,8.15,7.91,8.15,37000
2019-11-28,8.15,8.15,7.91,7.99,61583
