date,open,high,low,close,volume
2019-09-26,12.77,12.77,12.77,12.77,0
2019-09-27,12.77,14.05,12.77,14.05,600
2019-09-30,14.05,14.05,14.05,14.05,0
2019-10-01,14.05,14.05,14.05,14.05,0
2019-10-02,14.05,14.05,14.05,14.05,0
2019-10-03,14.05,14.05,14.05,14.05,0
2019-10-04,12.82,12.82,12.82,12.82,300
2019-10-07,12.82,12.82,12.82,12.82,0
2019-10-08,12.82,12.82,12.82,12.82,0
2019-10-09,12.82,12.82,12.82,12.82,0
2019-10-10,12.82,12.82,12.82,12.82,0
2019-10-11,12.73,13.34,12.34,13.34,3400
2019-10-14,13.34,13.34,13.34,13.34,0
2019-10-15,13.34,13.34,13.34,13.34,0
2019-10-16,13.34,13.34,13.34,13.34,0
2019-10-17,13.34,13.34,13.34,13.34,20
2019-10-18,13.34,13.34,13.34,13.34,0
2019-10-21,13.34,13.34,13.34,13.34,100
2019-10-22,13.34,13.34,13.34,13.34,0
2019-10-23,12.73,13.56,12.73,13.56,400
2019-10-24,13.56,13.56,13.56,13.56,0
2019-10-25,13.56,13.56,13.56,13.56,0
2019-10-28,13.56,13.56,13.56,13.56,0
2019-10-29,13.56,13.56,13.56,13.56,0
2019-10-30,13.56,13.56,13.56,13.56,400
2019-10-31,13.56,13.56,13.56,13.56,0
2019-11-01,13.56,13.56,13.56,13.56,0
2019-11-04,13.56,13.56,13.56,13.56,0
2019-11-05,13.56,13.56,13.56,13.56,0
2019-11-06,13.56,13.56,13.56,13.56,0
2019-11-07,13.56,13.56,13.56,13.56,0
2019-11-08,13.56,13.56,13.56,13.56,0
2019-11-11,13.56,13.56,13.56,13.56,0
2019-11-12,13.56,13.56,13.56,13.56,0
2019-11-13,13.56,13.56,13.56,13.56,0
2019-11-14,13.56,13.56,13.56,13.56,0
2019-11-15,13.56,13.56,13.56,13.56,0
2019-11-18,13.56,13.56,13.56,13.56,0
2019-11-19,13.56,13.56,13.56,13.56,0
2019-11-20,13.56,13.56,13.56,13.56,0
2019-11-21,13.56,13.56,13.56,13.56,0
2019-11-22,13.56,13.56,13.56,13.56,0
2019-11-25,13.56,13.56,13.56,13.56,0
2019-11-26,13.56,13.56,13.56,13.56,0
2019-11-27,13.56,13.56,13.56,13.56,0
2019-11-28,14.88,14.88,14.88,14.88,200
2019-11-29,14.88,14.88,14.88,14.88,0
2019-12-02,14.88,14.88,14.88,14.88,0
2019-12-03,14.88,14.88,14.88,14.88,0
2019-12-04,14.88,14.88,14.88,14.88,0
2019-12-05,14.88,14.88,14.88,14.88,0
2019-12-06,14.88,14.88,14.88,14.88,0
2019-12-09,14.88,14.88,14.88,14.88,0
2019-12-10,14.88,14.88,14.88,14.88,0
2019-12-11,14.88,14.88,14.88,14.88,0
2019-12-12,14.88,14.88,14.88,14.88,0
2019-12-13,14.88,14.88,14.88,14.88,0
2019-12-16,13.61,13.61,13.61,13.61,100
2019-12-17,13.61,13.61,13.61,13.61,0
2019-12-18,13.61,13.61,13.61,13.61,0
2019-12-19,13.61,13.61,13.61,13.61,0
2019-12-20,13.61,13.61,13.61,13.61,0
2019-12-23,13.61,13.61,13.61,13.61,0
2019-12-24,13.61,13.61,13.61,13.61,0
2019-12-25,13.61,13.61,13.61,13.61,0
2019-12-26,13.61,13.61,13.61,13.61,100
2019-12-27,12.34,14.49,12.34,14.49,1800
2019-12-30,14.94,14.94,14.94,14.94,0
2019-12-31,14.94,14.94,14.94,14.94,200
2020-01-02,14.94,14.94,14.94,14.94,0
2020-01-03,14.94,14.94,14.94,14.94,0
2020-01-06,13.54,13.54,13.54,13.54,200
2020-01-07,13.54,13.54,13.54,13.54,0
