date,open,high,low,close,volume
2019-09-26,22.76,22.76,22.76,22.76,0
2019-09-27,24.29,24.29,24.29,24.29,100
2019-09-30,24.29,24.29,24.29,24.29,0
2019-10-01,24.29,24.29,24.29,24.29,0
2019-10-02,21.91,21.91,21.91,21.91,100
2019-10-03,19.71,19.71,19.71,19.71,100
2019-10-04,19.71,19.71,19.71,19.71,0
2019-10-07,19.71,19.71,19.71,19.71,0
2019-10-08,17.81,20.95,17.81,20.95,200
2019-10-09,21.91,21.91,21.91,21.91,100
2019-10-10,23.05,23.05,23.05,23.05,100
2019-10-11,23.05,23.05,23.05,23.05,0
2019-10-14,24.76,24.76,24.76,24.76,110
2019-10-15,24.76,24.76,24.76,24.76,0
2019-10-16,26.86,26.86,26.86,26.86,100
2019-10-17,28.29,28.29,28.29,28.29,100
2019-10-18,28.29,28.29,28.29,28.29,0
2019-10-21,28.29,28.29,28.29,28.29,0
2019-10-22,28.29,28.29,28.29,28.29,0
2019-10-23,28.29,28.29,28.29,28.29,0
2019-10-24,28.29,28.29,28.29,28.29,0
2019-10-25,28.67,28.67,28.67,28.67,100
2019-10-28,28.67,28.67,28.67,28.67,0
2019-10-29,28.67,28.67,28.67,28.67,0
2019-10-30,28.67,28.67,28.67,28.67,0
2019-10-31,28.67,28.67,28.67,28.67,0
2019-11-01,28.67,28.67,28.67,28.67,0
2019-11-04,28.67,28.67,28.67,28.67,0
2019-11-05,28.67,28.67,28.67,28.67,0
2019-11-06,28.67,28.67,28.67,28.67,0
2019-11-07,28.67,28.67,28.67,28.67,0
2019-11-08,28.67,28.67,28.67,28.67,0
2019-11-11,28.67,28.67,28.67,28.67,0
2019-11-12,28.67,28.67,28.67,28.67,0
2019-11-13,28.67,28.67,28.67,28.67,0
2019-11-14,28.67,28.67,28.67,28.67,0
2019-11-15,28.67,28.67,28.67,28.67,0
2019-11-18,28.67,28.67,28.67,28.67,0
2019-11-19,28.67,28.67,28.67,28.67,0
2019-11-20,28.67,28.67,28.67,28.67,0
2019-11-21,28.67,28.67,28.67,28.67,0
2019-11-22,28.67,28.67,28.67,28.67,0
2019-11-25,28.67,28.67,28.67,28.67,0
2019-11-26,28.67,28.67,28.67,28.67,0
2019-11-27,28.67,28.67,28.67,28.67,0
2019-11-28,28.67,28.67,28.67,28.67,0
2019-11-29,28.67,28.67,28.67,28.67,0
2019-12-02,28.67,28.67,28.67,28.67,0
2019-12-03,28.67,28.67,28.67,28.67,0
2019-12-04,28.67,28.67,28.67,28.67,0
2019-12-05,28.67,28.67,28.67,28.67,0
2019-12-06,28.67,28.67,28.67,28.67,0
2019-12-09,28.67,28.67,28.67,28.67,0
2019-12-10,28.67,28.67,28.67,28.67,0
2019-12-11,28.67,28.67,28.67,28.67,0
2019-12-12,28.67,28.67,28.67,28.67,0
2019-12-13,28.67,28.67,28.67,28.67,0
