date,open,high,low,close,volume
2019-09-04,3.53,3.53,3.53,3.53,0
2019-09-05,3.53,3.53,3.53,3.53,0
2019-09-06,3.53,3.53,3.53,3.53,0
2019-09-09,3.53,3.53,3.53,3.53,0
2019-09-10,3.53,3.53,3.53,3.53,0
2019-09-11,3.53,3.53,3.53,3.53,0
2019-09-12,3.53,3.53,3.53,3.53,0
2019-09-13,3.53,3.53,3.53,3.53,0
2019-09-16,3.53,3.53,3.53,3.53,0
2019-09-17,3.53,3.53,3.53,3.53,0
2019-09-18,3.53,3.53,3.53,3.53,0
2019-09-19,3.53,3.53,3.53,3.53,0
2019-09-20,3.53,3.53,3.53,3.53,0
2019-09-23,3.53,3.53,3.53,3.53,0
2019-09-24,3.53,3.53,3.53,3.53,0
2019-09-25,3.53,3.53,3.53,3.53,0
2019-09-26,3.53,3.53,3.53,3.53,0
2019-09-27,3.53,3.53,3.53,3.53,0
2019-09-30,3.53,3.53,3.53,3.53,0
2019-10-01,3.53,3.53,3.53,3.53,0
2019-10-02,3.53,3.53,3.53,3.53,0
2019-10-03,3.53,3.53,3.53,3.53,0
2019-10-04,3.53,3.53,3.53,3.53,0
2019-10-07,3.53,3.53,3.53,3.53,0
2019-10-08,3.53,3.53,3.53,3.53,0
2019-10-09,3.53,3.53,3.53,3.53,0
2019-10-10,3.53,3.53,3.53,3.53,0
2019-10-11,3.53,3.53,3.53,3.53,0
2019-10-14,3.53,3.53,3.53,3.53,0
2019-10-15,3.53,3.53,3.53,3.53,0
2019-10-16,3.53,3.53,3.53,3.53,0
2019-10-17,3.53,3.53,3.53,3.53,0
2019-10-18,3.53,3.53,3.53,3.53,0
2019-10-21,3.53,3.53,3.53,3.53,0
2019-10-22,3.53,3.53,3.53,3.53,0
2019-10-23,3.53,3.53,3.53,3.53,0
2019-10-24,3.53,3.53,3.53,3.53,0
2019-10-25,3.53,3.53,3.53,3.53,0
2019-10-28,3.53,3.53,3.53,3.53,0
2019-10-29,4.9,4.9,4.9,4.9,1000
2019-10-30,5.59,5.59,5.59,5.59,100
2019-10-31,5.59,5.59,5.59,5.59,0
2019-11-01,5.59,5.59,5.59,5.59,0
2019-11-04,4.8,4.8,4.8,4.8,300
2019-11-05,4.8,4.8,4.8,4.8,0
2019-11-06,4.8,4.8,4.8,4.8,0
2019-11-07,4.22,4.22,4.22,4.22,100
2019-11-08,4.22,4.22,4.22,4.22,0
2019-11-11,4.22,4.22,4.22,4.22,0
2019-11-12,3.63,4.8,3.63,4.8,600
2019-11-13,4.61,4.8,4.8,4.8,0
2019-11-14,4.61,4.8,4.8,4.8,0
2019-11-15,3.92,3.92,3.92,3.92,100
2019-11-18,3.92,3.92,3.92,3.92,0
2019-11-19,3.92,3.92,3.92,3.92,0
2019-11-20,3.33,3.33,3.33,3.33,100
2019-11-21,3.33,3.33,3.33,3.33,0
2019-11-22,3.82,3.82,3.82,3.82,100
2019-11-25,3.82,3.82,3.82,3.82,0
2019-11-26,3.33,3.33,3.33,3.33,100
2019-11-27,3.82,3.82,3.82,3.82,100
2019-11-28,3.92,3.92,3.92,3.92,100
2019-11-29,3.33,3.33,3.33,3.33,100
2019-12-02,3.82,3.82,3.82,3.33,100
2019-12-03,3.33,3.33,3.33,3.33,100
2019-12-04,3.33,3.33,3.33,3.33,0
2019-12-05,3.82,3.82,3.82,3.82,300
2019-12-06,3.33,3.33,3.33,3.33,100
2019-12-09,3.82,3.82,3.82,3.82,200
2019-12-10,3.92,3.92,3.92,3.92,100
2019-12-11,3.92,3.92,3.92,3.92,0
2019-12-12,3.63,3.92,3.63,3.92,5000
2019-12-13,3.73,3.92,3.92,3.92,0
2019-12-16,3.73,3.92,3.92,3.92,0
2019-12-17,3.73,3.92,3.92,3.92,0
2019-12-18,3.73,3.92,3.92,3.92,0
2019-12-19,3.73,3.92,3.92,3.92,0
2019-12-20,3.73,3.92,3.92,3.92,0
2019-12-23,3.73,3.92,3.92,3.92,0
2019-12-24,3.73,3.92,3.92,3.92,0
2019-12-25,3.73,3.92,3.92,3.92,0
2019-12-26,3.73,3.92,3.92,3.92,0
2019-12-27,3.92,3.92,3.92,3.92,600
2019-12-30,3.92,3.92,3.92,3.92,0
2019-12-31,3.92,3.92,3.92,3.92,0
2020-01-02,3.92,3.92,3.92,3.92,1100
2020-01-03,3.92,3.92,3.92,3.92,0
2020-01-06,3.92,3.92,3.92,3.92,0
2020-01-07,3.63,3.63,3.63,3.63,500
2020-01-08,3.63,3.63,3.63,3.63,0
2020-01-09,3.63,3.63,3.63,3.63,0
2020-01-10,3.63,3.63,3.63,3.63,0
2020-01-13,3.63,3.63,3.63,3.63,0
2020-01-14,3.63,3.63,3.63,3.63,0
2020-01-15,3.63,3.63,3.63,3.63,0
2020-01-16,3.43,3.43,3.43,3.43,900
2020-01-17,3.43,3.43,3.43,3.43,0
2020-01-20,3.43,3.43,3.43,3.43,0
2020-01-21,3.43,3.43,3.43,3.43,0
2020-01-22,3.43,3.43,3.43,3.43,0
2020-01-30,3.43,3.43,3.43,3.43,0
2020-01-31,3.43,3.43,3.43,3.43,0
2020-02-03,3.43,3.43,3.43,3.43,0
2020-02-04,3.43,3.43,3.43,3.43,0
2020-02-05,3.43,3.43,3.43,3.43,0
2020-02-06,3.43,3.43,3.43,3.43,0
2020-02-07,3.43,3.43,3.43,3.43,0
2020-02-10,3.43,3.43,3.43,3.43,0
2020-02-11,3.43,3.43,3.43,3.43,0
2020-02-12,3.43,3.43,3.43,3.43,0
2020-02-13,3.43,3.43,3.43,3.43,0
2020-02-14,3.43,3.43,3.43,3.43,0
2020-02-17,3.43,3.43,3.43,3.43,200
2020-02-18,3.43,3.43,3.43,3.43,0
2020-02-19,3.43,3.43,3.43,3.43,0
2020-02-20,3.43,3.43,3.43,3.43,0
2020-02-21,3.43,3.43,3.43,3.43,0
2020-02-24,3.43,3.43,3.43,3.43,0
2020-02-25,3.43,3.43,3.43,3.43,0
2020-02-26,3.43,3.43,3.43,3.43,0
2020-02-27,3.43,3.43,3.43,3.43,0
2020-02-28,3.43,3.43,3.43,3.43,0
2020-03-02,3.43,3.43,3.43,3.43,0
2020-03-03,3.43,3.43,3.43,3.43,0
2020-03-04,3.92,3.92,3.92,3.92,100
2020-03-05,3.92,3.92,3.92,3.92,0
2020-03-06,3.92,3.92,3.92,3.92,0
2020-03-09,3.92,3.92,3.92,3.92,0
2020-03-10,3.92,3.92,3.92,3.92,0
2020-03-11,3.92,3.92,3.92,3.92,0
2020-03-12,3.92,3.92,3.92,3.92,0
2020-03-13,3.92,3.92,3.92,3.92,0
2020-03-16,3.92,3.92,3.92,3.92,0
2020-03-17,4.51,4.51,4.51,4.51,100
2020-03-18,4.51,4.51,4.51,4.51,0
2020-03-19,4.51,4.51,4.51,4.51,0
2020-03-20,4.51,4.51,4.51,4.51,0
2020-03-23,4.51,4.51,4.51,4.51,0
2020-03-24,4.51,4.51,4.51,4.51,0
2020-03-25,4.51,4.51,4.51,4.51,0
2020-03-26,4.51,4.51,4.51,4.51,0
2020-03-27,4.51,4.51,4.51,4.51,0
2020-03-30,4.51,4.51,4.51,4.51,0
2020-03-31,4.51,4.51,4.51,4.51,0
2020-04-01,4.51,4.51,4.51,4.51,0
2020-04-03,4.51,4.51,4.51,4.51,0
2020-04-06,4.51,4.51,4.51,4.51,0
2020-04-07,4.51,4.51,4.51,4.51,0
2020-04-08,4.51,4.51,4.51,4.51,0
2020-04-09,4.51,4.51,4.51,4.51,0
2020-04-10,4.51,4.51,4.51,4.51,0
2020-04-13,4.51,4.51,4.51,4.51,0
2020-04-14,4.51,4.51,4.51,4.51,0
2020-04-15,4.51,4.51,4.51,4.51,0
2020-04-16,4.51,4.51,4.51,4.51,0
2020-04-17,4.51,4.51,4.51,4.51,0
2020-04-20,4.51,4.51,4.51,4.51,0
2020-04-21,4.51,4.51,4.51,4.51,0
2020-04-22,4.51,4.51,4.51,4.51,0
2020-04-23,4.51,4.51,4.51,4.51,0
2020-04-24,4.51,4.51,4.51,4.51,0
2020-04-27,4.51,4.51,4.51,4.51,0
2020-04-28,4.51,4.51,4.51,4.51,0
2020-04-29,4.51,4.51,4.51,4.51,0
2020-05-04,4.51,4.51,4.51,4.51,0
2020-05-05,4.51,4.51,4.51,4.51,0
2020-05-06,4.51,4.51,4.51,4.51,0
2020-05-07,4.51,4.51,4.51,4.51,0
2020-05-08,4.51,4.51,4.51,4.51,0
2020-05-11,4.51,4.51,4.51,4.51,0
2020-05-12,4.51,4.51,4.51,4.51,0
2020-05-13,4.51,4.51,4.51,4.51,0
2020-05-14,4.51,4.51,4.51,4.51,0
2020-05-15,4.51,4.51,4.51,4.51,0
2020-05-18,4.51,4.51,4.51,4.51,0
2020-05-19,4.51,4.51,4.51,4.51,0
2020-05-20,4.51,4.51,4.51,4.51,0
2020-05-21,4.51,4.51,4.51,4.51,0
2020-05-22,4.51,4.51,4.51,4.51,0
