date,open,high,low,close,volume
2019-08-16,8.54,8.54,8.54,8.54,0
2019-08-19,8.54,8.54,8.54,8.54,0
2019-08-20,8.54,8.54,8.54,8.54,0
2019-08-21,8.54,8.54,8.54,8.54,0
2019-08-22,8.54,8.54,8.54,8.54,0
2019-08-23,8.54,8.54,8.54,8.54,1100
2019-08-26,8.54,8.54,8.54,8.54,0
2019-08-27,8.54,8.54,8.54,8.54,0
2019-08-28,8.54,8.54,8.54,8.54,0
2019-08-29,8.54,8.54,8.54,8.54,0
2019-08-30,8.68,8.68,8.68,8.68,1000
2019-09-03,8.68,8.68,8.68,8.68,0
2019-09-04,8.9,8.9,8.9,8.9,500
2019-09-05,8.97,8.97,8.97,8.97,1000
2019-09-06,8.97,8.97,8.97,8.97,0
2019-09-09,8.97,8.97,8.97,8.97,0
2019-09-10,8.97,8.97,8.97,8.97,0
2019-09-11,8.97,8.97,8.97,8.97,1500
2019-09-12,8.97,8.97,8.97,8.97,0
2019-09-13,8.97,8.97,8.97,8.97,0
2019-09-16,8.9,8.97,8.9,8.97,2600
2019-09-17,8.97,8.97,8.97,8.97,0
2019-09-18,8.97,8.97,8.97,8.97,0
2019-09-19,8.68,8.68,8.68,8.68,500
2019-09-20,8.97,8.97,8.97,8.97,2000
2019-09-23,8.61,8.61,8.61,8.61,1400
2019-09-24,8.61,8.61,8.61,8.61,0
2019-09-25,8.61,8.61,8.61,8.61,0
2019-09-26,8.61,8.61,8.61,8.61,0
2019-09-27,9.11,9.11,9.11,9.11,1000
2019-09-30,9.11,9.11,9.11,9.11,0
2019-10-01,9.11,9.11,9.11,9.11,0
2019-10-02,9.11,9.11,9.11,9.11,0
2019-10-03,9.11,9.11,9.11,9.11,0
2019-10-04,9.11,9.11,9.11,9.11,0
2019-10-07,9.11,9.11,9.11,9.11,0
2019-10-08,9.11,9.11,9.11,9.11,0
2019-10-09,9.11,9.11,9.11,9.11,0
2019-10-10,9.11,9.11,9.11,9.11,0
2019-10-11,9.11,9.11,9.11,9.11,0
2019-10-14,9.11,9.11,9.11,9.11,1000
2019-10-15,8.9,8.9,8.9,8.9,600
2019-10-16,8.9,8.9,8.9,8.9,0
2019-10-17,8.9,8.9,8.9,8.9,1000
2019-10-18,8.9,8.9,8.9,8.9,0
2019-10-21,8.9,8.9,8.9,8.9,0
2019-10-22,8.9,8.9,8.9,8.9,0
2019-10-23,8.9,8.9,8.9,8.9,0
2019-10-24,8.9,8.9,8.9,8.9,0
2019-10-25,8.9,8.9,8.9,8.9,0
2019-10-28,8.9,8.9,8.9,8.9,0
2019-10-29,8.19,8.19,8.19,8.19,600
2019-10-30,8.19,8.19,8.19,8.19,0
2019-10-31,8.19,8.19,8.19,8.19,0
2019-11-01,8.19,8.19,8.19,8.19,0
2019-11-04,8.19,8.19,8.19,8.19,0
2019-11-05,8.19,8.19,8.19,8.19,0
2019-11-06,8.19,8.19,8.19,8.19,0
2019-11-07,8.19,8.19,8.19,8.19,0
2019-11-08,8.19,8.19,8.19,8.19,0
2019-11-11,8.19,8.19,8.19,8.19,0
2019-11-12,8.19,8.19,8.19,8.19,0
2019-11-13,8.19,8.19,8.19,8.19,0
2019-11-14,8.19,8.19,8.19,8.19,0
2019-11-15,8.19,8.19,8.19,8.19,0
2019-11-18,8.19,8.19,8.19,8.19,0
2019-11-19,8.19,8.19,8.19,8.19,0
2019-11-20,8.19,8.19,8.19,8.19,0
2019-11-21,8.19,8.19,8.19,8.19,0
2019-11-22,8.19,8.19,8.19,8.19,0
2019-11-25,8.19,8.19,8.19,8.19,0
2019-11-26,8.19,8.19,8.19,8.19,0
2019-11-27,8.19,8.19,8.19,8.19,0
2019-11-28,8.19,8.19,8.19,8.19,0
2019-11-29,8.19,8.19,8.19,8.19,0
2019-12-02,8.19,8.19,8.19,8.19,0
2019-12-03,8.19,8.19,8.19,8.19,0
2019-12-04,8.19,8.19,8.19,8.19,0
2019-12-05,8.19,8.19,8.19,8.19,0
2019-12-06,8.19,8.19,8.19,8.19,0
2019-12-09,8.19,8.19,8.19,8.19,0
2019-12-10,8.19,8.19,8.19,8.19,0
2019-12-11,8.19,8.19,8.19,8.19,0
2019-12-12,8.19,8.19,8.19,8.19,0
2019-12-13,8.19,8.19,8.19,8.19,0
2019-12-16,8.19,8.19,8.19,8.19,0
2019-12-17,8.19,8.19,8.19,8.19,0
2019-12-18,8.19,8.19,8.19,8.19,0
2019-12-19,8.19,8.19,8.19,8.19,0
2019-12-20,8.19,8.19,8.19,8.19,0
2019-12-23,8.19,8.19,8.19,8.19,0
2019-12-24,8.19,8.19,8.19,8.19,0
2019-12-25,8.19,8.19,8.19,8.19,0
2019-12-26,8.19,8.19,8.19,8.19,0
2019-12-27,8.19,8.19,8.19,8.19,0
2019-12-30,8.19,8.19,8.19,8.19,0
2019-12-31,8.19,8.19,8.19,8.19,0
2020-01-02,8.19,8.19,8.19,8.19,0
2020-01-03,8.19,8.19,8.19,8.19,0
2020-01-06,8.19,8.19,8.19,8.19,0
2020-01-07,8.19,8.19,8.19,8.19,0
2020-01-08,8.19,8.19,8.19,8.19,0
2020-01-09,8.19,8.19,8.19,8.19,0
2020-01-10,8.19,8.19,8.19,8.19,0
2020-01-13,8.19,8.19,8.19,8.19,0
2020-01-14,8.19,8.19,8.19,8.19,0
2020-01-15,8.19,8.19,8.19,8.19,0
2020-01-16,8.9,8.9,8.9,8.9,900
2020-01-17,8.9,8.9,8.9,8.9,0
2020-01-20,8.9,8.9,8.9,8.9,0
2020-01-21,8.9,8.9,8.9,8.9,0
