date,open,high,low,close,volume
2019-06-28,73.15,73.15,73.15,71.81,10
2019-07-01,73.15,71.81,71.81,71.81,0
2019-07-02,73.15,71.81,71.81,71.81,0
2019-07-03,73.15,71.81,71.81,71.81,0
2019-07-04,73.15,73.15,73.15,73.15,0
2019-07-05,73.15,71.81,71.81,71.81,0
2019-07-08,73.15,71.81,71.81,71.81,0
2019-07-09,75.16,75.16,75.16,75.16,100
2019-07-10,75.16,75.16,75.16,75.16,0
2019-07-11,75.16,75.16,75.16,75.16,0
2019-07-12,75.16,75.16,75.16,75.16,0
2019-07-15,75.16,75.16,75.16,75.16,10
2019-07-16,75.16,75.16,75.16,75.16,0
2019-07-17,75.16,75.16,75.16,75.16,0
2019-07-18,78.5,78.5,78.5,78.5,100
2019-07-19,69.73,69.73,69.73,69.73,100
2019-07-22,69.73,69.73,69.73,69.73,0
2019-07-23,69.73,69.73,69.73,69.73,0
2019-07-24,69.73,69.73,69.73,69.73,0
2019-07-25,69.73,69.73,69.73,69.73,0
2019-07-26,69.73,69.73,69.73,69.73,0
2019-07-29,69.73,69.73,69.73,69.73,0
2019-07-30,69.73,69.73,69.73,69.73,0
2019-07-31,79.75,79.75,79.75,79.75,100
2019-08-01,81.84,81.84,81.84,81.84,100
2019-08-02,81.84,81.84,81.84,81.84,100
2019-08-05,94.11,94.11,94.11,94.11,100
2019-08-06,94.11,94.11,94.11,94.11,0
2019-08-07,94.11,94.11,94.11,94.11,0
2019-08-08,94.11,94.11,94.11,94.11,0
2019-08-09,94.11,94.11,94.11,94.11,0
2019-08-12,94.11,94.11,94.11,94.11,0
2019-08-13,80.0,80.0,80.0,80.0,100
2019-08-14,80.0,80.0,80.0,80.0,0
2019-08-15,73.49,73.49,73.49,73.49,200
2019-08-16,73.49,73.49,73.49,73.49,100
2019-08-19,73.49,73.49,73.49,73.49,0
2019-08-20,73.49,73.49,73.49,73.49,0
2019-08-21,73.49,73.49,73.49,73.49,0
2019-08-22,79.33,84.34,79.33,84.34,1300
2019-08-23,80.5,84.34,84.34,84.34,0
2019-08-26,80.5,84.34,84.34,84.34,0
2019-08-27,80.5,84.34,84.34,84.34,0
2019-08-28,80.5,84.34,84.34,84.34,0
2019-08-29,80.17,80.17,79.33,79.33,400
2019-08-30,79.33,80.0,79.33,79.33,900
2019-09-03,79.33,79.33,79.33,79.33,2000
2019-09-04,79.33,79.33,79.33,79.33,3700
2019-09-05,83.42,83.42,83.42,83.42,100
2019-09-06,86.85,86.85,86.85,86.85,100
2019-09-09,99.87,99.87,79.33,79.33,1000
2019-09-10,75.16,79.33,71.81,75.16,1100
2019-09-11,85.93,85.93,85.93,85.93,100
2019-09-12,85.93,85.93,85.93,85.93,0
2019-09-13,85.93,85.93,85.93,85.93,0
2019-09-16,87.26,87.26,87.26,87.26,100
2019-09-17,74.32,74.32,74.32,74.32,1300
2019-09-18,74.32,74.32,74.32,74.32,0
