date,open,high,low,close,volume
2019-08-05,6.45,6.45,6.45,6.45,800
2019-08-06,6.45,6.51,6.45,6.51,5900
2019-08-07,6.51,6.51,6.51,6.51,10972
2019-08-08,6.51,6.71,6.51,6.71,2600
2019-08-09,6.51,6.51,6.19,6.19,101000
2019-08-12,6.32,6.32,5.99,6.12,186900
2019-08-13,6.12,6.12,5.92,5.92,114100
2019-08-14,6.25,6.25,6.25,6.25,1500
2019-08-15,6.58,6.58,6.58,6.58,100
2019-08-16,5.99,6.25,5.99,6.05,5000
2019-08-19,6.25,6.25,6.25,6.25,300
2019-08-20,6.25,6.25,6.25,6.25,100
2019-08-21,6.38,6.38,6.38,6.38,108
2019-08-22,6.32,6.51,6.32,6.51,1500
2019-08-23,6.45,6.45,6.45,6.45,1500
2019-08-26,6.51,6.51,6.25,6.25,600
2019-08-27,6.38,6.38,6.38,6.38,1000
2019-08-28,6.38,6.38,6.38,6.38,68
2019-08-29,6.38,6.38,6.38,6.38,0
2019-08-30,6.38,6.51,6.38,6.51,3400
2019-09-03,6.51,6.51,6.51,6.51,3000
2019-09-04,6.51,6.51,6.51,6.51,5000
2019-09-05,6.51,6.51,6.51,6.51,400
2019-09-06,6.51,6.51,6.51,6.51,0
2019-09-09,6.51,6.51,6.51,6.51,0
2019-09-10,6.19,6.19,6.19,6.19,100
2019-09-11,6.19,6.19,6.19,6.19,0
2019-09-12,6.19,6.19,6.19,6.19,0
2019-09-13,6.19,6.19,6.19,6.19,31
2019-09-16,6.19,6.19,6.19,6.19,0
2019-09-17,6.19,6.19,6.19,6.19,132
2019-09-18,6.19,6.19,6.19,6.19,0
2019-09-19,6.19,6.19,6.19,6.19,0
2019-09-20,6.25,6.25,6.25,6.25,200
2019-09-23,6.25,6.25,6.25,6.25,0
2019-09-24,6.25,6.25,6.25,6.25,0
2019-09-25,6.25,6.25,6.25,6.25,0
2019-09-26,6.51,6.51,6.51,6.51,2000
2019-09-27,6.25,6.51,6.25,6.51,1100
2019-09-30,6.51,6.51,6.51,6.51,5500
2019-10-01,6.51,6.51,6.51,6.51,10
2019-10-02,6.38,6.38,6.38,6.38,2000
2019-10-03,6.38,6.38,6.38,6.38,60
2019-10-04,6.38,6.38,6.38,6.38,200
2019-10-07,6.38,6.38,6.25,6.25,2200
2019-10-08,6.38,6.38,6.38,6.38,200
2019-10-09,6.38,6.38,6.38,6.38,40
2019-10-10,6.38,6.38,6.38,6.38,200
2019-10-11,6.38,6.38,6.38,6.38,1200
2019-10-14,6.38,6.38,6.38,6.38,100
2019-10-15,6.38,6.38,6.38,6.38,0
2019-10-16,6.38,6.58,6.38,6.51,2800
2019-10-17,6.51,6.51,6.51,6.51,921
2019-10-18,6.51,6.51,6.51,6.51,0
2019-10-21,6.51,6.51,6.51,6.51,0
2019-10-22,6.32,6.32,6.32,6.32,2000
2019-10-23,6.32,6.32,6.32,6.32,0
2019-10-24,6.32,6.32,6.32,6.32,0
2019-10-25,6.32,6.32,6.32,6.32,0
2019-10-28,6.19,6.32,6.19,6.32,800
2019-10-29,6.32,6.38,6.32,6.32,6800
2019-10-30,6.38,6.38,6.38,6.38,700
2019-10-31,6.32,6.38,6.32,6.38,7000
2019-11-01,6.45,6.45,6.45,6.45,1000
2019-11-04,6.45,6.45,6.45,6.45,200
2019-11-05,6.45,6.45,6.45,6.45,0
2019-11-06,6.38,6.45,6.38,6.45,2800
2019-11-07,6.64,6.64,6.51,6.51,3200
2019-11-08,6.51,6.51,6.38,6.45,12302
2019-11-11,6.84,6.84,6.45,6.71,14500
2019-11-12,6.71,6.71,6.71,6.71,2500
2019-11-13,6.71,6.71,6.64,6.64,8200
2019-11-14,6.64,6.64,6.64,6.64,1410
2019-11-15,6.64,6.64,6.64,6.64,10
2019-11-18,6.58,6.58,6.51,6.51,3025
2019-11-19,6.51,6.51,6.51,6.51,20
2019-11-20,6.51,6.51,6.51,6.51,10
2019-11-21,6.64,6.71,6.64,6.71,1170
2019-11-22,6.51,6.51,6.51,6.51,2700
2019-11-25,6.51,6.51,6.51,6.51,0
2019-11-26,6.58,6.64,6.58,6.64,6000
2019-11-27,6.64,6.64,6.64,6.64,50
2019-11-28,6.64,6.64,6.64,6.64,2000
2019-11-29,6.71,6.71,6.71,6.71,1000
2019-12-02,6.71,6.71,6.71,6.71,50
2019-12-03,6.51,6.51,6.51,6.51,100
2019-12-04,6.51,6.51,6.51,6.51,10000
2019-12-05,6.58,6.64,6.58,6.64,4870
2019-12-06,6.64,6.64,6.64,6.64,0
2019-12-09,7.36,7.36,7.36,7.36,0
2019-12-10,7.15,7.15,6.64,6.64,600
2019-12-11,6.64,6.64,6.64,6.64,0
2019-12-12,6.57,6.57,6.57,6.57,200
2019-12-13,6.42,6.42,6.42,6.42,4000
2019-12-16,6.42,6.42,6.42,6.42,0
2019-12-17,6.5,6.86,6.5,6.86,800
2019-12-18,7.22,7.22,7.22,7.22,100
