date,open,high,low,close,volume
2019-09-25,10.61,10.61,10.23,10.36,8120
2019-09-26,10.36,10.5,10.36,10.39,3040
2019-09-27,10.42,10.45,10.23,10.39,5320
2019-09-30,10.28,10.34,10.23,10.34,5390
2019-10-01,10.28,10.34,10.2,10.34,51600
2019-10-02,10.36,10.59,10.34,10.34,1150
2019-10-03,10.34,10.34,9.78,10.34,1870
2019-10-04,10.34,10.39,10.17,10.39,10560
2019-10-07,10.12,10.56,10.12,10.42,3320
2019-10-08,10.23,10.45,10.23,10.45,1090
2019-10-09,10.45,10.56,10.28,10.5,4810
2019-10-10,10.45,10.5,10.34,10.5,4370
2019-10-11,10.23,10.5,10.23,10.34,2000
2019-10-14,10.48,10.5,10.23,10.28,12100
2019-10-15,10.28,10.5,10.23,10.34,6100
2019-10-16,10.5,10.5,10.2,10.36,13490
2019-10-17,10.25,10.48,10.17,10.48,1560
2019-10-18,10.01,10.45,10.01,10.28,5460
2019-10-21,10.34,10.34,10.01,10.28,7200
2019-10-22,10.23,10.23,9.95,10.12,18870
2019-10-23,10.2,10.23,10.12,10.23,14770
2019-10-24,10.23,10.36,10.12,10.28,3030
2019-10-25,10.34,10.45,9.95,10.23,7530
2019-10-28,10.17,10.17,10.06,10.17,9000
2019-10-29,10.12,10.12,9.95,9.98,33360
2019-10-30,9.95,10.06,9.84,9.89,44300
2019-10-31,9.73,9.73,9.2,9.4,23690
2019-11-01,9.4,9.67,9.4,9.67,8580
2019-11-04,9.51,9.54,9.45,9.51,15260
2019-11-05,9.4,9.56,9.29,9.56,16480
2019-11-06,9.4,9.89,9.4,9.84,2610
2019-11-07,9.56,9.67,9.45,9.67,12960
2019-11-08,9.51,9.59,9.48,9.56,4290
2019-11-11,9.56,9.76,9.56,9.76,1100
2019-11-12,9.54,9.56,9.51,9.51,16030
2019-11-13,9.51,9.51,9.51,9.51,24830
2019-11-14,9.51,9.51,9.48,9.51,11240
2019-11-15,9.12,9.51,9.12,9.51,8330
2019-11-18,9.51,9.51,9.51,9.51,110
2019-11-19,9.34,9.59,9.34,9.59,1110
2019-11-20,9.4,9.56,9.4,9.56,250
2019-11-21,9.45,9.45,9.29,9.45,4770
2019-11-22,9.29,9.45,9.29,9.34,2300
2019-11-25,9.4,9.4,9.18,9.34,3480
2019-11-26,9.31,9.4,9.31,9.4,3460
2019-11-27,9.34,9.4,9.34,9.4,2440
2019-11-28,9.34,9.4,9.34,9.34,12110
2019-11-29,9.34,9.34,9.34,9.34,0
2019-12-02,9.12,9.37,9.12,9.37,350
2019-12-03,9.4,9.4,9.37,9.4,3020
2019-12-04,8.84,9.4,8.84,9.4,1310
2019-12-05,9.4,9.67,9.4,9.62,2000
2019-12-06,9.12,9.73,9.12,9.73,3200
2019-12-09,9.73,9.73,9.73,9.73,0
2019-12-10,9.4,9.4,9.29,9.29,6540
2019-12-11,9.45,9.56,9.45,9.51,3010
2019-12-12,9.4,9.4,9.4,9.4,1000
2019-12-13,9.34,9.34,9.34,9.34,280
2019-12-16,9.29,9.29,9.01,9.12,5190
2019-12-17,9.01,9.15,9.01,9.12,8570
2019-12-18,9.4,9.4,9.4,9.4,200
2019-12-19,9.29,9.29,9.29,9.29,970
2019-12-20,9.37,9.37,9.23,9.37,510
2019-12-23,8.84,9.37,8.84,9.37,2740
2019-12-24,9.18,9.23,9.12,9.23,8940
2019-12-25,9.18,9.18,9.12,9.12,1030
2019-12-26,9.37,9.37,8.96,8.96,1240
2019-12-27,9.12,9.12,9.01,9.01,2480
2019-12-30,9.37,9.37,9.12,9.29,410
2019-12-31,9.29,9.29,9.29,9.29,0
2020-01-02,9.67,9.67,8.96,8.96,500
2020-01-03,8.84,9.37,8.84,9.01,1040
2020-01-06,8.9,9.2,8.9,9.2,300
2020-01-07,8.84,9.18,8.84,9.18,1410
2020-01-08,9.18,9.18,9.18,9.18,0
2020-01-09,9.18,9.18,9.18,9.18,0
2020-01-10,8.84,9.07,8.65,9.07,5060
2020-01-13,9.07,9.07,9.07,9.07,0
2020-01-14,8.73,8.96,8.73,8.96,2910
2020-01-15,8.73,8.73,8.73,8.73,1410
2020-01-16,8.73,8.73,8.29,8.4,1210
2020-01-17,8.98,8.98,8.43,8.43,1580
2020-01-20,8.84,8.84,8.84,8.84,5040
2020-01-21,8.57,8.79,8.57,8.79,470
2020-01-22,8.82,8.84,8.82,8.82,2180
2020-01-30,8.96,8.96,8.96,8.96,1000
2020-01-31,8.96,8.96,8.68,8.68,970
2020-02-03,8.35,8.71,8.13,8.71,2630
2020-02-04,8.82,8.82,8.37,8.68,1410
2020-02-05,8.68,8.68,8.4,8.57,5470
2020-02-06,8.51,8.57,8.51,8.57,1150
2020-02-07,8.29,8.71,8.29,8.32,6330
2020-02-10,8.57,8.57,8.02,8.07,14680
2020-02-11,8.18,8.29,8.07,8.29,5870
2020-02-12,8.29,8.29,8.02,8.18,5190
2020-02-13,8.18,8.29,8.18,8.24,4250
2020-02-14,8.29,8.29,8.29,8.29,1520
2020-02-17,8.13,8.26,8.13,8.24,3380
2020-02-18,8.4,8.46,8.18,8.4,7450
2020-02-19,8.4,8.4,8.24,8.37,14820
2020-02-20,8.4,8.43,8.4,8.43,1000
2020-02-21,8.49,8.49,8.46,8.49,2100
2020-02-24,8.49,8.49,8.24,8.24,17320
2020-02-25,8.35,8.35,8.24,8.24,310
2020-02-26,8.26,8.29,8.24,8.29,11770
2020-02-27,8.29,8.29,8.29,8.29,0
2020-02-28,8.29,8.29,8.18,8.29,5280
2020-03-02,8.24,8.24,8.07,8.24,12740
2020-03-03,8.18,8.24,8.18,8.24,3840
2020-03-04,8.04,8.24,8.04,8.24,10990
2020-03-05,8.29,8.29,8.29,8.29,60
2020-03-06,7.74,8.02,7.74,8.02,4910
2020-03-09,8.02,8.02,7.68,7.74,5080
2020-03-10,7.74,7.79,7.74,7.79,600
2020-03-11,7.79,7.79,7.52,7.74,1450
2020-03-12,7.46,7.74,7.46,7.74,10780
2020-03-13,7.52,7.52,7.46,7.52,18230
2020-03-16,7.32,7.74,7.32,7.46,5070
2020-03-17,7.52,7.79,7.46,7.79,83230
2020-03-18,7.79,7.79,7.79,7.79,3230
2020-03-19,7.79,7.82,7.74,7.74,38780
2020-03-20,7.74,7.74,7.74,7.74,1790
2020-03-23,7.74,7.74,7.68,7.68,230
2020-03-24,7.52,7.68,7.3,7.63,3110
2020-03-25,7.63,7.63,7.52,7.63,24100
2020-03-26,7.79,7.79,7.79,7.79,10
2020-03-27,7.74,7.77,7.74,7.74,39810
2020-03-30,7.41,7.41,7.41,7.41,2290
2020-03-31,7.74,7.74,7.74,7.74,10
2020-04-01,7.74,7.74,7.41,7.74,6260
2020-04-03,7.74,7.74,7.74,7.74,550
2020-04-06,7.74,7.74,7.68,7.74,26600
2020-04-07,7.74,7.74,7.74,7.74,580
2020-04-08,7.71,7.71,7.71,7.71,20610
2020-04-09,7.68,7.68,7.57,7.57,12660
2020-04-10,7.63,7.63,7.57,7.57,7180
2020-04-13,7.71,7.71,7.63,7.66,54700
2020-04-14,7.68,7.68,7.46,7.46,1740
2020-04-15,7.46,7.68,7.43,7.57,56580
2020-04-16,7.52,7.9,7.52,7.9,21930
2020-04-17,7.74,8.18,7.74,8.02,6590
2020-04-20,8.07,8.29,7.96,8.29,4480
2020-04-21,8.29,8.29,7.96,8.18,37080
2020-04-22,7.96,8.02,7.96,8.02,15530
2020-04-23,8.07,8.07,8.07,8.07,2450
2020-04-24,8.02,8.24,8.02,8.07,6010
2020-04-27,8.02,8.51,8.02,8.51,70710
2020-04-28,8.18,8.18,8.1,8.1,66600
2020-04-29,8.18,8.18,8.18,8.18,66640
2020-05-04,8.18,8.18,8.13,8.13,13050
2020-05-05,8.13,8.24,8.13,8.24,2160
2020-05-06,8.24,8.4,8.24,8.4,3270
2020-05-07,8.51,8.51,8.4,8.4,1110
2020-05-08,8.29,8.65,8.29,8.65,1000
2020-05-11,8.4,8.71,8.4,8.71,52570
2020-05-12,8.84,9.26,8.84,9.23,27710
2020-05-13,9.29,9.34,9.29,9.29,57340
2020-05-14,9.29,9.31,9.12,9.12,3660
2020-05-15,9.34,9.4,9.12,9.12,5940
2020-05-18,9.18,9.18,9.07,9.12,16480
2020-05-19,9.12,9.12,9.12,9.12,1700
2020-05-20,9.12,9.12,9.01,9.01,140
2020-05-21,8.84,9.37,8.84,9.01,660
2020-05-22,9.04,9.04,8.96,9.01,4380
2020-05-25,9.07,9.29,9.01,9.29,17580
2020-05-26,9.29,9.62,9.29,9.62,63990
2020-05-27,10.12,10.12,9.4,9.4,15730
2020-05-28,9.4,9.4,9.4,9.4,1810
2020-05-29,9.4,9.4,9.34,9.4,10790
2020-06-01,9.45,9.45,9.34,9.34,39760
2020-06-02,9.4,9.4,9.29,9.29,18040
2020-06-03,9.29,9.29,9.29,9.29,1500
2020-06-04,9.29,9.34,9.23,9.29,2830
2020-06-05,9.23,9.34,9.18,9.18,1100
2020-06-08,9.18,9.23,9.18,9.23,4210
2020-06-09,9.87,9.87,9.23,9.34,11080
2020-06-10,9.34,9.34,9.34,9.34,41040
2020-06-11,9.34,9.4,9.29,9.29,24400
2020-06-12,9.23,9.34,9.18,9.34,21530
2020-06-15,9.34,9.37,9.31,9.37,12360
2020-06-16,9.37,9.4,9.34,9.4,12250
2020-06-17,9.51,9.51,9.34,9.51,13300
2020-06-18,9.51,9.51,9.31,9.4,5260
2020-06-19,9.65,9.65,9.42,9.54,30190
2020-06-22,9.67,9.67,9.54,9.67,41540
2020-06-23,9.67,9.73,9.59,9.59,23410
2020-06-24,9.62,9.73,9.56,9.62,47230
2020-06-25,9.65,9.65,9.45,9.45,26560
2020-06-26,9.59,9.65,9.56,9.65,13430
2020-06-29,9.73,9.73,9.59,9.73,62270
2020-06-30,9.78,9.78,9.62,9.67,26510
2020-07-01,10.1,10.1,9.07,9.67,32730
2020-07-02,10.1,10.1,9.43,9.43,11420
2020-07-03,9.43,9.73,9.07,9.67,1170
2020-07-06,9.67,9.67,9.37,9.61,15800
