date,open,high,low,close,volume
2019-09-16,52.56,52.56,52.56,52.56,120
2019-09-17,45.55,45.55,45.55,45.55,100
2019-09-18,52.31,52.31,52.31,52.31,100
2019-09-19,47.22,47.55,47.22,47.55,200
2019-09-20,54.48,54.48,54.48,54.48,9600
2019-09-23,54.48,54.48,54.48,54.48,0
2019-09-24,54.48,54.48,54.48,54.48,0
2019-09-25,62.57,62.57,62.57,62.57,100
2019-09-26,71.91,71.91,71.91,71.91,100
2019-09-27,82.67,82.67,69.24,69.24,401
2019-09-30,83.26,83.26,83.26,83.26,101
2019-10-01,83.26,83.26,83.26,83.26,0
2019-10-02,70.83,75.08,70.83,75.08,2100
2019-10-03,74.92,75.08,75.08,75.08,0
2019-10-04,74.92,75.08,75.08,75.08,0
2019-10-07,82.51,82.51,82.51,82.51,100
2019-10-08,82.51,82.51,82.51,82.51,0
2019-10-09,83.01,94.85,83.01,94.85,400
2019-10-10,99.28,100.11,98.44,100.11,400
2019-10-11,98.86,98.86,98.44,98.44,500
2019-10-14,108.45,108.45,108.45,108.45,200
2019-10-15,108.45,108.45,108.45,108.45,0
2019-10-16,109.29,112.62,109.29,112.62,500
2019-10-17,110.46,112.62,112.62,112.62,0
2019-10-18,110.46,112.62,112.62,112.62,0
2019-10-21,110.46,113.49,113.49,113.49,0
2019-10-22,110.46,113.49,113.49,113.49,0
2019-10-23,110.46,113.49,113.49,113.49,0
2019-10-24,112.65,112.65,93.9,93.9,1200
2019-10-25,85.75,110.12,85.75,110.12,1600
2019-10-28,88.1,110.12,110.12,110.12,0
2019-10-29,75.74,101.3,75.66,75.66,1100
2019-10-30,71.45,94.99,71.45,94.99,700
2019-10-31,94.99,88.27,88.27,88.27,0
2019-11-01,75.15,75.15,75.15,75.15,1200
2019-11-04,75.15,75.15,75.15,75.15,0
2019-11-05,85.75,85.75,85.75,85.75,500
2019-11-06,72.97,85.75,72.97,85.75,2600
2019-11-07,87.01,90.03,68.09,90.03,1300
2019-11-08,88.27,88.27,88.27,88.27,100
2019-11-11,88.27,88.27,88.27,88.27,0
2019-11-12,88.27,88.27,88.27,88.27,0
2019-11-13,88.27,88.27,88.27,88.27,0
2019-11-14,88.27,88.27,88.27,88.27,0
2019-11-15,88.27,88.27,88.27,88.27,0
2019-11-18,88.27,88.27,88.27,88.27,0
2019-11-19,88.27,88.27,88.27,88.27,0
2019-11-20,88.27,88.27,88.27,88.27,0
2019-11-21,92.47,92.47,92.47,92.47,100
2019-11-22,92.47,92.47,92.47,92.47,0
2019-11-25,92.47,92.47,92.47,92.47,8
2019-11-26,92.47,92.47,92.47,92.47,0
2019-11-27,92.47,92.47,92.47,92.47,0
2019-11-28,92.47,92.47,92.47,92.47,0
2019-11-29,92.47,92.47,92.47,92.47,0
2019-12-02,78.6,78.6,78.6,92.47,100
2019-12-03,92.47,78.6,78.6,78.6,0
2019-12-04,92.47,78.6,78.6,78.6,0
2019-12-05,92.47,78.6,78.6,78.6,0
2019-12-06,92.47,78.6,78.6,78.6,0
2019-12-09,92.47,78.6,78.6,78.6,0
2019-12-10,92.47,78.6,78.6,78.6,0
2019-12-11,92.47,78.6,78.6,78.6,0
2019-12-12,92.47,78.6,78.6,78.6,0
2019-12-13,92.47,78.6,78.6,78.6,0
2019-12-16,92.47,78.6,78.6,78.6,0
2019-12-17,92.47,78.6,78.6,78.6,0
2019-12-18,92.47,78.6,78.6,78.6,0
2019-12-19,92.47,78.6,78.6,78.6,0
2019-12-20,92.47,78.6,78.6,78.6,0
2019-12-23,92.47,78.6,78.6,78.6,0
2019-12-24,92.47,78.6,78.6,78.6,0
2019-12-25,92.47,78.6,78.6,78.6,0
2019-12-26,79.02,79.02,79.02,79.02,700
2019-12-27,79.02,79.02,79.02,79.02,50
2019-12-30,79.02,79.02,79.02,79.02,0
2019-12-31,67.17,67.17,67.17,67.17,100
2020-01-02,67.17,67.17,67.17,67.17,0
2020-01-03,67.17,67.17,67.17,67.17,8
2020-01-06,67.17,67.17,67.17,67.17,3
2020-01-07,67.17,67.17,67.17,67.17,0
2020-01-08,67.17,67.17,67.17,67.17,0
2020-01-09,67.17,67.17,67.17,67.17,0
2020-01-10,67.17,67.17,67.17,67.17,0
2020-01-13,67.17,67.17,67.17,67.17,0
2020-01-14,67.17,67.17,67.17,67.17,0
2020-01-15,67.17,67.17,67.17,67.17,0
2020-01-16,67.17,67.17,67.17,67.17,0
2020-01-17,77.17,77.17,77.17,77.17,49000
2020-01-20,77.17,77.17,77.17,77.17,0
2020-01-21,65.74,65.74,65.74,65.74,200
2020-01-22,57.16,57.16,57.16,57.16,100
2020-01-30,50.61,50.61,50.61,50.61,100
2020-01-31,44.55,44.55,44.55,44.55,100
2020-02-03,40.94,40.94,40.94,40.94,100
2020-02-04,40.94,40.94,40.94,40.94,0
2020-02-05,40.94,40.94,40.94,40.94,0
2020-02-06,40.94,40.94,40.94,40.94,0
2020-02-07,40.94,40.94,40.94,40.94,0
2020-02-10,40.94,40.94,40.94,40.94,0
2020-02-11,40.94,40.94,40.94,40.94,0
2020-02-12,40.94,40.94,40.94,40.94,0
2020-02-13,40.94,40.94,40.94,40.94,0
2020-02-14,40.94,40.94,40.94,40.94,0
2020-02-17,40.94,40.94,40.94,40.94,0
