date,open,high,low,close,volume
2019-09-26,15.06,15.12,14.83,15.03,540470
2019-09-27,15.01,15.06,14.92,15.03,489320
2019-09-30,15.01,15.03,14.72,14.77,317650
2019-10-01,14.77,14.77,14.48,14.6,323600
2019-10-02,14.6,14.66,14.54,14.6,342880
2019-10-03,14.54,14.92,14.48,14.66,558290
2019-10-04,14.66,14.77,14.51,14.6,377650
2019-10-07,14.6,14.77,14.57,14.6,395830
2019-10-08,14.57,14.74,14.57,14.63,236800
2019-10-09,14.63,14.72,14.6,14.63,200860
2019-10-10,14.66,14.72,14.57,14.6,204820
2019-10-11,14.6,14.63,14.31,14.43,750090
2019-10-14,14.43,14.48,14.34,14.48,248380
2019-10-15,14.48,14.89,14.43,14.74,509910
2019-10-16,14.69,14.72,14.48,14.54,297940
2019-10-17,14.6,14.69,14.48,14.48,178930
2019-10-18,14.48,14.72,14.48,14.66,291340
2019-10-21,14.66,14.72,14.51,14.54,225790
2019-10-22,14.6,15.01,14.54,14.95,760380
2019-10-23,14.95,15.01,14.92,14.98,254760
2019-10-24,14.98,15.44,14.89,15.44,786640
2019-10-25,15.35,15.47,15.29,15.44,296380
2019-10-28,15.44,15.67,15.29,15.44,462280
2019-10-29,15.44,15.56,15.29,15.35,255290
2019-10-30,15.24,15.41,15.24,15.27,196300
2019-10-31,15.35,15.47,15.18,15.18,271510
2019-11-01,15.15,15.24,14.95,15.06,621800
2019-11-04,15.06,15.41,15.06,15.41,395160
2019-11-05,15.47,15.82,15.41,15.76,616040
2019-11-06,15.64,15.73,15.53,15.67,212510
2019-11-07,15.73,15.87,15.64,15.76,422060
2019-11-08,15.87,15.87,15.64,15.64,436180
2019-11-11,15.64,15.7,15.5,15.53,312470
2019-11-12,15.47,15.56,15.21,15.21,281340
2019-11-13,15.21,15.41,15.21,15.21,212730
2019-11-14,15.15,15.21,15.09,15.18,168810
2019-11-15,15.35,15.35,15.15,15.18,118540
2019-11-18,15.12,15.27,15.01,15.09,239510
2019-11-19,15.06,15.09,14.89,15.06,307710
2019-11-20,15.01,15.12,15.01,15.09,151960
2019-11-21,15.06,15.47,15.06,15.21,870410
2019-11-22,15.18,15.82,15.18,15.21,668220
2019-11-25,15.24,15.35,15.24,15.27,199980
2019-11-26,15.27,15.41,15.27,15.38,236240
2019-11-27,15.38,15.38,15.27,15.32,265630
2019-11-28,15.32,15.35,15.24,15.32,409410
2019-11-29,15.35,15.35,15.27,15.29,322100
2019-12-02,15.29,15.35,15.27,15.29,416910
2019-12-03,15.29,15.41,15.12,15.38,388300
2019-12-04,15.35,15.58,15.35,15.5,308340
2019-12-05,15.53,15.7,15.5,15.64,494890
2019-12-06,15.64,15.7,15.58,15.67,252540
2019-12-09,15.61,15.64,15.47,15.56,290730
2019-12-10,15.53,15.58,15.44,15.53,271360
2019-12-11,15.53,15.53,15.47,15.5,215380
2019-12-12,15.5,15.7,15.5,15.64,291020
2019-12-13,15.64,15.82,15.61,15.7,516510
2019-12-16,15.7,15.82,15.64,15.7,316230
2019-12-17,15.82,15.82,15.35,15.41,248870
2019-12-18,15.41,15.41,15.15,15.21,294120
2019-12-19,15.21,15.35,15.12,15.24,142780
2019-12-20,15.27,15.44,15.24,15.41,164640
2019-12-23,15.44,15.47,15.41,15.41,131930
2019-12-24,15.41,15.58,15.41,15.56,265090
2019-12-25,15.56,15.61,15.5,15.56,180530
2019-12-26,15.56,15.64,15.44,15.56,385170
2019-12-27,15.56,15.58,15.5,15.58,156240
2019-12-30,15.58,15.64,15.53,15.64,354580
2019-12-31,15.64,15.64,15.5,15.58,698370
2020-01-02,15.41,15.44,15.24,15.35,343020
2020-01-03,15.35,15.41,15.18,15.29,353970
2020-01-06,15.27,15.35,15.06,15.35,319660
2020-01-07,15.29,15.35,15.12,15.24,128550
2020-01-08,15.06,15.21,14.6,14.77,412780
2020-01-09,14.8,15.01,14.54,14.83,247010
2020-01-10,14.8,14.86,14.6,14.83,283200
2020-01-13,14.8,14.86,14.77,14.83,91330
2020-01-14,14.77,14.86,14.72,14.83,108520
2020-01-15,14.83,14.86,14.74,14.83,72090
2020-01-16,14.8,14.95,14.77,14.95,140170
2020-01-17,14.95,15.01,14.89,14.95,79520
2020-01-20,14.92,14.95,14.86,14.95,75490
2020-01-21,14.92,15.01,14.77,14.98,381440
2020-01-22,14.95,15.06,14.95,15.01,120650
2020-01-30,14.89,14.95,14.6,14.77,185620
2020-01-31,14.77,14.77,14.37,14.48,196240
2020-02-03,14.08,14.37,13.9,14.31,241080
2020-02-04,14.31,14.4,14.14,14.31,252520
2020-02-05,14.28,14.34,14.25,14.34,192860
2020-02-06,14.34,14.45,14.19,14.43,262650
2020-02-07,14.43,14.43,14.31,14.43,110820
2020-02-10,14.4,14.43,14.31,14.43,106900
2020-02-11,14.4,14.48,14.37,14.48,152870
2020-02-12,14.45,14.66,14.43,14.66,153260
2020-02-13,14.54,14.6,14.4,14.43,102180
2020-02-14,14.37,14.4,14.02,14.19,464310
2020-02-17,14.05,14.19,14.05,14.19,296120
2020-02-18,14.19,14.22,14.11,14.19,181170
2020-02-19,14.17,14.19,14.14,14.19,128710
2020-02-20,14.19,14.22,14.17,14.22,287650
2020-02-21,14.22,14.28,14.14,14.22,400170
2020-02-24,14.08,14.19,14.02,14.11,445530
2020-02-25,14.08,14.31,14.08,14.31,152980
2020-02-26,14.19,14.25,14.14,14.19,86790
2020-02-27,14.17,14.37,14.17,14.37,171130
2020-02-28,14.14,14.31,14.14,14.22,102250
2020-03-02,14.22,14.28,14.19,14.25,193070
2020-03-03,14.37,14.37,14.22,14.25,186820
2020-03-04,14.25,14.43,14.25,14.37,205010
2020-03-05,14.37,14.4,14.34,14.37,100370
2020-03-06,14.34,14.34,14.19,14.19,125780
2020-03-09,13.9,14.02,13.33,13.33,582800
2020-03-10,13.33,13.61,13.33,13.61,150820
2020-03-11,13.67,13.7,13.15,13.33,171290
2020-03-12,12.86,13.27,12.4,12.54,263770
2020-03-13,12.46,12.46,11.67,12.22,432310
2020-03-16,12.22,12.22,11.59,11.79,298420
2020-03-17,11.53,12.17,11.53,12.17,201400
2020-03-18,12.2,12.2,12.02,12.17,274660
2020-03-19,12.05,12.17,11.7,12.17,213960
2020-03-20,12.17,12.17,11.56,11.59,566210
2020-03-23,11.59,11.59,10.95,11.01,236800
2020-03-24,11.47,11.47,10.66,11.09,228300
2020-03-25,11.12,11.33,11.09,11.21,364740
2020-03-26,11.24,11.7,11.18,11.21,627430
2020-03-27,11.24,11.33,11.18,11.27,161610
2020-03-30,11.12,11.21,10.83,10.89,173010
2020-03-31,10.89,11.01,10.14,10.72,317340
2020-04-01,10.72,10.75,10.43,10.66,256170
2020-04-03,10.78,10.8,10.49,10.6,455210
2020-04-06,10.6,11.01,10.46,10.83,780740
2020-04-07,10.95,11.01,10.66,10.83,466250
2020-04-08,10.72,11.47,10.72,11.3,945510
2020-04-09,11.3,11.64,11.3,11.59,648850
2020-04-10,11.64,11.64,11.3,11.53,234330
2020-04-13,11.36,11.82,11.36,11.67,735890
2020-04-14,11.64,11.93,11.64,11.7,502130
2020-04-15,11.82,11.96,11.82,11.96,559480
2020-04-16,11.99,11.99,11.88,11.93,517930
2020-04-17,11.96,12.17,11.96,12.11,950520
2020-04-20,12.11,12.17,12.05,12.11,559680
2020-04-21,12.05,12.05,11.41,11.82,694050
2020-04-22,11.7,11.88,11.47,11.85,567860
2020-04-23,11.82,11.91,11.73,11.88,445860
2020-04-24,11.88,11.93,11.82,11.88,378450
2020-04-27,11.91,11.93,11.85,11.88,524000
2020-04-28,11.91,11.96,11.85,11.91,409390
2020-04-29,11.91,12.17,11.91,12.14,876730
2020-05-04,12.11,12.17,12.05,12.11,532680
2020-05-05,12.14,12.22,12.11,12.17,952670
2020-05-06,12.2,12.25,11.99,12.17,1020600
2020-05-07,12.22,12.31,12.2,12.25,1095220
2020-05-08,12.31,12.4,12.28,12.37,1027960
2020-05-11,12.37,12.4,12.31,12.37,769000
2020-05-12,12.4,13.06,12.37,13.06,1426970
2020-05-13,12.92,13.35,12.72,13.33,1050270
2020-05-14,13.33,13.35,13.04,13.3,541760
2020-05-15,13.21,13.21,12.75,12.75,876170
2020-05-18,12.75,12.8,12.57,12.63,267870
2020-05-19,12.75,12.98,12.63,12.98,1375670
2020-05-20,12.92,12.95,12.75,12.86,498750
2020-05-21,12.89,12.92,12.75,12.75,420140
2020-05-22,12.77,12.77,12.31,12.34,654160
2020-05-25,12.4,12.6,12.34,12.57,384940
2020-05-26,12.57,12.77,12.57,12.77,639110
2020-05-27,12.83,12.86,12.48,12.57,438170
2020-05-28,12.63,12.69,12.54,12.6,194020
2020-05-29,12.6,12.77,12.6,12.75,636980
2020-06-01,12.8,12.89,12.72,12.89,500190
2020-06-02,12.98,13.04,12.77,12.89,805820
2020-06-03,12.8,13.44,12.75,13.44,1355550
2020-06-04,13.44,13.67,13.3,13.33,1333970
2020-06-05,13.35,13.59,13.27,13.53,1012930
2020-06-08,13.53,14.02,13.53,13.85,702370
2020-06-09,13.85,13.96,13.61,13.61,891610
2020-06-10,13.41,13.64,13.41,13.64,1454910
2020-06-11,13.73,13.9,13.33,13.53,1061760
2020-06-12,13.27,13.47,13.15,13.44,964400
2020-06-15,13.5,13.56,13.21,13.33,627870
2020-06-16,13.38,13.5,13.38,13.5,367980
2020-06-17,13.53,13.53,13.44,13.5,299130
2020-06-18,13.35,13.61,13.35,13.56,367240
2020-06-19,13.59,14.14,13.59,14.08,876080
2020-06-22,14.05,14.19,13.88,14.05,566040
