date,open,high,low,close,volume
2019-09-09,12.9,15.02,12.9,15.02,200
2019-09-10,11.99,14.27,11.89,14.27,4400
2019-09-11,10.62,10.62,10.22,10.22,5600
2019-09-12,9.11,11.08,9.11,11.08,800
2019-09-13,8.45,10.62,8.45,10.37,16720
2019-09-16,10.37,10.42,10.12,10.12,5230
2019-09-17,10.22,10.22,10.22,10.22,100
2019-09-18,10.37,10.62,10.37,10.52,4020
2019-09-19,10.62,10.62,10.57,10.57,1000
2019-09-20,10.62,10.62,9.46,9.46,3400
2019-09-23,10.62,10.62,10.62,10.62,200
2019-09-24,9.71,10.12,9.71,10.12,1700
2019-09-25,10.12,10.12,10.12,10.12,200
2019-09-26,10.12,10.12,10.12,10.12,900
2019-09-27,10.37,10.62,10.27,10.37,2900
2019-09-30,10.52,10.57,10.27,10.52,8040
2019-10-01,10.62,10.62,10.37,10.57,6560
2019-10-02,10.47,11.64,10.47,11.64,3340
2019-10-03,10.78,11.33,10.72,11.08,2300
2019-10-04,11.89,11.89,10.88,10.88,1570
2019-10-07,11.13,11.13,10.88,10.88,2100
2019-10-08,10.88,10.88,10.83,10.83,1440
2019-10-09,9.26,10.93,9.26,9.61,4200
2019-10-10,10.62,10.62,10.62,10.62,200
2019-10-11,9.06,10.42,9.06,10.42,700
2019-10-14,10.22,10.27,10.17,10.17,2330
2019-10-15,10.27,10.27,9.92,9.92,4970
2019-10-16,10.12,10.12,10.07,10.12,3000
2019-10-17,10.12,10.12,9.61,9.61,5100
2019-10-18,9.81,9.92,9.81,9.81,4170
2019-10-21,10.12,10.12,9.81,9.81,4920
2019-10-22,9.81,9.86,9.61,9.66,3980
2019-10-23,9.66,9.66,9.61,9.66,4100
2019-10-24,9.61,9.86,9.61,9.86,6310
2019-10-25,9.71,10.22,9.71,10.22,5100
2019-10-28,11.38,11.38,10.12,10.12,4200
2019-10-29,11.08,11.08,11.08,11.08,508
2019-10-30,10.17,10.27,10.17,10.27,1000
2019-10-31,10.27,11.69,10.12,10.27,5280
2019-11-01,11.69,11.69,11.33,11.33,2610
2019-11-04,10.57,13.05,10.57,13.0,1912
2019-11-05,11.03,11.23,11.03,11.13,20440
2019-11-06,11.33,11.33,11.13,11.13,6670
2019-11-07,11.13,11.58,11.13,11.18,1700
2019-11-08,11.13,11.89,10.98,11.38,9250
2019-11-11,11.28,11.58,11.18,11.28,12830
2019-11-12,12.14,12.34,11.64,11.94,3700
2019-11-13,11.94,11.94,11.79,11.79,8405
2019-11-14,12.24,13.51,11.89,13.46,27294
2019-11-15,13.76,14.42,13.66,14.16,15070
2019-11-18,14.42,14.42,13.15,13.71,26385
2019-11-19,13.66,13.71,11.74,12.14,32050
2019-11-20,14.99,14.99,13.94,13.94,3410
2019-11-21,13.94,13.94,12.59,12.59,6310
2019-11-22,12.59,12.59,12.59,12.59,4600
2019-11-25,12.59,12.59,10.77,12.5,9990
2019-11-26,11.53,11.73,11.34,11.53,4850
2019-11-27,12.02,12.02,11.82,11.82,1340
2019-11-28,11.82,11.82,11.82,11.82,3320
2019-11-29,11.82,12.02,11.82,12.02,2830
2019-12-02,11.92,11.92,11.82,11.92,2300
2019-12-03,11.92,11.92,11.73,11.73,2100
2019-12-04,11.82,11.82,10.77,11.44,1700
2019-12-05,11.53,11.73,11.53,11.73,6340
2019-12-06,11.53,11.63,11.53,11.63,4800
2019-12-09,11.63,11.63,11.63,11.63,3800
2019-12-10,11.73,11.73,11.63,11.63,700
2019-12-11,11.63,11.63,11.63,11.63,1900
