date,open,high,low,close,volume
2019-08-15,10.67,10.81,10.81,10.81,0
2019-08-16,10.67,10.81,10.81,10.81,0
2019-08-19,10.67,10.81,10.81,10.81,0
2019-08-20,10.67,10.81,10.81,10.81,0
2019-08-21,10.94,10.94,10.94,10.94,100
2019-08-22,10.94,10.94,10.94,10.94,0
2019-08-23,10.94,10.94,10.94,10.94,0
2019-08-26,10.94,10.94,10.94,10.94,0
2019-08-27,10.94,10.94,10.94,10.94,0
2019-08-28,10.94,10.94,10.94,10.94,0
2019-08-29,10.94,10.94,10.94,10.94,0
2019-08-30,10.94,10.94,10.94,10.94,0
2019-09-03,10.94,10.94,10.94,10.94,0
2019-09-04,10.94,10.94,10.94,10.94,0
2019-09-05,10.94,10.94,10.94,10.94,0
2019-09-06,10.94,10.94,10.94,10.94,0
2019-09-09,10.94,10.94,10.94,10.94,0
2019-09-10,10.94,10.94,10.94,10.94,0
2019-09-11,9.35,9.35,9.35,9.35,100
2019-09-12,9.35,9.35,9.35,9.35,0
2019-09-13,9.35,9.35,9.35,9.35,0
2019-09-16,9.35,9.35,9.35,9.35,12
2019-09-17,9.35,9.35,9.35,9.35,0
2019-09-18,8.02,8.02,8.02,8.02,200
2019-09-19,8.02,8.02,8.02,8.02,0
2019-09-20,8.02,8.02,8.02,8.02,0
2019-09-23,8.02,8.02,8.02,8.02,0
2019-09-24,8.02,8.02,8.02,8.02,0
2019-09-25,8.02,8.02,8.02,8.02,0
2019-09-26,8.02,8.02,8.02,8.02,0
2019-09-27,8.02,8.02,8.02,8.02,0
2019-09-30,8.02,8.02,8.02,8.02,0
2019-10-01,8.02,8.02,8.02,8.02,0
2019-10-02,8.02,8.02,8.02,8.02,0
2019-10-03,8.02,8.02,8.02,8.02,0
2019-10-04,9.22,9.22,9.22,9.22,100
2019-10-07,9.22,9.22,9.22,9.22,0
2019-10-08,9.22,9.22,9.22,9.22,0
2019-10-09,9.22,9.22,9.22,9.22,0
2019-10-10,9.22,9.22,9.22,9.22,0
2019-10-11,9.22,9.22,9.22,9.22,0
2019-10-14,9.22,9.22,9.22,9.22,0
2019-10-15,9.22,9.22,9.22,9.22,0
2019-10-16,7.96,7.96,7.96,7.96,100
2019-10-17,8.02,8.02,8.02,8.02,300
2019-10-18,8.02,8.02,8.02,8.02,0
2019-10-21,8.02,8.02,8.02,8.02,0
2019-10-22,8.02,8.02,8.02,8.02,0
2019-10-23,8.95,8.95,8.95,8.95,100
2019-10-24,9.95,9.95,9.95,9.95,100
2019-10-25,10.01,10.01,10.01,10.01,600
2019-10-28,10.01,10.01,10.01,10.01,0
2019-10-29,10.01,10.01,10.01,10.01,0
2019-10-30,10.01,10.01,10.01,10.01,0
2019-10-31,10.01,10.01,10.01,10.01,0
2019-11-01,10.01,10.01,10.01,10.01,0
2019-11-04,10.01,10.01,10.01,10.01,0
2019-11-05,10.01,10.01,10.01,10.01,0
2019-11-06,10.01,10.01,10.01,10.01,0
2019-11-07,10.01,10.01,10.01,10.01,0
2019-11-08,10.01,10.01,10.01,10.01,0
2019-11-11,10.01,10.01,10.01,10.01,0
2019-11-12,10.01,10.01,10.01,10.01,0
2019-11-13,9.28,9.28,9.28,9.28,100
2019-11-14,7.96,7.96,7.96,7.96,100
2019-11-15,7.96,7.96,7.96,7.96,0
2019-11-18,7.96,7.96,7.96,7.96,0
2019-11-19,7.96,7.96,7.96,7.96,0
2019-11-20,7.96,7.96,7.96,7.96,0
2019-11-21,7.96,7.96,7.96,7.96,0
2019-11-22,7.96,7.96,7.96,7.96,0
2019-11-25,7.96,7.96,7.96,7.96,0
2019-11-26,7.96,7.96,7.96,7.96,0
2019-11-27,7.96,7.96,7.96,7.96,0
2019-11-28,7.96,7.96,7.96,7.96,0
2019-11-29,7.96,7.96,7.96,7.96,0
2019-12-02,7.96,7.96,7.96,7.96,0
2019-12-03,7.96,7.96,7.96,7.96,0
2019-12-04,7.96,7.96,7.96,7.96,0
2019-12-05,7.96,7.96,7.96,7.96,0
2019-12-06,7.96,7.96,7.96,7.96,0
2019-12-09,7.96,7.96,7.96,7.96,0
2019-12-10,7.96,7.96,7.96,7.96,0
2019-12-11,7.96,7.96,7.96,7.96,0
2019-12-12,7.96,7.96,7.96,7.96,0
2019-12-13,8.02,8.02,7.96,7.96,200
2019-12-16,8.02,7.96,7.96,7.96,0
2019-12-17,8.02,7.96,7.96,7.96,0
2019-12-18,8.02,7.96,7.96,7.96,0
2019-12-19,8.02,7.96,7.96,7.96,0
2019-12-20,8.02,7.96,7.96,7.96,0
2019-12-23,8.02,7.96,7.96,7.96,0
2019-12-24,8.02,7.96,7.96,7.96,0
2019-12-25,8.02,7.96,7.96,7.96,0
2019-12-26,8.02,7.96,7.96,7.96,0
2019-12-27,6.83,6.83,6.83,6.83,100
2019-12-30,6.83,6.83,6.83,6.83,0
2019-12-31,6.83,6.83,6.83,6.83,0
2020-01-02,5.83,7.82,5.83,7.82,300
2020-01-03,8.22,8.22,8.22,8.22,100
2020-01-06,9.42,9.42,9.42,9.42,400
2020-01-07,9.41,10.13,10.13,10.13,0
2020-01-08,9.41,10.13,10.13,10.13,0
2020-01-09,8.99,8.99,8.99,8.99,100
2020-01-10,8.99,8.99,8.99,8.99,0
2020-01-13,8.99,8.99,8.99,8.99,0
2020-01-14,8.99,8.99,8.99,8.99,0
2020-01-15,8.99,8.99,8.99,8.99,0
2020-01-16,8.99,8.99,8.99,8.99,0
2020-01-17,8.99,8.99,8.99,8.99,0
2020-01-20,8.99,8.99,8.99,8.99,0
2020-01-21,8.99,8.99,8.99,8.99,0
2020-01-22,8.99,8.99,8.99,8.99,0
2020-01-30,8.99,8.99,8.99,8.99,0
2020-01-31,7.7,7.7,7.7,7.7,100
2020-02-03,7.7,7.7,7.7,7.7,0
2020-02-04,7.7,7.7,7.7,7.7,0
2020-02-05,7.7,7.7,7.7,7.7,0
2020-02-06,7.7,7.7,7.7,7.7,0
2020-02-07,7.7,7.7,7.7,7.7,0
2020-02-10,7.7,7.7,7.7,7.7,0
2020-02-11,7.7,7.7,7.7,7.7,0
2020-02-12,6.56,6.56,6.56,6.56,100
2020-02-13,6.56,6.56,6.56,6.56,0
2020-02-14,6.56,6.56,6.56,6.56,0
2020-02-17,5.63,5.63,5.63,5.63,100
2020-02-18,5.63,5.63,5.63,5.63,0
