date,open,high,low,close,volume
2019-09-24,2.55,2.55,2.52,2.52,19260
2019-09-25,2.54,2.54,2.5,2.52,7950
2019-09-26,2.52,2.52,2.48,2.52,7370
2019-09-27,2.49,2.52,2.49,2.52,69110
2019-09-30,2.52,2.52,2.5,2.5,22680
2019-10-01,2.5,2.55,2.48,2.55,12350
2019-10-02,2.52,2.53,2.48,2.53,7120
2019-10-03,2.5,2.53,2.46,2.53,43220
2019-10-04,2.5,2.52,2.5,2.52,8150
2019-10-07,2.52,2.58,2.5,2.53,3690
2019-10-08,2.5,2.53,2.5,2.53,21670
2019-10-09,2.5,2.53,2.49,2.52,22280
2019-10-10,2.48,2.51,2.48,2.51,6560
2019-10-11,2.52,2.52,2.49,2.51,940
2019-10-14,2.48,2.53,2.48,2.52,16150
2019-10-15,2.53,2.53,2.5,2.51,16940
2019-10-16,2.51,2.68,2.51,2.61,31010
2019-10-17,2.6,2.65,2.6,2.62,1080
2019-10-18,2.61,2.8,2.56,2.8,183130
2019-10-21,2.8,2.9,2.79,2.9,192020
2019-10-22,2.92,2.92,2.88,2.9,37350
2019-10-23,2.88,2.9,2.76,2.77,46230
2019-10-24,2.75,2.75,2.69,2.75,31570
2019-10-25,2.79,2.79,2.69,2.72,21340
2019-10-28,2.72,2.75,2.7,2.72,38460
2019-10-29,2.71,2.78,2.67,2.72,35010
2019-10-30,2.71,2.72,2.6,2.71,109380
2019-10-31,2.63,2.72,2.63,2.72,5020
2019-11-01,2.7,2.71,2.64,2.7,2600
2019-11-04,2.68,2.7,2.68,2.7,1900
2019-11-05,2.63,2.67,2.62,2.67,8710
2019-11-06,2.67,2.78,2.66,2.72,8640
2019-11-07,2.65,2.7,2.63,2.68,40810
2019-11-08,2.63,2.72,2.6,2.72,36180
2019-11-11,2.72,2.72,2.62,2.71,12090
2019-11-12,2.77,2.77,2.62,2.71,370
2019-11-13,2.69,2.7,2.63,2.67,9200
2019-11-14,2.67,2.7,2.66,2.66,67180
2019-11-15,2.66,2.7,2.64,2.7,16130
2019-11-18,2.68,2.71,2.6,2.69,85060
2019-11-19,2.69,2.69,2.67,2.67,5050
2019-11-20,2.62,2.68,2.62,2.68,7700
2019-11-21,2.63,2.68,2.63,2.63,67980
2019-11-22,2.64,2.66,2.6,2.61,94810
2019-11-25,2.63,2.63,2.61,2.61,7960
2019-11-26,2.61,2.61,2.6,2.61,15030
2019-11-27,2.56,2.61,2.56,2.61,9840
2019-11-28,2.61,2.62,2.58,2.61,25290
2019-11-29,2.63,2.63,2.6,2.61,610
2019-12-02,2.63,2.63,2.59,2.6,5500
2019-12-03,2.51,2.59,2.51,2.58,16630
2019-12-04,2.52,2.57,2.5,2.57,56260
2019-12-05,2.6,2.6,2.54,2.57,10710
2019-12-06,2.5,2.55,2.5,2.55,4140
2019-12-09,2.56,2.56,2.52,2.55,29430
2019-12-10,2.56,2.56,2.52,2.53,430
2019-12-11,2.54,2.54,2.5,2.54,25760
2019-12-12,2.54,2.55,2.5,2.55,13200
2019-12-13,2.55,2.59,2.51,2.59,19550
2019-12-16,2.59,2.63,2.53,2.62,24580
2019-12-17,2.64,2.65,2.57,2.64,37800
2019-12-18,2.63,2.63,2.6,2.62,2250
2019-12-19,2.65,2.65,2.6,2.64,12120
2019-12-20,2.63,2.63,2.61,2.62,18630
2019-12-23,2.64,2.64,2.6,2.63,30560
2019-12-24,2.61,2.63,2.6,2.63,2870
2019-12-25,2.6,2.63,2.56,2.62,32440
2019-12-26,2.61,2.62,2.6,2.61,19310
2019-12-27,2.6,2.7,2.59,2.7,25140
2019-12-30,2.7,2.7,2.62,2.66,19020
2019-12-31,2.66,2.84,2.59,2.84,49750
2020-01-02,2.82,2.82,2.68,2.79,10150
2020-01-03,2.7,2.71,2.7,2.7,1430
2020-01-06,2.6,2.69,2.56,2.69,25090
2020-01-07,2.8,2.8,2.66,2.67,144080
2020-01-08,2.7,2.7,2.63,2.7,2400
2020-01-09,2.69,2.74,2.62,2.74,38200
2020-01-10,2.73,2.75,2.64,2.75,25730
2020-01-13,2.74,2.74,2.7,2.7,11400
2020-01-14,2.67,2.74,2.61,2.74,33140
2020-01-15,2.73,2.74,2.68,2.73,3370
2020-01-16,2.74,2.74,2.67,2.73,4850
2020-01-17,2.66,2.71,2.65,2.71,20930
2020-01-20,2.6,2.6,2.6,2.6,90870
2020-01-21,2.6,2.64,2.6,2.64,41330
2020-01-22,2.64,2.7,2.61,2.7,14380
2020-01-30,2.7,2.7,2.65,2.68,8250
2020-01-31,2.68,2.68,2.56,2.65,5550
2020-02-03,2.65,2.65,2.48,2.6,101110
2020-02-04,2.59,2.59,2.5,2.59,16530
2020-02-05,2.55,2.58,2.55,2.58,2530
2020-02-06,2.58,2.65,2.51,2.65,85120
2020-02-07,2.6,2.7,2.6,2.7,14810
2020-02-10,2.56,2.65,2.53,2.65,11750
2020-02-11,2.6,2.65,2.6,2.65,183390
2020-02-12,2.61,2.65,2.6,2.65,8110
2020-02-13,2.65,2.7,2.6,2.68,30110
2020-02-14,2.67,2.67,2.64,2.64,930
2020-02-17,2.64,2.64,2.61,2.63,3590
2020-02-18,2.62,2.62,2.6,2.62,530
2020-02-19,2.61,2.64,2.6,2.64,28930
2020-02-20,2.63,2.63,2.6,2.63,6100
2020-02-21,2.63,2.63,2.62,2.62,10070
2020-02-24,2.58,2.61,2.53,2.6,8020
2020-02-25,2.59,2.6,2.57,2.6,12690
