date,open,high,low,close,volume
2019-08-19,5.56,5.56,5.56,5.56,0
2019-08-20,5.56,5.56,5.56,5.56,0
2019-08-21,5.56,5.56,5.56,5.56,0
2019-08-22,5.56,5.56,5.56,5.56,0
2019-08-23,5.56,5.56,5.56,5.56,0
2019-08-26,5.56,5.56,5.56,5.56,0
2019-08-27,5.56,5.56,5.56,5.56,0
2019-08-28,5.04,5.04,5.04,5.04,300
2019-08-29,5.04,5.04,5.04,5.04,0
2019-08-30,5.04,5.04,5.04,5.04,1000
2019-09-03,5.04,5.04,5.04,5.04,0
2019-09-04,5.04,5.04,5.04,5.04,0
2019-09-05,5.04,5.04,5.04,5.04,0
2019-09-06,5.04,5.04,5.04,5.04,0
2019-09-09,5.04,5.04,5.04,5.04,1700
2019-09-10,5.04,5.04,5.04,5.04,0
2019-09-11,5.04,5.04,5.04,5.04,0
2019-09-12,5.04,5.04,5.04,5.04,0
2019-09-13,5.04,5.04,5.04,5.04,0
2019-09-16,5.04,5.04,5.04,5.04,0
2019-09-17,5.04,5.04,5.04,5.04,0
2019-09-18,5.04,5.04,5.04,5.04,0
2019-09-19,5.04,5.04,5.04,5.04,0
2019-09-20,5.04,5.04,5.04,5.04,2000
2019-09-23,5.04,5.04,5.04,5.04,0
2019-09-24,5.04,5.04,5.04,5.04,0
2019-09-25,5.04,5.04,5.04,5.04,0
2019-09-26,5.04,5.04,5.04,5.04,0
2019-09-27,5.04,5.04,5.04,5.04,0
2019-09-30,5.04,5.04,5.04,5.04,0
2019-10-01,5.04,5.04,5.04,5.04,0
2019-10-02,5.04,5.04,5.04,5.04,0
2019-10-03,5.04,5.04,5.04,5.04,0
2019-10-04,5.04,5.04,5.04,5.04,0
2019-10-07,5.04,5.04,5.04,5.04,0
2019-10-08,5.04,5.04,5.04,5.04,0
2019-10-09,5.04,5.04,5.04,5.04,0
2019-10-10,5.04,5.04,5.04,5.04,0
2019-10-11,5.04,5.04,5.04,5.04,0
2019-10-14,5.04,5.04,5.04,5.04,0
2019-10-15,5.04,5.04,5.04,5.04,0
2019-10-16,5.04,5.04,5.04,5.04,0
2019-10-17,5.04,5.04,5.04,5.04,0
2019-10-18,5.04,5.04,5.04,5.04,0
2019-10-21,5.04,5.04,5.04,5.04,0
2019-10-22,4.69,4.69,4.69,4.69,300
2019-10-23,5.14,5.14,5.14,5.14,100
2019-10-24,5.14,5.14,5.14,5.14,0
2019-10-25,5.14,5.14,5.14,5.14,0
2019-10-28,4.65,4.65,4.65,4.65,100
2019-10-29,4.65,4.65,4.65,4.65,0
2019-10-30,4.65,4.65,4.65,4.65,0
2019-10-31,4.85,4.85,4.85,4.85,1000
2019-11-01,4.85,4.85,4.85,4.85,0
2019-11-04,4.85,4.85,4.85,4.85,400
2019-11-05,4.85,4.85,4.85,4.85,0
2019-11-06,4.72,4.72,4.72,4.72,100
2019-11-07,4.72,4.72,4.72,4.72,0
2019-11-08,4.72,4.72,4.72,4.72,0
2019-11-11,4.27,4.72,4.27,4.72,1200
2019-11-12,4.72,4.72,4.72,4.72,0
2019-11-13,4.72,4.72,4.72,4.72,0
2019-11-14,4.72,4.72,4.72,4.72,0
2019-11-15,4.72,4.72,4.72,4.72,0
2019-11-18,4.49,4.49,4.49,4.49,100
2019-11-19,4.49,4.49,4.49,4.49,0
2019-11-20,4.49,4.49,4.49,4.49,0
2019-11-21,4.49,4.49,4.49,4.49,0
2019-11-22,4.49,4.49,4.49,4.49,0
2019-11-25,4.49,4.49,4.49,4.49,0
2019-11-26,4.53,4.53,4.53,4.53,1000
2019-11-27,4.53,4.53,4.53,4.53,100
2019-11-28,4.53,4.53,4.53,4.53,0
2019-11-29,4.53,4.53,4.53,4.53,0
2019-12-02,4.53,4.53,4.53,4.53,0
2019-12-03,4.53,4.53,4.53,4.53,0
2019-12-04,4.53,4.53,4.53,4.53,0
2019-12-05,4.53,4.53,4.53,4.53,0
2019-12-06,4.53,4.53,4.53,4.53,0
2019-12-09,4.53,4.53,4.53,4.53,0
2019-12-10,4.53,4.53,4.53,4.53,0
2019-12-11,4.53,4.53,4.53,4.53,0
2019-12-12,4.53,4.53,4.53,4.53,0
2019-12-13,4.53,4.53,4.53,4.53,100
2019-12-16,4.53,4.53,4.53,4.53,0
2019-12-17,4.53,4.53,4.53,4.53,0
2019-12-18,4.53,4.53,4.53,4.53,0
2019-12-19,4.53,4.53,4.53,4.53,0
2019-12-20,4.53,4.53,4.53,4.53,0
2019-12-23,4.53,4.53,4.53,4.53,0
2019-12-24,4.53,4.53,4.53,4.53,0
2019-12-25,4.53,4.53,4.53,4.53,0
2019-12-26,4.53,4.53,4.53,4.53,0
