date,open,high,low,close,volume
2019-09-26,35.71,35.71,35.18,35.53,27323
2019-09-27,35.65,35.71,35.06,35.06,36742
2019-09-30,35.06,35.06,32.46,33.41,65280
2019-10-01,33.41,34.17,32.46,34.12,44578
2019-10-02,32.88,35.12,32.88,34.94,36406
2019-10-03,34.71,36.59,34.71,36.48,58568
2019-10-04,36.54,37.78,36.54,36.59,59260
2019-10-07,37.42,37.42,36.59,36.71,54270
2019-10-08,36.71,37.01,36.24,36.71,22520
2019-10-09,36.71,36.83,36.3,36.65,20757
2019-10-10,36.71,37.01,36.0,36.36,39400
2019-10-11,36.0,36.83,36.0,36.42,21820
2019-10-14,34.41,36.42,34.41,34.65,52870
2019-10-15,34.65,34.94,34.41,34.47,23930
2019-10-16,34.47,34.47,33.82,33.94,20001
2019-10-17,33.94,33.94,33.05,33.41,57680
2019-10-18,33.05,34.53,31.93,33.35,112935
2019-10-21,33.05,33.64,33.05,33.11,53778
2019-10-22,33.11,33.29,32.46,32.82,62106
2019-10-23,32.64,32.82,31.4,31.7,59075
2019-10-24,31.75,33.29,31.75,33.29,28489
2019-10-25,33.29,34.65,32.76,34.23,27250
2019-10-28,34.23,34.82,34.23,34.35,19853
2019-10-29,34.29,34.71,33.05,33.58,92980
2019-10-30,33.53,33.7,33.17,33.7,15240
2019-10-31,33.64,33.7,32.52,32.94,32543
2019-11-01,32.94,33.88,32.58,32.58,22697
2019-11-04,32.64,32.99,32.58,32.64,16491
2019-11-05,32.64,33.29,32.58,32.82,17226
2019-11-06,32.82,34.53,32.76,34.53,66144
2019-11-07,34.29,35.0,33.94,34.35,44359
2019-11-08,34.29,34.59,34.12,34.17,35773
2019-11-11,34.17,34.88,33.7,34.29,97619
2019-11-12,34.82,34.82,34.06,34.77,26753
2019-11-13,34.82,35.12,34.59,34.94,65387
2019-11-14,34.59,34.94,34.59,34.59,31800
2019-11-15,34.59,34.77,34.47,34.47,9412
2019-11-18,34.65,34.82,34.29,34.47,42146
2019-11-19,31.05,34.71,31.05,34.23,35797
2019-11-20,34.23,34.41,33.88,34.23,11370
2019-11-21,34.23,34.23,33.88,34.06,23256
2019-11-22,34.06,34.35,34.0,34.0,37715
2019-11-25,34.82,34.82,34.06,34.12,30170
2019-11-26,34.12,34.77,34.12,34.77,27548
2019-11-27,34.82,38.19,34.82,38.19,212496
2019-11-28,38.48,41.32,37.66,39.43,99402
2019-11-29,38.96,39.55,38.72,39.13,49604
2019-12-02,38.6,38.96,36.65,37.24,78579
2019-12-03,37.24,37.24,35.53,35.89,67483
2019-12-04,36.06,37.48,36.0,36.59,19839
2019-12-05,36.48,38.31,36.48,38.01,20229
2019-12-06,38.37,38.96,37.78,38.07,29151
2019-12-09,38.66,41.26,38.13,39.84,76441
2019-12-10,39.84,40.96,38.96,40.08,60899
2019-12-11,41.02,41.02,39.66,39.96,27601
2019-12-12,40.37,40.43,38.96,38.96,37008
2019-12-13,38.96,39.25,38.42,38.6,26660
2019-12-16,38.6,40.43,38.6,40.02,180110
2019-12-17,40.14,40.84,40.08,40.08,41562
2019-12-18,40.08,40.14,39.61,39.66,24763
2019-12-19,39.84,39.9,39.55,39.55,17053
