date,open,high,low,close,volume
2019-09-26,4.57,4.69,4.57,4.62,1119080
2019-09-27,4.57,4.64,4.56,4.56,567250
2019-09-30,4.56,4.65,4.56,4.62,565990
2019-10-01,4.67,4.67,4.55,4.57,460590
2019-10-02,4.57,4.62,4.48,4.52,584630
2019-10-03,4.48,4.62,4.46,4.62,856540
2019-10-04,4.68,4.81,4.67,4.78,1843010
2019-10-07,4.78,4.85,4.7,4.7,670140
2019-10-08,4.7,4.7,4.62,4.62,850760
2019-10-09,4.62,4.7,4.58,4.64,871570
2019-10-10,4.74,4.74,4.62,4.62,406740
2019-10-11,4.59,4.66,4.52,4.59,550930
2019-10-14,4.55,4.62,4.55,4.55,483750
2019-10-15,4.59,4.59,4.46,4.46,403380
2019-10-16,4.45,4.51,4.29,4.33,1379200
2019-10-17,4.34,4.45,4.32,4.32,487760
2019-10-18,4.33,4.39,4.29,4.29,426690
2019-10-21,4.29,4.33,4.27,4.29,198920
2019-10-22,4.32,4.32,4.26,4.29,331990
2019-10-23,4.31,4.31,4.26,4.28,158190
2019-10-24,4.27,4.28,4.06,4.11,855490
2019-10-25,4.11,4.15,4.08,4.12,440410
2019-10-28,4.18,4.18,4.11,4.15,296730
2019-10-29,4.15,4.15,4.1,4.11,142290
2019-10-30,4.21,4.24,4.18,4.2,564710
2019-10-31,4.23,4.23,4.14,4.16,316180
2019-11-01,4.16,4.18,4.13,4.15,302400
2019-11-04,4.16,4.16,4.11,4.12,387890
2019-11-05,4.11,4.15,4.11,4.13,256400
2019-11-06,4.14,4.28,4.14,4.19,751840
2019-11-07,4.2,4.28,4.2,4.28,489250
2019-11-08,4.28,4.29,4.22,4.29,240910
2019-11-11,4.29,4.35,4.25,4.34,442160
2019-11-12,4.34,4.39,4.33,4.35,1031190
2019-11-13,4.34,4.35,4.31,4.35,708630
2019-11-14,4.35,4.36,4.3,4.31,670430
2019-11-15,4.33,4.33,4.24,4.24,644050
2019-11-18,4.26,4.37,4.26,4.26,649570
2019-11-19,4.31,4.34,4.29,4.34,284640
2019-11-20,4.34,4.44,4.31,4.44,525000
2019-11-21,4.44,4.51,4.41,4.48,1010690
2019-11-22,4.5,4.56,4.36,4.45,604100
2019-11-25,4.45,4.45,4.31,4.31,374710
2019-11-26,4.3,4.35,4.3,4.31,209950
2019-11-27,4.31,4.41,4.3,4.33,289750
2019-11-28,4.32,4.34,4.23,4.26,402780
2019-11-29,4.26,4.26,4.22,4.23,204260
2019-12-02,4.23,4.23,4.14,4.23,519620
2019-12-03,4.21,4.23,4.06,4.06,469140
2019-12-04,4.03,4.16,4.03,4.11,310770
2019-12-05,4.11,4.2,4.11,4.2,301780
2019-12-06,4.2,4.26,4.16,4.23,241940
2019-12-09,4.23,4.35,4.23,4.33,456360
2019-12-10,4.33,4.35,4.29,4.29,257990
2019-12-11,4.31,4.35,4.28,4.28,584380
2019-12-12,4.37,4.37,4.29,4.34,200530
2019-12-13,4.3,4.45,4.3,4.37,218690
2019-12-16,4.37,4.42,4.34,4.41,176310
2019-12-17,4.41,4.46,4.41,4.43,342660
2019-12-18,4.42,4.42,4.32,4.32,206230
2019-12-19,4.34,4.37,4.32,4.34,70860
2019-12-20,4.33,4.43,4.33,4.42,249470
2019-12-23,4.4,4.42,4.34,4.34,115600
2019-12-24,4.34,4.37,4.32,4.34,75680
2019-12-25,4.34,4.39,4.33,4.33,77120
2019-12-26,4.37,4.55,4.37,4.47,473740
2019-12-27,4.47,4.47,4.43,4.46,64750
2019-12-30,4.46,4.46,4.42,4.44,103050
2019-12-31,4.42,4.42,4.32,4.33,201520
2020-01-02,4.4,4.4,4.33,4.34,118370
2020-01-03,4.34,4.39,4.29,4.29,328340
2020-01-06,4.29,4.34,4.24,4.24,230180
2020-01-07,4.24,4.24,4.16,4.17,294740
2020-01-08,4.17,4.18,3.97,4.0,335020
2020-01-09,4.0,4.14,4.0,4.07,143520
2020-01-10,4.06,4.07,4.0,4.01,169870
2020-01-13,4.05,4.05,3.92,3.95,171320
2020-01-14,3.98,3.98,3.85,3.87,151240
2020-01-15,3.87,3.87,3.73,3.84,339870
2020-01-16,3.82,3.88,3.82,3.88,71750
2020-01-17,3.92,4.0,3.83,3.88,220340
