date,open,high,low,close,volume
2019-09-26,9.19,9.23,8.92,8.92,126810
2019-09-27,8.92,9.14,8.92,8.92,146310
2019-09-30,9.01,9.1,8.92,8.97,122520
2019-10-01,9.06,9.1,8.92,8.92,150390
2019-10-02,9.06,9.06,8.92,8.97,149190
2019-10-03,8.97,9.32,8.84,9.32,332510
2019-10-04,9.32,9.5,9.14,9.32,89740
2019-10-07,9.32,9.72,9.1,9.14,179350
2019-10-08,9.41,9.5,9.14,9.37,133640
2019-10-09,9.37,9.45,9.32,9.32,215510
2019-10-10,9.19,9.37,9.19,9.32,117440
2019-10-11,9.41,9.41,9.14,9.32,140130
2019-10-14,9.32,9.32,9.19,9.28,81950
2019-10-15,9.19,9.28,9.1,9.1,110960
2019-10-16,9.32,9.32,8.92,8.92,105600
2019-10-17,8.53,9.06,8.53,8.84,101580
2019-10-18,8.7,9.01,8.7,8.84,88450
2019-10-21,9.01,9.01,8.66,8.88,126830
2019-10-22,8.92,9.01,8.79,8.92,89880
2019-10-23,9.01,9.01,8.7,8.7,75540
2019-10-24,8.97,8.97,8.84,8.84,114360
2019-10-25,8.84,9.14,8.84,9.14,198250
2019-10-28,9.19,9.28,9.14,9.19,111790
2019-10-29,9.19,9.23,9.14,9.19,144140
2019-10-30,9.23,9.32,9.19,9.28,251460
2019-10-31,9.28,9.37,9.19,9.19,119870
2019-11-01,9.19,9.32,9.19,9.23,123510
2019-11-04,9.23,9.28,9.14,9.23,95770
2019-11-05,9.23,9.23,8.92,9.01,209560
2019-11-06,9.1,9.28,8.97,9.1,206750
2019-11-07,9.3,9.4,9.1,9.29,98980
2019-11-08,9.0,9.39,9.0,9.2,134780
2019-11-11,9.2,9.2,9.0,9.1,97170
2019-11-12,9.1,9.25,9.1,9.2,63960
2019-11-13,9.2,9.3,9.12,9.2,143500
2019-11-14,9.29,9.33,9.11,9.15,77870
2019-11-15,9.0,9.25,8.99,9.13,22480
2019-11-18,9.2,9.2,9.0,9.13,43520
2019-11-19,9.13,9.13,9.06,9.1,63570
2019-11-20,9.18,9.18,8.99,9.09,93000
2019-11-21,9.06,9.06,9.0,9.02,24070
2019-11-22,9.02,9.18,9.0,9.1,53890
2019-11-25,9.19,9.19,9.1,9.19,94650
2019-11-26,9.19,9.26,8.55,9.2,71420
2019-11-27,9.2,9.3,9.2,9.28,61740
2019-11-28,9.3,9.3,9.0,9.1,4320
2019-11-29,9.19,9.2,9.0,9.19,46390
2019-12-02,9.2,9.2,8.6,8.6,20430
2019-12-03,8.96,8.96,8.89,8.9,1400
2019-12-04,8.98,8.98,8.6,8.95,28030
2019-12-05,8.96,8.96,8.92,8.94,11810
2019-12-06,9.0,9.0,8.7,8.7,38470
2019-12-09,8.6,8.94,8.6,8.8,36500
2019-12-10,9.0,9.0,8.8,8.81,44490
2019-12-11,8.9,8.9,8.7,8.8,40310
2019-12-12,9.0,9.0,8.6,8.8,40
2019-12-13,8.98,8.98,8.6,8.7,4160
2019-12-16,8.8,8.8,8.15,8.7,18690
2019-12-17,8.65,8.8,8.3,8.3,14820
2019-12-18,8.4,8.4,8.0,8.0,13420
2019-12-19,8.47,8.47,7.55,7.68,14820
2019-12-20,7.69,7.69,7.55,7.66,9310
2019-12-23,7.8,7.8,7.5,7.5,14360
2019-12-24,7.7,7.8,7.4,7.8,18630
2019-12-25,7.89,7.89,7.5,7.8,4280
2019-12-26,7.85,7.85,7.51,7.8,2160
2019-12-27,7.8,7.85,7.6,7.6,2070
2019-12-30,7.75,7.75,7.3,7.7,41090
2019-12-31,7.6,8.23,7.5,8.23,33520
2020-01-02,8.23,8.23,8.23,8.23,10
2020-01-03,7.8,8.2,7.66,8.1,6170
2020-01-06,7.6,7.99,7.6,7.9,440
2020-01-07,8.0,8.0,7.45,8.0,12080
2020-01-08,8.0,8.0,7.55,7.95,2620
2020-01-09,7.55,7.96,7.5,7.5,17790
2020-01-10,8.0,8.0,7.5,7.9,3020
2020-01-13,7.97,7.97,7.45,7.6,4330
2020-01-14,7.31,7.89,7.31,7.8,990
2020-01-15,7.8,7.8,7.4,7.4,520
2020-01-16,7.4,7.8,7.3,7.3,5200
2020-01-17,7.4,7.4,7.4,7.4,10
2020-01-20,7.4,7.5,7.3,7.5,16220
2020-01-21,7.45,7.5,7.31,7.48,156660
2020-01-22,7.29,7.6,7.29,7.29,14980
2020-01-30,7.6,7.6,7.1,7.59,12790
2020-01-31,7.5,7.5,7.2,7.2,2110
2020-02-03,7.2,7.2,6.7,7.0,25440
2020-02-04,6.7,6.8,6.6,6.6,21490
2020-02-05,6.8,6.8,6.8,6.8,2010
2020-02-06,6.7,6.7,6.37,6.5,15370
2020-02-07,6.37,6.84,6.35,6.7,31480
2020-02-10,6.6,6.6,6.36,6.36,8510
2020-02-11,6.69,6.69,6.25,6.63,70
2020-02-12,6.63,6.63,6.3,6.57,3830
2020-02-13,6.57,6.57,6.14,6.15,40100
2020-02-14,6.15,6.16,5.85,6.0,43210
2020-02-17,6.0,6.39,5.9,6.29,29330
2020-02-18,6.29,6.39,6.01,6.3,750
2020-02-19,6.35,6.35,5.9,6.25,17960
2020-02-20,6.25,6.25,5.94,6.24,20120
2020-02-21,6.24,6.24,6.0,6.07,18740
2020-02-24,6.0,6.2,5.85,5.9,21930
2020-02-25,5.9,6.0,5.7,5.9,39740
2020-02-26,5.98,5.98,5.9,5.9,5450
2020-02-27,5.9,6.0,5.6,6.0,1190
