date,open,high,low,close,volume
2019-01-15,42.71,42.71,42.62,42.62,1600
2019-01-16,42.62,43.57,41.96,42.15,2700
2019-01-17,42.24,43.57,42.24,43.57,2500
2019-01-18,42.15,42.15,42.15,42.15,100
2019-01-21,42.15,42.62,42.15,42.62,700
2019-01-22,42.62,42.62,42.62,42.62,100
2019-01-23,42.62,42.62,42.62,42.62,0
2019-01-24,42.62,43.57,42.62,43.57,2100
2019-01-25,43.57,43.57,43.57,43.57,0
2019-01-28,43.57,43.57,43.57,43.57,600
2019-01-29,47.36,47.92,42.62,43.57,3300
2019-01-30,43.57,43.57,43.57,43.57,0
2019-01-31,43.57,43.57,43.57,43.57,0
2019-02-01,40.54,43.57,39.21,43.57,1700
2019-02-11,43.57,43.57,43.57,43.57,0
2019-02-12,43.57,43.57,43.57,43.57,20
2019-02-13,42.24,42.24,42.24,42.24,100
2019-02-14,42.24,42.24,42.24,42.24,0
2019-02-15,42.24,42.24,42.24,42.24,0
2019-02-18,43.57,43.57,43.57,43.57,1800
2019-02-19,43.57,43.57,43.57,43.57,4851
2019-02-20,43.57,43.57,43.57,43.57,100
2019-02-21,43.57,43.57,43.57,43.57,0
2019-02-22,43.57,43.66,43.57,43.66,1030
2019-02-25,43.66,43.66,43.66,43.66,14
2019-02-26,43.57,44.99,43.57,43.57,1400
2019-02-27,43.57,43.57,43.57,43.57,710
2019-02-28,43.57,44.51,43.57,44.51,5460
2019-03-01,44.51,44.51,44.51,44.51,0
2019-03-04,41.2,43.57,41.2,43.57,3250
2019-03-05,44.51,44.51,44.51,44.51,410
2019-03-06,43.57,43.57,43.57,43.57,805
2019-03-07,43.57,44.51,43.57,44.51,1094
2019-03-08,44.51,44.51,44.51,44.51,1110
2019-03-11,43.57,44.51,43.57,44.51,7800
2019-03-12,43.57,44.04,43.57,44.04,1600
2019-03-13,43.57,44.04,43.57,44.04,2730
2019-03-14,44.23,44.23,44.23,44.23,1200
2019-03-15,44.23,44.23,44.23,44.23,1000
2019-03-18,46.88,46.88,46.88,46.88,100
2019-03-19,45.46,45.46,45.46,45.46,500
2019-03-20,45.46,45.46,45.46,45.46,0
2019-03-21,45.46,45.46,45.46,45.46,45
2019-03-22,45.46,45.46,45.46,45.46,12
2019-03-25,45.46,45.46,45.46,45.46,0
2019-03-26,44.99,44.99,44.99,44.99,534
2019-03-27,45.46,45.46,45.46,45.46,100
2019-03-28,45.46,45.46,45.46,45.46,320
2019-03-29,46.41,48.87,45.56,45.56,300
2019-04-01,48.3,49.25,45.56,46.41,89000
2019-04-02,45.93,45.93,45.93,45.93,100
2019-04-03,46.41,47.36,46.41,47.36,1210
2019-04-04,47.36,47.36,47.36,47.36,2700
2019-04-05,47.36,48.3,46.5,46.5,6400
2019-04-08,48.3,48.3,48.3,48.3,1100
2019-04-09,46.41,46.41,46.41,46.41,1700
2019-04-10,46.41,46.41,42.62,42.62,700
2019-04-11,45.93,46.88,45.93,46.88,500
2019-04-12,46.12,46.12,46.03,46.03,580
2019-04-16,49.25,49.25,45.27,49.25,300
2019-04-17,45.27,53.89,45.27,53.8,3284
2019-04-18,48.49,53.32,48.49,48.49,1323
2019-04-19,48.49,51.14,45.46,46.41,900
2019-04-22,50.01,50.01,44.61,44.61,400
2019-04-23,44.8,49.06,44.8,49.06,900
2019-04-24,45.08,49.06,45.08,49.06,334
2019-04-25,49.72,50.2,46.6,49.25,1600
2019-04-26,45.93,46.88,45.46,45.46,3810
2019-05-02,45.46,45.93,45.27,45.27,2300
2019-05-03,45.27,48.3,45.08,48.3,4601
2019-05-06,45.08,45.08,45.08,45.08,300
2019-05-07,45.08,45.08,45.08,45.08,0
2019-05-08,44.7,45.18,44.61,45.18,700
2019-05-09,45.18,45.18,45.18,45.18,11
2019-05-10,44.89,46.88,44.8,46.88,1345
2019-05-13,44.51,44.51,44.51,44.51,934
2019-05-14,44.32,45.08,44.04,44.04,4915
2019-05-15,45.46,45.46,45.37,45.37,240
2019-05-16,44.51,44.51,44.32,44.32,459
2019-05-17,47.73,47.73,44.51,44.51,200
2019-05-20,44.51,44.51,44.51,44.51,16
2019-05-21,46.69,47.36,43.57,43.57,655
2019-05-22,45.93,45.93,45.93,45.93,100
2019-05-23,45.93,45.93,45.93,45.93,0
