date,open,high,low,close,volume
2019-09-26,4.31,4.8,4.31,4.54,254110
2019-09-27,4.4,4.48,4.37,4.48,63400
2019-09-30,4.43,4.46,4.31,4.4,670310
2019-10-01,4.48,4.48,4.28,4.34,241200
2019-10-02,4.31,4.37,4.22,4.25,102800
2019-10-03,4.25,4.31,4.22,4.31,29200
2019-10-04,4.37,4.37,4.22,4.28,68600
2019-10-07,4.25,4.25,4.2,4.25,71200
2019-10-08,4.25,4.25,4.2,4.25,80860
2019-10-09,4.2,4.22,4.2,4.22,72600
2019-10-10,4.22,4.22,4.17,4.2,110700
2019-10-11,4.22,4.22,4.11,4.11,198900
2019-10-14,4.51,4.51,4.14,4.17,153480
2019-10-15,4.57,4.57,4.05,4.17,259000
2019-10-16,4.57,4.57,4.02,4.11,226900
2019-10-17,4.51,4.51,4.02,4.11,131200
2019-10-18,4.11,4.11,4.05,4.11,53707
2019-10-21,4.08,4.11,4.05,4.11,45520
2019-10-22,4.08,4.11,4.02,4.11,140926
2019-10-23,4.05,4.11,4.05,4.11,32400
2019-10-24,4.11,4.14,4.05,4.14,61341
2019-10-25,4.05,4.11,4.05,4.11,53400
2019-10-28,4.14,4.14,4.05,4.08,47400
2019-10-29,4.08,4.11,4.05,4.08,54400
2019-10-30,4.05,4.08,4.05,4.08,43810
2019-10-31,4.08,4.11,4.05,4.11,26500
2019-11-01,4.11,4.14,4.05,4.14,49710
2019-11-04,4.14,4.17,4.11,4.17,31600
2019-11-05,4.17,4.17,4.11,4.17,37300
2019-11-06,4.14,4.14,4.11,4.14,29640
2019-11-07,4.08,4.17,4.05,4.17,53316
2019-11-08,4.14,4.17,4.11,4.14,35710
2019-11-11,4.14,4.14,4.05,4.14,66710
2019-11-12,4.08,4.14,4.05,4.11,91700
2019-11-13,4.05,4.08,4.02,4.08,78356
2019-11-14,4.05,4.08,4.02,4.08,95400
2019-11-15,4.02,4.08,3.99,4.08,84200
2019-11-18,4.05,4.08,4.02,4.08,55700
2019-11-19,4.08,4.08,4.02,4.08,158730
2019-11-20,4.05,4.08,4.05,4.08,41300
2019-11-21,4.08,4.2,4.02,4.08,311300
2019-11-22,3.67,4.37,3.67,4.25,316830
2019-11-25,4.22,4.51,4.22,4.51,379750
2019-11-26,4.28,4.63,4.28,4.54,747250
2019-11-27,4.11,4.57,4.11,4.57,93860
2019-11-28,4.14,4.51,4.14,4.4,37966
2019-11-29,4.28,4.43,4.14,4.43,167314
2019-12-02,4.25,4.51,4.25,4.43,303300
2019-12-03,3.99,4.51,3.99,4.43,221010
2019-12-04,3.99,4.46,3.99,4.46,6300
2019-12-05,4.46,4.57,4.37,4.51,168740
2019-12-06,4.51,4.51,4.37,4.46,103600
2019-12-09,4.89,4.89,4.37,4.46,6150
2019-12-10,4.51,4.51,4.34,4.34,21588
2019-12-11,4.31,4.51,4.31,4.43,28070
2019-12-12,4.31,4.43,4.31,4.43,29200
2019-12-13,4.4,4.43,4.31,4.43,61590
2019-12-16,4.34,4.46,4.28,4.34,77200
2019-12-17,4.34,4.34,4.34,4.34,19400
2019-12-18,4.28,4.37,4.11,4.11,32337
2019-12-19,4.22,4.4,4.11,4.4,48910
2019-12-20,4.31,4.37,4.31,4.37,6000
2019-12-23,4.31,4.31,4.05,4.28,42610
2019-12-24,4.14,4.28,4.11,4.28,15220
2019-12-25,4.14,4.14,4.11,4.11,8400
2019-12-26,4.11,4.25,4.11,4.25,38260
2019-12-27,4.14,4.4,4.14,4.4,30000
2019-12-30,4.2,4.31,4.17,4.31,18500
2019-12-31,4.28,4.28,4.14,4.17,76400
2020-01-02,4.25,4.25,4.17,4.25,121710
2020-01-03,4.17,4.25,4.14,4.25,53810
2020-01-06,4.14,4.25,4.14,4.25,117700
2020-01-07,4.14,4.25,4.05,4.2,197709
2020-01-08,4.05,4.2,4.02,4.2,89000
2020-01-09,4.05,4.2,4.02,4.2,303500
2020-01-10,4.05,4.28,3.96,4.28,122300
2020-01-13,4.14,4.2,4.05,4.2,52435
2020-01-14,4.08,4.14,4.05,4.14,83842
2020-01-15,4.05,4.14,3.96,4.14,367600
2020-01-16,4.08,4.17,4.08,4.17,66300
2020-01-17,4.08,4.17,3.99,4.11,225000
