date,open,high,low,close,volume
2019-09-26,37.6,37.6,37.4,37.6,28710
2019-09-27,37.6,37.65,37.55,37.6,5310
2019-09-30,37.6,37.65,37.09,37.6,8825
2019-10-01,37.5,37.7,37.5,37.6,9530
2019-10-02,37.76,37.76,37.5,37.6,36312
2019-10-03,37.35,37.6,37.3,37.6,24034
2019-10-04,37.65,37.65,37.5,37.5,20930
2019-10-07,37.6,37.6,37.2,37.6,14132
2019-10-08,37.5,37.6,37.5,37.6,18093
2019-10-09,37.6,37.76,37.5,37.6,21499
2019-10-10,37.5,37.6,37.45,37.6,11063
2019-10-11,37.6,37.6,37.5,37.6,13539
2019-10-14,37.6,37.6,37.25,37.6,16576
2019-10-15,37.6,37.6,37.6,37.6,7442
2019-10-16,37.6,37.6,37.45,37.55,21439
2019-10-17,37.6,37.6,37.5,37.6,4011
2019-10-18,37.6,37.6,37.6,37.6,3771
2019-10-21,37.6,37.65,37.5,37.6,21511
2019-10-22,37.6,37.65,37.6,37.6,10425
2019-10-23,37.6,37.6,37.6,37.6,15659
2019-10-24,37.6,37.6,37.6,37.6,3444
2019-10-25,37.6,37.7,37.6,37.7,71713
2019-10-28,37.6,37.81,37.6,37.65,7742
2019-10-29,37.7,37.7,37.6,37.6,17327
2019-10-30,37.65,37.65,37.55,37.6,26700
2019-10-31,37.6,37.96,37.55,37.6,10935
2019-11-01,37.55,37.7,37.55,37.7,3800
2019-11-04,37.6,37.7,37.55,37.6,17761
2019-11-05,37.55,37.65,37.5,37.6,14334
2019-11-06,37.5,37.5,37.35,37.35,8772
2019-11-07,37.35,37.6,37.15,37.2,35688
2019-11-08,37.2,37.35,37.15,37.35,7275
2019-11-11,37.35,37.5,37.09,37.35,3485
2019-11-12,37.35,37.35,37.35,37.35,1147
2019-11-13,37.09,37.09,36.59,36.84,10820
2019-11-14,36.94,42.53,36.94,37.3,37860
2019-11-15,37.6,37.6,37.6,37.6,495
2019-11-18,37.6,37.6,37.35,37.35,6780
2019-11-19,37.35,38.11,34.81,38.11,49011
2019-11-20,35.82,37.86,35.82,37.86,41635
2019-11-21,37.6,37.6,37.6,37.6,10373
2019-11-22,37.6,37.6,32.01,37.09,2128
2019-11-25,36.94,37.15,31.91,37.09,23611
2019-11-26,36.43,36.89,36.43,36.59,13734
2019-11-27,36.59,36.59,36.33,36.33,7485
2019-11-28,36.08,36.59,35.57,35.57,12786
2019-11-29,35.32,35.88,35.32,35.88,3321
2019-12-02,35.82,38.62,35.82,35.72,163964
2019-12-03,38.62,42.58,38.62,39.13,166474
2019-12-04,39.64,45.73,39.64,41.77,249783
2019-12-05,41.67,41.92,39.89,40.14,30788
2019-12-06,40.09,40.14,38.42,38.42,22917
2019-12-09,38.42,39.03,37.35,37.6,51411
2019-12-10,37.6,38.11,37.09,37.15,10330
2019-12-11,36.64,37.25,36.59,37.15,12822
2019-12-12,36.59,36.84,36.59,36.64,27307
2019-12-13,36.59,36.84,36.59,36.59,20387
2019-12-16,36.59,37.6,36.59,37.09,18351
2019-12-17,36.99,37.09,36.33,36.59,15020
2019-12-18,36.84,37.09,36.49,36.59,6958
2019-12-19,36.49,36.84,36.49,36.59,1930
2019-12-20,36.59,36.59,36.59,36.59,10905
2019-12-23,36.54,36.59,36.33,36.33,14297
2019-12-24,36.59,36.59,36.33,36.59,36352
2019-12-25,36.54,36.59,36.54,36.54,7820
2019-12-26,36.59,36.59,36.59,36.59,9648
2019-12-27,36.59,37.25,36.59,36.84,19090
2019-12-30,37.04,37.04,36.49,36.84,32450
2019-12-31,36.59,36.59,36.54,36.59,3300
2020-01-02,36.84,36.99,36.59,36.59,23053
2020-01-03,36.79,36.79,36.38,36.59,6150
2020-01-06,36.59,36.59,36.18,36.18,17517
2020-01-07,36.18,36.28,36.18,36.28,11477
2020-01-08,36.18,36.18,35.57,35.57,6940
2020-01-09,35.57,36.33,35.57,36.33,2662
2020-01-10,36.08,36.08,36.08,36.08,4825
2020-01-13,36.08,36.08,35.52,35.52,4550
2020-01-14,35.62,35.62,35.06,35.06,4200
2020-01-15,35.32,35.32,33.54,33.54,14310
2020-01-16,34.25,34.3,33.79,33.79,9809
2020-01-17,35.47,35.47,34.3,35.01,3600
2020-01-20,35.52,35.57,35.01,35.16,10055
2020-01-21,35.32,35.32,35.32,35.32,892
2020-01-22,35.27,35.27,34.3,34.55,16409
2020-01-30,34.55,34.55,34.05,34.05,4533
2020-01-31,34.05,34.25,33.74,33.79,10455
2020-02-03,33.79,33.79,32.11,33.03,17950
2020-02-04,33.03,33.03,32.52,32.98,21500
2020-02-05,33.03,35.06,32.83,33.54,37600
2020-02-06,33.44,34.81,33.44,34.71,6202
2020-02-07,34.81,35.32,34.71,35.32,11260
2020-02-10,34.15,34.96,34.15,34.45,7460
2020-02-11,34.81,34.96,34.55,34.81,4877
2020-02-12,35.06,35.06,35.06,35.06,6710
2020-02-13,35.16,35.16,34.35,34.35,12273
2020-02-14,34.81,34.81,34.4,34.4,9079
2020-02-17,34.05,34.4,34.05,34.1,7940
2020-02-18,34.15,34.2,34.15,34.15,3500
2020-02-19,34.05,34.55,34.05,34.1,3410
2020-02-20,34.05,34.55,34.05,34.2,7514
2020-02-21,34.55,34.81,34.3,34.45,9409
2020-02-24,34.3,34.5,34.3,34.3,8524
2020-02-25,31.56,34.71,31.56,34.71,24215
2020-02-26,34.55,34.55,34.5,34.5,4169
2020-02-27,34.15,34.5,34.15,34.5,8640
2020-02-28,34.05,34.05,34.05,34.05,8505
2020-03-02,34.05,34.3,34.05,34.05,2255
2020-03-03,34.05,34.15,34.05,34.15,11994
2020-03-04,34.05,34.05,34.05,34.05,8200
2020-03-05,34.1,34.3,34.05,34.05,15600
2020-03-06,34.05,34.05,33.89,34.05,4812
2020-03-09,34.05,34.05,32.27,32.57,27466
2020-03-10,33.64,33.79,33.64,33.64,6575
2020-03-11,33.69,33.69,32.83,33.28,3050
2020-03-12,32.52,32.52,28.46,29.02,30300
2020-03-13,27.49,29.98,27.49,29.47,8100
2020-03-16,29.47,29.73,28.96,29.52,21044
2020-03-17,29.93,29.98,29.47,29.98,10904
2020-03-18,29.78,29.98,28.46,28.46,17650
2020-03-19,29.42,29.42,29.27,29.37,4500
2020-03-20,29.27,29.27,28.35,28.35,18687
2020-03-23,28.0,28.0,25.92,27.44,33828
2020-03-24,27.08,30.49,26.93,30.49,34940
2020-03-25,28.96,29.98,28.96,29.12,3909
2020-03-26,29.12,29.12,28.91,28.96,17602
2020-03-27,29.47,29.47,28.46,28.96,22627
2020-03-30,29.47,29.47,28.41,28.71,7978
2020-03-31,28.66,28.96,28.46,28.96,12700
2020-04-01,29.47,29.73,29.47,29.73,21030
2020-04-03,29.98,32.06,29.98,31.86,38697
2020-04-06,31.91,35.06,31.86,35.06,67160
2020-04-07,35.06,35.67,34.55,35.62,96337
2020-04-08,35.47,35.47,34.05,34.81,38513
2020-04-09,34.81,34.81,34.15,34.15,37462
2020-04-10,34.05,34.05,33.44,33.44,27862
2020-04-13,33.54,33.54,32.52,33.08,24330
2020-04-14,33.03,33.28,33.03,33.28,11335
2020-04-15,33.33,34.55,33.33,33.33,25658
2020-04-16,33.79,34.05,33.79,33.84,7368
2020-04-17,34.55,35.27,34.55,34.55,46814
