date,open,high,low,close,volume
2019-09-26,14.63,14.63,14.63,14.63,10
2019-09-27,14.63,14.63,14.63,14.63,110
2019-09-30,13.7,13.7,13.7,13.7,10
2019-10-01,12.74,12.74,12.74,12.74,20
2019-10-02,12.16,12.16,12.16,12.16,20
2019-10-03,11.58,12.33,11.55,12.33,350
2019-10-04,11.72,11.72,11.72,11.72,60
2019-10-07,11.65,11.65,11.31,11.31,200
2019-10-08,10.76,10.76,10.76,10.76,20
2019-10-09,11.48,11.48,10.66,11.48,160
2019-10-10,11.65,11.65,10.79,10.79,1010
2019-10-11,10.79,10.79,10.79,10.79,0
2019-10-14,10.42,10.42,10.42,10.42,10
2019-10-15,10.11,10.11,10.11,10.11,10
2019-10-16,10.79,10.79,10.79,10.79,2060
2019-10-17,11.51,11.51,11.51,11.51,10
2019-10-18,12.3,12.3,12.27,12.27,20
2019-10-21,13.12,13.12,11.41,11.41,1160
2019-10-22,12.13,12.16,11.0,11.0,1770
2019-10-23,10.69,11.75,10.69,11.61,1030
2019-10-24,12.2,12.2,11.03,11.65,820
2019-10-25,10.96,10.96,10.89,10.89,50
2019-10-28,10.24,11.1,10.24,10.96,700
2019-10-29,10.31,11.24,10.31,11.24,70
2019-10-30,10.48,11.37,10.48,11.37,20
2019-10-31,10.66,10.96,10.66,10.96,50
2019-11-01,10.21,11.1,10.21,11.1,20
2019-11-04,10.35,11.31,10.35,10.55,2020
2019-11-05,9.94,11.24,9.94,11.24,40
2019-11-06,10.48,11.1,10.48,10.96,520
2019-11-07,10.31,10.31,10.31,10.31,10
2019-11-08,11.03,11.03,9.7,10.93,540
2019-11-11,10.28,11.44,10.28,11.44,220
2019-11-12,11.44,11.44,10.79,10.79,1010
2019-11-13,10.79,10.79,10.79,10.79,0
2019-11-14,10.31,11.48,10.31,10.59,40
2019-11-15,10.04,11.27,10.04,10.35,30
2019-11-18,10.35,10.35,10.35,10.35,0
2019-11-19,9.87,9.87,9.87,9.87,10
2019-11-20,10.55,10.55,10.55,10.55,1010
2019-11-21,11.2,11.24,10.42,11.24,120
2019-11-22,11.99,11.99,11.92,11.92,30
2019-11-25,12.23,12.27,11.1,11.1,6530
2019-11-26,10.45,10.45,10.42,10.42,20
2019-11-27,9.9,9.9,9.9,9.9,10
2019-11-28,9.22,10.59,9.22,10.59,20
2019-11-29,9.97,10.14,9.97,10.14,20
2019-12-02,9.73,9.73,9.73,9.73,10
2019-12-03,9.15,10.38,9.15,10.38,4020
2019-12-04,10.96,11.1,10.96,11.1,50
2019-12-05,11.85,11.85,11.85,11.85,10
2019-12-06,12.57,12.57,11.1,11.1,2090
2019-12-09,11.85,11.85,10.38,11.72,610
2019-12-10,10.93,11.68,10.93,11.61,550
2019-12-11,12.4,12.4,10.83,12.4,840
2019-12-12,13.26,13.26,11.55,12.13,60
2019-12-13,12.57,12.57,11.31,11.31,20
2019-12-16,11.89,11.89,10.62,11.0,14200
2019-12-17,10.31,10.31,10.31,10.31,40
2019-12-18,9.83,10.76,9.83,10.76,1040
2019-12-19,11.48,11.48,10.35,10.35,20
2019-12-20,11.07,11.07,9.63,11.07,10060
2019-12-23,10.96,11.51,10.42,10.42,30
2019-12-24,9.73,10.89,9.7,10.35,2230
2019-12-25,10.83,10.83,10.83,10.83,10
2019-12-26,10.07,10.07,10.07,10.07,410
2019-12-27,10.28,10.28,10.21,10.21,30
2019-12-30,9.94,10.0,9.94,10.0,2010
2019-12-31,9.59,9.59,9.32,9.32,780
2020-01-02,9.32,9.35,9.32,9.35,150
2020-01-03,9.73,9.73,9.73,9.73,20
2020-01-06,9.49,9.49,9.08,9.08,50
2020-01-07,9.42,9.42,9.42,9.42,10
2020-01-08,9.42,9.42,9.42,9.42,0
2020-01-09,8.98,9.59,8.91,9.59,700
2020-01-10,10.11,10.11,9.87,10.11,30
2020-01-13,10.69,10.69,9.49,9.49,110
2020-01-14,10.04,10.04,9.94,9.94,260
2020-01-15,10.52,10.52,9.25,10.42,50
2020-01-16,9.7,10.86,9.7,9.7,3250
2020-01-17,10.04,10.04,10.04,10.04,10
2020-01-20,9.46,9.46,9.46,9.46,10
2020-01-21,8.84,9.9,8.84,9.9,20
2020-01-22,9.9,9.9,9.9,9.9,20
2020-01-30,9.28,9.28,9.28,9.28,10
2020-01-31,8.74,8.74,8.74,8.74,20
2020-02-03,8.15,8.91,8.15,8.91,20
2020-02-04,9.49,9.49,9.49,9.49,10
2020-02-05,9.49,9.49,9.49,9.49,10
2020-02-06,9.49,9.49,9.49,9.49,10
2020-02-07,9.46,10.04,9.46,10.04,2610
2020-02-10,10.59,10.59,10.04,10.59,200
2020-02-11,9.94,9.94,9.94,9.94,510
2020-02-12,9.94,10.48,9.94,10.48,870
2020-02-13,9.8,10.35,9.8,10.35,120
2020-02-14,10.31,10.35,10.31,10.35,540
2020-02-17,9.66,9.66,9.63,9.63,20
2020-02-18,9.63,10.28,9.63,10.28,110
2020-02-19,10.28,11.0,10.28,10.28,420
2020-02-20,10.28,10.96,10.28,10.96,150
2020-02-21,10.96,10.96,10.96,10.96,0
2020-02-24,10.24,10.24,10.24,10.24,10
2020-02-25,9.59,9.59,9.59,9.59,10
2020-02-26,10.21,10.21,10.21,10.21,20
2020-02-27,10.21,10.21,10.21,10.21,10
2020-02-28,10.21,10.21,10.21,10.21,100
2020-03-02,9.59,9.59,9.59,9.59,10
