date,open,high,low,close,volume
2019-09-24,5.12,5.12,5.12,5.12,0
2019-09-25,5.12,5.12,5.12,5.12,0
2019-09-26,5.12,5.12,5.12,5.12,0
2019-09-27,5.26,5.26,5.26,5.26,6500
2019-09-30,5.26,5.26,5.26,5.26,0
2019-10-01,5.26,5.26,5.26,5.26,0
2019-10-02,5.26,5.26,5.26,5.26,0
2019-10-03,5.26,5.26,5.26,5.26,0
2019-10-04,5.26,5.26,5.26,5.26,20
2019-10-07,5.26,5.26,5.26,5.26,0
2019-10-08,5.26,5.26,5.26,5.26,0
2019-10-09,5.26,5.26,5.26,5.26,0
2019-10-10,4.92,4.92,4.92,4.92,1900
2019-10-11,4.78,4.78,4.78,4.78,3544
2019-10-14,4.78,4.78,4.78,4.78,0
2019-10-15,4.78,4.78,4.78,4.78,0
2019-10-16,4.78,4.78,4.78,4.78,0
2019-10-17,4.78,4.78,4.78,4.78,0
2019-10-18,4.78,4.78,4.78,4.78,0
2019-10-21,4.78,4.78,4.78,4.78,0
2019-10-22,4.78,4.78,4.78,4.78,0
2019-10-23,4.78,4.78,4.78,4.78,0
2019-10-24,4.78,4.78,4.78,4.78,0
2019-10-25,4.78,4.78,4.78,4.78,0
2019-10-28,4.78,4.78,4.78,4.78,0
2019-10-29,4.78,4.78,4.78,4.78,0
2019-10-30,4.78,4.78,4.78,4.78,400
2019-10-31,4.78,4.78,4.78,4.78,200
2019-11-01,4.78,4.78,4.78,4.78,0
2019-11-04,4.78,4.78,4.78,4.78,0
2019-11-05,4.78,4.78,4.78,4.78,0
2019-11-06,4.78,4.78,4.78,4.78,0
2019-11-07,4.78,4.78,4.78,4.78,0
2019-11-08,4.78,4.78,4.78,4.78,0
2019-11-11,4.78,4.78,4.78,4.78,0
2019-11-12,4.78,4.78,4.78,4.78,0
2019-11-13,4.78,4.78,4.78,4.78,0
2019-11-14,4.85,4.85,4.85,4.85,1000
2019-11-15,4.85,4.85,4.85,4.85,0
2019-11-18,4.92,4.92,4.92,4.92,500
2019-11-19,4.92,4.92,4.92,4.92,0
2019-11-20,4.92,4.92,4.92,4.92,0
2019-11-21,4.92,4.92,4.92,4.92,0
2019-11-22,4.92,4.92,4.92,4.92,0
2019-11-25,4.92,4.92,4.92,4.92,0
2019-11-26,4.92,4.92,4.92,4.92,0
2019-11-27,4.92,4.92,4.92,4.92,0
2019-11-28,4.85,4.85,4.85,4.85,1500
2019-11-29,4.85,4.85,4.85,4.85,0
2019-12-02,4.85,4.85,4.85,4.85,0
2019-12-03,4.85,4.85,4.85,4.85,0
2019-12-04,4.85,4.85,4.85,4.85,0
2019-12-05,4.85,4.85,4.85,4.85,1000
2019-12-06,4.85,4.85,4.85,4.85,0
2019-12-09,4.85,4.85,4.85,4.85,0
2019-12-10,4.85,4.85,4.85,4.85,0
2019-12-11,4.85,4.85,4.85,4.85,0
2019-12-12,4.85,4.85,4.85,4.85,0
2019-12-13,4.85,4.85,4.85,4.85,0
2019-12-16,4.85,4.85,4.85,4.85,0
2019-12-17,4.85,4.85,4.85,4.85,0
2019-12-18,4.85,4.85,4.85,4.85,0
2019-12-19,4.85,4.85,4.85,4.85,0
2019-12-20,4.85,4.85,4.85,4.85,0
2019-12-23,4.85,4.85,4.85,4.85,0
2019-12-24,4.85,4.85,4.85,4.85,0
2019-12-25,4.85,4.85,4.85,4.85,0
2019-12-26,4.85,4.85,4.85,4.85,0
2019-12-27,4.85,4.85,4.85,4.85,0
2019-12-30,4.85,4.85,4.85,4.85,0
2019-12-31,4.85,4.85,4.85,4.85,0
2020-01-02,4.85,4.85,4.85,4.85,0
2020-01-03,4.85,4.85,4.85,4.85,0
2020-01-06,4.85,4.85,4.85,4.85,0
2020-01-07,4.85,4.85,4.85,4.85,0
2020-01-08,4.85,4.85,4.85,4.85,0
2020-01-09,4.85,4.85,4.85,4.85,0
2020-01-10,4.85,4.85,4.85,4.85,0
2020-01-13,4.85,4.85,4.85,4.85,30
2020-01-14,4.85,4.85,4.85,4.85,0
2020-01-15,4.85,4.85,4.85,4.85,0
2020-01-16,4.85,4.85,4.85,4.85,0
2020-01-17,4.85,4.85,4.85,4.85,0
2020-01-20,4.85,4.85,4.85,4.85,0
2020-01-21,4.85,4.85,4.85,4.85,0
2020-01-22,4.85,4.85,4.85,4.85,44
2020-01-30,4.85,4.85,4.85,4.85,0
2020-01-31,4.85,4.85,4.85,4.85,0
2020-02-03,4.85,4.85,4.85,4.85,0
2020-02-04,4.85,4.85,4.85,4.85,0
2020-02-05,4.85,4.85,4.85,4.85,0
2020-02-06,4.85,4.85,4.85,4.85,0
2020-02-07,4.85,4.85,4.85,4.85,0
2020-02-10,4.85,4.85,4.85,4.85,0
2020-02-11,4.85,4.85,4.85,4.85,0
2020-02-12,4.85,4.85,4.85,4.85,0
2020-02-13,4.85,4.85,4.85,4.85,0
2020-02-14,4.85,4.85,4.85,4.85,0
2020-02-17,4.85,4.85,4.85,4.85,0
2020-02-18,4.85,4.85,4.85,4.85,0
2020-02-19,4.85,4.85,4.85,4.85,0
2020-02-20,4.85,4.85,4.85,4.85,0
