date,open,high,low,close,volume
2019-08-21,39.28,39.28,39.28,39.28,0
2019-08-22,33.94,41.48,33.94,41.48,2901
2019-08-23,34.65,39.2,33.0,39.2,525
2019-08-26,34.57,39.2,39.2,39.2,0
2019-08-27,34.49,34.49,34.49,34.49,200
2019-08-28,34.49,34.49,34.49,34.49,1000
2019-08-29,37.47,38.81,34.49,38.57,2700
2019-08-30,34.96,38.57,38.57,38.57,0
2019-09-03,33.78,39.28,33.39,39.28,5800
2019-09-04,33.55,33.55,33.47,33.47,500
2019-09-05,33.55,33.47,33.47,33.47,0
2019-09-06,38.34,38.34,38.34,38.34,100
2019-09-09,38.34,38.34,38.34,38.34,0
2019-09-10,33.78,38.26,33.78,38.26,600
2019-09-11,33.39,37.87,31.82,37.87,1165
2019-09-12,35.2,35.2,35.2,35.2,100
2019-09-13,35.35,38.5,35.35,38.42,400
2019-09-16,37.55,38.42,38.42,38.42,0
2019-09-17,37.55,37.55,37.55,38.42,125
2019-09-18,37.55,38.42,38.42,38.42,0
2019-09-19,33.78,35.2,33.78,35.2,1510
2019-09-20,33.78,38.5,33.78,38.5,1600
2019-09-23,34.96,35.35,34.65,34.96,3260
2019-09-24,38.89,38.89,38.89,38.89,100
2019-09-25,38.89,38.89,38.89,38.89,0
2019-09-26,34.25,39.28,34.17,39.28,2700
2019-09-27,33.78,36.14,33.78,36.14,2000
2019-09-30,35.35,38.89,35.35,38.89,6100
2019-10-01,34.65,34.65,33.78,33.78,2306
2019-10-02,34.25,33.78,33.78,33.78,0
2019-10-03,34.25,33.78,33.78,33.78,0
2019-10-04,36.45,36.45,36.45,36.45,150
2019-10-07,36.37,36.37,35.35,35.35,200
2019-10-08,35.9,35.35,35.35,35.35,0
2019-10-09,35.9,35.35,35.35,35.35,0
2019-10-10,35.9,35.35,35.35,35.35,0
2019-10-11,36.53,36.53,36.53,36.53,121
2019-10-14,33.78,33.78,31.97,33.78,3700
2019-10-15,33.23,33.23,33.23,33.23,0
2019-10-16,33.0,33.0,33.0,33.0,500
2019-10-17,34.88,34.88,33.0,33.0,1300
2019-10-18,33.78,35.35,33.78,35.35,5617
2019-10-21,34.02,35.35,35.35,35.35,0
2019-10-22,34.02,34.02,34.02,35.35,60
2019-10-23,34.57,36.61,34.57,36.61,229
2019-10-24,35.59,36.61,36.61,36.61,0
2019-10-25,35.59,36.61,36.61,36.61,0
2019-10-28,32.52,32.52,32.52,32.52,100
2019-10-29,35.98,35.98,35.98,35.98,150
2019-10-30,35.98,35.98,35.98,35.98,0
2019-10-31,36.45,36.45,30.64,35.98,200
2019-11-01,34.57,34.57,34.57,34.57,100
2019-11-04,36.3,36.3,36.3,36.3,100
2019-11-05,34.57,34.57,34.57,34.57,100
2019-11-06,34.57,34.57,34.57,34.57,0
2019-11-07,36.77,36.77,36.77,36.77,100
2019-11-08,36.37,36.37,36.37,36.37,1500
2019-11-11,36.85,36.85,36.85,36.85,200
2019-11-12,36.85,36.85,36.85,36.85,0
2019-11-13,37.16,37.16,36.53,36.53,600
2019-11-14,36.85,36.53,36.53,36.53,0
2019-11-15,36.85,36.53,36.53,36.53,0
2019-11-18,36.85,36.53,36.53,36.53,0
2019-11-19,36.85,36.53,36.53,36.53,0
2019-11-20,36.85,36.53,36.53,36.53,0
2019-11-21,34.57,34.57,34.57,34.57,600
2019-11-22,36.37,37.63,36.37,37.63,700
2019-11-25,37.08,37.08,33.78,34.57,1700
2019-11-26,36.77,36.77,36.77,36.77,600
2019-11-27,36.77,36.77,36.77,36.77,0
