date,open,high,low,close,volume
2019-09-26,63.77,63.93,63.36,63.52,220020
2019-09-27,63.93,64.66,63.68,64.25,570790
2019-09-30,64.25,64.33,63.52,63.52,562880
2019-10-01,63.93,64.01,63.2,63.77,246870
2019-10-02,63.93,63.93,62.31,62.31,700310
2019-10-03,62.31,63.12,61.82,63.12,390570
2019-10-04,63.12,63.52,62.39,62.63,165650
2019-10-07,62.63,62.88,61.9,61.9,357580
2019-10-08,62.15,62.71,61.99,62.23,258070
2019-10-09,62.23,62.47,61.99,62.31,223030
2019-10-10,62.31,62.71,62.07,62.31,417560
2019-10-11,62.55,62.63,62.15,62.31,560570
2019-10-14,62.47,62.63,61.99,61.99,199640
2019-10-15,61.99,63.68,61.99,63.28,411850
2019-10-16,63.52,63.52,62.96,62.96,323340
2019-10-17,62.96,63.12,62.31,62.31,818380
2019-10-18,62.31,62.71,61.5,61.5,448610
2019-10-21,61.5,61.5,60.45,60.69,769240
2019-10-22,60.69,61.01,59.96,60.21,431650
2019-10-23,60.29,61.5,60.29,61.34,387600
2019-10-24,61.5,61.5,60.85,61.18,272770
2019-10-25,61.18,61.18,60.29,60.37,479400
2019-10-28,60.45,60.69,60.29,60.29,502510
2019-10-29,60.29,60.61,59.88,59.88,483230
2019-10-30,60.37,60.53,59.72,59.88,638330
2019-10-31,60.69,60.93,59.72,60.04,908640
2019-11-01,60.29,61.5,60.29,61.26,1597000
2019-11-04,61.66,62.39,61.66,61.74,890560
2019-11-05,61.74,61.82,61.18,61.5,764730
2019-11-06,61.42,62.07,61.42,61.5,537760
2019-11-07,61.5,61.9,61.26,61.9,431590
2019-11-08,62.47,62.63,61.99,62.15,586260
2019-11-11,62.07,62.07,60.29,60.29,1140280
2019-11-12,60.37,60.85,60.29,60.69,399080
2019-11-13,60.85,60.85,60.12,60.12,645910
2019-11-14,60.21,60.93,60.21,60.85,477280
2019-11-15,60.85,60.85,60.29,60.29,275160
2019-11-18,60.69,60.69,60.21,60.21,222090
2019-11-19,60.29,60.61,59.8,59.88,542900
2019-11-20,59.88,60.29,59.56,59.56,283120
2019-11-21,59.07,59.72,57.86,57.86,843260
2019-11-22,58.75,58.99,56.56,57.05,797010
2019-11-25,57.13,57.94,57.05,57.86,311430
2019-11-26,58.1,58.75,57.86,57.86,561680
2019-11-27,57.86,58.26,57.37,57.45,213600
2019-11-28,57.13,57.45,55.51,56.24,608710
2019-11-29,56.24,56.97,55.75,56.64,302310
2019-12-02,57.05,57.05,55.84,55.84,273550
2019-12-03,55.59,55.92,51.95,51.95,2271640
2019-12-04,51.87,51.95,48.47,50.58,5523420
2019-12-05,50.58,50.58,48.96,50.17,1458980
2019-12-06,49.77,51.55,49.6,50.58,1617700
2019-12-09,50.41,50.49,48.8,48.96,1422780
2019-12-10,48.96,49.28,45.8,45.8,2722140
2019-12-11,45.48,46.53,44.02,45.07,2330190
2019-12-12,45.32,47.58,45.32,47.34,1874500
2019-12-13,47.74,48.07,46.12,46.93,1736100
2019-12-16,46.37,46.77,45.88,45.88,1297380
2019-12-17,45.96,46.04,45.07,45.4,1132900
2019-12-18,45.32,46.12,44.51,45.64,1110730
2019-12-19,45.32,45.64,44.91,44.99,831960
2019-12-20,44.99,45.07,44.18,44.51,1799670
2019-12-23,44.99,45.23,41.76,41.76,2225100
2019-12-24,41.84,44.26,40.62,44.1,1401890
2019-12-25,44.34,45.48,44.1,45.07,1310750
2019-12-26,44.51,47.02,44.43,46.12,1900250
2019-12-27,45.72,46.45,45.32,46.04,629490
2019-12-30,46.12,46.93,45.96,46.21,887370
2019-12-31,46.21,46.37,45.23,45.72,695750
2020-01-02,46.04,46.45,45.56,46.12,518870
2020-01-03,46.29,46.69,45.96,46.53,777690
2020-01-06,46.53,46.53,45.8,45.8,582020
2020-01-07,45.96,46.37,45.88,45.96,319680
2020-01-08,45.48,45.72,44.99,45.32,737690
2020-01-09,45.8,46.29,45.72,46.12,505680
2020-01-10,46.12,46.69,45.72,45.72,524930
2020-01-13,45.8,46.21,45.64,46.12,413810
2020-01-14,46.12,46.37,45.8,45.8,349410
2020-01-15,46.12,46.12,45.32,45.72,373290
2020-01-16,45.72,46.04,45.48,45.48,290210
2020-01-17,45.4,45.64,44.51,44.51,496940
2020-01-20,44.51,44.59,42.89,43.94,541490
2020-01-21,43.94,44.43,43.78,44.1,369330
2020-01-22,43.86,44.18,43.13,43.21,540210
2020-01-30,42.08,42.89,40.46,40.54,1591110
2020-01-31,40.54,41.84,40.46,40.54,791350
2020-02-03,37.79,40.46,37.71,40.46,1290570
2020-02-04,40.54,41.27,40.06,40.46,744900
2020-02-05,40.87,40.87,39.81,40.46,750710
2020-02-06,40.42,40.42,38.44,40.38,2389970
2020-02-07,40.3,40.38,39.49,40.38,932290
2020-02-10,40.38,40.38,39.49,40.38,600280
2020-02-11,39.81,41.84,39.81,40.38,2081860
2020-02-12,40.46,41.03,40.46,40.87,804720
2020-02-13,41.03,41.19,40.54,40.62,547970
2020-02-14,40.62,40.62,40.02,40.3,1120310
2020-02-17,40.3,40.3,39.61,40.22,1492320
2020-02-18,39.89,40.22,39.81,40.22,591220
2020-02-19,40.14,41.84,40.14,40.78,1818680
2020-02-20,41.19,41.59,40.78,41.35,1365480
2020-02-21,41.67,43.7,41.67,42.89,2061050
2020-02-24,41.76,42.48,41.27,41.35,1429040
2020-02-25,40.87,41.51,40.3,40.95,896710
2020-02-26,40.3,40.7,39.65,40.26,1252450
2020-02-27,39.81,40.3,39.49,40.22,1642080
2020-02-28,40.22,40.22,38.6,39.65,2255610
2020-03-02,39.13,39.65,38.72,39.65,1588150
2020-03-03,39.81,40.3,39.25,39.65,1225730
2020-03-04,39.57,39.93,39.37,39.65,909830
2020-03-05,40.02,42.08,39.77,41.19,1780900
2020-03-06,41.11,44.02,40.54,44.02,2794380
2020-03-09,42.89,45.96,41.27,42.08,4205130
2020-03-10,42.81,43.54,42.08,42.4,2386840
2020-03-11,43.13,43.13,39.81,40.42,2637580
2020-03-12,38.19,40.42,37.63,40.42,4072710
2020-03-13,37.63,40.42,37.63,40.34,3783330
2020-03-16,39.65,40.3,38.44,40.06,3216820
2020-03-17,38.84,40.06,38.6,40.06,3877150
2020-03-18,40.06,40.22,39.49,39.98,2170340
2020-03-19,39.25,39.81,38.88,39.81,3350310
2020-03-20,39.65,39.81,38.68,39.81,4120820
2020-03-23,38.92,39.81,37.55,39.81,5025020
2020-03-24,39.25,39.73,39.08,39.73,3558350
2020-03-25,39.65,40.22,39.25,39.73,2857290
2020-03-26,39.65,39.81,39.29,39.65,2763490
2020-03-27,39.41,41.27,39.25,39.89,2587920
2020-03-30,39.25,39.73,39.17,39.73,1378940
2020-03-31,39.73,40.38,39.0,39.65,3667100
2020-04-01,39.49,40.46,39.49,39.81,1725880
2020-04-03,40.14,42.32,40.06,42.32,1841480
2020-04-06,43.13,45.23,42.97,45.23,2556830
2020-04-07,45.96,47.26,44.59,46.53,2099700
2020-04-08,45.4,47.66,44.91,47.66,1338040
2020-04-09,47.66,48.31,47.02,48.07,2047890
2020-04-10,47.74,50.58,47.18,48.71,1914340
2020-04-13,48.71,49.69,47.02,47.02,2106950
2020-04-14,46.93,49.36,46.29,49.36,1449880
2020-04-15,49.36,50.41,49.12,49.28,1106350
2020-04-16,48.23,49.52,48.23,49.2,981480
2020-04-17,49.36,49.69,48.96,49.04,1417150
2020-04-20,49.04,49.36,48.07,48.07,1843690
