date,open,high,low,close,volume
2019-06-19,2.25,2.25,2.25,2.25,300
2019-06-20,2.25,2.25,2.25,2.25,2000
2019-06-21,2.53,2.53,2.53,2.53,100
2019-06-24,2.53,2.53,2.53,2.53,0
2019-06-25,2.53,2.53,2.53,2.53,0
2019-06-26,2.16,2.16,2.16,2.16,200
2019-06-27,2.16,2.16,2.16,2.16,0
2019-06-28,2.16,2.16,2.16,2.16,0
2019-07-01,2.16,2.16,2.16,2.16,0
2019-07-02,2.16,2.16,2.16,2.16,0
2019-07-03,2.16,2.16,2.16,2.16,0
2019-07-04,2.07,2.44,2.07,2.16,800
2019-07-05,2.16,2.44,2.44,2.44,0
2019-07-08,2.16,2.16,2.16,2.16,100
2019-07-09,2.16,2.16,2.16,2.16,0
2019-07-10,2.16,2.16,2.16,2.16,0
2019-07-11,2.16,2.16,2.16,2.16,0
2019-07-12,2.16,2.16,2.16,2.16,0
2019-07-15,2.16,2.16,2.16,2.16,1500
2019-07-16,2.16,2.16,2.16,2.16,0
2019-07-17,2.07,2.44,1.89,2.44,7000
2019-07-18,2.53,2.53,2.53,2.53,11400
2019-07-19,2.25,2.25,2.25,2.25,2100
2019-07-22,2.25,2.25,2.25,2.25,300
2019-07-23,2.25,2.25,2.25,2.25,9900
2019-07-24,2.25,2.25,2.25,2.25,1500
2019-07-25,2.25,2.25,2.25,2.25,0
2019-07-26,2.16,2.16,2.16,2.16,100
2019-07-29,2.16,2.16,2.16,2.16,0
2019-07-30,2.16,2.16,2.16,2.16,0
2019-07-31,2.16,2.16,2.16,2.16,0
2019-08-01,2.16,2.16,2.16,2.16,0
2019-08-02,2.16,2.16,2.16,2.16,0
2019-08-05,2.16,2.16,2.16,2.16,0
2019-08-06,2.16,2.16,2.16,2.16,3400
2019-08-07,2.16,2.16,2.16,2.16,10000
2019-08-08,2.16,2.16,2.16,2.16,0
2019-08-09,2.16,2.16,2.16,2.16,0
2019-08-12,2.16,2.16,2.16,2.16,0
2019-08-13,2.16,2.16,2.16,2.16,10
2019-08-14,2.16,2.16,2.16,2.16,0
2019-08-15,2.16,2.16,2.16,2.16,0
2019-08-16,2.16,2.16,2.16,2.16,0
2019-08-19,2.34,2.34,2.34,2.34,500
2019-08-20,2.34,2.34,2.34,2.34,0
2019-08-21,2.34,2.34,2.34,2.34,0
2019-08-22,2.16,2.16,2.16,2.16,100
2019-08-23,2.44,2.44,2.44,2.44,10200
2019-08-26,2.44,2.44,2.44,2.44,0
2019-08-27,2.44,2.44,2.44,2.44,0
2019-08-28,2.44,2.44,2.44,2.44,0
2019-08-29,2.44,2.44,2.44,2.44,0
2019-08-30,2.44,2.44,2.44,2.44,0
2019-09-03,2.44,2.44,2.44,2.44,0
2019-09-04,2.44,2.44,2.44,2.44,0
2019-09-05,2.8,2.8,2.8,2.8,2500
2019-09-06,2.8,2.8,2.8,2.8,0
2019-09-09,2.8,2.8,2.8,2.8,0
2019-09-10,2.8,2.8,2.8,2.8,0
2019-09-11,2.8,2.8,2.8,2.8,0
2019-09-12,2.8,2.8,2.8,2.8,0
2019-09-13,2.8,2.8,2.8,2.8,0
2019-09-16,2.8,2.8,2.8,2.8,0
2019-09-17,2.44,2.44,2.44,2.44,100
2019-09-18,2.44,2.44,2.44,2.44,0
