date,open,high,low,close,volume
2019-09-18,3.88,3.88,3.64,3.67,1280
2019-09-19,3.88,3.92,3.88,3.92,17020
2019-09-20,3.92,3.92,3.92,3.92,12000
2019-09-23,3.92,3.92,3.92,3.92,0
2019-09-24,3.92,3.92,3.92,3.92,0
2019-09-25,3.92,3.92,3.92,3.92,0
2019-09-26,3.92,3.92,3.92,3.92,0
2019-09-27,3.73,3.73,3.65,3.65,500
2019-09-30,3.9,3.9,3.87,3.87,6310
2019-10-01,3.73,3.73,3.73,3.73,20
2019-10-02,3.93,3.93,3.83,3.83,310
2019-10-03,3.83,3.83,3.83,3.83,0
2019-10-04,3.56,3.56,3.56,3.56,20
2019-10-07,3.56,3.56,3.56,3.56,290
2019-10-08,3.81,3.81,3.81,3.81,10
2019-10-09,4.07,4.07,3.64,3.64,30
2019-10-10,3.89,3.89,3.89,3.89,1760
2019-10-11,3.89,3.89,3.89,3.89,0
2019-10-14,4.15,4.15,4.15,4.15,10
2019-10-15,4.15,4.15,4.15,4.15,0
2019-10-16,4.15,4.15,4.15,4.15,0
2019-10-17,4.15,4.15,4.15,4.15,0
2019-10-18,4.19,4.19,4.19,4.19,20
2019-10-21,4.33,4.33,4.33,4.33,50
2019-10-22,4.33,4.33,4.33,4.33,0
2019-10-23,4.33,4.33,4.33,4.33,0
2019-10-24,4.33,4.33,4.33,4.33,0
2019-10-25,4.33,4.33,4.33,4.33,0
2019-10-28,4.33,4.33,4.33,4.33,0
2019-10-29,4.58,4.64,4.58,4.64,1300
2019-10-30,4.64,4.64,4.64,4.64,0
2019-10-31,4.64,4.64,4.64,4.64,0
2019-11-01,4.64,4.64,4.64,4.64,0
2019-11-04,4.64,4.64,4.64,4.64,0
2019-11-05,4.96,4.96,4.96,4.96,2140
2019-11-06,4.77,4.77,4.61,4.74,560
2019-11-07,4.74,4.74,4.74,4.74,0
2019-11-08,4.41,4.41,4.41,4.41,100
2019-11-11,4.41,4.41,4.41,4.41,0
2019-11-12,4.41,4.41,4.41,4.41,0
2019-11-13,4.41,4.41,4.41,4.41,0
2019-11-14,4.41,4.41,4.41,4.41,0
2019-11-15,4.41,4.41,4.41,4.41,0
2019-11-18,4.72,4.72,4.72,4.72,10
2019-11-19,4.39,4.72,4.39,4.72,29370
