date,open,high,low,close,volume
2019-09-26,4.37,4.37,4.37,4.37,3000
2019-09-27,4.37,4.37,4.29,4.29,6600
2019-09-30,4.29,4.37,4.29,4.37,23710
2019-10-01,4.37,4.37,4.29,4.29,11300
2019-10-02,4.37,4.44,4.29,4.29,52100
2019-10-03,4.37,4.37,4.37,4.37,800
2019-10-04,4.37,4.37,4.37,4.37,200
2019-10-07,4.37,4.37,4.37,4.37,0
2019-10-08,4.37,4.37,4.37,4.37,18900
2019-10-09,4.37,4.37,4.37,4.37,20700
2019-10-10,4.37,4.37,4.37,4.37,13100
2019-10-11,4.37,4.37,4.37,4.37,120
2019-10-14,4.37,4.37,4.37,4.37,0
2019-10-15,4.37,4.37,4.29,4.29,300
2019-10-16,4.29,4.37,4.29,4.37,5500
2019-10-17,4.44,4.44,4.37,4.37,14500
2019-10-18,4.37,4.44,4.37,4.44,24303
2019-10-21,4.44,4.51,4.44,4.51,15332
2019-10-22,4.51,4.51,4.51,4.51,19800
2019-10-23,4.51,4.51,4.51,4.51,15167
2019-10-24,4.51,4.51,4.44,4.44,16800
2019-10-25,4.44,4.44,4.44,4.44,9000
2019-10-28,4.44,4.44,4.44,4.44,4000
2019-10-29,4.44,4.44,4.37,4.37,2200
2019-10-30,4.44,4.44,4.44,4.44,3700
2019-10-31,4.44,4.51,4.44,4.51,17120
2019-11-01,4.51,4.51,4.51,4.51,5100
2019-11-04,4.51,4.51,4.51,4.51,6000
2019-11-05,4.51,4.51,4.51,4.51,1000
2019-11-06,4.51,4.51,4.51,4.51,0
2019-11-07,4.44,4.44,4.44,4.44,7000
2019-11-08,4.51,4.51,4.51,4.51,11000
2019-11-11,4.51,4.51,4.51,4.51,18100
2019-11-12,4.51,4.51,4.44,4.44,9100
2019-11-13,4.51,4.51,4.44,4.44,46400
2019-11-14,4.51,4.51,4.51,4.51,5200
2019-11-15,4.51,4.51,4.51,4.51,18400
2019-11-18,4.51,4.51,4.51,4.51,2600
2019-11-19,4.51,4.51,4.44,4.44,14400
2019-11-20,4.44,4.44,4.44,4.44,100
2019-11-21,4.44,4.51,4.44,4.51,6300
2019-11-22,4.51,4.51,4.44,4.44,33300
2019-11-25,4.44,4.51,4.44,4.44,27500
2019-11-26,4.44,4.44,4.44,4.44,0
2019-11-27,4.44,4.44,4.44,4.44,0
2019-11-28,4.51,4.51,4.44,4.44,2100
2019-11-29,4.51,4.51,4.51,4.51,5000
2019-12-02,4.51,4.51,4.44,4.44,17000
2019-12-03,4.44,4.44,4.44,4.44,32800
2019-12-04,4.51,4.51,4.51,4.51,10500
2019-12-05,4.51,4.51,4.51,4.51,15600
2019-12-06,4.51,4.51,4.51,4.51,8800
2019-12-09,4.51,4.51,4.44,4.51,30700
2019-12-10,4.51,4.51,4.44,4.44,23300
2019-12-11,4.44,4.44,4.44,4.44,29
2019-12-12,4.44,4.44,4.44,4.44,6150
2019-12-13,4.51,4.51,4.44,4.44,1600
2019-12-16,4.44,4.44,4.44,4.44,0
2019-12-17,4.51,4.51,4.51,4.51,600
2019-12-18,4.51,4.51,4.44,4.44,9700
2019-12-19,4.51,4.51,4.51,4.51,1100
2019-12-20,4.51,4.51,4.51,4.51,0
2019-12-23,4.59,4.59,4.59,4.59,1000
2019-12-24,4.59,4.59,4.59,4.59,3600
2019-12-25,4.59,4.59,4.59,4.59,3600
2019-12-26,4.59,4.59,4.59,4.59,2800
2019-12-27,4.59,4.59,4.59,4.59,6800
2019-12-30,4.59,4.73,4.59,4.73,18200
2019-12-31,4.66,4.8,4.66,4.8,6700
2020-01-02,4.8,4.8,4.73,4.73,39881
2020-01-03,4.73,4.73,4.73,4.73,0
2020-01-06,4.73,4.73,4.73,4.73,6200
2020-01-07,4.73,4.73,4.66,4.66,22000
2020-01-08,4.66,4.73,4.66,4.66,5600
2020-01-09,4.66,4.66,4.66,4.66,21200
2020-01-10,4.66,4.66,4.66,4.66,21300
2020-01-13,4.66,4.66,4.66,4.66,34800
2020-01-14,4.66,4.66,4.66,4.66,29000
2020-01-15,4.66,4.66,4.66,4.66,15000
2020-01-16,4.66,4.66,4.66,4.66,26500
2020-01-17,4.66,4.66,4.66,4.66,30400
2020-01-20,4.66,4.73,4.66,4.73,23100
2020-01-21,4.73,4.73,4.59,4.59,59700
2020-01-22,4.66,4.66,4.59,4.59,40300
2020-01-30,4.59,4.66,4.59,4.59,37107
2020-01-31,4.66,4.66,4.59,4.59,29853
2020-02-03,4.59,4.59,4.51,4.59,30800
2020-02-04,4.51,4.51,4.51,4.51,48600
