date,open,high,low,close,volume
2019-07-03,35.84,38.4,38.4,38.4,0
2019-07-04,35.84,35.84,35.84,35.84,0
2019-07-05,33.28,35.84,33.28,35.84,200
2019-07-08,32.0,32.0,32.0,32.0,100
2019-07-09,32.0,32.0,32.0,32.0,0
2019-07-10,32.0,32.0,32.0,32.0,0
2019-07-11,32.0,32.0,32.0,32.0,0
2019-07-12,36.78,36.78,36.78,36.78,1500
2019-07-15,31.66,31.66,31.66,31.66,100
2019-07-16,31.66,31.66,31.66,31.66,0
2019-07-17,31.66,31.66,31.66,31.66,0
2019-07-18,31.66,31.66,31.66,31.66,0
2019-07-19,31.66,31.66,31.66,31.66,0
2019-07-22,31.66,31.66,31.66,31.66,0
2019-07-23,31.66,31.66,31.66,31.66,0
2019-07-24,31.66,31.66,31.66,31.66,0
2019-07-25,31.66,31.66,31.66,31.66,0
2019-07-26,31.66,31.66,31.66,31.66,0
2019-07-29,31.66,31.66,31.66,31.66,0
2019-07-30,31.66,31.66,31.66,31.66,0
2019-07-31,31.66,31.66,31.66,31.66,0
2019-08-01,31.66,31.66,31.66,31.66,0
2019-08-02,31.66,31.66,31.66,31.66,0
2019-08-05,31.66,31.66,31.66,31.66,0
2019-08-06,31.66,31.66,31.66,31.66,0
2019-08-07,31.66,31.66,31.66,31.66,0
2019-08-08,31.66,31.66,31.66,31.66,0
2019-08-09,31.66,31.66,31.66,31.66,0
2019-08-12,31.66,31.66,31.66,31.66,0
2019-08-13,31.66,31.66,31.66,31.66,0
2019-08-14,31.66,31.66,31.66,31.66,0
2019-08-15,31.66,31.66,31.66,31.66,0
2019-08-16,31.66,31.66,31.66,31.66,0
2019-08-19,31.66,31.66,31.66,31.66,0
2019-08-20,31.66,31.66,31.66,31.66,0
2019-08-21,31.66,31.66,31.66,31.66,0
2019-08-22,31.66,31.66,31.66,31.66,0
2019-08-23,31.66,31.66,31.66,31.66,0
2019-08-26,31.66,31.66,31.66,31.66,0
2019-08-27,31.66,31.66,31.66,31.66,0
2019-08-28,31.66,31.66,31.66,31.66,0
2019-08-29,31.66,31.66,31.66,31.66,0
2019-08-30,36.35,36.35,36.35,36.35,500
2019-09-03,36.35,36.35,36.35,36.35,0
2019-09-04,36.35,36.35,36.35,36.35,0
2019-09-05,34.99,34.99,34.99,34.99,500
2019-09-06,34.99,34.99,34.99,34.99,0
2019-09-09,40.11,40.19,40.11,40.19,1100
2019-09-10,42.67,42.67,42.67,42.67,3000
2019-09-11,42.67,42.67,42.67,42.67,0
2019-09-12,42.67,42.67,42.67,42.67,0
2019-09-13,42.67,42.67,42.67,42.67,0
2019-09-16,40.96,42.67,40.96,42.67,2000
2019-09-17,40.96,40.96,40.96,40.96,3100
2019-09-18,41.82,42.67,41.82,42.67,1200
2019-09-19,36.7,36.7,36.7,36.7,300
2019-09-20,42.07,42.07,42.07,42.07,400
2019-09-23,35.93,35.93,35.93,35.93,100
2019-09-24,34.73,34.73,34.73,34.73,1400
2019-09-25,34.73,34.73,34.73,34.73,0
2019-09-26,34.73,34.73,34.73,34.73,0
2019-09-27,34.73,34.73,34.73,34.73,40
2019-09-30,34.73,34.73,34.73,34.73,0
2019-10-01,34.73,34.73,34.73,34.73,0
2019-10-02,34.73,34.73,34.73,34.73,10
2019-10-03,39.94,39.94,39.94,39.94,100
2019-10-04,39.94,39.94,39.94,39.94,30
2019-10-07,42.67,42.67,40.96,40.96,600
2019-10-08,38.49,38.49,38.49,38.49,100
2019-10-09,41.39,42.67,41.39,42.67,1500
2019-10-10,42.67,42.67,42.67,42.67,500
2019-10-11,42.67,42.67,42.67,42.67,0
2019-10-14,42.67,42.67,42.67,42.67,1000
2019-10-15,49.07,49.07,49.07,49.07,2100
2019-10-16,49.07,49.07,49.07,49.07,0
2019-10-17,41.73,41.73,41.73,41.73,100
2019-10-18,36.27,36.27,36.27,36.27,100
2019-10-21,36.27,36.27,36.27,36.27,0
2019-10-22,36.27,36.27,36.27,36.27,0
2019-10-23,34.82,34.82,34.82,34.82,100
2019-10-24,34.82,34.82,34.82,34.82,0
2019-10-25,40.02,40.02,40.02,40.02,100
2019-10-28,42.67,42.67,42.67,42.67,2000
2019-10-29,42.67,42.67,42.67,42.67,0
2019-10-30,42.67,42.67,42.67,42.67,0
2019-10-31,43.52,43.52,36.44,42.67,1100
2019-11-01,42.84,36.44,36.44,36.44,0
2019-11-04,42.84,36.44,36.44,36.44,0
2019-11-05,42.84,36.44,36.44,36.44,0
2019-11-06,42.84,36.44,36.44,36.44,0
2019-11-07,42.84,36.44,36.44,36.44,0
2019-11-08,36.7,36.7,36.7,36.7,100
2019-11-11,42.16,42.16,42.16,42.16,100
2019-11-12,42.16,42.16,42.16,42.16,0
2019-11-13,42.16,42.16,42.16,42.16,0
2019-11-14,42.16,42.16,42.16,42.16,0
2019-11-15,42.16,42.16,42.16,42.16,0
2019-11-18,42.67,42.67,42.67,42.67,3000
2019-11-19,42.67,42.67,42.67,42.67,0
2019-11-20,42.67,42.67,42.67,42.67,0
2019-11-21,42.67,42.67,42.67,42.67,0
2019-11-22,42.67,42.67,42.67,42.67,0
2019-11-25,36.7,36.7,36.7,36.7,100
2019-11-26,36.7,36.7,36.7,36.7,0
2019-11-27,34.99,34.99,34.99,34.99,100
2019-11-28,34.99,34.99,34.99,34.99,0
2019-11-29,34.99,34.99,34.99,34.99,0
2019-12-02,34.99,34.99,34.99,34.99,0
2019-12-03,34.99,34.99,34.99,34.99,0
2019-12-04,34.99,34.99,34.99,34.99,0
2019-12-05,34.99,34.99,34.99,34.99,0
2019-12-06,34.99,34.99,34.99,34.99,0
2019-12-09,32.94,32.94,32.94,32.94,100
2019-12-10,32.94,32.94,32.94,32.94,0
2019-12-11,32.94,32.94,32.94,32.94,0
2019-12-12,32.94,32.94,32.94,32.94,0
2019-12-13,32.94,32.94,32.94,32.94,0
2019-12-16,32.94,32.94,32.94,32.94,0
2019-12-17,32.94,32.94,32.94,32.94,0
2019-12-18,32.94,32.94,32.94,32.94,0
2019-12-19,32.94,32.94,32.94,32.94,0
2019-12-20,32.94,32.94,32.94,32.94,0
2019-12-23,32.94,32.94,32.94,32.94,0
2019-12-24,32.94,32.94,32.94,32.94,0
2019-12-25,32.94,32.94,32.94,32.94,0
2019-12-26,32.94,32.94,32.94,32.94,0
2019-12-27,37.8,37.8,37.8,37.8,100
2019-12-30,43.44,43.44,43.44,43.44,500
2019-12-31,37.89,42.67,37.04,42.67,500
2020-01-02,42.93,42.93,42.93,42.93,100
2020-01-03,42.93,42.93,42.93,42.93,0
2020-01-06,42.93,42.93,42.93,42.93,0
2020-01-07,43.52,43.52,43.52,43.52,200
2020-01-08,42.75,42.75,42.75,42.75,100
2020-01-09,47.79,47.79,47.79,47.79,100
2020-01-10,47.79,47.79,47.79,47.79,0
2020-01-13,47.79,47.79,47.79,47.79,0
2020-01-14,47.79,47.79,47.79,47.79,0
2020-01-15,47.79,47.79,47.79,47.79,0
2020-01-16,47.79,47.79,47.79,47.79,0
2020-01-17,47.79,47.79,47.79,47.79,0
2020-01-20,47.79,47.79,47.79,47.79,0
2020-01-21,47.79,47.79,47.79,47.79,0
2020-01-22,47.79,47.79,47.79,47.79,0
2020-01-30,47.79,47.79,47.79,47.79,0
2020-01-31,47.79,47.79,47.79,47.79,0
2020-02-03,47.79,47.79,47.79,47.79,0
2020-02-04,47.79,47.79,47.79,47.79,0
2020-02-05,47.79,47.79,47.79,47.79,0
2020-02-06,41.05,41.05,41.05,41.05,100
2020-02-07,36.1,46.94,36.1,46.94,200
2020-02-10,41.56,46.94,46.94,46.94,0
2020-02-11,41.56,46.94,46.94,46.94,0
2020-02-12,41.56,46.94,46.94,46.94,0
2020-02-13,41.56,46.94,46.94,46.94,0
2020-02-14,41.56,46.94,46.94,46.94,0
2020-02-17,47.79,47.79,47.79,47.79,400
2020-02-18,47.79,47.79,47.79,47.79,0
2020-02-19,47.79,47.79,47.79,47.79,0
2020-02-20,47.79,47.79,47.79,47.79,0
2020-02-21,47.79,47.79,47.79,47.79,0
2020-02-24,47.79,47.79,47.79,47.79,0
2020-02-25,47.79,47.79,47.79,47.79,0
2020-02-26,47.79,47.79,47.79,47.79,0
2020-02-27,47.79,47.79,47.79,47.79,0
2020-02-28,47.79,47.79,47.79,47.79,0
2020-03-02,47.79,47.79,47.79,47.79,0
2020-03-03,47.79,47.79,47.79,47.79,0
2020-03-04,47.79,47.79,47.79,47.79,0
2020-03-05,47.79,47.79,47.79,47.79,0
2020-03-06,47.79,47.79,47.79,47.79,0
2020-03-09,47.79,47.79,47.79,47.79,0
2020-03-10,47.79,47.79,47.79,47.79,0
2020-03-11,47.79,47.79,47.79,47.79,0
2020-03-12,47.79,47.79,47.79,47.79,0
2020-03-13,41.39,45.23,41.39,42.75,5600
2020-03-16,45.23,47.79,42.75,43.1,43800
2020-03-17,47.53,43.1,43.1,43.1,0
2020-03-18,41.05,41.05,41.05,41.05,100
2020-03-19,41.05,41.05,41.05,41.05,0
2020-03-20,41.05,41.05,41.05,41.05,0
2020-03-23,35.07,35.07,35.07,35.07,100
2020-03-24,29.95,29.95,29.95,29.95,100
2020-03-25,29.95,29.95,29.95,29.95,0
2020-03-26,29.95,29.95,29.95,29.95,0
2020-03-27,29.95,29.95,29.95,29.95,0
2020-03-30,29.95,29.95,29.95,29.95,0
2020-03-31,29.95,29.95,29.95,29.95,0
2020-04-01,29.95,29.95,29.95,29.95,0
2020-04-03,29.95,29.95,29.95,29.95,0
2020-04-06,29.95,29.95,29.95,29.95,0
2020-04-07,29.95,29.95,29.95,29.95,0
2020-04-08,29.95,29.95,29.95,29.95,0
2020-04-09,29.95,29.95,29.95,29.95,0
2020-04-10,29.95,29.95,29.95,29.95,0
2020-04-13,29.95,29.95,29.95,29.95,0
2020-04-14,29.95,29.95,29.95,29.95,0
2020-04-15,29.95,29.95,29.95,29.95,0
2020-04-16,29.95,29.95,29.95,29.95,0
2020-04-17,29.95,29.95,29.95,29.95,0
2020-04-20,29.95,29.95,29.95,29.95,0
2020-04-21,29.95,29.95,29.95,29.95,0
2020-04-22,29.95,29.95,29.95,29.95,0
2020-04-23,29.95,29.95,29.95,29.95,0
2020-04-24,29.95,29.95,29.95,29.95,0
2020-04-27,29.95,29.95,29.95,29.95,0
2020-04-28,29.95,29.95,29.95,29.95,0
2020-04-29,29.95,29.95,29.95,29.95,0
2020-05-04,29.95,29.95,29.95,29.95,0
2020-05-05,29.95,29.95,29.95,29.95,0
2020-05-06,29.95,29.95,29.95,29.95,0
2020-05-07,29.95,29.95,29.95,29.95,0
2020-05-08,29.95,29.95,29.95,29.95,0
2020-05-11,29.95,29.95,29.95,29.95,0
2020-05-12,29.95,29.95,29.95,29.95,0
2020-05-13,29.95,29.95,29.95,29.95,0
2020-05-14,29.95,29.95,29.95,29.95,0
2020-05-15,29.95,29.95,29.95,29.95,0
2020-05-18,29.95,29.95,29.95,29.95,0
2020-05-19,29.95,29.95,29.95,29.95,0
2020-05-20,29.95,29.95,29.95,29.95,0
2020-05-21,29.95,29.95,29.95,29.95,0
2020-05-22,29.95,29.95,29.95,29.95,0
2020-05-25,29.95,29.95,29.95,29.95,0
2020-05-26,29.95,29.95,29.95,29.95,0
2020-05-27,29.95,29.95,29.95,29.95,0
2020-05-28,29.95,29.95,29.95,29.95,0
2020-05-29,29.95,29.95,29.95,29.95,0
2020-06-01,29.95,29.95,29.95,29.95,0
2020-06-02,29.95,29.95,29.95,29.95,0
2020-06-03,29.95,29.95,29.95,29.95,0
2020-06-04,41.9,41.9,41.9,41.9,100
2020-06-05,41.9,41.9,41.9,41.9,0
2020-06-08,41.9,41.9,41.9,41.9,0
2020-06-09,41.9,41.9,41.9,41.9,0
2020-06-10,36.78,36.78,36.78,36.78,100
2020-06-11,36.78,36.78,36.78,36.78,0
2020-06-12,36.78,36.78,36.78,36.78,0
2020-06-15,36.78,36.78,36.78,36.78,0
2020-06-16,36.78,36.78,36.78,36.78,0
2020-06-17,36.78,36.78,36.78,36.78,0
2020-06-18,33.45,33.45,33.45,33.45,100
2020-06-19,33.45,33.45,33.45,33.45,0
2020-06-22,33.45,33.45,33.45,33.45,0
2020-06-23,33.45,33.45,33.45,33.45,0
2020-06-24,33.45,33.45,33.45,33.45,0
2020-06-25,33.45,33.45,33.45,33.45,0
2020-06-26,33.45,33.45,33.45,33.45,0
2020-06-29,33.45,33.45,33.45,33.45,0
2020-06-30,33.45,33.45,33.45,33.45,0
2020-07-01,33.45,33.45,33.45,33.45,0
2020-07-02,33.45,33.45,33.45,33.45,0
2020-07-03,33.45,33.45,33.45,33.45,0
2020-07-06,33.45,33.45,33.45,33.45,0
2020-07-07,33.45,33.45,33.45,33.45,0
2020-07-08,33.45,33.45,33.45,33.45,0
2020-07-09,33.45,33.45,33.45,33.45,0
2020-07-10,33.45,33.45,33.45,33.45,0
2020-07-13,33.45,33.45,33.45,33.45,0
2020-07-14,33.45,33.45,33.45,33.45,0
2020-07-15,33.45,33.45,33.45,33.45,0
2020-07-16,33.45,33.45,33.45,33.45,0
2020-07-17,33.45,33.45,33.45,33.45,0
2020-07-20,33.45,33.45,33.45,33.45,0
2020-07-21,33.45,33.45,33.45,33.45,0
2020-07-22,33.45,33.45,33.45,33.45,0
2020-07-23,33.45,33.45,33.45,33.45,0
2020-07-24,38.4,38.4,38.4,38.4,100
2020-07-27,44.12,44.12,44.12,44.12,100
2020-07-28,50.67,50.67,50.67,50.67,100
2020-07-29,50.67,50.67,50.67,50.67,0
2020-07-30,50.67,50.67,50.67,50.67,0
2020-07-31,50.67,50.67,43.31,43.31,500
2020-08-03,40.45,40.45,40.45,40.45,100
2020-08-04,40.45,40.45,40.45,40.45,0
2020-08-05,40.45,40.45,40.45,40.45,0
2020-08-06,40.45,40.45,40.45,40.45,0
2020-08-07,40.45,40.45,40.45,40.45,0
2020-08-10,40.45,40.45,40.45,40.45,0
2020-08-11,46.45,46.45,46.45,46.45,5100
2020-08-12,46.45,46.45,46.45,46.45,0
2020-08-13,39.64,53.36,39.64,53.36,1500
2020-08-14,53.63,53.63,47.53,47.71,5200
2020-08-17,48.96,47.71,47.71,47.71,0
2020-08-18,49.32,49.32,49.32,49.32,5000
2020-08-19,49.32,49.32,49.32,49.32,0
2020-08-20,49.32,49.32,49.32,49.32,0
2020-08-21,42.24,42.24,42.24,42.24,200
2020-08-24,48.52,48.52,48.52,48.52,2000
2020-08-25,48.52,48.52,48.52,48.52,0
2020-08-26,42.24,42.24,42.24,42.24,100
2020-08-27,42.24,42.24,42.24,42.24,0
2020-08-28,42.24,42.24,42.24,42.24,0
2020-08-31,48.43,48.43,48.43,48.43,2000
2020-09-01,48.43,48.43,48.43,48.43,0
2020-09-03,42.6,42.6,42.6,42.6,1500
2020-09-04,42.6,42.6,42.6,42.6,0
2020-09-07,42.6,42.6,42.6,42.6,0
2020-09-08,42.6,42.6,42.6,42.6,0
2020-09-09,42.6,42.6,42.6,42.6,0
2020-09-10,42.6,42.6,42.6,42.6,0
2020-09-11,42.6,42.6,42.6,42.6,0
2020-09-14,39.55,39.55,39.55,39.55,100
2020-09-15,39.55,39.55,39.55,39.55,0
2020-09-16,39.55,39.55,39.55,39.55,0
2020-09-17,39.55,39.55,39.55,39.55,0
2020-09-18,39.55,39.55,39.55,39.55,0
2020-09-21,39.55,39.55,39.55,39.55,0
2020-09-22,39.55,39.55,39.55,39.55,0
2020-09-23,39.55,39.55,39.55,39.55,0
2020-09-24,39.55,39.55,39.55,39.55,0
2020-09-25,39.55,39.55,39.55,39.55,0
2020-09-28,39.55,39.55,39.55,39.55,0
