date,open,high,low,close,volume
2019-09-10,17.32,17.32,17.2,17.32,4600
2019-09-11,17.32,17.32,17.32,17.32,0
2019-09-12,17.38,17.38,17.38,17.38,500
2019-09-13,17.38,17.38,17.38,17.38,0
2019-09-16,17.2,17.32,17.2,17.26,3900
2019-09-17,17.32,17.32,17.2,17.2,5700
2019-09-18,17.2,17.2,17.2,17.2,0
2019-09-19,17.32,17.32,17.32,17.32,47000
2019-09-20,17.32,17.32,17.32,17.32,4200
2019-09-23,17.32,17.32,15.59,15.59,9200
2019-09-24,17.15,17.15,17.15,17.15,3200
2019-09-25,17.32,17.38,17.32,17.32,4900
2019-09-26,17.32,17.32,15.59,15.59,6600
2019-09-27,17.15,17.15,16.16,16.16,1500
2019-09-30,17.32,17.61,17.32,17.32,57700
2019-10-01,17.32,17.32,16.74,17.32,1500
2019-10-02,17.32,17.32,17.32,17.32,5500
2019-10-03,17.32,17.32,17.32,17.32,6000
2019-10-04,17.32,17.32,17.32,17.32,3000
2019-10-07,17.32,17.32,17.32,17.32,100
2019-10-08,17.32,17.32,17.32,17.32,1500
2019-10-09,17.26,17.26,17.26,17.26,4000
2019-10-10,17.2,17.2,17.03,17.15,8600
2019-10-11,17.26,17.26,17.03,17.2,7200
2019-10-14,17.09,17.26,17.03,17.26,4900
2019-10-15,17.15,17.2,17.03,17.03,4100
2019-10-16,17.03,17.03,17.03,17.03,1000
2019-10-17,17.03,17.03,17.03,17.03,2000
2019-10-18,17.15,17.15,16.97,16.97,200
2019-10-21,16.97,17.26,16.97,17.26,1200
2019-10-22,17.03,17.26,17.03,17.26,2200
2019-10-23,16.74,16.74,16.74,16.74,900
2019-10-24,16.16,16.16,15.59,15.88,5100
2019-10-25,15.88,15.88,15.88,15.88,1000
2019-10-28,15.88,17.09,15.88,17.09,5600
2019-10-29,17.09,17.09,17.09,17.09,0
2019-10-30,15.88,16.39,15.76,15.88,10700
2019-10-31,15.7,16.74,15.7,16.74,4600
2019-11-01,17.03,17.43,17.03,17.43,2900
2019-11-04,16.74,17.9,16.74,17.9,7000
2019-11-05,17.32,17.61,17.2,17.32,4900
