date,open,high,low,close,volume
2019-07-05,13.86,13.86,13.86,13.86,0
2019-07-08,14.05,14.05,13.41,13.41,450
2019-07-09,13.73,14.42,14.42,14.42,0
2019-07-10,13.73,14.42,14.42,14.42,0
2019-07-11,14.76,14.76,14.76,14.76,100
2019-07-12,14.76,14.76,14.76,14.76,0
2019-07-15,14.97,14.97,14.97,14.97,100
2019-07-16,14.97,14.97,14.97,14.97,0
2019-07-17,14.97,14.97,14.97,14.97,0
2019-07-18,14.97,14.97,14.97,14.97,0
2019-07-19,14.97,14.97,14.97,14.97,0
2019-07-22,14.97,14.97,14.97,14.97,0
2019-07-23,14.97,14.97,14.97,14.97,0
2019-07-24,14.97,14.97,14.97,14.97,0
2019-07-25,12.91,12.91,12.84,12.84,233
2019-07-26,14.69,14.69,14.69,14.69,166
2019-07-29,14.69,14.69,14.69,14.69,0
2019-07-30,14.69,14.69,14.69,14.69,0
2019-07-31,13.05,14.08,13.05,14.08,200
2019-08-01,14.01,14.01,14.01,14.01,100
2019-08-02,14.01,14.01,14.01,14.01,0
2019-08-05,14.01,14.01,14.01,14.01,0
2019-08-06,14.01,14.01,14.01,14.01,0
2019-08-07,14.01,14.01,14.01,14.01,1
2019-08-08,14.01,14.01,14.01,14.01,0
2019-08-09,14.01,14.01,14.01,14.01,0
2019-08-12,14.01,14.01,14.01,14.01,0
2019-08-13,12.43,12.43,12.43,12.43,500
2019-08-14,13.53,13.59,13.53,13.59,200
2019-08-15,14.35,14.35,14.35,14.35,100
2019-08-16,14.35,14.35,14.35,14.35,0
2019-08-19,14.35,14.35,14.35,14.35,0
2019-08-20,12.29,12.29,12.29,12.29,2400
2019-08-21,14.01,14.01,14.01,14.01,100
2019-08-22,14.01,14.01,14.01,14.01,0
2019-08-23,14.01,14.01,14.01,14.01,200
2019-08-26,14.01,14.01,14.01,14.01,0
2019-08-27,14.01,14.01,14.01,14.01,0
2019-08-28,14.01,14.01,14.01,14.01,0
2019-08-29,14.01,14.01,14.01,14.01,0
2019-08-30,14.01,14.01,14.01,14.01,0
2019-09-03,14.01,14.01,14.01,14.01,0
2019-09-04,14.01,14.01,14.01,14.01,0
2019-09-05,14.01,14.01,14.01,14.01,0
2019-09-06,14.01,14.01,14.01,14.01,0
2019-09-09,14.01,14.01,14.01,14.01,100
2019-09-10,14.01,14.01,14.01,14.01,0
2019-09-11,14.01,14.01,14.01,14.01,0
2019-09-12,12.15,12.15,12.15,12.15,100
2019-09-13,13.87,13.87,13.87,13.87,100
2019-09-16,13.87,13.87,13.87,13.87,0
2019-09-17,11.95,11.95,11.95,11.95,200
2019-09-18,13.59,13.59,11.19,11.19,300
2019-09-19,13.46,13.46,13.46,13.46,100
2019-09-20,13.94,13.94,13.94,13.94,100
2019-09-23,12.02,12.02,12.02,12.02,200
2019-09-24,13.66,13.66,11.05,13.53,300
2019-09-25,10.99,10.99,10.99,10.99,100
2019-09-26,10.99,10.99,10.99,10.99,0
2019-09-27,10.99,10.99,10.99,10.99,0
2019-09-30,10.71,10.71,10.71,10.71,300
2019-10-01,12.02,12.29,12.02,12.29,2100
2019-10-02,12.02,12.29,12.29,12.29,0
2019-10-03,13.05,13.32,11.74,13.32,300
2019-10-04,12.7,13.32,13.32,13.32,0
2019-10-07,11.05,11.05,11.05,11.05,100
2019-10-08,12.5,12.5,12.5,12.5,100
2019-10-09,12.5,12.5,12.5,12.5,0
2019-10-10,12.5,12.5,12.5,12.5,0
2019-10-11,10.99,13.32,10.99,13.32,200
2019-10-14,12.15,12.15,12.15,13.32,66
2019-10-15,12.15,12.15,12.15,12.15,0
2019-10-16,12.98,12.98,12.98,12.98,100
2019-10-17,12.98,12.98,12.98,12.98,0
2019-10-18,12.98,12.98,12.98,12.98,0
2019-10-21,12.98,12.98,12.98,12.98,0
2019-10-22,11.33,11.33,11.26,11.26,200
2019-10-23,12.91,12.98,12.91,12.98,1800
2019-10-24,13.25,13.25,13.25,13.25,1000
2019-10-25,13.25,13.25,13.25,13.25,0
2019-10-28,13.25,13.25,13.25,13.25,0
2019-10-29,13.25,13.25,13.25,13.25,0
2019-10-30,13.25,13.25,13.25,13.25,0
2019-10-31,13.25,13.25,13.25,13.25,0
2019-11-01,13.25,13.25,13.25,13.25,0
2019-11-04,13.66,13.66,13.66,13.66,700
2019-11-05,13.66,13.66,13.66,13.66,0
2019-11-06,13.66,13.66,13.66,13.66,0
2019-11-07,13.66,13.66,13.66,13.66,0
2019-11-08,13.66,13.66,13.66,13.66,0
2019-11-11,11.81,11.81,11.81,11.81,100
2019-11-12,13.32,13.39,13.32,13.39,268
2019-11-13,13.39,13.39,13.39,13.39,0
2019-11-14,13.39,13.39,13.39,13.39,3
2019-11-15,13.39,13.39,13.39,13.39,1
2019-11-18,13.39,13.39,13.39,13.39,0
2019-11-19,11.81,11.81,11.81,11.81,200
2019-11-20,11.81,11.81,11.81,11.81,0
2019-11-21,12.84,12.91,12.84,12.91,7500
2019-11-22,12.7,12.7,12.7,12.7,3200
2019-11-25,12.7,12.7,12.7,12.7,0
2019-11-26,12.7,13.05,12.7,12.98,1600
2019-11-27,12.84,12.98,12.98,12.98,0
2019-11-28,12.84,12.84,12.84,12.98,19
2019-11-29,13.32,13.32,13.05,13.05,1100
2019-12-02,13.05,13.05,13.05,13.05,1101
2019-12-03,13.53,13.53,13.05,13.05,3700
2019-12-04,14.35,14.35,14.35,14.35,100
2019-12-05,14.35,14.35,14.35,14.35,1
2019-12-06,14.35,14.35,14.35,14.35,0
2019-12-09,14.35,14.35,14.35,14.35,0
2019-12-10,14.35,14.35,14.35,14.35,0
2019-12-11,14.35,14.35,14.35,14.35,0
2019-12-12,14.35,14.35,14.35,14.35,0
2019-12-13,14.35,14.35,14.35,14.35,0
2019-12-16,14.35,14.35,14.35,14.35,0
2019-12-17,12.36,16.41,12.36,16.41,300
2019-12-18,17.17,17.17,17.17,17.17,100
2019-12-19,19.57,19.57,19.57,19.57,100
2019-12-20,16.68,16.68,16.68,16.68,100
2019-12-23,16.68,16.68,16.68,16.68,0
2019-12-24,16.68,16.68,16.68,16.68,0
2019-12-25,16.68,16.68,16.68,16.68,0
2019-12-26,14.28,16.62,14.28,16.62,200
2019-12-27,16.62,16.62,16.62,16.62,100
2019-12-30,16.62,16.62,16.62,16.62,0
2019-12-31,14.14,16.62,14.14,16.62,3200
2020-01-02,17.1,17.1,17.1,17.1,100
2020-01-03,17.1,17.1,17.1,17.1,0
2020-01-06,17.1,17.1,17.1,17.1,0
2020-01-07,17.1,17.1,17.1,17.1,0
2020-01-08,17.1,17.1,17.1,17.1,0
2020-01-09,17.1,17.1,17.1,17.1,0
2020-01-10,17.1,17.1,17.1,17.1,0
2020-01-13,17.1,17.1,17.1,17.1,0
2020-01-14,14.56,17.03,14.56,17.03,200
2020-01-15,15.79,17.03,15.79,17.03,600
2020-01-16,16.0,17.03,17.03,17.03,0
2020-01-17,16.0,17.03,17.03,17.03,0
2020-01-20,16.0,17.03,17.03,17.03,0
2020-01-21,17.03,17.03,17.03,17.03,100
2020-01-22,17.03,17.03,17.03,17.03,0
2020-01-30,17.03,17.03,17.03,17.03,0
2020-01-31,17.03,17.03,17.03,17.03,0
2020-02-03,19.36,19.36,19.36,19.36,100
2020-02-04,19.36,19.36,19.36,19.36,0
2020-02-05,19.36,19.36,19.36,19.36,0
2020-02-06,19.36,19.36,19.36,19.36,0
