date,open,high,low,close,volume
2019-09-26,9.95,10.05,9.68,9.86,258315
2019-09-27,9.86,9.95,9.86,9.86,154900
2019-09-30,9.95,10.23,9.86,10.23,350330
2019-10-01,10.23,10.23,9.77,10.05,182440
2019-10-02,9.86,10.05,9.86,9.95,134025
2019-10-03,9.95,9.95,9.77,9.95,81130
2019-10-04,9.86,9.95,9.77,9.86,117200
2019-10-07,9.77,9.95,9.77,9.86,68500
2019-10-08,9.95,9.95,9.86,9.86,24923
2019-10-09,9.86,9.95,9.77,9.86,26330
2019-10-10,9.95,9.95,9.77,9.86,98424
2019-10-11,9.95,10.05,9.86,10.05,265306
2019-10-14,10.14,10.14,9.95,9.95,109100
2019-10-15,9.95,9.95,9.86,9.95,35890
2019-10-16,9.86,10.23,9.86,9.95,363800
2019-10-17,10.05,10.14,10.05,10.05,114824
2019-10-18,10.05,10.14,10.05,10.05,77060
2019-10-21,10.14,10.14,9.86,9.86,178800
2019-10-22,9.77,9.86,9.68,9.77,109250
2019-10-23,9.86,9.86,9.77,9.77,68218
2019-10-24,9.86,9.86,9.68,9.77,63354
2019-10-25,9.86,9.86,9.77,9.86,166875
2019-10-28,9.77,9.86,9.68,9.68,53300
2019-10-29,9.68,9.77,9.59,9.68,194120
2019-10-30,9.68,9.68,9.59,9.59,189450
2019-10-31,9.59,9.68,9.49,9.59,344520
2019-11-01,9.49,9.59,9.22,9.49,215810
2019-11-04,9.59,9.77,9.49,9.59,230310
2019-11-05,9.68,9.68,9.49,9.59,144900
2019-11-06,9.59,9.59,9.49,9.49,321800
2019-11-07,9.49,9.49,9.4,9.49,96288
2019-11-08,9.49,9.49,9.4,9.49,96400
2019-11-11,9.49,9.49,9.31,9.4,108200
2019-11-12,9.4,9.49,9.31,9.4,250935
2019-11-13,9.4,9.4,9.31,9.31,234800
2019-11-14,9.31,9.31,9.22,9.22,192410
2019-11-15,9.22,9.31,9.13,9.22,199410
2019-11-18,9.22,9.22,8.94,9.13,178340
2019-11-19,9.13,9.31,9.03,9.22,242900
2019-11-20,9.22,9.22,9.03,9.13,65300
2019-11-21,9.13,9.13,9.03,9.03,109400
2019-11-22,9.03,9.03,8.85,8.94,127110
2019-11-25,8.94,8.94,8.85,8.94,279900
2019-11-26,8.76,9.03,8.76,8.94,78200
2019-11-27,8.85,8.94,8.85,8.94,67754
2019-11-28,8.94,8.94,8.76,8.94,169400
2019-11-29,8.76,8.76,8.48,8.66,148600
2019-12-02,8.66,8.66,8.39,8.57,131300
2019-12-03,8.57,8.57,8.3,8.3,180421
2019-12-04,8.3,9.22,8.3,8.85,1921700
2019-12-05,8.94,9.13,8.66,8.76,129600
2019-12-06,8.76,8.76,8.39,8.57,48575
2019-12-09,8.57,8.57,8.39,8.48,126445
2019-12-10,8.48,9.03,8.3,8.48,2023900
2019-12-11,8.48,8.48,8.3,8.3,176610
2019-12-12,8.48,8.48,8.2,8.3,198500
2019-12-13,8.39,8.48,8.3,8.39,128100
2019-12-16,8.3,8.48,8.2,8.3,80915
2019-12-17,8.39,8.39,8.2,8.3,88450
2019-12-18,8.3,8.57,8.2,8.3,170930
2019-12-19,8.3,8.3,8.02,8.02,242000
2019-12-20,8.02,8.11,8.02,8.11,154800
2019-12-23,7.1,8.02,6.82,7.65,229210
2019-12-24,7.74,7.74,7.56,7.65,159355
2019-12-25,7.74,7.74,7.56,7.56,166310
2019-12-26,7.65,7.65,7.47,7.56,194265
2019-12-27,7.56,7.56,7.37,7.56,51700
2019-12-30,7.56,7.56,7.37,7.37,95900
2019-12-31,7.56,8.48,7.56,7.65,321610
2020-01-02,7.74,7.74,7.47,7.56,144650
2020-01-03,7.47,7.65,7.47,7.56,163800
2020-01-06,7.65,7.74,7.56,7.74,466153
2020-01-07,7.74,7.74,7.56,7.65,67300
