date,open,high,low,close,volume
2019-09-25,7.41,7.41,7.41,7.41,100
2019-09-26,6.6,6.6,6.6,6.6,1500
2019-09-27,7.47,7.47,7.47,7.47,100
2019-09-30,7.47,7.8,7.8,7.8,0
2019-10-01,8.51,8.51,8.51,8.51,1500
2019-10-02,8.77,8.77,8.77,8.77,100
2019-10-03,8.77,8.77,8.77,8.77,0
2019-10-04,8.77,8.77,8.77,8.77,0
2019-10-07,9.75,9.75,9.75,9.75,100
2019-10-08,9.75,9.75,9.75,9.75,0
2019-10-09,9.75,9.75,9.75,9.75,0
2019-10-10,9.75,9.75,9.75,9.75,0
2019-10-11,9.75,9.75,9.75,9.75,0
2019-10-14,9.75,9.75,9.75,9.75,0
2019-10-15,9.75,9.75,9.75,9.75,0
2019-10-16,8.32,8.32,8.32,8.32,2400
2019-10-17,7.15,7.15,7.08,7.08,2700
2019-10-18,8.19,8.19,8.19,8.19,100
2019-10-21,8.19,8.19,8.19,8.19,0
2019-10-22,9.36,9.36,9.36,9.36,2000
2019-10-23,7.99,7.99,7.99,7.99,700
2019-10-24,7.99,7.99,7.99,7.99,0
2019-10-25,7.99,7.99,7.99,7.99,0
2019-10-28,7.99,7.99,7.99,7.99,0
2019-10-29,7.99,7.99,7.99,7.99,0
2019-10-30,7.99,7.99,7.99,7.99,0
2019-10-31,7.99,7.99,7.99,7.99,0
2019-11-01,7.86,7.86,7.86,7.86,2000
2019-11-04,7.8,7.8,7.8,7.8,1000
2019-11-05,7.41,7.41,7.41,7.41,2200
2019-11-06,7.41,7.41,7.41,7.41,0
2019-11-07,7.41,7.41,7.41,7.41,0
2019-11-08,7.41,7.41,7.41,7.41,0
2019-11-11,7.41,7.41,7.41,7.41,0
2019-11-12,7.41,7.41,7.41,7.41,0
2019-11-13,7.41,7.41,7.41,7.41,0
2019-11-14,7.41,7.41,7.41,7.41,3000
2019-11-15,6.82,6.82,6.82,6.82,100
2019-11-18,6.82,6.82,6.82,6.82,0
2019-11-19,7.02,7.02,6.82,6.82,1000
2019-11-20,6.95,6.82,6.82,6.82,0
2019-11-21,6.95,6.82,6.82,6.82,0
2019-11-22,6.95,6.95,6.95,6.95,0
2019-11-25,6.95,6.82,6.82,6.82,0
2019-11-26,6.95,6.82,6.82,6.82,0
2019-11-27,6.95,6.82,6.82,6.82,0
2019-11-28,7.93,7.93,7.93,7.93,300
2019-11-29,7.93,7.93,7.93,7.93,0
2019-12-02,7.93,7.93,7.93,7.93,0
2019-12-03,7.93,7.93,7.93,7.93,0
2019-12-04,7.93,7.93,7.93,7.93,0
2019-12-05,7.93,7.93,7.93,7.93,0
2019-12-06,6.89,6.89,6.89,6.89,100
2019-12-09,6.95,6.95,6.95,6.95,100
2019-12-10,6.95,6.95,6.95,6.95,0
2019-12-11,6.95,6.95,6.95,6.95,0
2019-12-12,6.95,6.95,6.95,6.95,0
2019-12-13,6.95,6.95,6.95,6.95,0
2019-12-16,6.95,6.95,6.95,6.95,0
2019-12-17,6.95,6.95,6.95,6.95,0
2019-12-18,6.95,6.95,6.95,6.95,0
2019-12-19,6.95,6.95,6.95,6.95,0
2019-12-20,6.95,6.95,6.95,6.95,0
2019-12-23,6.95,6.95,6.95,6.95,0
2019-12-24,6.95,6.95,6.95,6.95,0
