date,open,high,low,close,volume
2022-07-28,11.25,11.25,8.66,11.25,793900
2022-07-29,12.36,12.36,11.1,12.36,1401600
2022-08-01,13.54,13.54,11.18,12.99,1532500
2022-08-02,12.99,13.22,11.73,12.51,787352
2022-08-03,12.51,12.59,11.33,11.57,698800
2022-08-04,11.57,11.57,10.47,10.47,425300
2022-08-05,9.6,10.0,9.44,9.44,515532
2022-08-08,9.21,10.07,8.89,9.52,158818
2022-08-09,9.44,9.68,9.37,9.44,81050
2022-08-10,9.44,9.44,9.13,9.13,96800
2022-08-11,9.21,9.37,8.97,8.97,79300
2022-08-12,8.97,8.97,8.81,8.97,78900
2022-08-15,8.97,8.97,8.81,8.89,58700
2022-08-16,8.89,8.89,8.58,8.58,138008
2022-08-17,8.58,8.58,8.11,8.34,126900
2022-08-18,8.34,8.34,7.56,7.71,119500
2022-08-19,7.71,8.42,7.48,8.42,1337954
2022-08-22,8.42,9.21,8.26,9.21,202200
2022-08-23,8.66,9.21,8.66,8.74,89200
2022-08-24,8.26,8.58,8.03,8.26,140100
2022-08-25,8.03,8.42,8.03,8.26,67200
2022-08-26,8.19,8.26,7.87,7.95,113700
2022-08-29,7.87,7.87,7.4,7.56,111600
2022-08-30,7.71,8.03,7.48,7.63,25700
2022-08-31,7.63,7.63,7.4,7.4,86200
2022-09-05,7.48,7.63,7.16,7.48,92900
2022-09-06,7.32,7.48,7.32,7.4,68600
2022-09-07,7.32,7.32,7.0,7.0,185600
2022-09-08,6.77,6.93,6.69,6.69,53200
2022-09-09,6.69,6.85,6.3,6.38,129300
2022-09-12,6.38,7.0,6.38,6.69,34300
2022-09-13,6.93,6.93,6.45,6.93,26300
2022-09-14,6.53,6.77,6.53,6.77,35000
2022-09-15,6.53,6.85,6.3,6.61,67102
2022-09-16,6.53,6.53,6.3,6.38,56600
2022-09-19,6.69,6.69,5.75,5.82,105700
2022-09-20,5.9,5.9,5.43,5.51,76601
2022-09-21,5.51,5.75,5.43,5.67,28800
2022-09-22,5.51,5.75,5.51,5.67,33900
2022-09-23,5.51,5.75,5.51,5.59,40201
2022-09-26,5.59,5.59,5.04,5.35,55900
2022-09-27,5.19,5.51,5.04,5.35,50700
2022-09-28,5.12,5.27,4.96,5.19,28700
2022-09-29,5.35,5.43,4.96,4.96,20000
2022-09-30,4.88,4.88,4.49,4.72,58700
2022-10-03,4.64,4.64,4.25,4.25,55200
2022-10-04,4.56,4.56,4.25,4.25,25800
2022-10-05,4.41,4.41,4.25,4.41,23200
2022-10-06,4.33,4.41,4.01,4.41,39800
2022-10-07,4.25,4.56,4.17,4.33,53900
2022-10-10,4.56,4.56,4.25,4.49,7200
2022-10-11,4.25,4.33,4.17,4.17,14200
2022-10-12,3.94,4.41,3.94,4.25,19900
2022-10-13,4.25,4.41,4.17,4.25,33500
2022-10-14,4.25,4.56,4.25,4.56,37001
2022-10-17,4.56,4.96,4.56,4.88,88600
2022-10-18,4.72,5.12,4.72,5.12,21599
2022-10-19,5.04,5.19,4.72,4.96,13003
2022-10-20,4.8,4.88,4.49,4.49,95200
2022-10-21,4.72,4.72,4.09,4.41,38200
2022-10-24,4.41,4.41,4.01,4.01,62360
2022-10-25,4.01,4.33,3.94,4.25,10800
2022-10-26,4.17,4.33,4.09,4.09,9200
2022-10-27,4.09,4.33,4.09,4.25,4800
2022-10-28,4.56,4.56,3.94,4.25,30701
2022-10-31,4.17,4.25,3.86,4.25,62200
2022-11-01,4.56,4.56,3.94,4.25,31004
2022-11-02,4.25,4.25,4.01,4.17,15900
2022-11-03,4.09,4.09,3.94,4.01,19900
2022-11-04,3.78,3.86,3.7,3.78,21300
2022-11-07,3.78,3.78,3.46,3.54,20800
2022-11-08,3.62,3.62,3.38,3.54,2100
2022-11-09,3.23,3.7,3.23,3.62,1800
2022-11-10,3.54,3.54,3.31,3.31,23000
2022-11-11,3.46,3.46,3.31,3.38,4500
2022-11-14,3.15,3.15,3.07,3.07,34200
2022-11-15,3.07,3.07,2.83,2.91,37100
2022-11-16,2.83,3.15,2.83,3.07,15400
2022-11-17,2.83,3.15,2.83,3.07,7900
2022-11-18,2.91,3.15,2.83,2.99,9301
2022-11-21,3.07,3.15,3.07,3.07,13300
2022-11-22,3.15,3.31,3.15,3.23,64301
2022-11-23,3.23,3.31,3.15,3.15,12600
2022-11-24,3.38,3.38,3.07,3.15,3200
2022-11-25,3.07,3.15,2.99,3.15,30640
2022-11-28,3.15,3.38,2.99,3.15,65906
2022-11-29,3.15,3.23,2.99,3.23,56601
2022-11-30,3.15,3.38,3.15,3.38,37740
2022-12-01,3.38,3.7,3.38,3.7,123200
2022-12-02,4.01,4.01,3.86,4.01,172400
2022-12-05,4.41,4.41,4.25,4.33,223102
2022-12-06,4.41,4.41,4.01,4.01,130800
2022-12-07,3.78,4.17,3.7,3.78,46702
2022-12-08,3.7,4.09,3.7,4.01,46401
2022-12-09,3.94,4.25,3.78,4.01,17200
2022-12-12,3.86,4.01,3.78,3.78,8221
2022-12-13,3.78,3.78,3.62,3.7,27700
2022-12-14,3.86,3.94,3.7,3.86,8700
2022-12-15,3.7,4.01,3.7,4.01,9200
2022-12-16,3.94,4.17,3.86,3.94,9139
2022-12-19,4.01,4.09,3.94,4.01,20200
2022-12-20,3.94,4.01,3.78,3.86,17800
2022-12-21,3.86,3.86,3.78,3.86,24700
2022-12-22,3.86,3.94,3.86,3.94,2200
2022-12-23,3.86,3.94,3.86,3.94,15400
2022-12-26,3.86,3.86,3.78,3.78,29100
2022-12-27,3.86,3.94,3.86,3.94,219
2022-12-28,4.33,4.33,3.86,3.94,2200
2022-12-29,3.94,4.01,3.94,3.94,7106
2022-12-30,3.94,4.01,3.94,4.01,1100
2023-01-03,4.01,4.09,4.01,4.09,10450
2023-01-04,4.25,4.25,3.94,4.09,6606
2023-01-05,4.01,4.17,3.94,4.17,13000
2023-01-06,4.17,4.33,4.01,4.17,3500
2023-01-09,4.17,4.25,4.01,4.09,26600
2023-01-10,4.09,4.09,3.94,4.09,6800
2023-01-11,3.94,4.09,3.94,4.09,8300
2023-01-12,4.09,4.09,4.01,4.09,11444
2023-01-13,4.09,4.17,4.01,4.09,2720
2023-01-16,4.01,4.01,3.94,3.94,7500
2023-01-17,4.33,4.33,3.94,4.01,11900
2023-01-18,4.17,4.17,3.86,3.94,12100
2023-01-19,3.86,4.09,3.78,4.09,18400
2023-01-27,3.94,4.09,3.94,4.01,9800
2023-01-30,4.01,4.09,4.01,4.09,16783
2023-01-31,4.17,4.17,4.01,4.01,4200
2023-02-01,4.01,4.17,4.01,4.01,33700
2023-02-02,3.94,3.94,3.94,3.94,1400
2023-02-03,4.01,4.01,3.78,3.86,40200
2023-02-06,3.94,3.94,3.94,3.94,13339
2023-02-07,4.01,4.01,3.86,3.86,5500
2023-02-08,4.01,4.01,3.78,3.78,4700
2023-02-09,3.78,3.86,3.78,3.86,8900
2023-02-10,3.86,3.86,3.78,3.78,19047
2023-02-13,3.7,3.94,3.62,3.94,28401
2023-02-14,3.94,3.94,3.94,3.94,0
2023-02-15,4.01,4.01,3.86,4.01,10201
2023-02-16,3.86,4.01,3.86,3.94,4600
2023-02-17,4.01,4.01,3.86,3.94,10800
2023-02-20,3.94,4.01,3.86,4.01,21200
2023-02-21,4.01,4.33,3.86,4.09,10900
2023-02-22,3.94,4.09,3.94,4.09,5500
2023-02-23,4.01,4.01,4.01,4.01,100
2023-02-24,3.94,3.94,3.94,3.94,2000
2023-02-27,3.86,3.94,3.86,3.94,12130
2023-02-28,3.94,3.94,3.86,3.94,2500
2023-03-01,3.94,3.94,3.86,3.94,9208
2023-03-02,3.94,3.94,3.94,3.94,6400
2023-03-03,3.94,3.94,3.94,3.94,100
2023-03-06,4.09,4.09,3.94,3.94,1600
2023-03-07,3.94,3.94,3.86,3.94,4220
2023-03-08,3.86,3.94,3.86,3.86,3800
2023-03-09,3.94,3.94,3.78,3.86,13500
2023-03-10,4.09,4.09,4.01,4.01,200
2023-03-13,4.01,4.01,3.86,3.86,7500
2023-03-14,3.78,3.94,3.78,3.94,9700
2023-03-15,3.86,4.01,3.86,4.01,8700
2023-03-16,3.94,3.94,3.86,3.94,3200
2023-03-17,3.86,4.01,3.86,4.01,9500
2023-03-20,4.01,4.33,3.86,4.33,11900
2023-03-21,4.17,4.41,3.94,4.41,17300
2023-03-22,4.01,4.49,4.01,4.49,20900
2023-03-23,4.09,4.09,4.09,4.09,48007
2023-03-24,3.78,4.01,3.7,4.01,294900
2023-03-27,3.62,3.86,3.62,3.78,146500
2023-03-28,3.62,3.7,3.46,3.7,347000
2023-03-29,3.54,3.62,3.38,3.38,267600
2023-03-30,3.38,3.7,3.07,3.31,530007
2023-03-31,3.31,3.46,3.23,3.23,36448
2023-04-03,3.38,3.38,3.23,3.38,82400
2023-04-04,3.46,3.46,3.23,3.31,58617
2023-04-05,3.38,3.38,3.23,3.38,97200
2023-04-06,3.38,3.54,3.38,3.46,142548
2023-04-07,3.38,3.54,3.31,3.38,65419
2023-04-10,3.46,3.46,3.31,3.38,35300
2023-04-11,3.38,3.38,3.31,3.38,5200
2023-04-12,3.38,3.38,3.31,3.31,52500
2023-04-13,3.38,3.38,3.31,3.38,34400
2023-04-14,3.38,3.46,3.23,3.38,83200
2023-04-17,3.31,3.38,3.23,3.38,17200
2023-04-18,3.38,3.38,3.23,3.31,8300
2023-04-19,3.23,3.31,3.23,3.31,26500
2023-04-20,3.23,3.31,3.23,3.31,11400
2023-04-21,3.31,3.38,3.15,3.31,50300
2023-04-24,3.31,3.31,3.15,3.23,39300
2023-04-25,3.23,3.31,3.15,3.23,22800
2023-04-26,3.23,3.23,3.07,3.15,24400
2023-04-27,3.15,3.23,3.15,3.23,14701
2023-04-28,3.23,3.31,3.23,3.31,28405
2023-05-04,3.23,3.31,3.15,3.31,48000
2023-05-05,3.23,3.31,3.23,3.31,21100
2023-05-08,3.31,3.31,3.23,3.31,17400
2023-05-09,3.31,3.38,3.23,3.31,17400
2023-05-10,3.31,3.38,3.31,3.38,90605
2023-05-11,3.38,3.46,3.31,3.38,26100
2023-05-12,3.38,3.46,3.31,3.38,12430
2023-05-15,3.38,3.46,3.38,3.46,52200
2023-05-16,3.46,3.46,3.31,3.31,74200
2023-05-17,3.31,3.38,3.23,3.38,32200
2023-05-18,3.31,3.46,3.31,3.38,22600
2023-05-19,3.31,3.38,3.31,3.38,11900
2023-05-22,3.38,3.38,3.15,3.31,74905
2023-05-23,3.31,3.31,3.23,3.31,31400
2023-05-24,3.31,3.38,3.23,3.31,32800
2023-05-25,3.31,3.38,3.23,3.38,23900
2023-05-26,3.38,3.46,3.38,3.46,34401
2023-05-29,3.46,3.78,3.38,3.78,276530
2023-05-30,3.86,3.94,3.7,3.78,40400
2023-05-31,3.62,3.86,3.62,3.78,131200
2023-06-01,3.78,4.01,3.7,4.01,279400
2023-06-02,4.01,4.09,3.86,3.94,85500
2023-06-05,3.94,4.01,3.78,3.86,85830
2023-06-06,3.94,4.09,3.78,4.09,119900
2023-06-07,4.09,4.09,4.01,4.09,55300
2023-06-08,4.09,4.33,4.09,4.17,147500
2023-06-09,4.17,4.25,4.01,4.17,50600
2023-06-12,4.17,4.49,4.09,4.49,160500
2023-06-13,4.56,4.72,4.49,4.72,62100
2023-06-14,4.8,4.8,4.56,4.72,136727
2023-06-15,4.72,4.72,4.56,4.72,47000
2023-06-16,4.72,4.8,4.56,4.72,125121
2023-06-19,4.64,4.72,4.25,4.25,97001
2023-06-20,4.25,4.41,4.09,4.41,52026
2023-06-21,4.41,4.49,4.25,4.41,48400
2023-06-22,4.49,4.49,4.33,4.49,14200
2023-06-23,4.41,4.49,4.25,4.25,71800
2023-06-26,4.17,4.25,4.01,4.17,63510
2023-06-27,4.09,4.17,4.01,4.17,61350
2023-06-28,4.17,4.17,4.09,4.17,31200
2023-06-29,4.01,4.17,4.01,4.01,42800
2023-06-30,4.01,4.17,4.01,4.17,56618
2023-07-03,4.17,4.17,4.09,4.17,17200
2023-07-04,4.17,4.25,4.09,4.25,18400
2023-07-05,4.17,4.25,4.09,4.17,13900
2023-07-06,4.17,4.41,4.01,4.41,44010
2023-07-07,4.17,4.33,4.17,4.17,8300
2023-07-10,4.09,4.25,4.09,4.17,9800
2023-07-11,4.17,4.25,4.17,4.25,3801
2023-07-12,4.25,4.25,4.17,4.17,5700
2023-07-13,4.09,4.17,4.09,4.17,59100
2023-07-14,4.25,4.25,4.09,4.25,27800
2023-07-17,4.25,4.33,4.17,4.17,23202
2023-07-18,4.17,4.25,4.09,4.25,13100
2023-07-19,4.17,4.17,4.09,4.17,27000
2023-07-20,4.17,4.25,4.09,4.25,35800
2023-07-21,4.25,4.49,4.25,4.41,67104
2023-07-24,4.33,4.56,4.25,4.56,123626
2023-07-25,4.56,4.56,4.41,4.49,41300
2023-07-26,4.49,4.72,4.33,4.41,52400
2023-07-27,4.49,4.56,4.41,4.49,75006
2023-07-28,4.49,4.56,4.41,4.49,13904
2023-07-31,4.33,4.56,4.33,4.56,49604
2023-08-01,4.56,4.64,4.41,4.41,52100
2023-08-02,4.41,4.56,4.33,4.49,16900
2023-08-03,4.41,4.56,4.41,4.41,30300
2023-08-04,4.49,4.8,4.17,4.72,103470
2023-08-07,4.72,4.88,4.64,4.72,163810
2023-08-08,4.72,4.88,4.56,4.64,118100
2023-08-09,4.72,5.04,4.72,5.04,503500
2023-08-10,5.27,5.51,5.19,5.51,895510
2023-08-11,5.98,6.06,5.51,5.67,679578
2023-08-14,6.06,6.15,5.54,5.71,417936
2023-08-15,5.71,5.71,5.19,5.63,198020
2023-08-16,5.63,5.71,5.19,5.45,114150
2023-08-17,5.28,5.37,5.28,5.37,48700
2023-08-18,5.19,5.19,4.85,4.85,130810
2023-08-21,4.5,4.85,4.5,4.85,118601
2023-08-22,4.85,4.85,4.59,4.85,28927
