date,open,high,low,close,volume
2019-07-03,22.48,22.48,22.48,22.48,1001
2019-07-04,22.35,22.35,22.35,22.35,1100
2019-07-05,22.48,22.48,22.35,22.35,1200
2019-07-08,22.35,22.35,22.35,22.35,1100
2019-07-09,22.55,23.43,22.55,23.09,2034
2019-07-10,23.09,23.09,23.09,23.09,0
2019-07-11,22.41,22.89,22.41,22.41,1331
2019-07-12,23.3,23.77,23.3,23.77,200
2019-07-15,26.15,26.15,23.09,23.09,2113
2019-07-16,23.03,23.03,23.03,23.03,10578
2019-07-17,24.13,24.13,24.13,24.13,100
2019-07-18,23.44,23.78,23.44,23.78,53000
2019-07-19,23.71,24.13,23.71,24.06,42500
2019-07-22,24.06,24.06,24.06,24.06,91
2019-07-23,22.75,23.92,22.13,23.92,1100
2019-07-24,23.85,23.85,23.85,23.85,1001
2019-07-25,22.61,22.61,22.61,22.61,1000
2019-07-26,23.23,23.23,23.16,23.16,2900
2019-07-29,22.47,22.96,22.47,22.96,2010
2019-07-30,22.2,22.75,22.13,22.75,3500
2019-07-31,22.06,22.75,22.06,22.75,2800
2019-08-01,22.75,23.44,22.75,22.75,1100
2019-08-02,22.54,22.54,22.54,22.54,389
2019-08-05,21.85,22.33,21.65,22.33,1700
2019-08-06,22.06,22.75,21.44,22.75,4715
2019-08-07,21.51,22.61,21.51,22.61,7400
2019-08-08,21.44,22.06,21.44,22.06,2200
2019-08-09,21.58,22.06,21.51,22.06,4509
2019-08-12,22.4,22.4,22.06,22.06,2157
2019-08-13,22.06,22.06,22.06,22.06,900
2019-08-14,21.58,21.99,21.58,21.99,1100
2019-08-15,21.92,21.92,21.92,21.92,1300
2019-08-16,21.09,21.78,21.09,21.78,2500
2019-08-19,21.92,21.92,21.37,21.85,7600
2019-08-20,21.85,21.92,21.85,21.92,1401
2019-08-21,21.37,21.78,21.37,21.78,6321
2019-08-22,21.71,21.71,21.71,21.71,2710
2019-08-23,21.71,21.92,21.71,21.92,3020
2019-08-26,21.71,21.71,21.65,21.71,2000
2019-08-27,22.06,22.06,21.37,21.71,10500
2019-08-28,21.71,22.06,21.71,22.06,10300
2019-08-29,22.06,22.06,22.06,22.06,0
2019-08-30,21.99,22.06,21.99,21.99,2100
2019-09-03,21.71,21.99,21.51,21.99,16840
2019-09-04,21.99,21.99,21.92,21.92,2000
2019-09-05,21.85,22.4,21.85,22.06,10500
