date,open,high,low,close,volume
2019-08-12,7.55,8.67,8.67,8.67,0
2019-08-13,7.55,8.67,8.67,8.67,0
2019-08-14,7.55,8.67,8.67,8.67,0
2019-08-15,7.55,8.67,8.67,8.67,0
2019-08-16,7.55,8.67,8.67,8.67,0
2019-08-19,7.55,8.67,8.67,8.67,0
2019-08-20,7.55,8.67,8.67,8.67,0
2019-08-21,7.55,8.67,8.67,8.67,0
2019-08-22,7.55,8.67,8.67,8.67,0
2019-08-23,7.55,8.67,8.67,8.67,0
2019-08-26,7.55,8.67,8.67,8.67,0
2019-08-27,7.55,8.67,8.67,8.67,0
2019-08-28,7.55,8.67,8.67,8.67,0
2019-08-29,7.55,8.67,8.67,8.67,0
2019-08-30,4.66,4.66,4.66,4.66,100
2019-09-03,4.66,4.66,4.66,4.66,0
2019-09-04,4.66,4.66,4.66,4.66,0
2019-09-05,5.32,5.32,5.32,5.32,100
2019-09-06,5.32,5.32,5.32,5.32,0
2019-09-09,5.32,5.32,5.32,5.32,0
2019-09-10,5.32,5.32,5.32,5.32,0
2019-09-11,5.32,5.32,5.32,5.32,0
2019-09-12,5.32,5.32,5.32,5.32,0
2019-09-13,5.32,5.32,5.32,5.32,0
2019-09-16,5.32,5.32,5.32,5.32,0
2019-09-17,5.32,5.32,5.32,5.32,0
2019-09-18,5.32,5.32,5.32,5.32,0
2019-09-19,5.32,5.32,5.32,5.32,0
2019-09-20,5.32,5.32,5.32,5.32,0
2019-09-23,5.32,5.32,5.32,5.32,0
2019-09-24,5.32,5.32,5.32,5.32,0
2019-09-25,5.32,5.32,5.32,5.32,0
2019-09-26,5.32,5.32,5.32,5.32,0
2019-09-27,5.32,5.32,5.32,5.32,0
2019-09-30,5.32,5.32,5.32,5.32,0
2019-10-01,5.32,5.32,5.32,5.32,0
2019-10-02,5.32,5.32,5.32,5.32,0
2019-10-03,5.32,5.32,5.32,5.32,0
2019-10-04,5.32,5.32,5.32,5.32,0
2019-10-07,5.32,5.32,5.32,5.32,0
2019-10-08,5.32,5.32,5.32,5.32,0
2019-10-09,5.32,5.32,5.32,5.32,0
2019-10-10,5.32,5.32,5.32,5.32,0
2019-10-11,5.32,5.32,5.32,5.32,0
2019-10-14,5.32,5.32,5.32,5.32,0
2019-10-15,5.32,5.32,5.32,5.32,0
2019-10-16,3.28,3.28,3.28,3.28,100
2019-10-17,3.28,3.28,3.28,3.28,0
2019-10-18,3.28,3.28,3.28,3.28,0
2019-10-21,3.28,3.28,3.28,3.28,0
2019-10-22,3.28,3.28,3.28,3.28,0
2019-10-23,3.28,3.28,3.28,3.28,0
2019-10-24,3.28,3.28,3.28,3.28,0
2019-10-25,3.28,3.28,3.28,3.28,0
2019-10-28,3.28,3.28,3.28,3.28,0
2019-10-29,3.28,3.28,3.28,3.28,0
2019-10-30,3.28,3.28,3.28,3.28,0
2019-10-31,3.28,3.28,3.28,3.28,0
2019-11-01,3.28,3.28,3.28,3.28,0
2019-11-04,3.28,3.28,3.28,3.28,0
2019-11-05,3.28,3.28,3.28,3.28,0
2019-11-06,3.28,3.28,3.28,3.28,0
2019-11-07,3.28,3.28,3.28,3.28,0
2019-11-08,3.28,3.28,3.28,3.28,0
2019-11-11,3.28,3.28,3.28,3.28,0
2019-11-12,3.28,3.28,3.28,3.28,0
2019-11-13,3.28,3.28,3.28,3.28,0
2019-11-14,3.28,3.28,3.28,3.28,0
2019-11-15,3.28,3.28,3.28,3.28,0
2019-11-18,3.28,3.28,3.28,3.28,0
2019-11-19,3.28,3.28,3.28,3.28,0
2019-11-20,3.28,3.28,3.28,3.28,0
2019-11-21,3.28,3.28,3.28,3.28,0
2019-11-22,4.6,4.6,4.6,4.6,100
2019-11-25,4.6,4.6,4.6,4.6,0
2019-11-26,4.6,4.6,4.6,4.6,0
2019-11-27,4.6,4.6,4.6,4.6,0
2019-11-28,4.6,4.6,4.6,4.6,0
2019-11-29,4.6,4.6,4.6,4.6,0
2019-12-02,4.6,4.6,4.6,4.6,0
2019-12-03,4.6,4.6,4.6,4.6,0
2019-12-04,4.6,4.6,4.6,4.6,0
2019-12-05,4.6,4.6,4.6,4.6,0
2019-12-06,4.6,4.6,4.6,4.6,0
2019-12-09,4.6,4.6,4.6,4.6,0
2019-12-10,4.6,4.6,4.6,4.6,0
2019-12-11,4.6,4.6,4.6,4.6,0
2019-12-12,4.6,4.6,4.6,4.6,0
2019-12-13,4.6,4.6,4.6,4.6,0
2019-12-16,4.6,4.6,4.6,4.6,0
2019-12-17,4.6,4.6,4.6,4.6,0
2019-12-18,4.6,4.6,4.6,4.6,0
2019-12-19,4.6,4.6,4.6,4.6,0
2019-12-20,4.6,4.6,4.6,4.6,0
2019-12-23,4.6,4.6,4.6,4.6,0
2019-12-24,4.6,4.6,4.6,4.6,0
2019-12-25,4.6,4.6,4.6,4.6,0
2019-12-26,4.6,4.6,4.6,4.6,0
2019-12-27,4.6,4.6,4.6,4.6,0
2019-12-30,4.6,4.6,4.6,4.6,0
2019-12-31,4.6,4.6,4.6,4.6,0
2020-01-02,4.6,4.6,4.6,4.6,0
2020-01-03,4.6,4.6,4.6,4.6,0
2020-01-06,4.6,4.6,4.6,4.6,0
2020-01-07,4.6,4.6,4.6,4.6,0
2020-01-08,4.6,4.6,4.6,4.6,0
2020-01-09,4.6,4.6,4.6,4.6,0
2020-01-10,4.6,4.6,4.6,4.6,0
2020-01-13,4.6,4.6,4.6,4.6,0
2020-01-14,4.6,4.6,4.6,4.6,0
2020-01-15,4.6,4.6,4.6,4.6,0
2020-01-16,4.6,4.6,4.6,4.6,0
2020-01-17,4.6,4.6,4.6,4.6,0
2020-01-20,4.6,4.6,4.6,4.6,0
2020-01-21,4.6,4.6,4.6,4.6,0
2020-01-22,4.6,4.6,4.6,4.6,0
2020-01-30,4.6,4.6,4.6,4.6,0
2020-01-31,4.6,4.6,4.6,4.6,0
2020-02-03,4.6,4.6,4.6,4.6,0
2020-02-04,4.6,4.6,4.6,4.6,0
2020-02-05,4.6,4.6,4.6,4.6,0
2020-02-06,4.6,4.6,4.6,4.6,0
2020-02-07,4.6,4.6,4.6,4.6,0
2020-02-10,4.6,4.6,4.6,4.6,0
2020-02-11,4.6,4.6,4.6,4.6,0
2020-02-12,4.6,4.6,4.6,4.6,0
2020-02-13,4.6,4.6,4.6,4.6,0
2020-02-14,4.6,4.6,4.6,4.6,0
2020-02-17,4.6,4.6,4.6,4.6,0
2020-02-18,4.6,4.6,4.6,4.6,0
2020-02-19,4.6,4.6,4.6,4.6,0
2020-02-20,4.6,4.6,4.6,4.6,0
2020-02-21,4.6,4.6,4.6,4.6,0
2020-02-24,4.6,4.6,4.6,4.6,0
2020-02-25,4.6,4.6,4.6,4.6,0
2020-02-26,4.6,4.6,4.6,4.6,0
2020-02-27,4.6,4.6,4.6,4.6,0
2020-02-28,4.6,4.6,4.6,4.6,0
2020-03-02,4.6,4.6,4.6,4.6,0
2020-03-03,4.6,4.6,4.6,4.6,0
2020-03-04,4.6,4.6,4.6,4.6,0
2020-03-05,4.6,4.6,4.6,4.6,0
2020-03-06,4.6,4.6,4.6,4.6,0
2020-03-09,4.6,4.6,4.6,4.6,0
2020-03-10,4.6,4.6,4.6,4.6,0
2020-03-11,4.6,4.6,4.6,4.6,0
2020-03-12,4.6,4.6,4.6,4.6,0
2020-03-13,4.6,4.6,4.6,4.6,0
2020-03-16,4.6,4.6,4.6,4.6,0
2020-03-17,4.6,4.6,4.6,4.6,0
2020-03-18,4.6,4.6,4.6,4.6,0
2020-03-19,4.6,4.6,4.6,4.6,0
2020-03-20,4.6,4.6,4.6,4.6,0
2020-03-23,4.6,4.6,4.6,4.6,0
2020-03-24,4.6,4.6,4.6,4.6,0
2020-03-25,4.6,4.6,4.6,4.6,0
2020-03-26,4.6,4.6,4.6,4.6,0
2020-03-27,4.6,4.6,4.6,4.6,0
2020-03-30,4.6,4.6,4.6,4.6,0
2020-03-31,4.6,4.6,4.6,4.6,0
2020-04-01,4.6,4.6,4.6,4.6,0
2020-04-03,4.08,4.08,4.08,4.08,100
2020-04-06,4.08,4.08,4.08,4.08,0
2020-04-07,4.08,4.08,4.08,4.08,0
2020-04-08,4.08,4.08,4.08,4.08,0
2020-04-09,4.08,4.08,4.08,4.08,0
2020-04-10,4.08,4.08,4.08,4.08,0
2020-04-13,4.08,4.08,4.08,4.08,0
2020-04-14,4.08,4.08,4.08,4.08,0
2020-04-15,4.08,4.08,4.08,4.08,0
2020-04-16,4.08,4.08,4.08,4.08,0
2020-04-17,4.08,4.08,4.08,4.08,0
2020-04-20,4.08,4.08,4.08,4.08,0
2020-04-21,4.08,4.08,4.08,4.08,0
2020-04-22,4.08,4.08,4.08,4.08,0
2020-04-23,4.08,4.08,4.08,4.08,0
2020-04-24,4.08,4.08,4.08,4.08,0
2020-04-27,4.08,4.08,4.08,4.08,0
2020-04-28,4.08,4.08,4.08,4.08,0
2020-04-29,4.08,4.08,4.08,4.08,0
2020-05-04,4.08,4.08,4.08,4.08,0
2020-05-05,4.08,4.08,4.08,4.08,0
2020-05-06,4.08,4.08,4.08,4.08,0
2020-05-07,4.67,4.67,4.67,4.67,100
2020-05-08,4.67,4.67,4.67,4.67,0
2020-05-11,4.67,4.67,4.67,4.67,0
2020-05-12,4.67,4.67,4.67,4.67,0
2020-05-13,4.67,4.67,4.67,4.67,0
2020-05-14,4.67,4.67,4.67,4.67,0
2020-05-15,4.67,4.67,4.67,4.67,0
2020-05-18,4.67,4.67,4.67,4.67,0
2020-05-19,4.67,4.67,4.67,4.67,0
2020-05-20,4.67,4.67,4.67,4.67,0
