date,open,high,low,close,volume
2019-09-26,10.58,10.65,10.5,10.65,1200
2019-09-27,10.65,10.65,10.65,10.65,50
2019-09-30,10.5,10.65,10.5,10.65,3300
2019-10-01,10.65,10.65,10.5,10.5,300
2019-10-02,10.65,10.65,10.65,10.65,100
2019-10-03,10.65,10.65,10.65,10.65,38
2019-10-04,10.65,10.65,10.65,10.65,50
2019-10-07,10.58,10.58,10.58,10.58,100
2019-10-08,10.5,10.5,10.43,10.43,410
2019-10-09,10.65,10.65,10.43,10.43,1508
2019-10-10,10.73,10.73,10.5,10.5,236
2019-10-11,10.73,10.73,10.2,10.65,3400
2019-10-14,10.35,10.65,10.35,10.65,2300
2019-10-15,10.43,10.43,10.43,10.43,900
2019-10-16,10.65,10.65,10.58,10.58,1400
2019-10-17,10.58,10.58,10.58,10.58,4600
2019-10-18,10.65,10.65,10.58,10.58,7700
2019-10-21,10.58,10.58,10.58,10.58,0
2019-10-22,10.5,10.65,10.43,10.65,2960
2019-10-23,10.65,10.65,10.65,10.65,1200
2019-10-24,10.65,10.65,10.65,10.65,0
2019-10-25,10.65,10.65,10.65,10.65,0
2019-10-28,10.65,10.65,10.43,10.43,6200
2019-10-29,10.65,10.65,10.43,10.43,550
2019-10-30,10.5,10.5,10.5,10.5,638
2019-10-31,10.5,10.58,10.35,10.58,1500
2019-11-01,10.43,10.43,10.27,10.27,3100
2019-11-04,10.5,10.5,10.5,10.5,100
2019-11-05,10.5,10.5,10.27,10.43,720
2019-11-06,10.27,10.27,10.27,10.27,2600
2019-11-07,10.43,10.43,10.43,10.43,100
2019-11-08,10.43,10.43,10.43,10.43,0
2019-11-11,10.35,10.58,10.35,10.58,200
2019-11-12,10.2,10.2,10.2,10.2,120
2019-11-13,10.2,10.35,10.2,10.35,500
2019-11-14,10.5,10.5,10.2,10.2,251
2019-11-15,10.43,10.43,9.97,10.35,3924
2019-11-18,10.12,10.2,10.12,10.2,1900
2019-11-19,10.05,10.27,10.05,10.27,7500
2019-11-20,10.2,10.2,10.2,10.2,2200
2019-11-21,10.35,10.35,10.12,10.35,300
2019-11-22,10.35,10.35,10.35,10.35,0
2019-11-25,10.35,10.35,10.35,10.35,1110
2019-11-26,10.12,10.35,10.12,10.35,23211
2019-11-27,10.27,10.27,10.12,10.27,2610
2019-11-28,10.5,10.5,10.2,10.2,1051
