date,open,high,low,close,volume
2021-01-07,21.39,21.39,21.39,21.39,1200
2021-01-08,21.39,21.39,21.39,21.39,0
2021-01-11,21.39,21.39,21.39,21.39,0
2021-01-12,24.53,24.53,24.53,24.53,200
2021-01-13,24.53,24.53,24.53,24.53,0
2021-01-14,24.53,24.53,24.53,24.53,0
2021-01-15,24.53,24.53,24.53,24.53,0
2021-01-18,24.53,24.53,24.53,24.53,900
2021-01-19,24.53,24.53,24.53,24.53,0
2021-01-20,24.53,24.53,24.53,24.53,0
2021-01-21,24.53,24.53,24.53,24.53,0
2021-01-22,28.2,28.2,28.2,28.2,100
2021-01-25,28.2,28.2,28.2,28.2,0
2021-01-26,28.2,28.2,28.2,28.2,0
2021-01-27,28.2,28.2,28.2,28.2,0
2021-01-28,28.2,28.2,28.2,28.2,0
2021-01-29,28.2,28.2,28.2,28.2,0
2021-02-01,28.2,28.2,28.2,28.2,0
2021-02-02,28.2,28.2,28.2,28.2,0
2021-02-03,28.2,28.2,28.2,28.2,0
2021-02-04,28.2,28.2,28.2,28.2,0
2021-02-05,28.2,28.2,28.2,28.2,0
2021-02-08,28.2,28.2,28.2,28.2,0
2021-02-09,28.2,28.2,28.2,28.2,0
2021-02-17,28.2,28.2,28.2,28.2,0
2021-02-18,28.2,28.2,28.2,28.2,0
2021-02-19,28.02,28.02,28.02,28.02,1000
2021-02-22,28.02,28.02,28.02,28.02,0
2021-02-23,28.02,28.02,28.02,28.02,0
2021-02-24,23.92,23.92,23.92,23.92,100
2021-02-25,22.52,22.52,22.52,22.52,100
2021-02-26,20.95,20.95,20.95,20.95,100
2021-03-01,20.95,20.95,20.95,20.95,0
2021-03-02,20.95,20.95,20.95,20.95,0
2021-03-03,19.2,19.2,19.2,19.2,100
2021-03-04,19.2,19.2,19.2,19.2,0
2021-03-05,19.2,19.2,19.2,19.2,0
2021-03-08,19.2,19.2,19.2,19.2,0
2021-03-09,19.2,19.2,19.2,19.2,0
2021-03-10,19.2,19.2,19.2,19.2,0
2021-03-11,19.2,19.2,19.2,19.2,0
2021-03-12,19.2,19.2,19.2,19.2,0
2021-03-15,19.2,19.2,19.2,19.2,0
2021-03-16,19.2,19.2,19.2,19.2,0
2021-03-17,19.2,19.2,19.2,19.2,0
2021-03-18,19.2,19.2,19.2,19.2,0
2021-03-19,19.2,19.2,19.2,19.2,0
2021-03-22,19.2,19.2,19.2,19.2,0
2021-03-23,19.2,19.2,19.2,19.2,0
2021-03-24,19.2,19.2,19.2,19.2,0
2021-03-25,19.2,19.2,19.2,19.2,0
2021-03-26,19.2,19.2,19.2,19.2,0
2021-03-29,19.2,19.2,19.2,19.2,0
2021-03-30,19.2,19.2,19.2,19.2,0
2021-03-31,19.2,19.2,19.2,19.2,0
2021-04-01,19.2,19.2,19.2,19.2,0
2021-04-02,19.2,19.2,19.2,19.2,0
2021-04-05,19.2,19.2,19.2,19.2,0
