date,open,high,low,close,volume
2019-09-17,13.95,13.95,13.95,13.95,1326
2019-09-18,13.95,13.95,13.95,13.95,50
2019-09-19,13.6,13.95,13.6,13.6,5211
2019-09-20,13.6,13.6,13.6,13.6,100
2019-09-23,13.6,13.6,13.6,13.6,51
2019-09-24,13.95,13.95,13.95,13.95,200
2019-09-25,14.22,14.48,13.6,14.48,2200
2019-09-26,14.48,14.48,14.48,14.48,0
2019-09-27,14.48,14.48,14.48,14.48,0
2019-09-30,14.48,14.48,14.48,14.48,4100
2019-10-01,14.48,14.48,14.48,14.48,0
2019-10-02,14.48,14.48,14.48,14.48,0
2019-10-03,14.48,14.48,14.48,14.48,0
2019-10-04,14.48,14.48,14.48,14.48,0
2019-10-07,14.48,14.48,14.48,14.48,0
2019-10-08,14.48,14.48,14.48,14.48,0
2019-10-09,14.48,14.48,14.48,14.48,0
2019-10-10,14.48,14.48,14.48,14.48,0
2019-10-11,13.43,13.43,13.43,13.43,2000
2019-10-14,14.48,14.48,14.48,14.48,100
2019-10-15,14.48,14.48,14.48,14.48,0
2019-10-16,13.43,13.43,13.43,13.43,2000
2019-10-17,12.72,13.43,12.55,13.43,1060
2019-10-18,14.74,14.74,14.74,14.74,100
2019-10-21,14.74,14.74,14.74,14.74,0
2019-10-22,16.06,16.06,16.06,16.06,243
2019-10-23,14.48,14.48,14.48,14.48,250
2019-10-24,14.48,14.48,14.48,14.48,0
2019-10-25,14.48,14.48,14.48,14.48,400
2019-10-28,14.48,14.48,14.48,14.48,0
2019-10-29,14.48,14.48,14.48,14.48,0
2019-10-30,14.48,14.48,14.48,14.48,0
2019-10-31,14.48,14.48,14.48,14.48,0
2019-11-01,14.48,14.48,14.48,14.48,0
2019-11-04,14.48,14.48,14.48,14.48,0
2019-11-05,13.87,13.87,13.87,13.87,1000
2019-11-06,13.87,14.04,13.87,14.04,1501
2019-11-07,14.04,14.04,14.04,14.04,0
2019-11-08,13.87,13.87,13.87,13.87,1000
2019-11-11,13.87,13.87,13.87,13.87,0
2019-11-12,13.87,13.87,13.87,13.87,0
2019-11-13,13.6,13.6,13.6,13.6,256
2019-11-14,13.6,13.78,13.6,13.78,7032
2019-11-15,13.78,13.78,13.78,13.78,2500
2019-11-18,13.25,13.25,13.25,13.25,300
2019-11-19,13.16,13.25,12.99,12.99,7098
2019-11-20,13.6,13.78,13.6,13.78,700
2019-11-21,13.78,13.78,13.78,13.78,3486
2019-11-22,13.78,14.22,12.46,13.78,5147
2019-11-25,13.78,13.78,13.78,13.78,0
2019-11-26,13.78,13.78,13.78,13.78,0
2019-11-27,12.9,12.9,12.9,12.9,300
2019-11-28,13.08,13.08,11.67,12.72,1563
2019-11-29,12.99,13.08,12.99,13.08,1320
2019-12-02,13.51,13.51,13.51,13.51,100
2019-12-03,12.29,12.29,12.29,12.29,656
2019-12-04,13.08,13.08,13.08,13.08,500
2019-12-05,13.08,13.08,13.08,13.08,0
2019-12-06,13.08,13.08,13.08,13.08,0
2019-12-09,13.34,13.34,13.34,13.34,217
2019-12-10,13.34,13.51,13.34,13.51,2300
2019-12-11,13.6,13.6,13.6,13.6,100
2019-12-12,13.6,13.6,13.6,13.6,59
2019-12-13,13.69,13.69,13.69,13.69,100
2019-12-16,13.69,13.69,13.69,13.69,0
2019-12-17,13.69,13.69,13.69,13.69,0
2019-12-18,12.64,13.51,12.64,13.51,1200
2019-12-19,13.51,13.51,13.51,13.51,8
2019-12-20,13.51,13.51,13.51,13.51,0
2019-12-23,13.51,13.51,13.51,13.51,0
2019-12-24,13.51,13.51,13.51,13.51,0
2019-12-25,13.51,13.51,13.51,13.51,0
2019-12-26,13.51,13.51,13.51,13.51,8
2019-12-27,12.72,12.72,12.55,12.55,1000
2019-12-30,12.55,12.55,12.55,12.55,0
