date,open,high,low,close,volume
2019-09-26,1.27,1.27,1.27,1.27,0
2019-09-27,1.27,1.27,1.27,1.27,0
2019-09-30,1.27,1.27,1.27,1.27,0
2019-10-01,1.27,1.27,1.27,1.27,0
2019-10-02,1.27,1.27,1.27,1.27,0
2019-10-03,1.27,1.27,1.27,1.27,0
2019-10-04,1.27,1.27,1.27,1.27,0
2019-10-07,1.27,1.27,1.27,1.27,0
2019-10-08,1.27,1.27,1.27,1.27,0
2019-10-09,1.27,1.27,1.27,1.27,0
2019-10-10,1.27,1.27,1.27,1.27,0
2019-10-11,1.27,1.27,1.27,1.27,0
2019-10-14,1.27,1.27,1.27,1.27,0
2019-10-15,1.27,1.27,1.27,1.27,0
2019-10-16,1.27,1.27,1.27,1.27,0
2019-10-17,1.27,1.27,1.27,1.27,0
2019-10-18,1.27,1.27,1.27,1.27,0
2019-10-21,1.27,1.27,1.27,1.27,0
2019-10-22,1.27,1.27,1.27,1.27,0
2019-10-23,1.27,1.27,1.27,1.27,0
2019-10-24,1.27,1.27,1.27,1.27,0
2019-10-25,1.27,1.27,1.27,1.27,0
2019-10-28,1.27,1.27,1.27,1.27,0
2019-10-29,1.27,1.27,1.27,1.27,0
2019-10-30,1.27,1.27,1.27,1.27,0
2019-10-31,1.27,1.27,1.27,1.27,0
2019-11-01,1.27,1.27,1.27,1.27,0
2019-11-04,1.27,1.27,1.27,1.27,0
2019-11-05,1.27,1.27,1.27,1.27,100
2019-11-06,1.27,1.27,1.27,1.27,0
2019-11-07,1.27,1.27,1.27,1.27,0
2019-11-08,1.27,1.27,1.27,1.27,0
2019-11-11,1.27,1.27,1.27,1.27,0
2019-11-12,1.27,1.27,1.27,1.27,0
2019-11-13,1.27,1.27,1.27,1.27,0
2019-11-14,1.27,1.27,1.27,1.27,0
2019-11-15,1.27,1.27,1.27,1.27,0
2019-11-18,1.27,1.27,1.27,1.27,0
2019-11-19,1.27,1.27,1.27,1.27,0
2019-11-20,1.27,1.27,1.27,1.27,0
2019-11-21,1.27,1.27,1.27,1.27,0
2019-11-22,1.27,1.27,1.27,1.27,0
2019-11-25,1.27,1.27,1.27,1.27,0
2019-11-26,1.27,1.27,1.27,1.27,0
2019-11-27,1.27,1.27,1.27,1.27,0
2019-11-28,1.27,1.27,1.27,1.27,0
2019-11-29,1.27,1.27,1.27,1.27,0
2019-12-02,1.27,1.27,1.27,1.27,0
2019-12-03,1.27,1.27,1.27,1.27,0
2019-12-04,1.27,1.27,1.27,1.27,0
2019-12-05,1.27,1.27,1.27,1.27,0
2019-12-06,1.27,1.27,1.27,1.27,0
2019-12-09,1.27,1.27,1.27,1.27,0
2019-12-10,1.27,1.27,1.27,1.27,0
2019-12-11,1.27,1.27,1.27,1.27,0
2019-12-12,1.27,1.27,1.27,1.27,0
2019-12-13,1.27,1.27,1.27,1.27,0
2019-12-16,1.27,1.27,1.27,1.27,0
2019-12-17,1.27,1.27,1.27,1.27,0
2019-12-18,1.27,1.27,1.27,1.27,0
2019-12-19,1.27,1.27,1.27,1.27,0
2019-12-20,1.27,1.27,1.27,1.27,0
2019-12-23,1.27,1.27,1.27,1.27,0
2019-12-24,1.27,1.27,1.27,1.27,0
2019-12-25,1.27,1.27,1.27,1.27,0
2019-12-26,1.27,1.27,1.27,1.27,0
2019-12-27,1.27,1.27,1.27,1.27,0
2019-12-30,1.27,1.27,1.27,1.27,0
2019-12-31,1.27,1.27,1.27,1.27,0
2020-01-02,1.27,1.27,1.27,1.27,0
2020-01-03,1.27,1.27,1.27,1.27,0
2020-01-06,1.27,1.27,1.27,1.27,0
2020-01-07,1.27,1.27,1.27,1.27,0
2020-01-08,1.27,1.27,1.27,1.27,0
2020-01-09,1.27,1.27,1.27,1.27,0
2020-01-10,1.27,1.27,1.27,1.27,0
2020-01-13,1.27,1.27,1.27,1.27,0
2020-01-14,1.27,1.27,1.27,1.27,0
2020-01-15,1.27,1.27,1.27,1.27,0
2020-01-16,1.27,1.27,1.27,1.27,0
2020-01-17,1.27,1.27,1.27,1.27,0
2020-01-20,1.27,1.27,1.27,1.27,0
2020-01-21,1.27,1.27,1.27,1.27,0
2020-01-22,1.27,1.27,1.27,1.27,0
2020-01-30,1.27,1.27,1.27,1.27,0
2020-01-31,1.27,1.27,1.27,1.27,0
2020-02-03,1.27,1.27,1.27,1.27,0
2020-02-04,1.27,1.27,1.27,1.27,0
2020-02-05,1.27,1.27,1.27,1.27,0
2020-02-06,1.27,1.27,1.27,1.27,0
2020-02-07,1.27,1.27,1.27,1.27,0
2020-02-10,1.27,1.27,1.27,1.27,0
2020-02-11,1.27,1.27,1.27,1.27,0
2020-02-12,1.27,1.27,1.27,1.27,0
2020-02-13,1.27,1.27,1.27,1.27,0
2020-02-14,1.27,1.27,1.27,1.27,0
2020-02-17,1.27,1.27,1.27,1.27,0
