date,open,high,low,close,volume
2019-09-20,3.32,3.32,3.32,3.32,0
2019-09-23,3.32,3.32,3.32,3.32,0
2019-09-24,3.32,3.32,3.32,3.32,0
2019-09-25,3.32,3.32,3.32,3.32,0
2019-09-26,3.32,3.32,3.32,3.32,0
2019-09-27,3.32,3.32,3.32,3.32,0
2019-09-30,3.32,3.32,3.32,3.32,0
2019-10-01,3.32,3.32,3.32,3.32,0
2019-10-02,3.32,3.32,3.32,3.32,0
2019-10-03,3.32,3.32,3.32,3.32,0
2019-10-04,3.32,3.32,3.32,3.32,0
2019-10-07,3.32,3.32,3.32,3.32,0
2019-10-08,3.32,3.32,3.32,3.32,0
2019-10-09,3.32,3.32,3.32,3.32,0
2019-10-10,3.32,3.32,3.32,3.32,0
2019-10-11,3.32,3.32,3.32,3.32,0
2019-10-14,3.61,3.61,3.61,3.61,100
2019-10-15,3.61,3.61,3.61,3.61,0
2019-10-16,3.61,3.61,3.61,3.61,0
2019-10-17,3.61,3.61,3.61,3.61,0
2019-10-18,3.61,3.61,3.61,3.61,0
2019-10-21,3.61,3.61,3.61,3.61,0
2019-10-22,3.61,3.61,3.61,3.61,0
2019-10-23,3.61,3.61,3.61,3.61,0
2019-10-24,3.61,3.61,3.61,3.61,0
2019-10-25,3.96,3.96,3.96,3.96,100
2019-10-28,3.96,3.96,3.96,3.96,2900
2019-10-29,3.61,4.31,3.61,4.31,200
2019-10-30,3.9,3.9,3.9,3.9,200
2019-10-31,3.55,3.55,3.55,3.55,100
2019-11-01,3.55,3.55,3.55,3.55,0
2019-11-04,3.55,3.55,3.55,3.55,0
2019-11-05,3.9,3.9,3.9,3.9,100
2019-11-06,3.9,3.9,3.9,3.9,0
2019-11-07,3.9,3.9,3.9,3.9,0
2019-11-08,4.2,4.2,4.2,4.2,100
2019-11-11,4.08,4.08,3.79,3.79,3900
2019-11-12,3.79,3.79,3.79,3.79,0
2019-11-13,3.79,3.79,3.79,3.79,0
2019-11-14,3.79,3.79,3.79,3.79,0
2019-11-15,3.79,3.79,3.79,3.79,0
2019-11-18,3.79,3.79,3.79,3.79,0
2019-11-19,3.79,3.79,3.79,3.79,0
2019-11-20,3.79,3.79,3.79,3.79,0
2019-11-21,3.79,3.79,3.79,3.79,0
2019-11-22,3.79,3.79,3.79,3.79,0
2019-11-25,3.79,3.79,3.79,3.79,0
2019-11-26,3.79,3.79,3.79,3.79,0
2019-11-27,3.79,3.79,3.79,3.79,0
2019-11-28,3.79,3.79,3.79,3.79,0
2019-11-29,3.79,3.79,3.79,3.79,0
2019-12-02,3.44,3.44,3.44,3.44,100
2019-12-03,3.73,3.73,3.73,3.73,100
2019-12-04,4.08,4.08,4.08,4.08,100
2019-12-05,4.08,4.08,4.08,4.08,0
2019-12-06,4.08,4.08,4.08,4.08,0
2019-12-09,4.08,4.08,4.08,4.08,0
2019-12-10,4.08,4.08,4.08,4.08,0
2019-12-11,3.67,3.67,3.67,3.67,100
2019-12-12,4.02,4.02,4.02,4.02,100
2019-12-13,4.02,4.02,4.02,4.02,0
2019-12-16,4.02,4.02,4.02,4.02,0
2019-12-17,4.02,4.02,4.02,4.02,0
2019-12-18,4.02,4.02,4.02,4.02,0
2019-12-19,3.67,3.67,3.67,3.67,3000
2019-12-20,3.96,3.96,3.96,3.96,100
2019-12-23,3.61,3.61,3.61,3.61,100
2019-12-24,3.96,3.96,3.96,3.96,100
2019-12-25,3.96,3.96,3.96,3.96,0
2019-12-26,4.25,4.25,3.73,3.73,200
2019-12-27,3.73,3.73,3.73,3.73,0
2019-12-30,3.73,3.73,3.73,3.73,0
2019-12-31,3.73,3.73,3.73,3.73,0
2020-01-02,4.02,4.02,4.02,4.02,100
2020-01-03,3.67,3.67,3.67,3.67,100
2020-01-06,4.02,4.02,4.02,4.02,100
2020-01-07,4.02,4.02,4.02,4.02,0
2020-01-08,4.02,4.02,4.02,4.02,0
2020-01-09,4.02,4.02,4.02,4.02,0
2020-01-10,4.02,4.02,4.02,4.02,0
2020-01-13,4.02,4.02,4.02,4.02,0
2020-01-14,4.02,4.02,4.02,4.02,0
2020-01-15,4.02,4.02,4.02,4.02,0
2020-01-16,4.02,4.02,4.02,4.02,0
2020-01-17,4.02,4.02,4.02,4.02,0
2020-01-20,4.02,4.02,4.02,4.02,0
2020-01-21,4.02,4.02,4.02,4.02,0
2020-01-22,4.02,4.02,4.02,4.02,0
2020-01-30,4.02,4.02,4.02,4.02,0
2020-01-31,4.02,4.02,4.02,4.02,0
2020-02-03,4.02,4.02,4.02,4.02,0
2020-02-04,4.02,4.02,4.02,4.02,0
2020-02-05,4.37,4.37,4.37,4.37,100
2020-02-06,4.37,4.37,4.37,4.37,0
2020-02-07,4.37,4.37,4.37,4.37,0
2020-02-10,4.37,4.37,4.37,4.37,0
2020-02-11,4.37,4.37,4.37,4.37,0
2020-02-12,4.37,4.37,4.37,4.37,0
2020-02-13,4.37,4.37,4.37,4.37,0
2020-02-14,4.37,4.37,4.37,4.37,0
2020-02-17,4.37,4.37,4.37,4.37,0
2020-02-18,3.96,3.96,3.96,3.96,200
2020-02-19,3.96,3.96,3.96,3.96,0
2020-02-20,3.96,3.96,3.96,3.96,0
2020-02-21,3.96,3.96,3.96,3.96,0
2020-02-24,3.96,3.96,3.96,3.96,0
2020-02-25,3.96,3.96,3.96,3.96,0
2020-02-26,3.96,3.96,3.96,3.96,0
2020-02-27,3.96,3.96,3.96,3.96,0
2020-02-28,3.96,3.96,3.96,3.96,0
2020-03-02,3.61,3.61,3.61,3.61,100
2020-03-03,3.26,3.96,3.26,3.96,200
2020-03-04,3.61,3.61,3.61,3.61,105
2020-03-05,3.96,3.96,3.96,3.96,100
2020-03-06,3.61,3.61,3.61,3.61,100
2020-03-09,3.26,3.26,3.26,3.26,100
2020-03-10,3.55,3.55,3.55,3.55,100
2020-03-11,3.26,3.26,3.2,3.2,200
2020-03-12,2.97,2.97,2.97,2.97,100
2020-03-13,3.26,3.26,3.26,3.26,100
2020-03-16,3.26,3.26,3.26,3.26,0
2020-03-17,3.26,3.26,3.26,3.26,0
2020-03-18,3.55,3.55,3.55,3.55,100
2020-03-19,3.26,3.26,3.26,3.26,100
2020-03-20,3.55,3.55,3.55,3.55,146
2020-03-23,3.26,3.85,3.26,3.85,200
2020-03-24,3.85,3.85,3.85,3.85,0
2020-03-25,3.85,3.85,3.85,3.85,0
2020-03-26,3.85,3.85,3.85,3.85,0
2020-03-27,4.02,4.02,4.02,4.02,100
2020-03-30,4.02,4.02,4.02,4.02,0
2020-03-31,4.02,4.02,4.02,4.02,0
2020-04-01,4.02,4.02,4.02,4.02,0
