date,open,high,low,close,volume
2019-04-17,8.98,8.98,8.98,8.98,0
2019-04-18,8.98,8.98,8.98,8.98,0
2019-04-19,8.98,8.98,8.98,8.98,0
2019-04-22,8.98,8.98,8.98,8.98,0
2019-04-23,8.98,8.98,8.98,8.98,0
2019-04-24,8.98,8.98,8.98,8.98,0
2019-04-25,8.98,8.98,8.98,8.98,0
2019-04-26,8.98,8.98,8.98,8.98,300
2019-05-02,8.98,8.98,8.98,8.98,0
2019-05-03,8.98,8.98,8.98,8.98,0
2019-05-06,8.98,8.98,8.98,8.98,0
2019-05-07,8.98,8.98,8.98,8.98,0
2019-05-08,8.98,8.98,8.98,8.98,0
2019-05-09,8.98,8.98,8.98,8.98,0
2019-05-10,8.98,8.98,8.98,8.98,0
2019-05-13,8.98,8.98,8.98,8.98,0
2019-05-14,8.98,8.98,8.98,8.98,0
2019-05-15,8.98,8.98,8.98,8.98,0
2019-05-16,8.98,8.98,8.98,8.98,0
2019-05-17,8.98,8.98,8.98,8.98,0
2019-05-20,7.92,7.92,7.92,7.92,14314
2019-05-21,7.92,7.92,7.92,7.92,0
2019-05-22,7.92,7.92,7.92,7.92,0
2019-05-23,9.1,9.1,9.1,9.1,100
2019-05-24,9.1,9.1,9.1,9.1,0
2019-05-27,9.1,9.1,9.1,9.1,0
2019-05-28,9.1,9.1,9.1,9.1,0
2019-05-29,9.1,9.1,9.1,9.1,0
2019-05-30,9.1,9.1,9.1,9.1,0
2019-05-31,9.1,9.1,9.1,9.1,0
2019-06-03,9.1,9.1,9.1,9.1,0
2019-06-04,9.1,9.1,9.1,9.1,0
2019-06-05,9.1,9.1,9.1,9.1,0
2019-06-06,9.1,9.1,9.1,9.1,0
2019-06-07,9.1,9.1,9.1,9.1,0
2019-06-10,9.1,9.1,9.1,9.1,0
2019-06-11,9.1,9.1,9.1,9.1,0
2019-06-12,9.1,9.1,9.1,9.1,0
2019-06-13,9.1,9.1,9.1,9.1,0
2019-06-14,9.1,9.1,9.1,9.1,0
2019-06-17,9.1,9.1,9.1,9.1,0
2019-06-18,9.1,9.1,9.1,9.1,0
2019-06-19,9.1,9.1,9.1,9.1,0
2019-06-20,9.1,9.1,9.1,9.1,0
2019-06-21,9.1,9.1,9.1,9.1,0
2019-06-24,9.1,9.1,9.1,9.1,0
2019-06-25,9.1,9.1,9.1,9.1,0
2019-06-26,8.22,8.8,8.22,8.8,1271
2019-06-27,8.39,8.8,8.8,8.8,0
2019-06-28,8.39,8.8,8.8,8.8,0
2019-07-01,8.39,8.8,8.8,8.8,0
2019-07-02,8.39,8.8,8.8,8.8,0
2019-07-03,8.39,8.8,8.8,8.8,0
2019-07-04,8.39,8.39,8.39,8.39,0
