date,open,high,low,close,volume
2019-09-26,3.84,4.09,3.82,4.09,3050
2019-09-27,4.09,4.1,3.81,3.81,38300
2019-09-30,3.95,3.95,3.81,3.95,4690
2019-10-01,4.22,4.22,4.0,4.2,10680
2019-10-02,4.28,4.28,3.91,4.19,10070
2019-10-03,4.19,4.48,3.91,4.48,81120
2019-10-04,4.18,4.74,4.18,4.74,19730
2019-10-07,4.54,5.0,4.54,5.0,52420
2019-10-08,5.0,5.2,4.7,5.0,49570
2019-10-09,5.2,5.2,5.0,5.19,20020
2019-10-10,5.1,5.19,5.0,5.05,13700
2019-10-11,4.72,5.1,4.71,5.07,5450
2019-10-14,4.72,5.09,4.72,5.09,2030
2019-10-15,5.09,5.2,5.09,5.2,25910
2019-10-16,5.2,5.2,5.0,5.2,35110
2019-10-17,5.05,5.2,5.05,5.19,3760
2019-10-18,4.84,5.0,4.83,5.0,1450
2019-10-21,4.65,4.99,4.65,4.9,10610
2019-10-22,4.56,5.2,4.56,4.95,54970
2019-10-23,5.0,5.0,5.0,5.0,5690
2019-10-24,5.0,5.35,5.0,5.35,121690
2019-10-25,5.38,5.7,5.25,5.69,84640
2019-10-28,5.79,5.79,5.4,5.7,28530
2019-10-29,5.4,5.4,5.31,5.31,36810
2019-10-30,4.94,5.45,4.94,5.38,22050
2019-10-31,5.02,5.02,5.01,5.01,30550
2019-11-01,4.66,4.9,4.66,4.67,167510
2019-11-04,4.35,4.4,4.35,4.35,57170
2019-11-05,4.05,4.1,4.05,4.06,71600
2019-11-06,4.28,4.28,4.0,4.26,13840
2019-11-07,4.44,4.44,4.01,4.03,4350
2019-11-08,4.26,4.26,3.9,3.94,27060
2019-11-11,3.94,4.21,3.92,4.21,22780
2019-11-12,4.21,4.5,4.21,4.5,20300
2019-11-13,4.5,4.81,4.5,4.81,69480
2019-11-14,4.49,4.81,4.49,4.63,30830
2019-11-15,4.41,4.63,4.41,4.63,9220
2019-11-18,4.31,4.9,4.31,4.41,1190
2019-11-19,4.42,4.69,4.2,4.69,11260
2019-11-20,4.37,4.69,4.37,4.69,2170
2019-11-21,4.39,4.41,4.39,4.41,2010
2019-11-22,4.41,4.68,4.41,4.68,7810
2019-11-25,4.37,4.4,4.37,4.4,110
2019-11-26,4.4,4.7,4.1,4.1,5330
2019-11-27,4.37,4.38,4.11,4.38,1080
2019-11-28,4.15,4.67,4.15,4.67,4340
2019-11-29,4.36,4.8,4.35,4.35,22090
2019-12-02,4.11,4.5,4.11,4.11,5020
2019-12-03,4.39,4.39,4.39,4.39,39660
2019-12-04,4.6,4.68,4.18,4.64,2360870
2019-12-05,4.33,4.75,4.32,4.32,2180
2019-12-06,4.06,4.62,4.06,4.62,1270
2019-12-09,4.62,4.9,4.3,4.9,20380
2019-12-10,4.56,4.57,4.56,4.56,8610
2019-12-11,4.6,4.71,4.6,4.71,22630
2019-12-12,4.4,4.7,4.39,4.42,21110
2019-12-13,4.7,4.72,4.21,4.72,119610
2019-12-16,4.4,4.6,4.4,4.6,580
2019-12-17,4.6,4.6,4.6,4.6,1510
2019-12-18,4.31,4.6,4.3,4.6,5110
2019-12-19,4.36,4.5,4.35,4.5,5700
2019-12-20,4.5,4.5,4.5,4.5,920
2019-12-23,4.7,4.7,4.7,4.7,10
2019-12-24,4.4,4.68,4.38,4.68,8830
2019-12-25,4.37,4.5,4.37,4.5,1090
2019-12-26,4.6,4.6,4.6,4.6,10
2019-12-27,4.3,4.5,4.3,4.5,2030
2019-12-30,4.5,4.59,4.2,4.59,370
2019-12-31,4.59,4.59,4.59,4.59,10
2020-01-02,4.27,4.54,4.27,4.54,30
2020-01-03,4.59,4.59,4.3,4.54,1090
2020-01-06,4.54,4.54,4.54,4.54,10
2020-01-07,4.23,4.25,4.23,4.23,4960
2020-01-08,4.23,4.23,4.2,4.2,7010
2020-01-09,3.91,3.91,3.91,3.91,15970
2020-01-10,3.64,3.64,3.64,3.64,39800
2020-01-13,3.72,3.89,3.72,3.89,510
2020-01-14,4.12,4.12,3.8,3.98,2820
2020-01-15,4.23,4.23,3.71,3.71,2150
2020-01-16,3.46,3.7,3.46,3.7,7880
2020-01-17,3.7,3.79,3.7,3.79,170
2020-01-20,3.99,3.99,3.53,3.53,2010
2020-01-21,3.69,3.77,3.69,3.77,1710
2020-01-22,3.77,3.77,3.77,3.77,0
2020-01-30,3.94,3.94,3.94,3.94,630
2020-01-31,3.68,3.92,3.68,3.92,2910
2020-02-03,3.66,3.84,3.66,3.84,2520
2020-02-04,3.6,3.93,3.6,3.93,40
2020-02-05,3.89,3.89,3.89,3.89,240
2020-02-06,4.0,4.0,3.64,4.0,7160
2020-02-07,4.0,4.0,4.0,4.0,150
2020-02-10,3.72,3.79,3.72,3.79,3380
2020-02-11,3.7,3.88,3.7,3.88,1010
2020-02-12,3.61,3.88,3.61,3.88,22890
2020-02-13,3.94,3.94,3.94,3.94,350
2020-02-14,3.94,3.94,3.94,3.94,10
2020-02-17,3.68,3.68,3.67,3.67,3540
2020-02-18,3.88,3.88,3.42,3.88,10520
2020-02-19,3.88,3.88,3.88,3.88,10
2020-02-20,3.88,3.88,3.88,3.88,10
2020-02-21,3.61,3.88,3.61,3.88,770
2020-02-24,3.88,3.88,3.88,3.88,10
2020-02-25,3.88,3.88,3.88,3.88,10
2020-02-26,3.88,3.88,3.88,3.88,10
2020-02-27,3.88,3.88,3.88,3.88,10
2020-02-28,3.88,3.88,3.88,3.88,10
2020-03-02,3.88,3.88,3.88,3.88,10
2020-03-03,3.88,3.88,3.88,3.88,310
2020-03-04,3.88,3.88,3.88,3.88,10
2020-03-05,3.88,3.88,3.88,3.88,10
2020-03-06,3.9,3.9,3.9,3.9,10
2020-03-09,3.95,3.95,3.95,3.95,110
2020-03-10,3.68,3.87,3.68,3.87,1980
2020-03-11,3.87,3.87,3.87,3.87,10
2020-03-12,3.6,3.8,3.6,3.8,10110
2020-03-13,3.55,3.69,3.54,3.69,11740
2020-03-16,3.44,3.44,3.44,3.44,8000
2020-03-17,3.2,3.25,3.2,3.2,3330
2020-03-18,3.42,3.42,3.41,3.42,2090
2020-03-19,3.19,3.5,3.19,3.5,53910
2020-03-20,3.26,3.6,3.26,3.6,1460
2020-03-23,3.35,3.35,3.35,3.35,67010
2020-03-24,3.12,3.58,3.12,3.58,9410
2020-03-25,3.58,3.58,3.58,3.58,0
2020-03-26,3.33,3.57,3.33,3.57,1780
2020-03-27,3.56,3.56,3.56,3.56,40
2020-03-30,3.56,3.56,3.56,3.56,10
2020-03-31,3.56,3.56,3.56,3.56,10
2020-04-01,3.32,3.56,3.32,3.56,1170
2020-04-03,3.32,3.5,3.32,3.5,1710
2020-04-06,3.74,3.74,3.49,3.65,5370
2020-04-07,3.8,3.9,3.65,3.88,4190
2020-04-08,3.61,3.7,3.61,3.7,1020
2020-04-09,3.45,3.69,3.45,3.69,2650
2020-04-10,3.44,3.68,3.44,3.68,10840
2020-04-13,3.69,3.69,3.69,3.69,10
2020-04-14,3.69,3.69,3.69,3.69,10
2020-04-15,3.44,3.54,3.44,3.54,170
2020-04-16,3.3,3.6,3.3,3.6,18980
2020-04-17,3.4,3.4,3.4,3.4,2010
2020-04-20,3.55,3.55,3.17,3.5,3110
2020-04-21,3.55,3.55,3.55,3.55,20
2020-04-22,3.32,3.6,3.32,3.6,60
2020-04-23,3.5,3.55,3.5,3.55,80
2020-04-24,3.5,3.5,3.31,3.31,5300
2020-04-27,3.54,3.54,3.5,3.5,600
2020-04-28,3.6,3.6,3.49,3.5,370
2020-04-29,3.5,3.5,3.5,3.5,0
2020-05-04,3.5,3.5,3.26,3.49,1220
2020-05-05,3.3,3.5,3.3,3.5,360
2020-05-06,3.3,3.3,3.26,3.26,10920
2020-05-07,3.15,3.48,3.15,3.48,880
2020-05-08,3.4,3.6,3.4,3.6,1360
2020-05-11,3.65,3.65,3.65,3.65,50
2020-05-12,3.4,3.6,3.4,3.6,140
2020-05-13,3.6,3.6,3.6,3.6,2010
2020-05-14,3.35,3.35,3.35,3.35,29420
2020-05-15,3.3,3.5,3.12,3.49,10450
2020-05-18,3.25,3.4,3.25,3.4,1000
2020-05-19,3.2,3.3,3.2,3.3,14670
2020-05-20,3.3,3.3,3.3,3.3,360
2020-05-21,3.1,3.3,3.1,3.3,13940
2020-05-22,3.07,3.24,3.07,3.24,20010
2020-05-25,3.04,3.4,3.04,3.4,5670
2020-05-26,3.18,3.36,3.18,3.36,310
2020-05-27,3.18,3.18,3.18,3.18,30
2020-05-28,3.0,3.35,3.0,3.35,8420
2020-05-29,3.3,3.38,3.12,3.38,6150
2020-06-01,3.15,3.16,3.15,3.15,9500
2020-06-02,3.15,3.15,3.0,3.15,11640
2020-06-03,3.13,3.13,2.93,3.13,10110
2020-06-04,3.13,3.15,3.0,3.15,55730
2020-06-05,3.2,3.2,3.13,3.13,16400
2020-06-08,3.1,3.3,3.1,3.25,27890
2020-06-09,3.15,3.15,3.08,3.15,19990
2020-06-10,3.15,3.33,3.15,3.33,19850
2020-06-11,3.34,3.45,3.34,3.45,31470
2020-06-12,3.68,3.68,3.3,3.4,17560
2020-06-15,3.6,3.6,3.59,3.59,2080
2020-06-16,3.5,3.5,3.34,3.34,4860
2020-06-17,3.11,3.4,3.11,3.4,30950
2020-06-18,3.4,3.45,3.4,3.45,12890
2020-06-19,3.45,3.45,3.4,3.44,5040
