date,open,high,low,close,volume
2019-08-14,6.17,6.17,6.17,6.17,0
2019-08-15,6.24,6.24,6.24,6.24,900
2019-08-16,6.24,6.24,6.24,6.24,0
2019-08-19,6.24,6.24,6.24,6.24,0
2019-08-20,6.24,6.24,6.24,6.24,0
2019-08-21,5.39,5.39,5.33,5.33,4400
2019-08-22,5.59,5.59,5.46,5.46,1000
2019-08-23,6.24,6.24,6.24,6.24,100
2019-08-26,6.24,6.24,6.24,6.24,0
2019-08-27,6.24,6.24,6.24,6.24,0
2019-08-28,6.24,6.24,6.24,6.24,0
2019-08-29,6.24,6.24,6.24,6.24,0
2019-08-30,6.24,6.24,6.24,6.24,0
2019-09-03,6.24,6.24,6.24,6.24,0
2019-09-04,6.24,6.24,6.24,6.24,0
2019-09-05,6.24,6.24,6.24,6.24,0
2019-09-06,6.24,6.24,6.24,6.24,0
2019-09-09,5.85,5.85,5.85,5.85,100
2019-09-10,5.85,5.85,5.85,5.85,0
2019-09-11,5.2,5.52,5.2,5.52,5300
2019-09-12,5.39,5.52,5.39,5.52,8000
2019-09-13,5.52,6.17,5.52,6.17,17100
2019-09-16,6.17,6.17,5.65,5.85,10900
2019-09-17,5.85,5.85,5.78,5.78,1500
2019-09-18,5.85,5.85,5.85,5.85,1400
2019-09-19,6.69,6.69,5.85,5.85,1100
2019-09-20,5.91,6.11,5.85,6.11,3100
2019-09-23,5.91,6.11,6.11,6.11,0
2019-09-24,5.91,5.91,5.91,5.91,1000
2019-09-25,5.91,6.17,5.91,6.17,1200
2019-09-26,5.98,5.98,5.98,5.98,200
2019-09-27,5.91,6.24,5.91,6.24,2600
2019-09-30,6.17,6.17,6.17,6.17,1000
2019-10-01,6.17,6.37,5.98,6.17,8200
2019-10-02,6.17,6.17,6.17,6.17,100
2019-10-03,6.24,6.5,6.24,6.5,200
2019-10-04,6.17,6.17,5.98,5.98,1700
2019-10-07,6.37,6.43,6.37,6.37,3500
2019-10-08,6.37,6.37,6.37,6.37,0
2019-10-09,6.37,6.37,6.37,6.37,0
2019-10-10,6.37,6.37,6.37,6.37,4000
2019-10-11,6.37,6.37,6.37,6.37,0
2019-10-14,6.37,6.37,6.37,6.37,6000
2019-10-15,6.37,6.37,6.37,6.37,0
2019-10-16,6.37,6.37,6.37,6.37,0
2019-10-17,6.82,6.82,6.82,6.82,100
2019-10-18,6.37,6.37,6.37,6.37,10000
2019-10-21,6.37,6.37,6.37,6.37,10300
2019-10-22,6.37,6.37,6.37,6.37,0
2019-10-23,6.37,6.37,6.37,6.37,0
2019-10-24,6.37,6.37,6.37,6.37,1500
2019-10-25,6.43,6.43,6.43,6.43,100
2019-10-28,6.5,6.5,6.5,6.5,200
2019-10-29,6.5,6.5,6.5,6.5,0
2019-10-30,6.5,6.5,6.5,6.5,300
2019-10-31,6.5,6.5,6.5,6.5,500
2019-11-01,6.56,6.56,6.56,6.56,200
2019-11-04,6.56,6.56,6.56,6.56,0
2019-11-05,6.56,6.56,6.56,6.56,0
2019-11-06,6.82,7.47,6.82,7.47,700
2019-11-07,7.28,7.47,7.47,7.47,0
2019-11-08,7.28,7.47,7.47,7.47,0
2019-11-11,8.25,8.25,8.25,8.25,100
2019-11-12,8.25,8.25,8.25,8.25,0
