date,open,high,low,close,volume
2019-07-18,30.31,30.31,30.31,30.31,0
2019-07-19,30.31,30.31,30.31,30.31,0
2019-07-22,25.8,25.8,25.8,25.8,300
2019-07-23,22.18,22.18,22.18,22.18,200
2019-07-24,22.18,22.18,22.18,22.18,0
2019-07-25,22.18,22.18,22.18,22.18,0
2019-07-26,22.18,22.18,22.18,22.18,0
2019-07-29,22.18,22.18,22.18,22.18,0
2019-07-30,22.18,22.18,22.18,22.18,0
2019-07-31,22.18,22.18,22.18,22.18,0
2019-08-01,22.18,22.18,22.18,22.18,0
2019-08-02,22.18,22.18,22.18,22.18,0
2019-08-05,22.18,22.18,22.18,22.18,0
2019-08-06,22.18,22.18,22.18,22.18,0
2019-08-07,22.18,22.18,22.18,22.18,0
2019-08-08,22.18,22.18,22.18,22.18,0
2019-08-09,22.18,22.18,22.18,22.18,0
2019-08-12,22.18,22.18,22.18,22.18,0
2019-08-13,22.18,22.18,22.18,22.18,0
2019-08-14,22.18,22.18,22.18,22.18,0
2019-08-15,22.18,22.18,22.18,22.18,0
2019-08-16,22.18,22.18,22.18,22.18,0
2019-08-19,22.18,22.18,22.18,22.18,0
2019-08-20,22.18,22.18,22.18,22.18,0
2019-08-21,22.18,22.18,22.18,22.18,0
2019-08-22,22.18,22.18,22.18,22.18,0
2019-08-23,18.85,18.85,18.85,18.85,700
2019-08-26,16.04,16.04,16.04,16.04,1100
2019-08-27,13.68,13.68,13.68,13.68,600
2019-08-28,13.68,13.68,13.68,13.68,0
2019-08-29,14.05,14.05,14.05,14.05,600
2019-08-30,14.05,14.05,14.05,14.05,0
2019-09-03,14.05,14.05,14.05,14.05,0
2019-09-04,14.05,14.05,14.05,14.05,0
2019-09-05,14.05,14.05,14.05,14.05,0
2019-09-06,14.05,14.05,14.05,14.05,0
2019-09-09,14.05,14.05,14.05,14.05,0
2019-09-10,14.05,14.05,14.05,14.05,0
2019-09-11,14.05,14.05,14.05,14.05,0
2019-09-12,14.05,14.05,14.05,14.05,0
2019-09-13,11.98,11.98,11.98,11.98,100
2019-09-16,11.98,11.98,11.98,11.98,0
2019-09-17,12.01,12.24,12.24,12.24,0
2019-09-18,12.01,12.24,12.24,12.24,0
2019-09-19,12.01,12.24,12.24,12.24,0
2019-09-20,12.01,12.24,12.24,12.24,0
2019-09-23,12.01,12.24,12.24,12.24,0
2019-09-24,12.01,12.24,12.24,12.24,0
2019-09-25,12.01,12.24,12.24,12.24,0
2019-09-26,12.01,12.24,12.24,12.24,0
2019-09-27,12.01,12.24,12.24,12.24,0
2019-09-30,12.01,12.24,12.24,12.24,0
2019-10-01,12.01,12.24,12.24,12.24,0
2019-10-02,13.75,13.75,10.28,13.75,800
2019-10-03,13.3,15.26,13.3,15.26,800
2019-10-04,15.79,17.15,15.79,17.15,1300
2019-10-07,16.93,17.15,17.15,17.15,0
2019-10-08,16.93,17.15,17.15,17.15,0
2019-10-09,16.93,17.15,17.15,17.15,0
2019-10-10,16.93,17.15,17.15,17.15,0
2019-10-11,16.93,17.15,17.15,17.15,0
2019-10-14,16.93,17.15,17.15,17.15,0
2019-10-15,16.93,16.93,16.93,16.93,0
2019-10-16,16.93,17.15,17.15,17.15,0
2019-10-17,16.93,17.15,17.15,17.15,0
2019-10-18,16.93,17.15,17.15,17.15,0
2019-10-21,16.93,17.15,17.15,17.15,0
2019-10-22,16.93,17.15,17.15,17.15,0
2019-10-23,16.93,17.15,17.15,17.15,0
2019-10-24,16.93,17.15,17.15,17.15,0
2019-10-25,16.93,17.15,17.15,17.15,0
2019-10-28,16.93,17.15,17.15,17.15,0
2019-10-29,16.93,17.15,17.15,17.15,0
2019-10-30,16.93,17.15,17.15,17.15,0
2019-10-31,18.81,18.81,18.81,16.93,200
2019-11-01,18.74,18.74,18.74,18.74,100
2019-11-04,18.74,18.74,18.74,18.74,0
2019-11-05,18.74,18.74,18.74,18.74,0
2019-11-06,18.74,18.74,18.74,18.74,0
2019-11-07,16.62,16.62,16.62,16.62,200
2019-11-08,16.62,16.62,16.62,16.62,0
2019-11-11,16.62,16.62,16.62,16.62,0
2019-11-12,16.62,16.62,16.62,16.62,0
2019-11-13,16.62,16.62,16.62,16.62,0
2019-11-14,16.62,16.62,16.62,16.62,0
2019-11-15,16.62,16.62,16.62,16.62,0
2019-11-18,16.62,16.62,16.62,16.62,0
2019-11-19,16.62,16.62,16.62,16.62,0
2019-11-20,16.62,16.62,16.62,16.62,0
2019-11-21,16.62,16.62,16.62,16.62,0
2019-11-22,16.62,16.62,16.62,16.62,0
2019-11-25,16.62,16.62,16.62,16.62,0
2019-11-26,16.62,16.62,16.62,16.62,0
2019-11-27,16.62,16.62,16.62,16.62,0
2019-11-28,16.62,16.62,16.62,16.62,0
2019-11-29,16.62,16.62,16.62,16.62,0
2019-12-02,16.62,16.62,16.62,16.62,0
2019-12-03,16.62,16.62,16.62,16.62,0
2019-12-04,16.62,16.62,16.62,16.62,0
2019-12-05,16.62,16.62,16.62,16.62,0
2019-12-06,16.62,16.62,16.62,16.62,0
2019-12-09,16.62,16.62,16.62,16.62,0
2019-12-10,16.62,16.62,16.62,16.62,0
2019-12-11,16.62,16.62,16.62,16.62,0
2019-12-12,16.62,16.62,16.62,16.62,0
2019-12-13,16.62,16.62,16.62,16.62,0
2019-12-16,16.62,16.62,16.62,16.62,0
2019-12-17,16.62,16.62,16.62,16.62,0
2019-12-18,11.33,11.33,11.33,11.33,600
2019-12-19,11.33,11.33,11.33,11.33,0
2019-12-20,11.33,11.33,11.33,11.33,0
2019-12-23,11.33,11.33,11.33,11.33,0
2019-12-24,11.33,11.33,11.33,11.33,0
2019-12-25,10.58,10.58,10.58,10.58,400
2019-12-26,10.58,10.58,10.58,10.58,0
2019-12-27,10.58,10.58,10.58,10.58,0
2019-12-30,10.58,10.58,10.58,10.58,0
2019-12-31,10.58,10.58,10.58,10.58,0
2020-01-02,10.58,10.58,10.58,10.58,0
2020-01-03,10.58,10.58,10.58,10.58,0
2020-01-06,10.58,10.58,10.58,10.58,0
2020-01-07,10.58,10.58,10.58,10.58,0
2020-01-08,10.58,10.58,10.58,10.58,0
2020-01-09,10.58,10.58,10.58,10.58,0
2020-01-10,10.58,10.58,10.58,10.58,0
2020-01-13,10.58,10.58,10.58,10.58,0
2020-01-14,10.58,10.58,10.58,10.58,0
2020-01-15,10.58,10.58,10.58,10.58,0
2020-01-16,10.58,10.58,10.58,10.58,0
2020-01-17,10.58,10.58,10.58,10.58,0
2020-01-20,10.58,10.58,10.58,10.58,0
2020-01-21,10.58,10.58,10.58,10.58,0
2020-01-22,10.58,10.58,10.58,10.58,0
2020-01-30,10.58,10.58,10.58,10.58,0
2020-01-31,10.58,10.58,10.58,10.58,0
2020-02-03,10.58,10.58,10.58,10.58,0
2020-02-04,10.58,10.58,10.58,10.58,0
2020-02-05,10.58,10.58,10.58,10.58,0
2020-02-06,10.58,10.58,10.58,10.58,0
2020-02-07,10.58,10.58,10.58,10.58,0
2020-02-10,10.58,10.58,10.58,10.58,0
2020-02-11,10.58,10.58,10.58,10.58,0
2020-02-12,10.58,10.58,10.58,10.58,0
2020-02-13,10.58,10.58,10.58,10.58,0
2020-02-14,10.58,10.58,10.58,10.58,0
2020-02-17,10.58,10.58,10.58,10.58,0
2020-02-18,10.58,10.58,10.58,10.58,0
2020-02-19,10.58,10.58,10.58,10.58,0
2020-02-20,10.58,10.58,10.58,10.58,0
2020-02-21,10.58,10.58,10.58,10.58,0
2020-02-24,10.58,10.58,10.58,10.58,0
2020-02-25,10.58,10.58,10.58,10.58,0
2020-02-26,10.58,10.58,10.58,10.58,0
2020-02-27,10.58,10.58,10.58,10.58,0
2020-02-28,10.58,10.58,10.58,10.58,0
2020-03-02,10.58,10.58,10.58,10.58,0
