date,open,high,low,close,volume
2019-09-10,11.02,11.02,11.02,11.02,200
2019-09-11,12.05,12.05,12.05,12.05,5300
2019-09-12,12.69,12.69,11.42,11.42,300
2019-09-13,12.53,12.53,11.18,11.18,1900
2019-09-16,11.18,11.18,11.18,11.18,0
2019-09-17,12.29,12.29,10.63,10.63,2600
2019-09-18,11.66,11.66,10.78,10.78,268
2019-09-19,10.78,10.78,10.78,10.78,0
2019-09-20,11.82,11.82,10.78,10.78,200
2019-09-23,10.78,10.78,10.78,10.78,0
2019-09-24,10.78,10.78,10.78,10.78,0
2019-09-25,10.78,10.78,10.78,10.78,0
2019-09-26,11.74,11.74,10.78,10.78,400
2019-09-27,10.86,10.86,10.78,10.78,300
2019-09-30,11.82,11.82,11.82,11.82,200
2019-10-01,11.82,11.82,11.82,11.82,0
2019-10-02,11.82,12.69,11.82,12.53,600
2019-10-03,11.34,11.34,11.34,11.34,100
2019-10-04,11.34,11.34,11.34,11.34,0
2019-10-07,11.34,11.34,11.34,11.34,0
2019-10-08,12.45,12.45,11.02,11.02,368
2019-10-09,12.05,12.05,11.02,11.02,2100
2019-10-10,12.05,12.05,10.78,10.78,500
2019-10-11,11.82,11.82,10.94,10.94,200
2019-10-14,11.97,11.97,11.97,11.97,500
2019-10-15,11.97,11.97,11.97,11.97,100
2019-10-16,13.16,13.16,12.13,12.13,1600
2019-10-17,11.18,11.18,11.18,11.18,200
2019-10-18,11.18,11.18,11.18,11.18,0
2019-10-21,12.29,12.29,12.29,12.29,1000
2019-10-22,13.32,13.32,11.97,11.97,300
2019-10-23,13.16,13.16,12.13,12.13,400
2019-10-24,13.32,13.32,13.32,13.32,600
2019-10-25,14.59,14.59,12.05,13.32,900
2019-10-28,14.59,14.59,12.45,12.45,300
2019-10-29,11.97,11.97,11.97,11.97,100
2019-10-30,13.16,13.16,11.97,11.97,500
2019-10-31,13.16,13.16,12.05,12.45,2300
2019-11-01,13.64,13.64,12.37,12.37,1100
2019-11-04,13.4,13.4,12.21,12.21,200
2019-11-05,13.4,13.4,13.4,13.4,2100
2019-11-06,14.67,14.67,14.59,14.67,1100
2019-11-07,13.32,13.32,13.32,13.32,100
2019-11-08,13.32,13.32,13.32,13.32,0
2019-11-11,13.24,13.24,12.21,12.21,200
2019-11-12,13.4,13.4,13.4,13.4,100
2019-11-13,12.45,12.45,12.45,12.45,500
2019-11-14,13.08,13.08,11.97,11.97,1200
2019-11-15,11.97,11.97,11.97,11.97,0
2019-11-18,13.0,13.0,11.02,11.02,400
2019-11-19,11.82,12.05,11.82,12.05,400
2019-11-20,11.26,13.08,11.26,13.08,1100
2019-11-21,12.05,12.05,12.05,12.05,100
2019-11-22,11.18,11.18,11.18,11.18,100
2019-11-25,12.29,12.29,12.29,12.29,2500
2019-11-26,12.29,12.29,12.29,12.29,0
2019-11-27,12.29,12.29,12.29,12.29,0
2019-11-28,12.29,12.29,12.29,12.29,0
2019-11-29,12.29,12.29,12.29,12.29,0
2019-12-02,12.29,12.29,12.29,12.29,0
2019-12-03,12.29,12.29,12.29,12.29,0
2019-12-04,12.29,12.29,12.29,12.29,0
2019-12-05,11.5,11.5,11.5,11.5,800
2019-12-06,11.5,11.5,11.5,11.5,4
2019-12-09,11.74,11.74,11.74,11.74,500
2019-12-10,11.74,11.74,11.74,11.74,500
2019-12-11,11.74,11.74,11.74,11.74,0
2019-12-12,11.97,11.97,11.97,11.97,100
2019-12-13,11.97,11.97,11.97,11.97,0
2019-12-16,11.97,11.97,11.97,11.97,0
2019-12-17,11.97,11.97,11.97,11.97,0
2019-12-18,11.97,11.97,11.97,11.97,0
2019-12-19,11.97,11.97,11.97,11.97,0
2019-12-20,11.97,11.97,11.97,11.97,0
2019-12-23,11.97,11.97,11.97,11.97,0
2019-12-24,11.97,11.97,11.97,11.97,0
2019-12-25,11.97,11.97,11.97,11.97,0
2019-12-26,11.97,11.97,11.97,11.97,1900
2019-12-27,11.97,11.97,11.97,11.97,0
2019-12-30,11.89,11.89,11.89,11.89,2000
2019-12-31,13.08,13.08,13.08,13.08,100
2020-01-02,13.4,13.4,13.4,13.4,100
2020-01-03,13.08,13.08,13.08,13.08,100
2020-01-06,13.48,13.48,13.48,13.48,1710
2020-01-07,12.13,12.13,12.13,12.13,100
2020-01-08,12.13,12.13,12.13,12.13,0
2020-01-09,12.69,12.69,11.1,11.1,510
2020-01-10,11.1,11.1,11.1,11.1,0
2020-01-13,11.1,11.1,11.1,11.1,0
2020-01-14,11.1,11.1,11.1,11.1,0
2020-01-15,11.1,11.1,11.1,11.1,0
2020-01-16,12.21,12.21,10.71,10.71,400
2020-01-17,10.71,10.71,10.71,10.71,0
2020-01-20,11.74,11.74,10.71,10.71,3510
2020-01-21,11.74,11.74,11.66,11.66,1501
2020-01-22,11.66,11.66,11.66,11.66,33
2020-01-30,11.74,11.74,11.66,11.66,1200
2020-01-31,11.66,11.66,11.66,11.66,0
2020-02-03,11.66,11.66,11.66,11.66,2810
2020-02-04,11.66,11.66,11.66,11.66,1300
2020-02-05,11.66,11.66,11.66,11.66,100
2020-02-06,11.66,11.66,11.66,11.66,0
2020-02-07,11.66,11.66,11.26,11.26,700
2020-02-10,11.58,11.66,11.26,11.26,7000
2020-02-11,11.5,11.58,11.5,11.58,1900
2020-02-12,11.58,11.58,11.58,11.58,100
2020-02-13,11.58,11.58,11.58,11.58,900
2020-02-14,11.58,11.58,11.58,11.58,200
2020-02-17,11.5,11.5,11.5,11.5,100
2020-02-18,11.58,11.58,11.58,11.58,1500
2020-02-19,11.58,11.58,11.58,11.58,0
2020-02-20,11.58,11.58,11.58,11.58,0
2020-02-21,11.58,11.58,11.58,11.58,0
2020-02-24,11.1,11.1,11.1,11.1,100
2020-02-25,11.58,11.58,11.1,11.1,800
2020-02-26,11.1,11.1,11.1,11.1,0
2020-02-27,11.58,11.58,11.1,11.58,2060
2020-02-28,11.58,11.58,11.58,11.58,0
2020-03-02,11.58,11.58,11.5,11.5,2728
2020-03-03,11.5,11.5,11.42,11.42,600
2020-03-04,11.42,11.42,11.42,11.42,0
2020-03-05,11.42,11.42,11.42,11.42,800
2020-03-06,11.42,11.42,11.42,11.42,0
2020-03-09,11.42,11.42,11.42,11.42,66
2020-03-10,11.42,11.42,11.1,11.1,600
2020-03-11,11.1,11.1,11.1,11.1,24000
2020-03-12,11.1,11.1,11.1,11.1,2
2020-03-13,11.1,11.1,11.1,11.1,11
2020-03-16,11.1,11.1,11.1,11.1,0
2020-03-17,11.1,11.1,11.1,11.1,10
2020-03-18,11.1,11.1,11.1,11.1,20
2020-03-19,11.43,11.43,11.43,11.43,0
2020-03-20,11.84,11.84,11.84,11.84,100
2020-03-23,11.84,11.84,11.84,11.84,0
2020-03-24,11.84,11.84,11.84,11.84,0
2020-03-25,11.84,11.84,11.84,11.84,0
2020-03-26,11.84,11.84,11.84,11.84,0
2020-03-27,11.84,11.84,11.84,11.84,0
2020-03-30,11.27,11.27,11.27,11.27,1020
2020-03-31,11.27,11.27,11.27,11.27,147
2020-04-01,11.75,11.75,11.75,11.75,100
2020-04-03,11.75,11.75,11.75,11.75,0
2020-04-06,11.75,11.75,11.75,11.75,100
2020-04-07,11.75,11.75,11.75,11.75,0
2020-04-08,11.75,11.75,11.75,11.75,0
2020-04-09,11.43,11.43,11.43,11.43,100
2020-04-10,11.43,11.43,11.43,11.43,0
