date,open,high,low,close,volume
2019-08-08,10.0,10.0,10.0,10.0,0
2019-08-09,10.0,10.0,10.0,10.0,28
2019-08-12,10.0,10.0,10.0,10.0,0
2019-08-13,10.0,10.0,10.0,10.0,0
2019-08-14,10.0,10.0,10.0,10.0,0
2019-08-15,10.0,10.0,10.0,10.0,0
2019-08-16,10.0,10.0,10.0,10.0,0
2019-08-19,10.0,10.0,10.0,10.0,0
2019-08-20,10.0,10.0,10.0,10.0,0
2019-08-21,9.44,9.44,9.44,9.44,3300
2019-08-22,9.44,9.44,9.44,9.44,0
2019-08-23,9.44,9.44,9.44,9.44,0
2019-08-26,9.44,9.44,9.44,9.44,0
2019-08-27,9.44,9.44,9.44,9.44,0
2019-08-28,9.44,9.44,9.44,9.44,0
2019-08-29,9.44,9.44,9.44,9.44,0
2019-08-30,9.44,9.44,9.44,9.44,0
2019-09-03,9.44,9.44,9.44,9.44,0
2019-09-04,9.44,9.44,9.44,9.44,0
2019-09-05,9.44,9.44,9.44,9.44,0
2019-09-06,9.44,9.44,9.44,9.44,0
2019-09-09,9.44,9.44,9.44,9.44,0
2019-09-10,9.44,9.44,9.44,9.44,0
2019-09-11,9.44,9.44,9.44,9.44,0
2019-09-12,9.44,9.44,9.44,9.44,0
2019-09-13,9.44,9.44,9.44,9.44,0
2019-09-16,9.44,9.44,9.44,9.44,0
2019-09-17,9.44,9.44,9.44,9.44,23
2019-09-18,9.44,9.44,9.44,9.44,0
2019-09-19,9.44,9.44,9.44,9.44,0
2019-09-20,9.44,9.44,9.44,9.44,0
2019-09-23,9.44,9.44,9.44,9.44,0
2019-09-24,9.44,9.44,9.44,9.44,0
2019-09-25,9.44,9.44,9.44,9.44,0
2019-09-26,9.44,9.44,9.44,9.44,0
2019-09-27,9.44,9.44,9.44,9.44,0
2019-09-30,9.44,9.44,9.44,9.44,0
2019-10-01,9.44,9.44,9.44,9.44,0
2019-10-02,9.44,9.44,9.44,9.44,0
2019-10-03,9.44,9.44,9.44,9.44,0
2019-10-04,9.44,9.44,9.44,9.44,0
2019-10-07,9.44,9.44,9.44,9.44,0
2019-10-08,9.44,9.44,9.44,9.44,0
2019-10-09,9.44,9.44,9.44,9.44,0
2019-10-10,9.44,9.44,9.44,9.44,0
2019-10-11,9.44,9.44,9.44,9.44,3
2019-10-14,9.44,9.44,9.44,9.44,0
2019-10-15,9.44,9.44,9.44,9.44,0
2019-10-16,9.44,9.44,9.44,9.44,0
2019-10-17,9.44,9.44,9.44,9.44,0
2019-10-18,9.44,9.44,9.44,9.44,0
2019-10-21,9.44,9.44,9.44,9.44,0
2019-10-22,9.44,9.44,9.44,9.44,0
2019-10-23,9.44,9.44,9.44,9.44,0
2019-10-24,9.44,9.44,9.44,9.44,0
2019-10-25,9.44,9.44,9.44,9.44,0
2019-10-28,9.44,9.44,9.44,9.44,0
2019-10-29,9.44,9.44,9.44,9.44,0
2019-10-30,9.44,9.44,9.44,9.44,0
2019-10-31,9.44,9.44,9.44,9.44,0
2019-11-01,9.44,9.44,9.44,9.44,0
2019-11-04,9.44,9.44,9.44,9.44,0
2019-11-05,9.44,9.44,9.44,9.44,0
2019-11-06,9.44,9.44,9.44,9.44,0
2019-11-07,9.44,9.44,9.44,9.44,0
2019-11-08,9.44,9.44,9.44,9.44,0
2019-11-11,9.44,9.44,9.44,9.44,0
2019-11-12,9.44,9.44,9.44,9.44,0
2019-11-13,9.44,9.44,9.44,9.44,0
2019-11-14,9.44,9.44,9.44,9.44,0
2019-11-15,9.44,9.44,9.44,9.44,0
2019-11-18,9.44,9.44,9.44,9.44,32
2019-11-19,9.44,9.44,9.44,9.44,0
2019-11-20,9.44,9.44,9.44,9.44,0
2019-11-21,9.44,9.44,9.44,9.44,0
2019-11-22,9.44,9.44,9.44,9.44,0
2019-11-25,9.44,9.44,9.44,9.44,0
2019-11-26,9.44,9.44,9.44,9.44,0
2019-11-27,9.44,9.44,9.44,9.44,0
2019-11-28,9.44,9.44,9.44,9.44,0
2019-11-29,9.44,9.44,9.44,9.44,0
2019-12-02,9.44,9.44,9.44,9.44,0
2019-12-03,9.44,9.44,9.44,9.44,0
2019-12-04,9.44,9.44,9.44,9.44,0
2019-12-05,9.44,9.44,9.44,9.44,0
2019-12-06,9.44,9.44,9.44,9.44,0
2019-12-09,9.44,9.44,9.44,9.44,0
2019-12-10,9.44,9.44,9.44,9.44,0
2019-12-11,9.44,9.44,9.44,9.44,0
2019-12-12,9.44,9.44,9.44,9.44,0
2019-12-13,9.44,9.44,9.44,9.44,0
2019-12-16,9.44,9.44,9.44,9.44,0
2019-12-17,9.44,9.44,9.44,9.44,0
2019-12-18,9.44,9.44,9.44,9.44,0
2019-12-19,9.44,9.44,9.44,9.44,0
2019-12-20,9.44,9.44,9.44,9.44,0
2019-12-23,9.44,9.44,9.44,9.44,0
2019-12-24,9.44,9.44,9.44,9.44,0
2019-12-25,9.44,9.44,9.44,9.44,0
2019-12-26,9.44,9.44,9.44,9.44,0
2019-12-27,9.44,9.44,9.44,9.44,0
2019-12-30,9.44,9.44,9.44,9.44,0
2019-12-31,9.44,9.44,9.44,9.44,0
2020-01-02,9.44,9.44,9.44,9.44,0
2020-01-03,9.44,9.44,9.44,9.44,0
2020-01-06,9.44,9.44,9.44,9.44,0
2020-01-07,9.44,9.44,9.44,9.44,0
2020-01-08,9.44,9.44,9.44,9.44,0
2020-01-09,9.44,9.44,9.44,9.44,0
2020-01-10,9.44,9.44,9.44,9.44,0
2020-01-13,9.71,9.71,9.71,9.71,0
2020-01-14,9.71,9.71,9.71,9.71,0
2020-01-15,9.71,9.71,9.71,9.71,0
2020-01-16,9.71,9.71,9.71,9.71,0
2020-01-17,9.71,9.71,9.71,9.71,0
2020-01-20,9.71,9.71,9.71,9.71,0
2020-01-21,9.71,9.71,9.71,9.71,0
2020-01-22,9.71,9.71,9.71,9.71,0
2020-01-30,9.71,9.71,9.71,9.71,0
2020-01-31,9.71,9.71,9.71,9.71,0
2020-02-03,9.71,9.71,9.71,9.71,0
2020-02-04,9.71,9.71,9.71,9.71,0
2020-02-05,9.71,9.71,9.71,9.71,0
2020-02-06,9.71,9.71,9.71,9.71,0
2020-02-07,9.71,9.71,9.71,9.71,0
2020-02-10,9.71,9.71,9.71,9.71,0
2020-02-11,9.71,9.71,9.71,9.71,0
2020-02-12,9.71,9.71,9.71,9.71,0
2020-02-13,9.71,9.71,9.71,9.71,0
2020-02-14,9.71,9.71,9.71,9.71,0
2020-02-17,9.71,9.71,9.71,9.71,0
2020-02-18,9.71,9.71,9.71,9.71,0
2020-02-19,9.71,9.71,9.71,9.71,0
2020-02-20,9.71,9.71,9.71,9.71,8
2020-02-21,9.71,9.71,9.71,9.71,0
2020-02-24,9.71,9.71,9.71,9.71,0
2020-02-25,9.71,9.71,9.71,9.71,0
2020-02-26,9.71,9.71,9.71,9.71,0
2020-02-27,9.71,9.71,9.71,9.71,0
2020-02-28,8.49,8.49,8.49,8.49,100
2020-03-02,8.49,8.49,8.49,8.49,0
2020-03-03,8.49,8.49,8.49,8.49,0
2020-03-04,8.49,8.49,8.49,8.49,0
2020-03-05,7.65,7.65,7.65,7.65,100
2020-03-06,7.65,7.65,7.65,7.65,0
2020-03-09,7.65,7.65,7.65,7.65,300
2020-03-10,7.38,8.36,7.38,8.36,400
2020-03-11,9.1,9.1,9.1,9.1,100
2020-03-12,10.01,10.01,9.78,9.78,1100
2020-03-13,10.75,10.75,8.8,10.75,300
2020-03-16,10.75,10.75,10.75,10.75,0
2020-03-17,10.75,10.75,10.75,10.75,0
2020-03-18,9.71,10.11,9.71,10.11,4700
2020-03-19,10.11,10.11,10.11,10.11,0
2020-03-20,10.11,10.11,10.11,10.11,0
2020-03-23,9.1,9.1,9.1,9.1,9000
2020-03-24,9.1,9.1,9.1,9.1,6
2020-03-25,9.1,9.1,9.1,9.1,0
2020-03-26,9.1,9.1,9.1,9.1,0
2020-03-27,9.1,9.1,9.1,9.1,0
2020-03-30,9.1,9.1,9.1,9.1,0
2020-03-31,9.1,9.1,9.1,9.1,0
2020-04-01,9.1,9.1,9.1,9.1,0
2020-04-03,9.1,9.1,9.1,9.1,0
2020-04-06,9.1,9.17,9.1,9.17,2000
2020-04-07,10.08,10.08,10.08,10.08,100
2020-04-08,10.08,10.08,10.08,10.08,0
2020-04-09,10.08,10.08,10.08,10.08,0
2020-04-10,10.08,10.08,10.08,10.08,50
2020-04-13,10.08,10.08,10.08,10.08,0
2020-04-14,10.08,10.08,10.08,10.08,0
2020-04-15,10.08,10.08,10.08,10.08,0
2020-04-16,10.08,10.08,10.08,10.08,0
2020-04-17,10.08,10.08,10.08,10.08,0
2020-04-20,10.08,10.08,10.08,10.08,0
2020-04-21,10.08,10.08,10.08,10.08,0
2020-04-22,9.1,9.1,9.1,9.1,3200
2020-04-23,9.1,9.1,9.1,9.1,0
2020-04-24,9.1,9.1,9.1,9.1,0
2020-04-27,9.1,9.1,9.1,9.1,0
2020-04-28,9.1,9.1,9.1,9.1,0
2020-04-29,9.1,9.1,9.1,9.1,0
2020-05-04,9.1,9.1,9.1,9.1,0
2020-05-05,9.1,9.1,9.1,9.1,0
2020-05-06,9.61,9.61,9.61,9.61,100
2020-05-07,9.61,9.61,9.61,9.61,0
2020-05-08,9.61,9.61,9.61,9.61,0
2020-05-11,9.61,9.61,9.61,9.61,0
2020-05-12,10.45,10.45,10.45,10.45,100
2020-05-13,10.45,10.45,10.45,10.45,7
2020-05-14,11.06,11.06,11.06,11.06,0
2020-05-15,11.06,11.06,11.06,11.06,0
2020-05-18,11.06,11.06,11.06,11.06,0
2020-05-19,11.06,11.06,11.06,11.06,0
2020-05-20,11.06,11.06,11.06,11.06,0
2020-05-21,11.06,11.06,11.06,11.06,0
2020-05-22,11.06,11.06,11.06,11.06,0
2020-05-25,11.06,11.06,11.06,11.06,0
2020-05-26,11.06,11.06,11.06,11.06,0
2020-05-27,11.06,11.06,11.06,11.06,0
2020-05-28,11.06,11.06,11.06,11.06,0
2020-05-29,11.06,11.06,11.06,11.06,0
2020-06-01,11.06,11.06,11.06,11.06,0
2020-06-02,11.06,11.06,11.06,11.06,0
2020-06-03,11.06,11.06,11.06,11.06,57
2020-06-04,11.06,11.06,11.06,11.06,0
2020-06-05,11.06,11.06,11.06,11.06,0
2020-06-08,11.06,11.06,11.06,11.06,0
2020-06-09,11.06,11.06,11.06,11.06,0
2020-06-10,11.06,11.06,11.06,11.06,0
2020-06-11,11.06,11.06,11.06,11.06,0
2020-06-12,11.06,11.06,11.06,11.06,0
