date,open,high,low,close,volume
2019-09-09,13.05,13.05,13.05,13.05,100
2019-09-10,12.32,12.32,12.32,12.32,2400
2019-09-11,12.32,12.32,12.32,12.32,1000
2019-09-12,12.32,12.32,12.15,12.15,2500
2019-09-13,12.32,12.32,11.99,11.99,2400
2019-09-16,12.32,12.32,11.99,11.99,3200
2019-09-17,12.32,12.4,12.32,12.4,2200
2019-09-18,12.32,12.4,12.32,12.4,200
2019-09-19,12.81,12.81,12.81,12.81,100
2019-09-20,12.81,12.81,12.81,12.81,0
2019-09-23,12.81,12.81,12.81,12.81,0
2019-09-24,12.81,12.81,12.81,12.81,0
2019-09-25,12.07,12.07,11.99,11.99,1700
2019-09-26,12.23,12.23,12.15,12.15,600
2019-09-27,12.15,12.15,12.15,12.15,1300
2019-09-30,12.48,12.48,12.48,12.48,100
2019-10-01,11.66,11.91,11.58,11.91,800
2019-10-02,12.15,12.15,12.15,12.15,100
2019-10-03,12.15,12.15,12.15,12.15,0
2019-10-04,11.58,11.58,11.58,11.58,6200
2019-10-07,11.58,11.58,11.49,11.49,18900
2019-10-08,11.91,11.91,11.58,11.58,10100
2019-10-09,10.51,11.91,10.51,11.82,380900
2019-10-10,11.08,11.74,11.08,11.74,410
2019-10-11,11.91,11.91,11.91,11.91,100
2019-10-14,11.49,11.49,11.49,11.49,1400
2019-10-15,11.49,11.49,11.49,11.49,0
2019-10-16,10.51,11.17,10.51,11.08,1100
2019-10-17,10.59,11.49,10.59,11.49,541400
2019-10-18,11.91,11.91,11.91,11.91,101
2019-10-21,11.91,11.91,11.91,11.91,0
2019-10-22,11.49,11.49,11.49,11.49,1200
2019-10-23,11.33,11.49,11.33,11.49,400
2019-10-24,11.49,11.49,11.49,11.49,500
2019-10-25,10.67,11.49,10.67,11.49,954000
2019-10-28,11.49,11.49,11.49,11.49,101
2019-10-29,11.49,11.49,11.49,11.49,0
2019-10-30,11.41,11.41,11.41,11.41,500
2019-10-31,11.41,11.49,11.41,11.41,1400
2019-11-01,11.41,11.41,11.08,11.08,1200
2019-11-04,11.08,11.74,11.08,11.49,1400
2019-11-05,11.08,11.08,10.76,10.76,9100
2019-11-06,11.49,11.49,10.92,10.92,3500
2019-11-07,11.0,11.49,11.0,11.49,802
2019-11-08,11.91,11.91,11.91,11.91,100
2019-11-11,11.91,11.91,11.91,11.91,0
2019-11-12,11.82,11.82,11.82,11.82,1700
2019-11-13,11.82,11.82,11.82,11.82,12
2019-11-14,11.0,11.0,11.0,11.0,300
2019-11-15,11.66,11.66,11.66,11.66,300
2019-11-18,11.66,11.66,11.66,11.66,0
2019-11-19,11.49,11.49,11.49,11.49,800
2019-11-20,11.49,11.49,11.49,11.49,0
2019-11-21,11.49,11.49,11.49,11.49,0
2019-11-22,11.49,11.49,11.49,11.49,0
2019-11-25,11.49,11.49,11.49,11.49,0
2019-11-26,11.33,11.33,11.33,11.33,1800
2019-11-27,11.74,11.91,11.74,11.91,400
2019-11-28,11.82,11.82,11.82,11.82,100
2019-11-29,11.82,11.82,11.82,11.82,0
2019-12-02,11.82,11.82,11.82,11.82,0
2019-12-03,11.82,11.82,11.82,11.82,100
2019-12-04,11.82,12.32,11.82,11.82,13300
2019-12-05,12.32,12.32,12.23,12.23,16900
2019-12-06,12.23,12.23,12.23,12.23,4400
2019-12-09,12.23,12.23,12.23,12.23,3400
2019-12-10,11.91,11.91,11.91,11.91,4500
2019-12-11,13.14,13.14,13.14,13.14,100
2019-12-12,11.49,11.91,11.49,11.91,6400
2019-12-13,11.58,11.58,11.49,11.49,1000
