date,open,high,low,close,volume
2019-08-08,6.25,6.25,6.25,6.25,0
2019-08-09,6.25,6.25,6.25,6.25,0
2019-08-12,6.25,6.25,6.25,6.25,0
2019-08-13,5.5,5.5,5.5,5.5,300
2019-08-14,5.0,5.0,5.0,5.0,400
2019-08-15,5.75,5.75,5.75,5.75,100
2019-08-16,5.75,5.75,5.75,5.75,0
2019-08-19,5.5,5.55,5.5,5.55,2440
2019-08-20,5.5,5.5,5.25,5.25,1000
2019-08-21,5.3,5.3,5.3,5.25,16
2019-08-22,5.35,5.35,5.35,5.35,3216
2019-08-23,5.35,5.35,5.35,5.35,0
2019-08-26,5.35,5.35,5.35,5.35,10
2019-08-27,5.35,5.35,5.35,5.35,0
2019-08-28,5.35,5.35,5.35,5.35,0
2019-08-29,5.35,5.35,5.35,5.35,6
2019-08-30,5.5,5.5,5.5,5.5,2040
2019-09-03,5.5,5.5,5.5,5.5,1000
2019-09-04,5.5,5.5,5.5,5.5,0
2019-09-05,5.5,5.5,5.25,5.25,1100
2019-09-06,5.25,5.25,5.25,5.25,0
2019-09-09,5.25,5.5,5.25,5.4,9000
2019-09-10,5.45,5.5,5.45,5.5,2100
2019-09-11,5.5,5.5,5.5,5.5,2600
2019-09-12,5.5,5.5,5.5,5.5,0
2019-09-13,5.6,5.6,5.6,5.6,100
2019-09-16,5.6,5.6,5.6,5.6,0
2019-09-17,5.5,6.4,5.5,6.4,4300
2019-09-18,5.65,5.65,5.65,5.65,100
2019-09-19,5.65,5.65,5.65,5.65,0
2019-09-20,5.65,5.65,5.65,5.65,0
2019-09-23,5.55,5.7,5.5,5.5,4400
2019-09-24,5.6,5.5,5.5,5.5,0
2019-09-25,5.6,5.5,5.5,5.5,0
2019-09-26,6.4,6.4,6.4,6.4,5000
2019-09-27,5.65,5.65,5.65,5.65,7600
2019-09-30,6.45,6.45,6.45,6.45,2700
2019-10-01,6.75,6.75,6.45,6.45,5400
2019-10-02,7.45,7.45,5.85,5.85,1400
2019-10-03,6.8,6.8,6.0,6.25,500
2019-10-04,7.0,7.0,7.0,7.0,6500
2019-10-07,7.95,7.95,7.95,7.95,200
2019-10-08,7.0,7.0,7.0,7.0,7600
2019-10-09,7.0,7.0,7.0,7.0,5099
2019-10-10,7.0,7.0,7.0,7.0,2200
2019-10-11,7.0,7.0,7.0,7.0,0
2019-10-14,7.0,7.0,7.0,7.0,1500
2019-10-15,7.0,7.0,7.0,7.0,0
2019-10-16,7.0,7.0,7.0,7.0,0
2019-10-17,7.0,7.0,7.0,7.0,0
2019-10-18,7.5,7.5,7.5,7.5,100
2019-10-21,7.5,7.5,7.5,7.5,0
2019-10-22,7.5,7.5,7.5,7.5,0
2019-10-23,7.5,7.5,7.5,7.5,0
2019-10-24,7.5,7.5,7.5,7.5,0
2019-10-25,7.5,7.5,7.5,7.5,0
2019-10-28,7.5,7.5,7.5,7.5,0
2019-10-29,7.5,7.5,7.5,7.5,0
2019-10-30,6.4,6.4,6.4,6.4,3016
2019-10-31,6.4,6.4,6.4,6.4,0
2019-11-01,7.35,7.35,7.35,7.35,5000
2019-11-04,7.35,7.35,7.35,7.35,0
2019-11-05,7.95,7.95,7.95,7.95,100
2019-11-06,7.95,7.95,7.95,7.95,0
2019-11-07,7.95,7.95,7.95,7.95,0
2019-11-08,7.25,7.25,7.25,7.25,100
2019-11-11,7.25,7.25,7.25,7.25,0
2019-11-12,7.25,7.25,7.25,7.25,0
2019-11-13,7.5,7.5,7.5,7.5,12000
2019-11-14,7.5,7.5,7.5,7.5,0
2019-11-15,7.5,7.5,7.5,7.5,1000
2019-11-18,7.25,7.25,7.25,7.25,2000
2019-11-19,7.25,7.25,7.25,7.25,0
2019-11-20,7.25,7.25,7.25,7.25,0
2019-11-21,7.25,7.25,7.25,7.25,0
2019-11-22,7.25,7.25,7.25,7.25,0
2019-11-25,7.25,7.25,7.25,7.25,0
2019-11-26,7.25,7.25,7.25,7.25,0
2019-11-27,7.25,7.25,7.25,7.25,0
2019-11-28,7.25,7.25,7.25,7.25,0
2019-11-29,7.25,7.25,7.25,7.25,0
2019-12-02,7.25,7.25,7.25,7.25,0
2019-12-03,7.25,7.25,7.25,7.25,0
2019-12-04,7.25,7.25,7.25,7.25,0
2019-12-05,7.25,7.25,7.25,7.25,0
2019-12-06,7.25,7.25,7.25,7.25,0
2019-12-09,6.5,6.5,6.5,6.5,900
2019-12-10,6.5,6.5,6.5,6.5,0
2019-12-11,6.5,6.5,6.5,6.5,0
2019-12-12,6.5,6.5,6.5,6.5,0
2019-12-13,6.5,6.5,6.5,6.5,1000
2019-12-16,6.5,6.5,6.5,6.5,0
2019-12-17,6.5,6.5,6.5,6.5,0
2019-12-18,7.0,7.0,7.0,7.0,200
2019-12-19,7.0,7.0,7.0,7.0,0
2019-12-20,7.0,7.0,7.0,7.0,0
2019-12-23,7.0,7.0,7.0,7.0,0
2019-12-24,7.0,7.0,7.0,7.0,0
2019-12-25,7.0,7.0,7.0,7.0,0
2019-12-26,7.0,7.0,7.0,7.0,0
2019-12-27,7.0,7.0,7.0,7.0,0
2019-12-30,7.0,7.0,7.0,7.0,0
2019-12-31,7.0,7.0,7.0,7.0,0
2020-01-02,7.0,7.0,7.0,7.0,0
2020-01-03,7.0,7.0,7.0,7.0,0
2020-01-06,7.25,7.25,7.25,7.25,500
2020-01-07,7.25,7.25,7.25,7.25,0
2020-01-08,7.25,7.25,7.25,7.25,0
2020-01-09,7.25,7.25,7.25,7.25,0
2020-01-10,7.25,7.25,7.25,7.25,0
2020-01-13,7.25,7.25,7.25,7.25,0
2020-01-14,7.25,7.25,7.25,7.25,0
2020-01-15,7.25,7.25,7.25,7.25,0
2020-01-16,7.25,7.25,7.25,7.25,0
2020-01-17,7.25,7.25,7.25,7.25,0
2020-01-20,7.25,7.25,7.25,7.25,0
2020-01-21,7.25,7.25,7.25,7.25,0
2020-01-22,7.25,7.25,7.25,7.25,0
2020-01-30,7.25,7.25,7.25,7.25,0
2020-01-31,7.25,7.25,7.25,7.25,0
2020-02-03,7.25,7.25,7.25,7.25,0
2020-02-04,7.25,7.25,7.25,7.25,0
2020-02-05,6.5,6.5,6.5,6.5,1800
2020-02-06,6.5,6.5,6.5,6.5,0
2020-02-07,6.5,6.5,6.5,6.5,0
2020-02-10,6.5,6.5,6.5,6.5,0
2020-02-11,6.5,6.5,6.5,6.5,0
2020-02-12,6.5,6.5,6.5,6.5,0
2020-02-13,6.5,6.5,6.5,6.5,0
2020-02-14,6.5,6.5,6.5,6.5,0
2020-02-17,6.5,6.5,6.5,6.5,0
2020-02-18,6.5,6.5,6.5,6.5,0
2020-02-19,6.5,6.5,6.5,6.5,0
2020-02-20,6.5,6.5,6.5,6.5,0
2020-02-21,6.5,6.5,6.5,6.5,0
2020-02-24,6.5,6.5,6.5,6.5,0
2020-02-25,6.5,6.5,6.5,6.5,0
2020-02-26,6.5,6.5,6.5,6.5,0
2020-02-27,6.5,6.5,6.5,6.5,0
2020-02-28,6.5,6.5,6.5,6.5,0
2020-03-02,6.5,6.5,6.5,6.5,0
2020-03-03,6.5,6.5,6.5,6.5,0
2020-03-04,6.5,6.5,6.5,6.5,0
2020-03-05,6.5,6.5,6.5,6.5,0
2020-03-06,6.5,6.5,6.5,6.5,0
2020-03-09,6.5,6.5,6.5,6.5,0
