date,open,high,low,close,volume
2019-06-03,15.16,15.16,15.16,15.16,3000
2019-06-04,14.21,14.21,14.18,14.21,1000
2019-06-05,14.21,14.21,14.21,14.21,0
2019-06-06,14.21,14.21,14.21,14.21,1530
2019-06-07,13.9,13.9,13.9,13.9,10
2019-06-10,13.9,13.9,13.9,13.9,0
2019-06-11,13.9,13.9,13.9,13.9,760
2019-06-12,13.9,13.9,13.9,13.9,0
2019-06-13,13.9,13.9,13.9,13.9,0
2019-06-14,13.9,13.9,13.9,13.9,0
2019-06-17,13.9,13.9,13.9,13.9,0
2019-06-18,13.96,13.96,13.96,13.96,10
2019-06-19,13.96,13.96,13.96,13.96,0
2019-06-20,13.96,13.96,13.96,13.96,0
2019-06-21,13.9,13.9,13.9,13.9,10
2019-06-24,13.9,14.86,13.9,13.9,70
2019-06-25,13.93,13.96,13.93,13.96,210
2019-06-26,13.96,13.96,13.96,13.96,0
2019-06-27,13.96,13.96,13.96,13.96,0
2019-06-28,14.52,14.52,14.52,14.52,10
2019-07-01,15.16,15.16,14.52,14.52,300
2019-07-02,14.52,14.52,14.52,14.52,0
2019-07-03,14.52,14.52,14.52,14.52,0
2019-07-04,14.52,14.52,14.52,14.52,0
2019-07-05,14.52,14.52,14.52,14.52,200
2019-07-08,14.52,14.52,14.52,14.52,0
2019-07-09,14.52,14.52,14.52,14.52,0
2019-07-10,13.96,13.96,13.9,13.96,2520
2019-07-11,13.96,13.96,13.96,13.96,300
2019-07-12,13.96,13.96,13.96,13.96,0
2019-07-15,13.96,13.96,13.96,13.96,0
2019-07-16,13.96,13.96,13.96,13.96,0
2019-07-17,13.96,13.96,13.96,13.96,0
2019-07-18,13.96,13.96,13.96,13.96,0
2019-07-19,13.96,13.96,13.96,13.96,0
2019-07-22,13.96,13.96,13.96,13.96,0
2019-07-23,14.89,14.89,14.89,14.89,100
2019-07-24,14.89,14.89,14.89,14.89,0
2019-07-25,14.89,14.89,14.89,14.89,0
2019-07-26,14.89,14.89,14.89,14.89,0
2019-07-29,14.89,14.89,14.89,14.89,0
2019-07-30,14.89,14.89,14.89,14.89,0
2019-07-31,13.96,13.96,13.96,13.96,320
2019-08-01,13.99,14.21,13.99,14.21,210
2019-08-02,14.21,14.21,14.21,14.21,0
2019-08-05,14.95,14.95,14.95,14.95,10
2019-08-06,13.96,13.96,13.96,13.96,10
2019-08-07,13.96,13.96,13.96,13.96,0
2019-08-08,13.96,13.96,13.96,13.96,0
2019-08-09,13.96,13.96,13.96,13.96,0
2019-08-12,13.96,13.96,13.96,13.96,0
2019-08-13,13.96,13.96,13.96,13.96,500
2019-08-14,14.02,14.02,14.02,14.02,1200
2019-08-15,14.02,14.08,14.02,14.08,410
2019-08-16,14.08,14.08,14.08,14.08,0
2019-08-19,14.08,14.08,14.08,14.08,0
2019-08-20,14.08,14.08,14.08,14.08,0
2019-08-21,14.08,14.08,14.08,14.08,0
2019-08-22,14.08,14.08,14.08,14.08,10
2019-08-23,14.08,14.08,14.08,14.08,0
2019-08-26,13.9,13.9,13.77,13.77,1260
2019-08-27,13.77,13.77,13.77,13.77,0
2019-08-28,13.77,13.77,13.77,13.77,0
2019-08-29,13.77,13.77,13.77,13.77,0
2019-08-30,14.21,14.21,14.21,14.21,800
2019-09-03,14.21,14.21,14.21,14.21,0
2019-09-04,14.21,14.21,14.21,14.21,300
2019-09-05,14.21,14.21,14.21,14.21,250
2019-09-06,14.21,14.21,14.21,14.21,0
2019-09-09,14.21,14.21,14.21,14.21,0
2019-09-10,14.21,14.21,14.21,14.21,0
2019-09-11,14.21,14.21,14.21,14.21,0
2019-09-12,13.9,13.9,13.9,13.9,10
2019-09-13,13.9,13.9,13.9,13.9,0
2019-09-16,13.9,13.9,13.9,13.9,0
2019-09-17,14.05,14.05,14.05,14.05,30
2019-09-18,14.05,14.05,14.05,14.05,0
2019-09-19,14.21,14.21,14.02,14.02,1400
2019-09-20,14.02,14.02,14.02,14.02,0
2019-09-23,14.21,14.21,14.02,14.02,30
2019-09-24,14.02,14.02,14.02,14.02,0
2019-09-25,14.02,14.02,14.02,14.02,0
2019-09-26,14.02,14.02,14.02,14.02,0
2019-09-27,14.02,14.02,14.02,14.02,2350
2019-09-30,14.02,14.02,14.02,14.02,0
2019-10-01,14.02,14.02,14.02,14.02,0
2019-10-02,14.02,14.02,14.02,14.02,0
2019-10-03,14.02,14.02,13.9,13.9,130
2019-10-04,14.02,14.21,14.02,14.21,2010
2019-10-07,14.21,14.21,14.21,14.21,10000
2019-10-08,14.21,14.21,14.21,14.21,6400
2019-10-09,14.21,14.21,14.21,14.21,30
2019-10-10,14.21,14.21,14.21,14.21,30
2019-10-11,14.21,14.21,14.21,14.21,0
2019-10-14,14.21,14.21,14.21,14.21,0
2019-10-15,14.52,14.52,14.52,14.52,6500
2019-10-16,14.52,14.52,14.52,14.52,500
2019-10-17,14.52,14.52,14.52,14.52,0
2019-10-18,14.21,14.21,14.21,14.21,1000
2019-10-21,14.21,14.21,14.21,14.21,0
2019-10-22,14.21,14.21,14.21,14.21,0
2019-10-23,14.21,14.21,14.21,14.21,20
2019-10-24,14.21,14.21,14.21,14.21,20
2019-10-25,14.45,14.45,14.45,14.45,1500
2019-10-28,14.45,14.45,14.45,14.45,0
2019-10-29,15.44,15.44,15.2,15.44,2640
2019-10-30,15.75,15.75,15.75,15.75,100
2019-10-31,15.84,16.06,15.75,16.06,3050
2019-11-01,16.06,16.31,15.44,16.31,4010
2019-11-04,16.31,16.31,16.0,16.0,2100
2019-11-05,16.06,16.31,16.0,16.12,1430
2019-11-06,16.59,17.23,16.12,17.23,15750
2019-11-07,17.6,17.6,17.3,17.48,70
2019-11-08,17.91,18.1,17.3,17.85,1600
2019-11-11,17.3,19.09,16.68,17.85,12600
2019-11-12,18.84,18.84,17.05,17.85,6630
2019-11-13,17.3,18.1,16.99,16.99,1120
2019-11-14,17.85,17.85,16.99,16.99,130
2019-11-15,17.42,17.42,17.23,17.23,9080
2019-11-18,17.91,18.44,17.3,17.48,5730
2019-11-19,18.52,18.52,16.31,16.31,3200
2019-11-20,17.45,17.45,15.2,17.41,950
2019-11-21,18.24,18.24,18.17,18.24,680
2019-11-22,17.96,17.96,17.0,17.9,450
2019-11-25,16.65,16.65,16.65,16.65,360
