date,open,high,low,close,volume
2019-06-17,48.42,48.42,48.42,48.42,0
2019-06-18,48.42,48.42,48.42,48.42,0
2019-06-19,50.86,50.86,50.86,50.86,100
2019-06-20,50.86,50.86,50.86,50.86,0
2019-06-21,50.02,50.02,50.02,50.02,200
2019-06-24,50.02,50.02,50.02,50.02,0
2019-06-25,50.02,50.02,50.02,50.02,0
2019-06-26,50.02,50.02,50.02,50.02,0
2019-06-27,50.02,50.02,50.02,50.02,0
2019-06-28,50.02,50.02,50.02,50.02,1
2019-07-01,50.02,50.02,50.02,50.02,0
2019-07-02,50.02,50.02,50.02,50.02,0
2019-07-03,50.02,50.02,50.02,50.02,0
2019-07-04,50.02,50.02,50.02,50.02,0
2019-07-05,50.02,50.02,50.02,50.02,0
2019-07-08,50.02,50.02,50.02,50.02,0
2019-07-09,50.02,50.02,50.02,50.02,0
2019-07-10,50.02,50.02,50.02,50.02,1
2019-07-11,50.02,50.02,50.02,50.02,0
2019-07-12,50.02,50.02,50.02,50.02,0
2019-07-15,50.02,50.02,50.02,50.02,0
2019-07-16,50.02,50.02,50.02,50.02,0
2019-07-17,50.02,50.02,50.02,50.02,0
2019-07-18,50.02,50.02,50.02,50.02,0
2019-07-19,50.02,50.02,50.02,50.02,0
2019-07-22,50.02,50.02,50.02,50.02,0
2019-07-23,50.02,50.02,50.02,50.02,0
2019-07-24,50.02,50.02,50.02,50.02,0
2019-07-25,50.02,50.02,50.02,50.02,0
2019-07-26,50.02,50.02,50.02,50.02,0
2019-07-29,50.02,50.02,50.02,50.02,0
2019-07-30,50.02,50.02,50.02,50.02,0
2019-07-31,50.02,50.02,50.02,50.02,0
2019-08-01,50.02,50.02,50.02,50.02,0
2019-08-02,50.02,50.02,50.02,50.02,0
2019-08-05,50.02,50.02,50.02,50.02,0
2019-08-06,50.02,50.02,50.02,50.02,0
2019-08-07,50.02,50.02,50.02,50.02,0
2019-08-08,50.02,50.02,50.02,50.02,0
2019-08-09,50.02,50.02,50.02,50.02,0
2019-08-12,50.02,50.02,50.02,50.02,0
2019-08-13,50.02,50.02,50.02,50.02,0
2019-08-14,45.06,45.06,45.06,45.06,100
2019-08-15,45.06,45.06,45.06,45.06,0
2019-08-16,45.06,45.06,45.06,45.06,0
2019-08-19,45.06,45.06,45.06,45.06,0
2019-08-20,45.06,45.06,45.06,45.06,0
2019-08-21,45.06,45.06,45.06,45.06,0
2019-08-22,40.6,40.6,40.6,40.6,100
2019-08-23,39.09,44.55,36.57,44.55,1600
2019-08-26,44.55,44.55,44.55,44.55,0
2019-08-27,44.55,44.55,44.55,44.55,0
2019-08-28,44.55,44.55,44.55,44.55,0
2019-08-29,44.55,44.55,44.55,44.55,0
2019-08-30,40.1,40.1,40.1,40.1,100
2019-09-03,36.15,43.97,36.15,43.97,600
2019-09-04,39.59,47.5,39.59,47.5,200
2019-09-05,42.79,42.79,42.79,42.79,100
2019-09-06,38.59,45.82,38.59,45.82,300
2019-09-09,45.82,45.82,45.82,45.82,0
2019-09-10,45.82,45.82,45.82,45.82,0
2019-09-11,45.82,45.82,45.82,45.82,0
2019-09-12,45.82,45.82,45.82,45.82,0
2019-09-13,45.82,45.82,45.82,45.82,0
2019-09-16,42.87,42.87,42.87,42.87,100
2019-09-17,42.87,42.87,42.87,42.87,0
2019-09-18,42.87,42.87,42.87,42.87,0
2019-09-19,38.67,46.66,38.67,46.66,600
2019-09-20,46.66,46.66,46.66,46.66,0
2019-09-23,46.66,46.66,46.66,46.66,0
2019-09-24,46.66,46.66,46.66,46.66,0
2019-09-25,46.66,46.66,46.66,46.66,0
2019-09-26,42.03,48.34,42.03,48.34,800
2019-09-27,52.54,52.54,52.54,52.54,100
2019-09-30,52.54,52.54,52.54,52.54,0
2019-10-01,52.54,52.54,52.54,52.54,0
2019-10-02,52.54,52.54,52.54,52.54,0
2019-10-03,52.54,52.54,52.54,52.54,0
2019-10-04,52.54,52.54,52.54,52.54,0
2019-10-07,52.54,52.54,52.54,52.54,0
2019-10-08,52.54,52.54,52.54,52.54,0
2019-10-09,47.33,47.33,47.33,47.33,200
2019-10-10,42.62,42.62,42.62,42.62,110
2019-10-11,38.42,38.42,38.42,38.42,200
2019-10-14,35.39,35.39,34.72,34.72,600
2019-10-15,33.88,33.88,33.88,33.88,100
2019-10-16,30.68,30.68,30.68,30.68,100
2019-10-17,30.68,30.68,30.68,30.68,10
2019-10-18,33.71,33.71,33.71,33.71,100
2019-10-21,33.71,33.71,33.71,33.71,0
2019-10-22,36.82,36.82,36.82,36.82,100
2019-10-23,36.82,36.82,36.82,36.82,0
2019-10-24,38.5,38.5,38.5,38.5,100
2019-10-25,42.03,42.03,42.03,42.03,100
2019-10-28,43.71,43.71,43.71,43.71,100
2019-10-29,43.13,43.13,43.13,43.13,300
2019-10-30,43.13,43.13,43.13,43.13,0
2019-10-31,42.79,42.79,42.79,42.79,100
2019-11-01,42.79,42.79,42.79,42.79,0
2019-11-04,38.67,38.67,38.67,38.67,200
2019-11-05,34.8,36.99,34.8,36.99,2100
2019-11-06,33.71,33.71,33.29,33.29,1700
2019-11-07,33.29,33.29,33.29,33.29,0
2019-11-08,33.29,33.29,33.29,33.29,0
2019-11-11,33.63,35.31,31.36,31.36,600
2019-11-12,31.36,31.36,31.36,31.36,0
2019-11-13,29.0,29.0,28.75,28.75,400
2019-11-14,31.44,31.44,31.44,31.44,100
2019-11-15,29.0,29.0,29.0,29.0,100
2019-11-18,31.78,31.78,31.78,31.78,100
2019-11-19,28.83,28.83,28.67,28.67,400
2019-11-20,28.67,28.67,28.67,28.67,0
2019-11-21,31.36,31.36,31.36,31.36,100
2019-11-22,34.13,34.13,34.13,34.13,100
2019-11-25,34.13,34.13,34.13,34.13,0
2019-11-26,34.13,34.13,34.13,34.13,0
2019-11-27,37.41,37.41,37.41,37.41,300
2019-11-28,37.41,37.41,37.41,37.41,0
2019-11-29,37.41,37.41,37.41,37.41,0
2019-12-02,37.41,37.41,37.41,37.41,0
2019-12-03,41.11,41.11,41.11,41.11,100
2019-12-04,37.41,37.41,37.41,37.41,500
2019-12-05,37.41,37.41,37.41,37.41,0
2019-12-06,37.41,37.41,37.41,37.41,0
2019-12-09,37.41,37.41,37.41,37.41,0
2019-12-10,37.49,37.49,37.49,37.49,100
2019-12-11,37.49,37.49,37.49,37.49,0
2019-12-12,37.49,37.49,37.49,37.49,0
2019-12-13,37.49,37.49,37.49,37.49,0
2019-12-16,37.49,37.49,37.49,37.49,0
2019-12-17,37.49,37.49,37.49,37.49,0
2019-12-18,37.49,37.49,37.49,37.49,0
2019-12-19,37.49,37.49,37.49,37.49,0
2019-12-20,37.49,37.49,37.49,37.49,0
2019-12-23,33.79,33.79,33.79,33.79,500
2019-12-24,37.16,37.16,37.16,37.16,100
2019-12-25,40.86,40.86,33.71,40.27,400
2019-12-26,42.03,42.03,36.32,36.32,200
2019-12-27,39.93,39.93,32.7,39.93,1000
2019-12-30,39.93,39.93,39.93,39.93,0
2019-12-31,39.51,39.68,39.51,39.68,700
2020-01-02,39.68,39.68,39.68,39.68,10
2020-01-03,39.68,39.68,39.68,39.68,0
2020-01-06,39.68,39.68,39.68,39.68,0
2020-01-07,39.68,39.68,39.68,39.68,0
2020-01-08,39.68,39.68,39.68,39.68,0
2020-01-09,39.68,39.68,39.68,39.68,0
2020-01-10,39.68,39.68,39.68,39.68,0
2020-01-13,39.68,39.68,39.68,39.68,0
2020-01-14,38.59,38.59,35.81,35.81,300
2020-01-15,32.36,32.36,32.36,32.36,700
2020-01-16,32.45,32.45,32.45,32.45,100
2020-01-17,32.45,32.45,32.45,32.45,0
2020-01-20,32.36,32.36,32.36,32.36,1200
2020-01-21,32.36,32.36,32.36,32.36,0
2020-01-22,32.36,32.36,32.36,32.36,0
2020-01-30,32.36,32.36,32.36,32.36,0
2020-01-31,32.36,32.36,32.36,32.36,0
2020-02-03,32.36,32.36,32.36,32.36,0
2020-02-04,32.36,32.36,32.36,32.36,0
2020-02-05,32.36,32.36,32.36,32.36,0
2020-02-06,32.36,32.36,32.36,32.36,0
2020-02-07,32.36,32.36,32.36,32.36,0
2020-02-10,32.36,32.36,32.36,32.36,0
2020-02-11,32.36,32.36,32.36,32.36,0
2020-02-12,32.36,32.36,32.36,32.36,0
2020-02-13,32.36,32.36,32.36,32.36,0
2020-02-14,32.36,32.36,32.36,32.36,0
2020-02-17,32.36,32.36,32.36,32.36,0
2020-02-18,32.36,32.36,32.36,32.36,300
2020-02-19,32.36,32.36,32.36,32.36,0
2020-02-20,32.36,32.36,32.36,32.36,0
2020-02-21,32.36,32.36,32.36,32.36,0
2020-02-24,32.36,32.36,32.36,32.36,0
2020-02-25,32.36,32.36,32.36,32.36,0
2020-02-26,32.36,32.36,32.36,32.36,0
2020-02-27,32.36,32.36,32.36,32.36,0
2020-02-28,32.36,32.36,32.36,32.36,0
2020-03-02,32.36,32.36,32.36,32.36,0
2020-03-03,32.36,32.36,32.36,32.36,0
2020-03-04,32.36,32.36,32.36,32.36,0
2020-03-05,32.36,32.36,32.36,32.36,0
2020-03-06,32.36,32.36,32.36,32.36,0
2020-03-09,32.36,32.36,32.36,32.36,0
2020-03-10,32.36,32.36,32.36,32.36,1
2020-03-11,32.36,32.36,32.36,32.36,0
2020-03-12,32.36,32.36,32.36,32.36,0
2020-03-13,32.36,32.36,32.36,32.36,0
2020-03-16,32.36,32.36,32.36,32.36,0
2020-03-17,32.36,32.36,32.36,32.36,0
2020-03-18,32.36,32.36,32.36,32.36,0
2020-03-19,32.36,32.36,32.36,32.36,0
2020-03-20,32.36,32.36,32.36,32.36,0
2020-03-23,32.36,32.36,32.36,32.36,0
2020-03-24,32.36,32.36,32.36,32.36,0
2020-03-25,32.36,32.36,32.36,32.36,0
2020-03-26,32.36,32.36,32.36,32.36,0
2020-03-27,32.36,32.36,32.36,32.36,0
2020-03-30,32.36,32.36,32.36,32.36,0
2020-03-31,32.36,32.36,32.36,32.36,0
2020-04-01,32.36,32.36,32.36,32.36,0
2020-04-03,32.36,32.36,32.36,32.36,0
2020-04-06,32.28,32.28,32.28,32.28,100
2020-04-07,32.28,32.28,32.28,32.28,0
2020-04-08,32.28,32.28,32.28,32.28,0
2020-04-09,32.28,32.28,32.28,32.28,0
2020-04-10,32.28,32.28,32.28,32.28,0
2020-04-13,32.28,32.28,32.28,32.28,0
2020-04-14,32.28,32.28,32.28,32.28,0
2020-04-15,32.28,32.28,32.28,32.28,0
2020-04-16,32.28,32.28,32.28,32.28,0
2020-04-17,32.28,32.28,32.28,32.28,0
2020-04-20,32.28,32.28,32.28,32.28,0
2020-04-21,32.28,32.28,32.28,32.28,0
2020-04-22,32.28,32.28,32.28,32.28,0
2020-04-23,32.28,32.28,32.28,32.28,0
2020-04-24,32.28,32.28,32.28,32.28,0
2020-04-27,32.28,32.28,32.28,32.28,0
2020-04-28,32.28,32.28,32.28,32.28,0
2020-04-29,32.28,32.28,32.28,32.28,0
2020-05-04,32.28,32.28,32.28,32.28,400
2020-05-05,31.94,31.94,31.94,31.94,100
2020-05-06,31.94,31.94,31.94,31.94,0
2020-05-07,31.52,31.52,31.52,31.52,300
2020-05-08,31.61,34.63,31.61,34.63,300
2020-05-11,34.63,34.63,34.63,34.63,0
2020-05-12,34.63,34.8,34.63,34.8,700
2020-05-13,34.8,34.8,34.8,34.8,0
2020-05-14,34.8,34.8,34.8,34.8,0
2020-05-15,34.8,34.8,34.8,34.8,0
2020-05-18,34.8,34.8,34.8,34.8,0
2020-05-19,34.8,34.8,34.8,34.8,0
2020-05-20,34.8,34.8,34.8,34.8,0
2020-05-21,34.8,34.8,34.8,34.8,0
2020-05-22,34.8,34.8,34.8,34.8,0
2020-05-25,34.8,34.8,34.8,34.8,0
2020-05-26,34.8,34.8,34.8,34.8,0
2020-05-27,34.8,34.8,34.8,34.8,0
2020-05-28,34.8,34.8,34.8,34.8,0
2020-05-29,31.78,31.78,31.78,31.78,300
2020-06-01,31.78,31.78,31.78,31.78,700
2020-06-02,31.78,31.78,31.78,31.78,0
2020-06-03,31.78,31.78,31.78,31.78,20
2020-06-04,31.78,31.78,31.78,31.78,0
2020-06-05,31.86,31.86,31.86,31.86,100
2020-06-08,31.86,31.86,31.86,31.86,0
2020-06-09,31.86,31.86,31.86,31.86,0
2020-06-10,31.94,31.94,31.94,31.94,500
2020-06-11,31.94,31.94,31.94,31.94,0
2020-06-12,31.94,31.94,31.94,31.94,0
2020-06-15,31.94,31.94,31.94,31.94,100
2020-06-16,31.94,31.94,31.94,31.94,0
2020-06-17,31.94,31.94,31.94,31.94,800
2020-06-18,31.94,31.94,31.94,31.94,0
2020-06-19,31.94,31.94,31.94,31.94,0
2020-06-22,32.03,32.03,32.03,32.03,600
2020-06-23,32.03,32.03,32.03,32.03,0
2020-06-24,32.03,32.03,32.03,32.03,0
2020-06-25,32.03,32.03,32.03,32.03,0
2020-06-26,32.03,32.03,32.03,32.03,0
2020-06-29,28.92,28.92,28.92,28.92,800
