date,open,high,low,close,volume
2019-08-07,4.69,4.69,4.69,4.69,140
2019-08-08,4.69,4.69,4.69,4.69,0
2019-08-09,5.33,5.33,5.33,5.33,200
2019-08-12,5.69,5.69,5.69,5.69,200
2019-08-13,5.69,5.69,5.69,5.69,0
2019-08-14,5.69,5.69,5.69,5.69,0
2019-08-15,5.69,5.69,5.69,5.69,0
2019-08-16,5.69,5.69,5.69,5.69,0
2019-08-19,5.69,5.69,5.69,5.69,0
2019-08-20,5.69,5.69,5.69,5.69,200
2019-08-21,5.69,5.69,5.69,5.69,0
2019-08-22,4.96,4.96,4.96,4.96,700
2019-08-23,4.96,4.96,4.96,4.96,0
2019-08-26,4.96,4.96,4.96,4.96,0
2019-08-27,5.42,5.42,5.42,5.42,600
2019-08-28,5.42,5.42,5.42,5.42,0
2019-08-29,5.06,5.06,5.06,5.06,100
2019-08-30,5.06,5.06,5.06,5.06,0
2019-09-03,5.06,5.06,5.06,5.06,0
2019-09-04,5.42,5.42,5.42,5.42,100
2019-09-05,5.42,5.42,5.42,5.42,0
2019-09-06,5.42,5.42,5.42,5.42,0
2019-09-09,5.42,5.42,5.42,5.42,20
2019-09-10,5.42,5.42,5.42,5.42,0
2019-09-11,5.42,5.42,5.42,5.42,0
2019-09-12,5.42,5.42,5.42,5.42,0
2019-09-13,5.42,5.42,5.42,5.42,0
2019-09-16,5.42,5.42,5.42,5.42,0
2019-09-17,5.06,5.42,5.06,5.42,1860
2019-09-18,5.33,5.42,5.42,5.42,0
2019-09-19,5.33,5.42,5.42,5.42,0
2019-09-20,5.42,5.6,5.42,5.6,500
2019-09-23,5.42,5.6,5.6,5.6,0
2019-09-24,5.42,5.42,5.42,5.6,70
2019-09-25,5.42,5.6,5.6,5.6,0
2019-09-26,5.42,5.6,5.6,5.6,0
2019-09-27,5.42,5.6,5.6,5.6,0
2019-09-30,5.42,5.6,5.6,5.6,0
2019-10-01,5.42,5.6,5.6,5.6,0
2019-10-02,5.42,5.6,5.6,5.6,0
2019-10-03,6.05,6.05,6.05,6.05,100
2019-10-04,6.05,6.05,6.05,6.05,0
2019-10-07,6.05,6.05,6.05,6.05,0
2019-10-08,6.32,6.32,6.32,6.32,1600
2019-10-09,6.32,6.32,6.32,6.32,0
2019-10-10,6.32,6.32,6.32,6.32,0
2019-10-11,6.32,6.32,6.32,6.32,0
2019-10-14,5.87,5.87,5.87,5.87,260
2019-10-15,5.87,5.87,5.87,5.87,1000
2019-10-16,5.87,5.87,5.87,5.87,0
2019-10-17,5.87,5.87,5.87,5.87,0
2019-10-18,5.87,5.87,5.87,5.87,0
2019-10-21,5.87,5.87,5.87,5.87,0
2019-10-22,5.87,5.87,5.87,5.87,0
2019-10-23,5.87,5.87,5.87,5.87,0
2019-10-24,5.87,5.87,5.87,5.87,0
2019-10-25,5.87,5.87,5.87,5.87,0
2019-10-28,5.87,5.87,5.87,5.87,0
2019-10-29,5.87,5.87,5.87,5.87,0
2019-10-30,5.87,5.87,5.87,5.87,0
2019-10-31,5.87,5.87,5.87,5.87,0
2019-11-01,5.87,5.87,5.87,5.87,0
2019-11-04,5.87,5.87,5.87,5.87,0
2019-11-05,5.87,5.87,5.87,5.87,610
2019-11-06,5.87,5.87,5.87,5.87,0
2019-11-07,5.87,5.87,5.87,5.87,0
2019-11-08,5.87,5.87,5.87,5.87,59
2019-11-11,5.87,5.87,5.87,5.87,0
2019-11-12,5.87,5.87,5.87,5.87,100
2019-11-13,5.15,5.15,5.06,5.06,400
2019-11-14,5.15,5.06,5.06,5.06,0
2019-11-15,5.15,5.06,5.06,5.06,0
2019-11-18,5.87,5.87,5.87,5.87,200
2019-11-19,5.87,5.87,5.87,5.87,0
2019-11-20,6.59,6.59,6.59,6.59,100
2019-11-21,6.59,6.59,6.59,6.59,0
2019-11-22,7.49,7.49,7.49,7.49,100
2019-11-25,7.49,7.49,7.49,7.49,0
2019-11-26,7.49,7.49,7.49,7.49,0
2019-11-27,7.49,7.49,7.49,7.49,0
2019-11-28,7.49,7.49,7.49,7.49,0
2019-11-29,7.49,7.49,7.49,7.49,0
2019-12-02,7.49,7.49,7.49,7.49,0
2019-12-03,7.49,7.49,7.49,7.49,0
2019-12-04,6.41,6.41,6.41,6.41,200
2019-12-05,6.41,6.41,6.41,6.41,0
2019-12-06,6.41,6.41,6.41,6.41,0
2019-12-09,6.41,6.41,6.41,6.41,0
2019-12-10,6.41,6.41,6.41,6.41,0
2019-12-11,6.41,6.41,6.41,6.41,0
2019-12-12,6.41,6.41,6.41,6.41,0
2019-12-13,6.41,6.41,6.41,6.41,0
2019-12-16,6.41,6.41,6.41,6.41,0
2019-12-17,6.41,6.41,6.41,6.41,0
2019-12-18,6.41,6.41,6.41,6.41,0
2019-12-19,6.41,6.41,6.41,6.41,0
2019-12-20,5.51,5.51,5.51,5.51,500
2019-12-23,6.32,6.32,6.32,6.32,600
2019-12-24,6.32,6.32,6.32,6.32,0
2019-12-25,6.32,6.32,6.32,6.32,0
2019-12-26,5.42,5.42,5.42,5.42,500
2019-12-27,5.42,5.42,5.42,5.42,0
2019-12-30,5.42,5.42,5.42,5.42,0
2019-12-31,5.87,5.87,5.87,5.87,200
2020-01-02,5.87,5.87,5.87,5.87,0
2020-01-03,5.42,6.68,5.42,6.68,600
2020-01-06,5.6,6.68,6.68,6.68,0
2020-01-07,5.6,6.68,6.68,6.68,0
2020-01-08,5.6,6.68,6.68,6.68,0
2020-01-09,5.42,5.42,5.42,5.42,559
2020-01-10,5.42,5.42,5.42,5.42,0
2020-01-13,5.42,5.42,5.42,5.42,0
2020-01-14,5.87,5.87,5.87,5.87,2000
2020-01-15,5.87,5.87,5.87,5.87,0
2020-01-16,5.87,5.87,5.87,5.87,0
2020-01-17,5.87,5.87,5.87,5.87,0
2020-01-20,5.42,5.42,5.42,5.42,500
2020-01-21,5.42,5.42,5.42,5.42,0
2020-01-22,5.6,5.6,5.6,5.6,300
2020-01-30,5.6,5.6,5.6,5.6,0
2020-01-31,5.6,5.6,5.6,5.6,0
2020-02-03,5.6,5.6,5.6,5.6,0
2020-02-04,5.6,5.6,5.6,5.6,0
2020-02-05,5.6,5.6,5.6,5.6,0
2020-02-06,5.6,5.6,5.6,5.6,0
2020-02-07,5.6,5.6,5.6,5.6,0
2020-02-10,4.87,4.87,4.87,4.87,500
2020-02-11,4.87,4.87,4.87,4.87,0
2020-02-12,4.87,4.87,4.87,4.87,0
2020-02-13,4.15,4.15,4.15,4.15,300
2020-02-14,4.15,4.15,4.15,4.15,0
2020-02-17,4.69,4.69,3.7,3.7,300
2020-02-18,4.6,4.6,3.52,3.52,300
2020-02-19,4.42,4.42,4.42,4.42,2000
2020-02-20,5.06,5.06,5.06,5.06,100
2020-02-21,5.78,5.78,5.78,5.78,700
2020-02-24,5.42,5.78,5.42,5.78,2000
2020-02-25,5.78,5.78,5.78,5.78,0
2020-02-26,5.78,5.78,5.78,5.78,0
2020-02-27,5.78,5.78,5.78,5.78,0
2020-02-28,4.96,4.96,4.96,4.96,100
2020-03-02,4.96,4.96,4.96,4.96,0
2020-03-03,4.96,4.96,4.96,4.96,20
2020-03-04,4.96,5.69,4.96,5.69,1900
2020-03-05,5.33,5.69,5.69,5.69,0
2020-03-06,4.6,4.6,4.6,4.6,180
2020-03-09,4.6,4.6,4.6,4.6,0
2020-03-10,4.6,4.6,4.6,4.6,0
2020-03-11,4.15,4.15,4.15,4.15,200
2020-03-12,4.69,4.69,4.69,4.69,3200
2020-03-13,4.69,4.69,4.69,4.69,0
2020-03-16,4.69,4.69,4.69,4.69,0
2020-03-17,4.15,4.15,4.15,4.15,300
2020-03-18,4.69,4.69,4.69,4.69,200
2020-03-19,5.33,5.33,5.33,5.33,800
2020-03-20,5.69,5.69,5.69,5.69,2610
2020-03-23,5.69,5.69,5.42,5.42,3200
2020-03-24,4.69,4.69,4.69,4.69,100
2020-03-25,4.69,4.69,4.69,4.69,0
2020-03-26,4.69,4.69,4.69,4.69,0
2020-03-27,4.42,4.42,4.06,4.06,2000
2020-03-30,4.51,4.51,4.51,4.51,100
2020-03-31,5.15,5.15,5.15,5.15,3781
2020-04-01,5.69,5.87,5.69,5.87,1900
2020-04-03,5.78,5.87,5.87,5.87,0
2020-04-06,5.78,5.87,5.87,5.87,0
2020-04-07,5.78,5.87,5.87,5.87,0
2020-04-08,5.78,5.87,5.87,5.87,0
2020-04-09,5.78,5.78,5.78,5.78,100
2020-04-10,4.96,4.96,4.96,4.96,100
2020-04-13,4.96,5.69,4.96,5.69,2244
2020-04-14,5.6,5.69,5.69,5.69,0
2020-04-15,4.87,4.87,4.87,4.87,100
2020-04-16,4.87,4.87,4.87,4.87,0
2020-04-17,4.87,4.87,4.87,4.87,0
2020-04-20,4.24,4.24,4.24,4.24,100
2020-04-21,4.24,4.24,4.24,4.24,0
2020-04-22,4.24,4.24,4.24,4.24,0
2020-04-23,4.24,4.24,4.24,4.24,0
2020-04-24,3.79,3.79,3.79,3.79,160
2020-04-27,4.33,4.33,4.33,4.33,400
2020-04-28,4.33,4.33,4.33,4.33,110
2020-04-29,4.33,4.33,4.33,4.33,0
2020-05-04,3.97,3.97,3.97,3.97,400
2020-05-05,4.51,4.51,4.06,4.06,249
2020-05-06,4.96,4.96,4.96,4.96,1000
2020-05-07,4.33,4.33,4.33,4.33,200
2020-05-08,4.78,4.96,4.78,4.87,4239
2020-05-11,5.6,5.6,5.6,5.6,2200
2020-05-12,5.6,5.87,5.6,5.87,870
2020-05-13,6.41,6.41,5.69,5.69,200
2020-05-14,5.69,5.69,5.69,5.69,1500
2020-05-15,5.69,5.69,5.69,5.69,0
2020-05-18,5.69,5.69,5.69,5.69,0
2020-05-19,5.69,5.69,5.69,5.69,1100
2020-05-20,6.41,6.41,6.41,6.41,100
2020-05-21,5.87,5.87,5.87,5.87,900
2020-05-22,5.06,5.06,5.06,5.06,500
2020-05-25,5.06,5.06,5.06,5.06,0
2020-05-26,5.69,5.69,5.69,5.69,100
2020-05-27,4.96,4.96,4.96,4.96,400
2020-05-28,5.69,5.69,5.69,5.69,100
