date,open,high,low,close,volume
2019-09-26,23.89,23.89,23.05,23.05,3130
2019-09-27,23.05,23.33,22.55,23.33,3510
2019-09-30,23.33,23.33,22.83,22.94,2217
2019-10-01,23.33,23.33,23.0,23.0,1600
2019-10-02,23.22,23.22,22.44,22.72,7300
2019-10-03,22.72,22.77,22.61,22.61,800
2019-10-04,22.61,23.05,22.5,23.05,9910
2019-10-07,23.05,23.39,23.05,23.11,3300
2019-10-08,24.0,24.55,23.44,24.55,14100
2019-10-09,24.66,24.66,24.22,24.22,10700
2019-10-10,24.44,24.72,24.44,24.5,8648
2019-10-11,24.55,26.94,24.55,26.16,62199
2019-10-14,26.83,28.22,26.39,26.39,14580
2019-10-15,26.39,27.11,26.39,26.94,11450
2019-10-16,27.22,27.22,26.5,26.5,17436
2019-10-17,26.55,26.61,26.44,26.61,11669
2019-10-18,26.61,26.66,26.33,26.44,8612
2019-10-21,26.55,27.22,26.5,27.22,17123
2019-10-22,27.22,27.22,26.83,26.89,9479
2019-10-23,26.89,26.94,26.61,26.61,13660
2019-10-24,26.67,26.67,26.05,26.05,1350
2019-10-25,26.67,26.67,25.55,25.55,1660
2019-10-28,25.55,25.55,25.43,25.43,15260
2019-10-29,25.49,25.55,25.43,25.55,5150
2019-10-30,25.49,25.74,25.49,25.74,1310
2019-10-31,25.49,25.62,25.12,25.12,4320
2019-11-01,25.12,25.12,24.5,25.06,6450
2019-11-04,26.42,26.42,24.19,24.38,7730
2019-11-05,24.38,25.06,24.38,24.38,2100
2019-11-06,24.44,24.69,24.38,24.38,6300
2019-11-07,24.38,24.44,24.38,24.44,1900
2019-11-08,24.5,24.5,24.5,24.5,460
2019-11-11,24.5,24.5,24.5,24.5,20
2019-11-12,24.81,24.81,24.69,24.75,1100
2019-11-13,25.24,25.31,25.12,25.12,1560
2019-11-14,25.43,25.74,25.12,25.24,4300
2019-11-15,25.31,25.68,25.31,25.68,2800
2019-11-18,25.93,25.99,25.43,25.43,1920
2019-11-19,25.74,25.86,25.49,25.49,3900
2019-11-20,25.49,25.49,25.49,25.49,4600
2019-11-21,25.49,25.93,25.43,25.93,5045
2019-11-22,25.86,25.86,24.81,25.74,9400
2019-11-25,25.74,25.86,25.49,25.86,7360
2019-11-26,25.49,25.74,25.49,25.62,4600
2019-11-27,25.68,25.8,25.62,25.68,3750
2019-11-28,25.74,25.93,25.74,25.74,11100
2019-11-29,26.05,26.55,26.05,26.48,6500
2019-12-02,26.67,26.98,26.67,26.67,12412
2019-12-03,26.98,26.98,26.67,26.73,10547
2019-12-04,26.79,26.79,26.67,26.73,14800
2019-12-05,29.15,29.15,27.1,27.29,3700
2019-12-06,27.6,27.97,27.6,27.91,3912
2019-12-09,28.53,28.53,27.66,27.72,3500
2019-12-10,28.22,28.22,27.72,27.85,6100
2019-12-11,28.53,29.15,28.1,28.1,4207
2019-12-12,28.22,28.28,28.16,28.16,1500
2019-12-13,28.41,28.41,27.72,27.72,4100
2019-12-16,27.72,27.91,27.72,27.72,1900
2019-12-17,27.72,29.09,27.29,27.72,3310
2019-12-18,27.29,27.35,26.73,27.04,3120
2019-12-19,26.79,26.79,26.67,26.67,2500
2019-12-20,26.67,26.67,26.67,26.67,1200
2019-12-23,26.36,26.67,26.17,26.67,1300
2019-12-24,26.67,26.67,26.17,26.36,2800
