date,open,high,low,close,volume
2019-09-26,10.51,10.51,10.51,10.51,80
2019-09-27,10.51,10.51,10.51,10.51,20
2019-09-30,10.51,10.51,10.51,10.51,0
2019-10-01,10.51,10.51,10.51,10.51,0
2019-10-02,10.44,10.44,10.44,10.44,170
2019-10-03,10.44,10.44,10.44,10.44,380
2019-10-04,10.44,10.44,10.44,10.44,0
2019-10-07,10.44,10.44,10.44,10.44,0
2019-10-08,10.44,10.44,10.44,10.44,0
2019-10-09,10.44,10.44,10.44,10.44,0
2019-10-10,10.44,10.44,10.44,10.44,0
2019-10-11,10.44,10.44,10.44,10.44,0
2019-10-14,10.44,10.44,10.44,10.44,0
2019-10-15,10.44,10.44,10.44,10.44,0
2019-10-16,10.44,10.44,10.44,10.44,0
2019-10-17,10.32,10.44,10.32,10.44,650
2019-10-18,10.44,10.44,10.44,10.44,0
2019-10-21,10.44,10.44,10.44,10.44,0
2019-10-22,10.44,10.44,10.44,10.44,0
2019-10-23,10.44,10.44,10.44,10.44,0
2019-10-24,10.44,10.44,10.44,10.44,0
2019-10-25,10.44,10.44,10.44,10.44,190
2019-10-28,10.44,10.44,10.44,10.44,20
2019-10-29,10.44,10.44,10.44,10.44,0
2019-10-30,10.44,10.44,10.44,10.44,0
2019-10-31,9.72,9.72,9.72,9.72,260
2019-11-01,10.01,10.38,10.01,10.38,630
2019-11-04,10.94,10.94,10.94,10.94,10
2019-11-05,10.26,10.26,10.19,10.19,990
2019-11-06,10.19,10.19,10.19,10.19,0
2019-11-07,9.51,9.51,9.51,9.51,10
2019-11-08,10.16,10.16,10.16,10.16,1280
2019-11-11,10.16,10.16,10.16,10.16,0
2019-11-12,10.01,10.85,9.47,10.85,1070
2019-11-13,11.26,11.26,11.26,11.26,10
2019-11-14,11.88,11.88,11.88,11.88,50
2019-11-15,12.16,12.16,12.16,12.16,10
2019-11-18,12.16,12.16,12.16,12.16,0
2019-11-19,12.16,12.16,12.16,12.16,0
2019-11-20,12.51,13.01,12.51,13.01,20
2019-11-21,12.1,12.1,12.1,12.1,240
2019-11-22,11.26,12.88,11.26,11.26,720
2019-11-25,12.04,12.04,10.63,10.63,20
2019-11-26,11.26,11.26,10.01,10.07,11350
2019-11-27,10.6,10.6,10.6,10.6,20
2019-11-28,10.6,10.6,10.6,10.6,0
2019-11-29,10.01,10.07,10.01,10.07,2080
2019-12-02,9.38,10.51,9.38,10.51,3540
2019-12-03,11.23,11.23,11.23,11.23,10
2019-12-04,11.26,12.01,11.26,12.01,20
2019-12-05,12.48,12.48,11.19,11.19,520
2019-12-06,11.98,11.98,11.98,11.98,20
2019-12-09,11.98,11.98,11.98,11.98,0
2019-12-10,11.98,11.98,11.98,11.98,0
2019-12-11,11.98,11.98,11.98,11.98,0
2019-12-12,11.98,11.98,11.98,11.98,0
2019-12-13,11.98,11.98,11.98,11.98,0
2019-12-16,11.16,12.76,11.16,12.48,130
2019-12-17,13.23,13.23,11.63,12.98,120
2019-12-18,12.98,12.98,12.98,12.98,0
2019-12-19,12.98,12.98,12.98,12.98,0
2019-12-20,12.98,12.98,12.98,12.98,0
2019-12-23,12.98,12.98,12.98,12.98,0
2019-12-24,12.98,12.98,12.98,12.98,0
2019-12-25,12.98,12.98,12.98,12.98,0
2019-12-26,12.98,12.98,12.98,12.98,0
2019-12-27,12.98,12.98,12.98,12.98,0
2019-12-30,12.07,12.07,12.07,12.07,10
2019-12-31,12.07,12.07,12.07,12.07,0
2020-01-02,12.07,12.07,12.07,12.07,0
2020-01-03,12.07,12.07,12.07,12.07,0
2020-01-06,12.07,12.07,12.07,12.07,0
2020-01-07,12.07,12.07,12.07,12.07,0
2020-01-08,11.23,11.23,11.23,11.23,10
2020-01-09,10.44,10.44,10.44,10.44,490
2020-01-10,10.01,11.16,9.88,9.88,420
2020-01-13,9.88,9.88,9.88,9.88,0
2020-01-14,10.57,10.57,10.57,10.57,10
2020-01-15,10.01,10.01,10.01,10.01,10
2020-01-16,9.44,9.44,9.44,9.44,20
2020-01-17,8.82,8.82,8.82,8.82,280
2020-01-20,8.82,8.82,8.82,8.82,0
2020-01-21,9.41,9.41,9.41,9.41,80
2020-01-22,10.07,10.07,10.07,10.07,10
2020-01-30,9.69,9.69,9.69,9.69,30
2020-01-31,9.69,9.69,9.69,9.69,0
2020-02-03,9.38,9.38,9.07,9.07,590
2020-02-04,9.07,9.07,9.07,9.07,600
2020-02-05,9.07,9.07,9.07,9.07,100
2020-02-06,9.07,9.07,9.07,9.07,460
2020-02-07,8.97,8.97,8.97,8.97,10
2020-02-10,9.6,9.6,9.6,9.6,10
2020-02-11,9.6,9.6,9.6,9.6,0
2020-02-12,9.6,9.6,9.6,9.6,0
2020-02-13,9.6,9.6,9.6,9.6,0
2020-02-14,8.94,8.94,8.94,8.94,10
2020-02-17,8.38,9.38,8.38,9.38,400
2020-02-18,8.94,8.94,8.94,8.94,9550
2020-02-19,8.94,9.57,8.94,9.57,11550
2020-02-20,9.07,9.26,9.07,9.26,11940
2020-02-21,9.26,9.26,9.26,9.26,0
2020-02-24,8.66,8.66,8.66,8.66,10
2020-02-25,9.26,9.26,8.69,8.69,110
2020-02-26,8.69,8.69,8.69,8.69,0
2020-02-27,8.1,9.07,8.1,8.72,12780
2020-02-28,8.72,8.72,8.72,8.72,0
2020-03-02,8.13,8.94,8.13,8.94,450
2020-03-03,8.82,8.94,8.69,8.94,1530
2020-03-04,8.94,8.94,8.94,8.94,7250
2020-03-05,8.76,9.01,8.76,8.82,10580
2020-03-06,8.91,8.94,8.91,8.94,5000
2020-03-09,8.76,8.76,8.69,8.69,18000
2020-03-10,8.69,8.69,8.69,8.69,0
2020-03-11,8.69,8.69,8.69,8.69,0
2020-03-12,8.69,8.69,8.69,8.69,0
2020-03-13,8.13,8.13,8.13,8.13,120
2020-03-16,8.13,8.13,7.82,7.82,140
2020-03-17,7.63,7.63,7.63,7.63,1910
2020-03-18,7.5,7.63,7.5,7.63,8100
2020-03-19,7.63,7.63,7.16,7.16,610
2020-03-20,7.5,7.5,7.5,7.5,210
2020-03-23,7.25,7.25,7.25,7.25,700
2020-03-24,6.88,6.88,6.88,6.88,500
2020-03-25,7.35,7.35,7.35,7.35,70
2020-03-26,7.35,7.35,7.35,7.35,0
2020-03-27,7.85,7.85,7.85,7.85,10
2020-03-30,7.35,7.35,7.35,7.35,120
2020-03-31,6.88,6.88,6.88,6.88,20
2020-04-01,6.41,6.88,6.41,6.88,20
2020-04-03,6.88,6.88,6.88,6.88,0
2020-04-06,7.35,7.35,7.35,7.35,110
2020-04-07,7.35,7.35,7.35,7.35,0
2020-04-08,7.82,7.85,7.35,7.85,130
2020-04-09,7.85,7.85,7.85,7.85,0
2020-04-10,7.85,7.85,7.85,7.85,0
2020-04-13,7.85,7.85,7.85,7.85,0
2020-04-14,7.82,7.82,7.32,7.32,70
2020-04-15,7.32,7.5,7.32,7.32,5110
2020-04-16,7.32,7.32,7.32,7.32,0
2020-04-17,7.35,7.35,7.35,7.35,60
2020-04-20,7.85,7.85,7.85,7.85,20
2020-04-21,7.85,7.85,7.85,7.85,0
2020-04-22,7.38,8.32,7.38,8.32,2010
2020-04-23,7.75,7.75,7.75,7.75,2000
2020-04-24,7.75,7.75,7.75,7.75,0
2020-04-27,7.75,7.75,7.75,7.75,0
2020-04-28,7.75,7.75,7.75,7.75,0
2020-04-29,7.5,7.82,7.5,7.82,8500
2020-05-04,7.82,7.82,7.82,7.82,320
2020-05-05,7.5,7.5,7.5,7.5,2000
2020-05-06,7.5,8.0,7.5,8.0,4520
2020-05-07,7.75,8.0,7.5,8.0,7040
2020-05-08,8.0,8.0,8.0,8.0,0
2020-05-11,7.63,7.63,7.63,7.63,500
2020-05-12,7.57,7.57,7.57,7.57,700
2020-05-13,7.63,7.63,7.63,7.63,1620
2020-05-14,7.5,7.57,7.5,7.57,2700
2020-05-15,7.25,7.5,7.19,7.19,650
2020-05-18,7.5,7.5,7.5,7.5,2000
2020-05-19,7.63,7.63,7.5,7.5,40
2020-05-20,7.5,7.5,7.5,7.5,0
2020-05-21,7.5,7.63,7.5,7.63,360
2020-05-22,7.63,7.63,7.63,7.63,0
2020-05-25,7.63,7.63,7.57,7.63,870
2020-05-26,7.63,7.63,7.63,7.63,200
2020-05-27,7.63,7.63,7.63,7.63,20
2020-05-28,7.25,7.25,7.25,7.25,10
2020-05-29,7.25,7.25,7.25,7.25,0
2020-06-01,7.5,7.5,7.5,7.5,19090
2020-06-02,7.47,7.5,7.32,7.5,4580
2020-06-03,7.5,7.5,7.5,7.5,0
2020-06-04,7.5,7.63,7.5,7.63,2460
2020-06-05,7.63,7.63,7.63,7.63,0
2020-06-08,7.63,7.63,7.63,7.63,2000
2020-06-09,7.13,7.25,7.13,7.25,610
2020-06-10,7.5,7.5,7.38,7.38,170
2020-06-11,7.5,7.5,7.5,7.5,2910
2020-06-12,7.44,7.44,7.44,7.44,20
2020-06-15,7.44,7.44,7.44,7.44,0
2020-06-16,7.5,7.5,7.38,7.38,1300
2020-06-17,7.5,7.63,7.5,7.63,40
2020-06-18,7.1,7.69,7.1,7.69,3010
