date,open,high,low,close,volume
2019-09-26,3.21,3.21,3.21,3.21,0
2019-09-27,3.21,3.21,3.21,3.21,0
2019-09-30,3.21,3.21,3.21,3.21,0
2019-10-01,3.21,3.21,3.21,3.21,0
2019-10-02,3.21,3.21,3.21,3.21,0
2019-10-03,3.21,3.21,3.21,3.21,0
2019-10-04,3.21,3.21,3.21,3.21,0
2019-10-07,3.21,3.21,3.21,3.21,0
2019-10-08,3.21,3.21,3.21,3.21,0
2019-10-09,3.21,3.21,3.21,3.21,0
2019-10-10,3.21,3.21,3.21,3.21,0
2019-10-11,3.21,3.21,3.21,3.21,0
2019-10-14,3.21,3.21,3.21,3.21,0
2019-10-15,3.21,3.21,3.21,3.21,0
2019-10-16,3.21,3.21,3.21,3.21,0
2019-10-17,3.21,3.21,3.21,3.21,0
2019-10-18,3.2,3.2,3.2,3.2,20
2019-10-21,3.2,3.2,3.2,3.2,0
2019-10-22,3.2,3.2,3.2,3.2,0
2019-10-23,3.2,3.2,3.2,3.2,0
2019-10-24,3.2,3.2,3.2,3.2,0
2019-10-25,3.2,3.2,3.2,3.2,0
2019-10-28,3.42,3.42,3.42,3.42,30
2019-10-29,3.42,3.42,3.42,3.42,0
2019-10-30,3.42,3.42,3.42,3.42,0
2019-10-31,3.42,3.42,3.42,3.42,0
2019-11-01,3.42,3.42,3.42,3.42,0
2019-11-04,3.42,3.42,3.42,3.42,0
2019-11-05,3.42,3.42,3.42,3.42,0
2019-11-06,3.42,3.42,3.42,3.42,0
2019-11-07,3.42,3.42,3.42,3.42,0
2019-11-08,3.42,3.42,3.42,3.42,0
2019-11-11,3.42,3.42,3.42,3.42,0
2019-11-12,3.42,3.42,3.42,3.42,0
2019-11-13,3.42,3.42,3.42,3.42,0
2019-11-14,3.42,3.42,3.42,3.42,0
2019-11-15,3.42,3.42,3.42,3.42,0
2019-11-18,3.42,3.42,3.42,3.42,50
2019-11-19,3.42,3.42,3.42,3.42,0
2019-11-20,3.42,3.42,3.42,3.42,0
2019-11-21,3.42,3.42,3.42,3.42,0
2019-11-22,3.42,3.42,3.42,3.42,0
2019-11-25,3.42,3.42,3.42,3.42,0
