date,open,high,low,close,volume
2019-12-20,16.28,18.81,16.28,18.81,45700
2019-12-23,18.69,20.68,18.69,20.68,5800
2019-12-24,22.01,22.43,20.68,20.68,39900
2019-12-25,20.8,20.8,19.3,19.36,5300
2019-12-26,18.69,18.69,18.09,18.09,3300
2019-12-27,16.88,19.3,16.88,17.61,2300
2019-12-30,17.61,17.61,17.61,17.61,0
2019-12-31,17.61,19.3,17.61,18.03,500
2020-01-02,19.78,19.78,18.21,18.21,600
2020-01-03,18.39,19.3,18.39,19.0,3000
2020-01-06,19.0,19.0,19.0,19.0,0
2020-01-07,18.39,19.3,18.39,19.3,900
2020-01-08,19.3,19.3,19.3,19.3,0
2020-01-09,20.5,21.11,20.5,21.11,300
2020-01-10,20.5,20.5,20.5,20.5,100
2020-01-13,21.11,21.11,21.11,21.11,100
2020-01-14,21.23,21.47,21.05,21.05,1100
2020-01-15,21.05,21.05,21.05,21.05,0
2020-01-16,21.05,21.05,21.05,21.05,0
2020-01-17,19.0,21.11,19.0,21.11,900
2020-01-20,21.11,21.11,21.11,21.11,0
2020-01-21,21.11,21.11,21.11,21.11,0
2020-01-22,21.71,21.71,21.41,21.41,800
2020-01-30,21.41,21.41,21.41,21.41,0
2020-01-31,19.6,21.11,19.3,19.3,1800
2020-02-03,19.3,19.3,19.3,19.3,0
2020-02-04,21.11,21.11,18.15,19.9,600
2020-02-05,19.9,19.9,19.9,19.9,0
2020-02-06,20.74,20.74,20.74,20.74,235
2020-02-07,20.5,20.5,19.6,19.6,600
2020-02-10,19.3,19.3,19.3,19.3,100
2020-02-11,19.3,19.3,19.3,19.3,0
2020-02-12,19.3,19.6,19.0,19.6,5000
2020-02-13,19.3,19.3,18.69,18.69,1100
2020-02-14,18.69,18.69,18.69,18.69,400
2020-02-17,19.0,19.0,18.69,18.69,300
2020-02-18,19.3,19.3,19.3,19.3,100
2020-02-19,18.69,18.69,18.69,18.69,500
2020-02-20,18.69,18.69,18.45,18.45,900
2020-02-21,18.45,18.45,18.45,18.45,0
2020-02-24,18.09,18.09,18.09,18.09,200
2020-02-25,18.09,18.39,18.09,18.39,1400
2020-02-26,18.15,18.33,18.15,18.33,2100
2020-02-27,18.94,18.94,18.94,18.94,400
2020-02-28,18.69,19.0,17.79,19.0,7200
2020-03-02,17.55,17.55,17.55,17.55,200
2020-03-03,18.09,18.09,18.09,18.09,100
2020-03-04,18.09,18.09,18.09,18.09,65
2020-03-05,18.57,18.57,18.57,18.57,100
2020-03-06,18.57,18.57,18.57,18.57,0
2020-03-09,18.15,18.15,16.88,16.88,6300
2020-03-10,16.88,16.88,16.88,16.88,100
2020-03-11,18.45,18.45,18.45,18.45,200
2020-03-12,18.09,18.09,18.09,18.09,200
2020-03-13,17.49,18.09,16.88,18.09,1300
2020-03-16,17.49,18.09,16.58,18.09,1800
2020-03-17,17.19,17.19,16.88,16.88,900
2020-03-18,16.88,16.88,16.88,16.88,100
2020-03-19,16.88,16.88,15.98,15.98,9800
2020-03-20,15.98,15.98,15.08,15.08,3704
2020-03-23,15.68,15.68,15.08,15.68,1000
2020-03-24,16.28,16.28,14.77,14.77,2200
2020-03-25,14.77,14.77,14.77,14.77,0
2020-03-26,14.77,14.77,14.77,14.77,0
2020-03-27,14.77,14.77,14.77,14.77,0
2020-03-30,14.77,14.77,14.77,14.77,0
2020-03-31,15.68,16.22,14.77,14.77,1100
2020-04-01,14.77,14.77,14.77,14.77,0
2020-04-03,14.77,14.77,14.77,14.77,0
2020-04-06,14.77,14.77,14.77,14.77,0
2020-04-07,16.22,16.22,16.22,16.22,200
2020-04-08,16.22,16.22,16.22,16.22,400
2020-04-09,16.22,16.22,16.22,16.22,0
2020-04-10,16.22,16.22,16.22,16.22,0
2020-04-13,16.22,16.22,16.22,16.22,0
2020-04-14,16.22,16.22,16.22,16.22,0
2020-04-15,17.79,17.79,17.79,17.79,2000
2020-04-16,19.3,19.54,19.3,19.54,900
2020-04-17,18.69,19.3,18.69,19.3,3500
2020-04-20,18.09,18.09,18.09,18.09,100
2020-04-21,18.09,18.09,18.09,18.09,0
2020-04-22,18.69,19.24,18.69,19.24,2000
2020-04-23,19.3,19.3,19.3,19.3,200
2020-04-24,19.54,19.54,18.09,18.09,15260
2020-04-27,19.42,19.42,18.69,19.42,20700
2020-04-28,19.3,21.11,19.3,19.42,6900
2020-04-29,19.48,19.54,19.48,19.48,1550
2020-05-04,20.5,20.5,19.48,19.48,5631
2020-05-05,20.5,20.5,19.3,19.3,700
2020-05-06,19.78,19.84,19.3,19.3,7700
2020-05-07,19.3,19.3,19.3,19.3,7700
2020-05-08,19.3,19.3,18.69,18.69,5420
2020-05-11,18.69,19.3,18.69,19.3,2100
2020-05-12,19.3,19.48,19.0,19.3,34200
2020-05-13,19.24,19.3,19.24,19.3,200
2020-05-14,18.09,19.3,18.09,19.0,79500
2020-05-15,19.0,19.12,19.0,19.0,6010
2020-05-18,19.3,19.3,19.3,19.3,8510
2020-05-19,19.3,19.42,19.0,19.24,70400
2020-05-20,19.18,19.3,19.18,19.3,10200
2020-05-21,19.3,19.54,19.12,19.3,54250
2020-05-22,19.3,19.3,19.0,19.3,21400
2020-05-25,19.3,19.78,19.3,19.78,50800
2020-05-26,19.9,19.9,19.3,19.3,61402
2020-05-27,19.9,19.9,19.24,19.3,17600
2020-05-28,17.99,20.08,17.99,20.08,3300
2020-05-29,18.64,19.95,18.64,19.43,1700
2020-06-01,18.97,19.49,18.97,19.49,7600
2020-06-02,19.62,19.62,19.56,19.56,4900
2020-06-03,19.49,19.49,19.49,19.49,100
2020-06-04,18.97,18.97,18.18,18.45,9200
2020-06-05,18.45,18.97,18.25,18.97,5700
2020-06-08,18.32,18.97,18.32,18.77,12700
2020-06-09,18.71,19.43,18.18,18.18,3200
2020-06-10,17.99,18.51,17.6,18.51,54500
2020-06-11,18.45,18.45,17.66,17.66,23300
2020-06-12,18.58,18.58,16.35,17.66,5400
2020-06-15,17.14,17.66,17.14,17.33,3320
2020-06-16,17.33,17.66,17.33,17.66,3900
2020-06-17,17.66,17.73,17.66,17.73,2810
2020-06-18,17.92,17.92,17.33,17.73,6630
2020-06-19,17.66,17.66,17.66,17.66,1010
2020-06-22,17.33,17.33,17.27,17.33,1000
2020-06-23,18.64,18.64,18.64,18.64,100
2020-06-24,18.64,18.64,18.64,18.64,0
2020-06-25,17.07,17.99,17.07,17.99,200
2020-06-26,17.73,17.73,17.73,17.73,2000
2020-06-29,18.32,18.32,16.42,17.01,11810
2020-06-30,17.33,17.33,17.01,17.01,3503
2020-07-01,18.51,18.51,17.66,17.66,2600
2020-07-02,17.86,17.86,17.01,17.01,550
2020-07-03,17.01,17.46,17.01,17.33,4901
2020-07-06,17.33,17.6,17.33,17.6,2200
2020-07-07,17.33,17.4,17.27,17.33,29330
2020-07-08,17.46,17.46,17.33,17.4,11210
2020-07-09,17.46,17.46,17.4,17.4,4229
2020-07-10,17.4,17.4,17.4,17.4,0
2020-07-13,17.33,17.66,17.33,17.66,500
2020-07-14,17.53,17.66,17.4,17.66,6100
2020-07-15,17.4,17.66,17.4,17.66,1500
2020-07-16,17.66,18.12,17.66,18.12,6400
2020-07-17,18.32,18.32,17.99,17.99,2200
2020-07-20,17.86,18.58,17.86,18.58,9200
2020-07-21,17.86,17.99,17.86,17.99,3000
2020-07-22,17.99,17.99,17.99,17.99,2600
2020-07-23,17.99,18.58,17.99,18.58,4500
2020-07-24,18.64,18.97,18.05,18.05,14010
2020-07-27,17.66,17.66,17.4,17.4,3000
2020-07-28,18.64,18.64,18.64,18.64,100
2020-07-29,18.32,18.32,17.66,17.99,10000
2020-07-30,17.66,18.32,17.66,18.32,2800
2020-07-31,18.32,18.32,17.99,17.99,4000
2020-08-03,18.64,18.64,18.64,18.64,100
2020-08-04,18.64,18.64,18.64,18.64,0
2020-08-05,18.64,18.64,18.64,18.64,10
2020-08-06,18.64,18.64,18.64,18.64,0
2020-08-07,18.64,18.64,18.64,18.64,210
2020-08-10,18.64,19.95,18.64,19.3,4210
2020-08-11,19.43,19.43,18.97,19.36,500
2020-08-12,19.95,19.95,19.62,19.62,700
2020-08-13,19.95,19.95,18.38,19.49,1400
2020-08-14,19.82,19.82,17.99,19.49,1600
2020-08-17,18.32,18.32,18.32,18.32,100
2020-08-18,19.3,19.3,18.32,18.38,3800
2020-08-19,18.58,19.1,18.38,18.9,6103
2020-08-20,19.1,19.95,18.9,19.56,17300
2020-08-21,19.69,19.69,19.69,19.69,100
2020-08-24,19.3,19.69,18.9,18.9,5900
2020-08-25,18.38,19.23,18.32,18.97,5200
2020-08-26,19.89,19.89,18.97,19.36,21511
2020-08-27,19.3,19.36,19.23,19.36,11700
2020-08-28,19.3,19.49,19.3,19.49,22403
2020-08-31,19.3,19.3,19.3,19.3,500
2020-09-01,19.3,19.43,19.3,19.3,6200
2020-09-03,19.56,19.62,19.49,19.62,20200
2020-09-04,19.62,19.62,19.62,19.62,0
2020-09-07,19.62,19.62,19.3,19.62,4500
2020-09-08,19.62,19.62,19.3,19.62,6400
2020-09-09,19.43,19.49,19.36,19.49,4900
2020-09-10,19.49,19.49,19.43,19.43,900
2020-09-11,19.49,19.75,19.43,19.62,22200
2020-09-14,18.77,19.62,18.77,19.62,200
2020-09-15,19.36,19.43,19.23,19.3,7800
2020-09-16,19.3,19.49,19.3,19.49,12600
2020-09-17,19.3,19.43,19.3,19.43,15100
2020-09-18,19.3,19.3,19.3,19.3,17600
2020-09-21,19.3,19.3,19.17,19.17,1100
2020-09-22,18.97,18.97,18.97,18.97,1700
2020-09-23,18.97,19.1,18.97,18.97,900
2020-09-24,19.1,19.3,19.1,19.3,1600
2020-09-25,19.3,19.36,19.3,19.36,600
2020-09-28,19.3,19.49,19.3,19.43,5600
2020-09-29,19.43,19.43,19.43,19.43,0
2020-09-30,18.05,19.43,18.05,19.43,1300
2020-10-01,19.43,19.43,19.43,19.43,0
2020-10-02,19.43,19.43,19.43,19.43,100
2020-10-05,19.43,19.43,19.43,19.43,7100
2020-10-06,19.43,19.56,19.36,19.43,11800
2020-10-07,19.43,19.43,19.36,19.43,20000
2020-10-08,17.53,19.69,17.53,19.69,9400
2020-10-09,19.62,19.69,19.3,19.3,7000
2020-10-12,19.3,19.3,19.3,19.3,12600
2020-10-13,19.3,19.36,19.3,19.3,3200
2020-10-14,19.3,19.69,19.3,19.69,18300
2020-10-15,18.38,19.75,18.38,19.75,200
2020-10-16,19.62,19.62,19.62,19.62,3500
2020-10-19,19.62,19.62,19.36,19.36,18700
2020-10-20,19.56,19.56,19.56,19.56,100
2020-10-21,17.99,19.49,17.99,19.49,20800
2020-10-22,19.89,19.89,19.49,19.49,24200
2020-10-23,19.62,19.62,19.49,19.56,23300
2020-10-26,19.62,19.62,19.56,19.56,6800
2020-10-27,19.62,19.62,19.62,19.62,2000
2020-10-28,17.92,19.69,17.92,19.69,200
2020-10-29,18.38,19.56,18.18,19.56,1100
2020-10-30,19.56,19.56,19.43,19.56,3000
2020-11-02,19.56,19.56,19.56,19.56,1100
2020-11-03,18.71,19.49,18.71,19.49,5300
2020-11-04,19.56,19.56,19.56,19.56,100
2020-11-05,18.38,19.62,18.38,19.56,5100
2020-11-06,18.38,19.56,18.38,19.56,1400
2020-11-09,19.49,19.56,19.49,19.56,16700
2020-11-10,19.49,19.62,19.49,19.62,8400
2020-11-11,19.49,19.95,19.49,19.95,12700
2020-11-12,19.95,20.93,19.95,20.93,14600
2020-11-13,20.93,20.93,20.93,20.93,11000
2020-11-16,20.93,20.93,20.54,20.87,9500
2020-11-17,20.54,20.93,20.54,20.93,7500
2020-11-18,18.84,20.93,18.84,20.93,200
2020-11-19,20.87,20.93,20.8,20.93,9900
2020-11-20,20.8,20.93,20.8,20.93,7500
2020-11-23,20.67,20.87,20.6,20.67,12500
2020-11-24,20.87,20.87,20.67,20.67,12700
2020-11-25,20.87,21.59,20.87,20.93,139300
2020-11-26,20.93,21.45,20.93,20.93,387400
2020-11-27,21.0,21.59,20.93,20.93,631400
2020-11-30,21.26,21.91,21.0,21.0,473300
2020-12-01,21.06,23.09,21.0,23.02,149200
2020-12-02,23.02,24.14,22.11,23.29,190200
2020-12-03,23.74,24.2,23.22,24.2,240200
2020-12-04,23.88,24.27,23.74,23.74,101900
2020-12-07,23.74,23.88,23.42,23.55,86700
2020-12-08,23.55,23.68,23.42,23.55,66800
2020-12-09,23.55,23.88,23.16,23.22,134500
2020-12-10,23.22,23.22,22.83,22.89,75100
2020-12-11,22.89,23.09,22.76,22.96,33830
2020-12-14,22.96,23.16,22.89,23.16,32870
2020-12-15,23.02,23.88,22.96,23.55,50410
2020-12-16,23.22,23.29,22.89,23.16,60200
2020-12-17,23.09,23.09,22.5,22.76,53010
2020-12-18,22.76,22.83,22.5,22.57,53810
2020-12-21,22.57,22.96,22.5,22.83,37400
2020-12-22,22.63,24.2,22.57,23.55,49850
2020-12-23,23.48,23.55,22.57,22.63,117010
2020-12-24,22.63,23.55,22.04,22.57,83200
2020-12-25,22.57,22.83,22.04,22.57,27210
2020-12-28,22.57,23.02,22.04,22.37,54960
2020-12-29,22.37,22.37,21.72,21.91,68510
2020-12-30,21.85,22.57,21.72,22.5,36810
2020-12-31,22.83,23.88,21.85,22.24,11520
2021-01-04,22.24,23.09,21.91,22.63,68600
