date,open,high,low,close,volume
2019-09-17,8.19,8.94,8.19,8.67,33000
2019-09-18,8.6,8.6,8.25,8.46,6100
2019-09-19,8.46,8.53,8.46,8.53,5510
2019-09-20,8.05,8.53,8.05,8.53,3100
2019-09-23,8.19,8.19,7.7,7.77,12300
2019-09-24,7.77,7.98,7.77,7.91,18410
2019-09-25,7.91,8.25,7.91,8.25,7457
2019-09-26,8.12,8.32,8.12,8.25,3700
2019-09-27,8.25,8.25,8.12,8.25,8810
2019-09-30,8.25,8.25,8.19,8.19,2000
2019-10-01,8.19,8.19,8.12,8.12,8003
2019-10-02,8.19,8.19,8.19,8.19,400
2019-10-03,8.19,8.19,7.98,8.12,1900
2019-10-04,8.05,8.05,7.91,7.91,3710
2019-10-07,8.05,8.05,7.84,8.05,11647
2019-10-08,7.84,7.98,7.84,7.84,8700
2019-10-09,8.19,8.6,7.91,8.32,6600
2019-10-10,8.46,8.46,8.19,8.19,2100
2019-10-11,8.19,8.19,8.05,8.05,200
2019-10-14,8.12,8.12,7.77,7.77,823
2019-10-15,7.63,7.98,7.63,7.98,2404
2019-10-16,7.84,7.84,7.77,7.84,6620
2019-10-17,7.84,7.84,7.77,7.77,7400
2019-10-18,7.08,8.12,7.08,8.12,1900
2019-10-21,7.91,7.91,7.84,7.84,1800
2019-10-22,7.84,8.05,7.84,8.05,3800
2019-10-23,8.19,8.19,7.77,8.05,12400
2019-10-24,7.08,7.84,7.08,7.36,13100
2019-10-25,7.36,7.57,7.22,7.22,19720
2019-10-28,8.05,8.05,7.22,7.36,11300
2019-10-29,7.22,7.57,7.22,7.29,1900
2019-10-30,7.57,7.57,7.36,7.36,6100
2019-10-31,7.36,7.36,7.29,7.36,13848
2019-11-01,7.15,7.57,7.15,7.29,6100
2019-11-04,7.02,7.29,6.95,7.08,12900
2019-11-05,7.02,7.22,7.02,7.08,6900
2019-11-06,7.08,7.08,7.02,7.02,4400
2019-11-07,7.02,7.02,7.02,7.02,1000
2019-11-08,7.08,7.08,7.08,7.08,500
2019-11-11,7.08,7.08,7.08,7.08,1100
2019-11-12,7.08,7.08,6.88,6.95,14500
2019-11-13,7.02,7.02,7.02,7.02,100
2019-11-14,6.4,6.88,6.4,6.88,2600
2019-11-15,6.53,6.88,6.53,6.88,1200
2019-11-18,6.67,6.67,6.67,6.67,1100
2019-11-19,6.33,6.67,6.33,6.67,4000
2019-11-20,6.4,6.81,6.4,6.81,700
2019-11-21,6.95,6.95,6.88,6.88,200
2019-11-22,6.95,6.95,6.74,6.95,400
2019-11-25,6.6,6.88,6.6,6.88,2100
2019-11-26,6.6,6.88,6.6,6.81,1210
2019-11-27,6.67,6.81,6.67,6.81,7500
2019-11-28,6.74,6.95,6.67,6.81,7300
2019-11-29,6.74,6.74,6.74,6.74,600
2019-12-02,6.81,6.81,6.81,6.74,3000
2019-12-03,6.81,6.88,6.81,6.88,1500
2019-12-04,6.6,6.6,6.6,6.6,3400
2019-12-05,6.81,7.02,6.81,7.02,5200
2019-12-06,6.88,6.95,6.88,6.95,2700
2019-12-09,6.74,7.02,6.74,7.02,1800
2019-12-10,6.81,6.95,6.81,6.88,1400
2019-12-11,6.81,6.81,6.81,6.81,4101
2019-12-12,6.6,6.88,6.6,6.88,6239
2019-12-13,6.81,7.08,6.81,6.88,3901
2019-12-16,6.88,6.88,6.88,6.88,200
2019-12-17,6.88,6.88,6.88,6.88,3039
2019-12-18,6.95,6.95,6.95,6.95,2500
2019-12-19,6.95,6.95,6.95,6.95,2000
2019-12-20,6.95,6.95,6.95,6.95,0
2019-12-23,6.95,6.95,6.95,6.95,0
2019-12-24,6.88,6.95,6.88,6.88,8000
2019-12-25,6.88,6.88,6.88,6.88,100
2019-12-26,6.95,6.95,6.95,6.95,2000
2019-12-27,7.02,7.02,7.02,7.02,200
2019-12-30,7.02,7.15,6.95,6.95,1600
2019-12-31,6.95,7.02,6.95,6.95,1000
2020-01-02,7.02,7.02,7.02,7.02,1500
2020-01-03,7.02,7.02,7.02,7.02,600
2020-01-06,6.95,7.02,6.95,7.02,600
2020-01-07,7.08,7.15,7.08,7.15,1100
