date,open,high,low,close,volume
2019-09-12,16.26,16.26,16.26,16.26,1950
2019-09-13,16.78,16.78,16.13,16.26,2040
2019-09-16,16.07,16.26,16.0,16.26,70
2019-09-17,16.26,16.26,16.26,16.26,0
2019-09-18,16.26,16.39,16.13,16.39,1070
2019-09-19,16.39,16.39,16.39,16.39,0
2019-09-20,16.45,16.45,16.45,16.45,10
2019-09-23,16.45,16.45,16.45,16.45,0
2019-09-24,16.13,16.13,16.13,16.13,50
2019-09-25,16.13,16.13,16.13,16.13,40
2019-09-26,16.13,16.13,16.13,16.13,14930
2019-09-27,16.13,16.13,16.13,16.13,3110
2019-09-30,16.13,16.13,16.07,16.07,3250
2019-10-01,16.07,16.07,16.07,16.07,780
2019-10-02,16.07,16.07,16.07,16.07,0
2019-10-03,16.07,16.07,16.07,16.07,980
2019-10-04,16.07,16.07,16.07,16.07,0
2019-10-07,16.07,16.13,16.07,16.13,2600
2019-10-08,16.13,16.13,16.13,16.13,1160
2019-10-09,16.13,16.13,16.13,16.13,0
2019-10-10,16.26,16.26,16.26,16.26,60
2019-10-11,16.0,16.13,16.0,16.1,430
2019-10-14,16.13,16.13,16.03,16.1,650
2019-10-15,16.03,16.13,16.0,16.13,5120
2019-10-16,16.13,16.13,15.97,16.13,1030
2019-10-17,16.03,16.03,16.03,16.03,3000
2019-10-18,16.0,16.13,15.78,16.13,5010
2019-10-21,16.13,16.13,16.13,16.13,0
2019-10-22,16.0,16.0,15.94,15.94,1900
2019-10-23,16.0,16.0,16.0,16.0,890
2019-10-24,15.87,16.0,15.87,16.0,410
2019-10-25,16.07,16.07,16.07,16.07,10
2019-10-28,16.07,16.07,16.07,16.07,50
2019-10-29,15.87,15.87,15.78,15.81,6600
2019-10-30,15.65,15.65,15.65,15.65,140
2019-10-31,15.81,15.81,15.65,15.65,5400
2019-11-01,15.65,15.81,15.65,15.81,820
2019-11-04,15.81,15.81,15.61,15.81,1930
2019-11-05,15.81,15.81,15.81,15.81,330
2019-11-06,15.81,15.81,15.81,15.81,12050
2019-11-07,15.81,15.81,15.81,15.81,60
