date,open,high,low,close,volume
2018-12-20,63.86,63.41,63.41,63.41,0
2018-12-21,57.22,57.22,57.22,57.22,500
2018-12-24,62.57,62.57,62.57,62.57,100
2018-12-25,62.57,62.57,62.57,62.57,0
2018-12-26,62.57,62.57,62.57,62.57,0
2018-12-27,63.33,63.33,63.33,63.33,100
2018-12-28,63.33,63.33,63.33,63.33,46
2019-01-02,63.33,63.33,63.33,63.33,8
2019-01-03,63.33,63.33,63.33,63.33,0
2019-01-04,63.33,63.33,63.33,63.33,34000
2019-01-07,69.43,72.79,69.43,72.79,13500
2019-01-08,76.3,83.55,76.3,83.55,26170
2019-01-09,83.47,95.99,83.47,95.99,27489
2019-01-10,109.11,109.19,105.29,105.29,29088
2019-01-11,92.78,93.09,92.78,92.78,31000
2019-01-14,79.35,80.11,79.35,80.11,15600
2019-01-15,68.67,69.05,68.67,69.05,7138
2019-01-16,69.43,78.97,69.43,78.89,3063
2019-01-17,78.67,78.67,78.67,78.89,2
2019-01-18,76.3,76.3,67.91,67.91,600
2019-01-21,80.73,80.73,80.73,80.73,5000
2019-01-22,83.17,92.78,83.17,92.78,2100
2019-01-23,102.24,103.0,102.24,103.0,1200
2019-01-24,87.36,102.24,87.36,95.37,12720
2019-01-25,100.56,100.56,100.56,100.56,1000
2019-01-28,97.66,114.83,97.66,114.83,1547
2019-01-29,96.14,96.14,95.37,95.37,600
2019-01-30,95.99,95.37,95.37,95.37,0
2019-01-31,95.99,95.99,95.99,95.99,3830
2019-02-01,95.99,95.99,95.99,95.99,0
2019-02-11,95.99,95.99,95.99,95.99,0
2019-02-12,95.99,95.99,95.99,95.99,0
2019-02-13,99.19,99.19,99.19,99.19,100
2019-02-14,98.43,98.43,98.43,98.43,500
2019-02-15,98.43,98.43,98.43,98.43,0
2019-02-18,98.43,98.43,98.43,98.43,0
2019-02-19,99.19,99.19,98.43,98.43,400
2019-02-20,99.04,98.43,98.43,98.43,0
2019-02-21,99.04,99.19,95.37,97.66,1910
2019-02-22,95.37,95.37,95.37,95.37,400
2019-02-25,95.37,95.37,95.37,95.37,0
2019-02-26,95.37,95.37,95.37,95.37,10
2019-02-27,95.37,95.37,95.37,95.37,0
2019-02-28,95.37,95.37,95.37,95.37,0
2019-03-01,95.37,95.37,95.37,95.37,0
2019-03-04,95.37,95.37,95.37,95.37,10
2019-03-05,95.37,95.37,95.37,95.37,0
2019-03-06,95.37,95.37,95.37,95.37,0
2019-03-07,95.37,95.37,95.37,95.37,0
2019-03-08,95.37,95.37,95.37,95.37,0
2019-03-11,95.37,95.37,95.37,95.37,0
2019-03-12,99.19,99.19,99.19,99.19,900
2019-03-13,99.19,99.19,99.19,99.19,900
2019-03-14,99.19,99.19,99.19,99.19,0
2019-03-15,99.19,99.19,99.19,99.19,37
2019-03-18,99.19,99.19,99.19,99.19,0
2019-03-19,99.19,99.19,99.19,99.19,90
2019-03-20,99.19,99.19,85.46,85.46,200
2019-03-21,91.56,91.56,78.59,78.59,700
2019-03-22,87.82,78.59,78.59,78.59,0
2019-03-25,87.82,78.59,78.59,78.59,0
2019-03-26,75.54,100.94,75.54,100.94,2710
2019-03-27,92.32,95.37,92.32,95.37,3600
2019-03-28,92.7,95.37,95.37,95.37,0
2019-03-29,92.7,92.7,92.7,92.7,400
2019-04-01,92.7,92.7,92.32,92.32,700
2019-04-02,92.32,92.4,78.59,92.4,3900
2019-04-03,91.56,91.56,81.64,81.64,2300
2019-04-04,82.94,81.64,81.64,81.64,0
2019-04-05,82.94,81.64,81.64,81.64,0
2019-04-08,72.48,87.74,72.48,87.74,3400
2019-04-09,74.32,87.74,87.74,87.74,0
