date,open,high,low,close,volume
2019-09-26,5.56,5.65,5.56,5.56,16100
2019-09-27,5.61,5.61,5.56,5.56,9500
2019-09-30,5.56,5.7,5.56,5.61,12700
2019-10-01,5.65,5.7,5.65,5.65,23500
2019-10-02,5.65,5.75,5.65,5.75,23900
2019-10-03,5.7,5.75,5.56,5.56,10600
2019-10-04,5.7,5.75,5.7,5.7,6200
2019-10-07,5.75,6.25,5.75,5.98,14900
2019-10-08,5.93,5.93,5.75,5.79,21100
2019-10-09,5.79,5.93,5.79,5.88,37400
2019-10-10,5.88,5.93,5.84,5.88,8100
2019-10-11,5.88,5.88,5.79,5.88,10300
2019-10-14,5.84,5.88,5.79,5.84,9900
2019-10-15,5.84,5.84,5.7,5.75,13500
2019-10-16,5.75,5.93,5.75,5.88,63100
2019-10-17,5.93,5.98,5.79,5.88,45700
2019-10-18,5.84,5.88,5.84,5.88,4200
2019-10-21,5.84,5.84,5.79,5.79,21200
2019-10-22,5.79,5.84,5.75,5.84,26700
2019-10-23,5.84,5.84,5.79,5.84,9100
2019-10-24,5.84,5.84,5.75,5.79,22700
2019-10-25,5.84,5.84,5.79,5.84,4500
2019-10-28,5.84,5.84,5.79,5.84,3200
2019-10-29,5.79,5.84,5.79,5.84,5100
2019-10-30,5.84,5.84,5.79,5.79,17900
2019-10-31,5.79,5.79,5.7,5.75,23200
2019-11-01,5.7,5.79,5.7,5.79,11000
2019-11-04,5.75,5.75,5.7,5.7,12600
2019-11-05,5.7,5.75,5.7,5.7,11900
2019-11-06,5.75,5.75,5.61,5.61,17900
2019-11-07,5.47,5.65,5.05,5.65,17100
2019-11-08,5.61,5.65,5.61,5.65,14000
2019-11-11,5.65,5.65,5.47,5.47,46400
2019-11-12,5.56,5.61,5.56,5.56,52500
2019-11-13,5.59,5.8,5.54,5.54,6600
2019-11-14,5.59,5.59,5.54,5.54,10400
2019-11-15,5.54,5.64,5.54,5.59,26700
2019-11-18,5.59,5.59,5.48,5.48,5900
2019-11-19,5.59,5.59,5.59,5.59,100
2019-11-20,5.64,5.91,5.64,5.8,15800
2019-11-21,5.8,5.86,5.75,5.8,22100
2019-11-22,5.8,5.8,5.75,5.75,7800
2019-11-25,5.7,5.75,5.7,5.75,3700
2019-11-26,5.7,5.86,5.7,5.8,120500
2019-11-27,5.8,5.97,5.8,5.86,96200
2019-11-28,5.86,6.34,5.86,6.34,280400
2019-11-29,6.29,6.66,6.29,6.5,152210
2019-12-02,6.45,6.45,6.23,6.23,60220
2019-12-03,6.18,6.45,6.13,6.34,143900
2019-12-04,6.34,6.34,6.13,6.29,60900
2019-12-05,6.18,6.23,6.07,6.13,54630
2019-12-06,6.07,6.13,5.97,6.07,47800
2019-12-09,6.02,6.56,6.02,6.56,399050
2019-12-10,6.61,6.77,6.34,6.45,154100
2019-12-11,6.45,6.56,6.23,6.4,121000
2019-12-12,6.34,6.34,6.18,6.29,130200
2019-12-13,6.23,6.45,6.13,6.23,196300
2019-12-16,6.18,6.34,5.8,5.86,239650
2019-12-17,5.86,6.02,5.75,6.02,138500
2019-12-18,5.91,6.02,5.8,5.97,189100
2019-12-19,5.91,6.02,5.8,6.02,74000
2019-12-20,6.02,6.34,5.86,5.86,36800
2019-12-23,5.86,6.02,5.8,5.86,53400
2019-12-24,5.86,6.02,5.75,5.86,32800
2019-12-25,5.86,6.02,5.8,5.91,69800
2019-12-26,5.86,5.91,5.75,5.8,19400
2019-12-27,5.64,5.97,5.64,5.91,47900
2019-12-30,5.91,5.91,5.75,5.8,9200
2019-12-31,5.75,5.75,5.43,5.43,12600
2020-01-02,5.54,5.97,5.54,5.97,210000
2020-01-03,6.18,6.18,5.91,5.97,77300
2020-01-06,5.97,6.18,5.91,6.07,89600
2020-01-07,6.02,6.34,5.97,6.29,78800
2020-01-08,6.23,6.29,5.97,6.18,157300
2020-01-09,6.18,6.34,6.13,6.29,121600
2020-01-10,6.23,6.34,6.13,6.29,124900
2020-01-13,6.29,6.34,6.23,6.29,39200
2020-01-14,6.23,6.34,6.23,6.34,56800
2020-01-15,6.29,6.4,6.23,6.34,78100
2020-01-16,6.29,6.4,6.23,6.34,114100
2020-01-17,6.34,6.56,6.34,6.45,126300
2020-01-20,6.4,6.4,6.34,6.4,27600
2020-01-21,6.4,6.45,6.34,6.45,41500
2020-01-22,6.4,6.88,6.4,6.83,196800
2020-01-30,6.72,6.83,6.66,6.77,32800
2020-01-31,6.77,6.83,6.5,6.56,47300
2020-02-03,6.45,6.56,6.07,6.56,57800
2020-02-04,6.4,6.5,6.07,6.13,58100
2020-02-05,6.13,6.45,6.13,6.29,146100
2020-02-06,6.23,6.77,6.23,6.72,144300
2020-02-07,6.72,6.88,6.66,6.77,144900
2020-02-10,6.72,6.72,6.5,6.66,46100
2020-02-11,6.61,6.77,6.56,6.66,70800
2020-02-12,6.66,6.99,6.45,6.83,203000
2020-02-13,6.88,6.99,6.66,6.77,23100
2020-02-14,6.72,6.77,6.61,6.77,33600
2020-02-17,6.72,6.77,6.61,6.72,39800
2020-02-18,6.72,6.72,6.45,6.5,104400
2020-02-19,6.5,6.61,6.23,6.4,68100
2020-02-20,6.23,6.29,6.13,6.29,96600
2020-02-21,6.18,6.45,6.02,6.45,101545
2020-02-24,6.23,6.23,5.91,6.13,99800
2020-02-25,5.91,6.13,5.91,5.97,26800
2020-02-26,6.02,6.13,5.91,5.97,47300
2020-02-27,5.97,6.02,5.91,5.97,29600
2020-02-28,5.91,6.13,5.86,6.02,29400
2020-03-02,6.02,6.13,5.91,5.91,21900
2020-03-03,5.91,6.18,5.75,5.86,52000
2020-03-04,5.86,5.91,5.8,5.91,23900
2020-03-05,5.91,5.97,5.8,5.8,33300
2020-03-06,5.8,6.02,5.8,5.97,32610
2020-03-09,5.91,5.91,5.37,5.37,70900
2020-03-10,5.37,5.37,4.94,5.37,24640
2020-03-11,5.91,5.91,5.11,5.43,19605
2020-03-12,5.27,5.37,5.05,5.37,25400
2020-03-13,5.11,5.32,5.11,5.16,18300
2020-03-16,5.16,5.37,5.11,5.32,37000
2020-03-17,5.16,5.27,5.11,5.27,4850
2020-03-18,5.27,5.27,5.16,5.16,15030
2020-03-19,5.05,5.16,5.05,5.16,12300
2020-03-20,5.16,5.16,4.94,5.16,18545
2020-03-23,5.05,5.05,4.68,4.68,39490
2020-03-24,4.68,4.73,4.41,4.57,62490
2020-03-25,4.57,4.68,4.46,4.57,21530
2020-03-26,4.68,4.68,4.46,4.57,40100
2020-03-27,4.57,4.68,4.57,4.62,19600
2020-03-30,4.57,4.57,4.19,4.57,54200
2020-03-31,4.51,4.57,4.3,4.46,37100
2020-04-01,4.35,4.62,4.35,4.62,59000
2020-04-03,4.57,4.94,4.57,4.89,92515
2020-04-06,4.89,4.94,4.89,4.89,26960
2020-04-07,4.89,4.89,4.73,4.78,43055
2020-04-08,4.78,4.78,4.73,4.78,41415
2020-04-09,4.73,4.78,4.73,4.78,19300
2020-04-10,4.73,4.84,4.68,4.84,35300
2020-04-13,4.89,4.94,4.78,4.89,27630
2020-04-14,4.84,5.0,4.84,5.0,81800
2020-04-15,5.0,5.16,4.94,5.11,97870
2020-04-16,5.05,5.11,4.94,5.05,57610
2020-04-17,5.05,5.11,4.94,5.05,31820
2020-04-20,5.0,5.21,5.0,5.21,50213
2020-04-21,5.16,5.16,4.89,5.11,39780
2020-04-22,5.0,5.0,4.94,4.94,54550
2020-04-23,4.94,5.05,4.94,5.0,36920
2020-04-24,5.0,5.0,4.94,5.0,26920
2020-04-27,4.94,5.11,4.94,5.11,35600
2020-04-28,5.11,5.11,5.0,5.11,29600
2020-04-29,5.11,5.11,5.0,5.05,40900
2020-05-04,5.0,5.0,4.94,5.0,26655
2020-05-05,5.0,5.0,4.89,5.0,32700
2020-05-06,4.94,5.0,4.89,4.94,30350
2020-05-07,5.0,5.05,4.94,5.05,50513
2020-05-08,5.05,5.11,4.94,5.05,36400
2020-05-11,5.05,5.11,4.94,5.0,35900
2020-05-12,4.94,5.11,4.89,5.11,58710
2020-05-13,5.11,5.54,5.05,5.27,103097
2020-05-14,5.27,5.37,5.27,5.32,25100
2020-05-15,5.32,5.32,5.27,5.32,23500
2020-05-18,5.32,5.32,5.21,5.27,25900
2020-05-19,5.27,5.54,5.27,5.37,119100
2020-05-20,5.48,5.48,5.37,5.37,45500
2020-05-21,5.37,5.43,5.32,5.43,31900
2020-05-22,5.43,5.43,5.32,5.37,42900
2020-05-25,5.37,5.43,5.32,5.37,42013
2020-05-26,5.32,5.43,5.32,5.32,38402
2020-05-27,5.37,5.37,5.27,5.32,59800
2020-05-28,5.32,5.37,5.21,5.37,33110
2020-05-29,5.37,5.37,5.32,5.37,31000
2020-06-01,5.37,5.43,5.32,5.43,40850
2020-06-02,5.37,5.43,5.27,5.32,30745
2020-06-03,5.32,5.43,5.32,5.43,42840
2020-06-04,5.43,5.48,5.37,5.37,42025
2020-06-05,5.32,5.43,5.32,5.32,32231
2020-06-08,5.32,5.43,5.32,5.37,31200
2020-06-09,5.37,5.59,5.37,5.59,83900
2020-06-10,5.59,5.64,5.48,5.64,50071
2020-06-11,5.59,6.13,5.59,5.91,149571
2020-06-12,5.86,5.91,5.64,5.75,50600
2020-06-15,5.75,5.97,5.75,5.97,80960
2020-06-16,5.91,6.34,5.86,6.34,89700
2020-06-17,6.34,6.45,6.29,6.45,31600
2020-06-18,6.29,6.29,6.07,6.23,25650
2020-06-19,6.18,6.29,6.02,6.29,62661
2020-06-22,6.29,6.5,6.29,6.45,85470
2020-06-23,6.45,6.45,6.4,6.4,27420
2020-06-24,6.4,6.45,6.34,6.34,69270
2020-06-25,6.38,6.58,6.19,6.26,39090
