date,open,high,low,close,volume
2019-09-11,3.5,3.5,3.5,3.5,0
2019-09-12,3.5,3.5,3.5,3.5,0
2019-09-13,3.5,3.5,3.5,3.5,263
2019-09-16,3.5,3.5,3.5,3.5,20
2019-09-17,3.5,3.56,3.5,3.56,1400
2019-09-18,3.56,3.56,3.56,3.56,0
2019-09-19,3.56,3.92,3.92,3.92,0
2019-09-20,3.56,3.92,3.92,3.92,0
2019-09-23,3.14,3.14,3.07,3.07,1300
2019-09-24,3.49,3.49,3.49,3.49,160
2019-09-25,2.99,2.99,2.99,2.99,400
2019-09-26,3.35,3.35,3.35,3.35,100
2019-09-27,3.35,3.35,3.35,3.35,0
2019-09-30,2.92,2.92,2.92,2.92,1420
2019-10-01,3.21,3.21,3.21,3.21,100
2019-10-02,3.21,3.21,3.21,3.21,0
2019-10-03,3.14,3.21,3.14,3.21,2700
2019-10-04,3.64,3.64,3.64,3.64,100
2019-10-07,3.64,3.64,3.64,3.64,0
2019-10-08,3.64,3.64,3.64,3.64,0
2019-10-09,3.64,3.64,3.64,3.64,0
2019-10-10,3.14,3.14,3.14,3.14,900
2019-10-11,3.14,3.14,3.14,3.14,0
2019-10-14,3.14,3.14,3.14,3.14,0
2019-10-15,2.92,2.92,2.92,2.92,780
2019-10-16,2.92,2.92,2.92,2.92,0
2019-10-17,2.92,2.92,2.92,2.92,0
2019-10-18,2.92,2.92,2.92,2.92,0
2019-10-21,2.92,2.92,2.92,2.92,0
2019-10-22,2.92,2.92,2.92,2.92,2000
2019-10-23,2.92,2.92,2.92,2.92,0
2019-10-24,2.92,2.92,2.92,2.92,6000
2019-10-25,2.92,2.92,2.92,2.92,0
2019-10-28,2.71,2.71,2.57,2.64,2400
2019-10-29,2.64,2.85,2.35,2.5,8700
2019-10-30,2.5,2.5,2.5,2.5,6000
2019-10-31,2.5,2.5,2.5,2.5,6000
2019-11-01,2.85,2.85,2.5,2.5,5200
2019-11-04,2.5,2.5,2.5,2.5,0
2019-11-05,2.5,2.5,2.5,2.5,0
2019-11-06,2.5,2.5,2.5,2.5,0
2019-11-07,2.85,2.85,2.78,2.85,6500
2019-11-08,3.28,3.28,2.85,2.92,9500
2019-11-11,2.92,2.92,2.85,2.92,12500
2019-11-12,2.99,2.99,2.99,2.99,12500
2019-11-13,2.85,2.85,2.85,2.85,3200
2019-11-14,2.85,2.85,2.85,2.85,3200
2019-11-15,2.85,2.85,2.85,2.85,2600
2019-11-18,3.28,3.28,3.28,3.28,105
2019-11-19,3.71,3.71,3.71,3.71,100
2019-11-20,3.71,3.71,3.71,3.71,0
2019-11-21,3.71,3.71,3.71,3.71,0
2019-11-22,3.71,3.71,3.71,3.71,0
2019-11-25,3.71,3.71,3.71,3.71,0
2019-11-26,3.71,3.71,3.71,3.71,500
2019-11-27,3.28,3.28,3.28,3.28,10000
2019-11-28,2.92,3.28,2.92,3.28,2500
2019-11-29,3.64,3.64,3.64,3.64,100
2019-12-02,4.14,4.14,4.14,3.64,100
2019-12-03,3.64,4.14,4.14,4.14,0
2019-12-04,3.64,4.14,4.14,4.14,0
2019-12-05,3.64,3.64,3.64,3.64,17000
2019-12-06,3.56,3.64,3.56,3.64,2000
2019-12-09,3.64,3.64,3.64,3.64,0
2019-12-10,3.64,3.64,3.64,3.64,0
2019-12-11,4.14,4.14,4.14,4.14,100
2019-12-12,3.71,3.71,3.71,3.71,1000
2019-12-13,3.71,3.71,3.71,3.71,0
2019-12-16,3.71,3.71,3.71,3.71,0
2019-12-17,4.21,4.21,3.64,3.64,5100
2019-12-18,3.64,3.64,3.64,3.64,0
2019-12-19,4.14,4.14,4.14,4.14,100
2019-12-20,4.14,4.14,4.14,4.14,0
2019-12-23,4.14,4.14,4.14,4.14,0
2019-12-24,4.14,4.14,4.14,4.14,0
2019-12-25,4.14,4.14,4.14,4.14,0
2019-12-26,4.14,4.14,4.14,4.14,0
2019-12-27,4.14,4.14,4.14,4.14,0
2019-12-30,4.14,4.14,4.14,4.14,0
2019-12-31,4.14,4.14,4.14,4.14,0
2020-01-02,4.14,4.14,4.14,4.14,0
2020-01-03,3.71,3.71,3.71,3.71,5000
2020-01-06,3.71,3.71,3.71,3.71,0
2020-01-07,3.71,3.71,3.71,3.71,0
2020-01-08,3.71,3.71,3.71,3.71,0
2020-01-09,3.71,3.71,3.71,3.71,0
2020-01-10,3.71,3.71,3.71,3.71,0
2020-01-13,3.71,3.71,3.71,3.71,0
2020-01-14,3.71,3.71,3.71,3.71,0
2020-01-15,4.21,4.21,4.21,4.21,100
2020-01-16,4.21,4.21,4.21,4.21,0
2020-01-17,4.21,4.21,4.21,4.21,0
2020-01-20,4.21,4.21,4.21,4.21,0
2020-01-21,4.21,4.21,4.21,4.21,0
2020-01-22,4.21,4.21,4.21,4.21,0
2020-01-30,4.21,4.21,4.21,4.21,0
2020-01-31,4.21,4.21,4.21,4.21,0
2020-02-03,4.21,4.21,4.21,4.21,0
2020-02-04,4.21,4.21,4.21,4.21,0
2020-02-05,4.21,4.21,4.21,4.21,0
2020-02-06,4.21,4.21,4.21,4.21,0
2020-02-07,4.21,4.21,4.21,4.21,0
2020-02-10,4.21,4.21,4.21,4.21,0
2020-02-11,4.21,4.21,4.21,4.21,0
2020-02-12,4.21,4.21,4.21,4.21,0
2020-02-13,4.21,4.21,4.21,4.21,0
2020-02-14,4.21,4.21,4.21,4.21,0
2020-02-17,4.21,4.21,4.21,4.21,0
2020-02-18,4.21,4.21,4.21,4.21,0
2020-02-19,4.21,4.21,4.21,4.21,0
2020-02-20,4.21,4.21,4.21,4.21,0
2020-02-21,4.21,4.21,4.21,4.21,0
2020-02-24,4.21,4.21,4.21,4.21,0
2020-02-25,4.21,4.21,4.21,4.21,0
2020-02-26,4.21,4.21,4.21,4.21,0
2020-02-27,4.21,4.21,4.21,4.21,0
2020-02-28,4.21,4.21,4.21,4.21,0
2020-03-02,4.21,4.21,4.21,4.21,0
2020-03-03,4.21,4.21,4.21,4.21,0
2020-03-04,4.21,4.21,4.21,4.21,0
2020-03-05,4.21,4.21,4.21,4.21,0
2020-03-06,5.85,5.85,5.85,5.85,100
2020-03-09,5.85,5.85,5.85,5.85,10
2020-03-10,5.85,5.85,5.85,5.85,0
2020-03-11,5.85,5.85,5.85,5.85,0
2020-03-12,5.85,5.85,5.85,5.85,0
2020-03-13,5.85,5.85,5.85,5.85,0
2020-03-16,5.85,5.85,5.85,5.85,0
2020-03-17,5.85,5.85,5.85,5.85,0
2020-03-18,5.85,5.85,5.85,5.85,0
2020-03-19,5.85,5.85,5.85,5.85,0
2020-03-20,5.85,5.85,5.85,5.85,0
2020-03-23,5.85,5.85,5.85,5.85,0
2020-03-24,5.85,5.85,5.85,5.85,0
2020-03-25,5.85,5.85,5.85,5.85,0
2020-03-26,5.85,5.85,5.85,5.85,0
2020-03-27,5.85,5.85,5.85,5.85,0
2020-03-30,5.85,5.85,5.85,5.85,0
2020-03-31,5.85,5.85,5.85,5.85,0
2020-04-01,5.85,5.85,5.85,5.85,0
2020-04-03,5.85,5.85,5.85,5.85,0
2020-04-06,5.85,5.85,5.85,5.85,0
2020-04-07,5.85,5.85,5.85,5.85,0
2020-04-08,5.85,5.85,5.85,5.85,0
2020-04-09,5.85,5.85,5.85,5.85,0
