date,open,high,low,close,volume
2019-09-26,11.57,11.7,11.57,11.7,2730
2019-09-27,11.7,11.7,11.29,11.7,1320
2019-09-30,11.7,11.73,11.59,11.73,1270
2019-10-01,11.73,11.88,11.62,11.88,1780
2019-10-02,11.88,11.97,11.88,11.97,100
2019-10-03,11.76,11.79,11.73,11.73,4120
2019-10-04,11.62,11.79,11.59,11.79,3120
2019-10-07,11.85,12.61,11.85,12.03,1290
2019-10-08,12.03,12.03,11.7,12.0,2100
2019-10-09,11.59,12.03,11.59,12.0,2400
2019-10-10,11.47,11.79,11.18,11.79,4120
2019-10-11,11.79,11.88,11.44,11.88,2290
2019-10-14,11.44,11.79,11.44,11.79,1500
2019-10-15,11.47,11.59,11.44,11.59,3500
2019-10-16,11.2,11.67,11.2,11.67,6130
2019-10-17,11.73,11.82,11.73,11.82,2380
2019-10-18,11.82,11.85,11.73,11.85,2270
2019-10-21,11.85,11.91,11.73,11.91,3780
2019-10-22,11.89,11.91,11.73,11.91,3200
2019-10-23,11.62,11.97,11.62,11.94,12000
2019-10-24,11.73,11.94,11.73,11.94,1530
2019-10-25,12.03,12.17,11.88,12.17,2180
2019-10-28,12.03,12.17,11.79,12.17,910
2019-10-29,12.76,12.76,12.41,12.47,21970
2019-10-30,12.47,12.67,12.26,12.61,10510
2019-10-31,12.33,12.38,12.32,12.35,8780
2019-11-01,12.61,12.61,12.11,12.44,860
2019-11-04,12.32,12.44,12.08,12.44,2450
2019-11-05,12.88,12.88,12.36,12.44,19920
2019-11-06,12.47,12.55,12.45,12.55,9410
2019-11-07,12.61,12.73,12.55,12.7,1800
2019-11-08,12.76,12.82,12.61,12.76,7520
2019-11-11,12.76,12.85,12.64,12.64,6920
2019-11-12,12.67,12.69,12.61,12.67,1210
2019-11-13,12.61,12.79,12.5,12.64,7590
2019-11-14,12.64,12.73,12.61,12.7,4150
2019-11-15,12.73,12.73,12.63,12.73,1000
2019-11-18,12.63,12.85,12.5,12.7,7770
2019-11-19,12.7,12.7,12.47,12.47,8780
2019-11-20,12.5,12.61,12.5,12.58,110
2019-11-21,12.58,12.58,12.35,12.58,7970
2019-11-22,12.58,12.58,12.58,12.58,10
2019-11-25,12.58,12.61,12.55,12.58,3010
2019-11-26,12.58,12.58,12.55,12.58,2190
2019-11-27,12.58,12.58,12.41,12.58,180
2019-11-28,12.47,12.58,12.41,12.58,800
2019-11-29,12.47,12.61,12.47,12.61,1990
2019-12-02,12.61,12.61,12.61,12.61,20
2019-12-03,12.32,12.58,12.32,12.58,1990
2019-12-04,12.35,12.55,12.32,12.55,2850
2019-12-05,12.58,12.58,12.58,12.58,20
2019-12-06,12.26,12.6,12.26,12.6,1750
2019-12-09,12.6,12.91,12.47,12.61,9320
2019-12-10,12.76,12.76,12.63,12.76,9560
2019-12-11,12.76,13.46,12.76,13.32,30590
2019-12-12,13.49,13.64,13.2,13.38,4580
2019-12-13,13.49,13.49,13.38,13.4,1490
2019-12-16,13.4,13.4,13.05,13.23,11490
2019-12-17,13.05,13.2,12.91,12.96,9170
2019-12-18,13.17,13.27,12.91,13.2,790
2019-12-19,13.05,13.2,13.04,13.2,3960
2019-12-20,13.2,13.2,12.91,12.91,4480
2019-12-23,13.14,13.14,12.91,13.05,4230
2019-12-24,13.2,13.23,12.93,13.23,1540
2019-12-25,13.32,13.5,13.05,13.23,2850
2019-12-26,13.46,13.46,13.23,13.23,490
2019-12-27,13.23,13.29,13.05,13.29,1060
2019-12-30,13.2,13.29,13.08,13.29,4360
